"start","end","text"
"9740","11280"," Check one, two."
"50860","52560"," Or have that, how are you?"
"64700","67120"," Let's see if it's previous like we've put our fingers."
"68280","68700"," Okay. "
"71040","71880"," Weird."
"81460","84580"," Got missing a chat here."
"86280","102380"," And Q."
"104660","105140"," Q's. "
"108020","109340"," Good morning out there."
"109440","109780"," How y'all doing?"
"111860","112780"," Turn that off."
"114480","115780"," Get right into it right away. "
"125710","126670"," All right."
"126670","133750"," Give me one secondary to have some technical stuff I have to do in the background."
"133750","135890"," Good morning to you all if you're joining us right now. "
"162190","162590"," Decision."
"165710","166110"," Dude."
"173990","174610"," Second here. "
"197320","200800"," So that's all I just got some technical stuff I got to do here in the background."
"200800","204820"," And there's a rug pull going on."
"207860","209340"," We're going to talk about that too. "
"213000","214400"," Keep that right there."
"223180","224820"," Okay, stop right there."
"227220","228300"," Yeah, it's kind of funny. "
"229020","229740"," This morning."
"232080","233680"," So I've been burning the midnight oil here."
"234680","237080"," Some live streaming during the day and then I'm working until. "
"237900","238840"," Oh, I don't know."
"239620","242000"," That's how I'm actually done two, three in the morning, I think."
"242640","245480"," So I said I would be late this morning. "
"246900","248600"," And I'm glad I did."
"250320","252920"," So let me switch over here right now."
"254600","256680"," As I had meetings until. "
"258140","259700"," Quite late last night."
"261060","262840"," It's a five minute chart right now."
"263820","267600"," And then after my meetings, I've been working on. "
"269480","272000"," I think that here's one more thing you're going to do."
"278580","279940"," Almost forgot."
"286400","287380"," Sort by newest. "
"289600","290360"," Customization."
"291880","292640"," Members."
"299500","300100"," All right. "
"300980","301880"," So just a moment here."
"301980","304200"," I got some technical stuff to do in the background here."
"305480","306940"," It'd be just a moment. "
"309540","310380"," Get some calls."
"310640","311820"," I'm going to say no to those right now."
"311880","312860"," We're going to talk about that too. "
"313120","314320"," We got a bunch of stuff to go over this morning."
"315080","318020"," We got a bunch of stuff to get through on the."
"319420","321840"," We have a bunch of stuff we have to get through. "
"322540","323500"," Heading into."
"324760","326140"," This rate decision."
"326420","327700"," So we're going to do this rapid fire. "
"328880","330060"," I am bearish here."
"330180","330680"," Just so you know."
"331000","334560"," We're going to talk about my bearishness into this rate decision too. "
"334560","335600"," We'll lead up to that."
"336740","337300"," And."
"338380","339340"," We're just chatting. "
"339700","341540"," So let's start baseline."
"342940","344380"," I'm kind of happy here."
"344460","347500"," I'm very impressed because we've been. "
"350140","352080"," We kind of charted."
"352240","353500"," Kind of."
"353560","354860"," We kind of like. "
"355320","356640"," Six sessions ago."
"358480","359840"," Charted all this out."
"360200","363800"," And I'm quite impressed right now that we have followed. "
"366140","367220"," That trend."
"367580","371400"," One, two, three, four, five."
"372720","373260"," Six. "
"374160","377040"," Now I did start a position."
"377040","379020"," Yesterday I was a little pissed off."
"379220","381140"," I started a call position yesterday. "
"381900","383000"," In the bell."
"384780","385300"," Down here."
"385480","386620"," Watch my cursor right here. "
"386840","387800"," So right down here."
"389320","393400"," I bought some calls on this down spike for today."
"394980","396760"," Now there's two things on this. "
"397040","400160"," I bought some calls down there and I was fucking livid."
"400740","402040"," Into four 15."
"404280","407180"," The price of those calls did not change. "
"407740","408900"," Now I knew better."
"410100","412720"," And I should not have bought calls down here because."
"414260","416320"," Right there bottom like right at the bottom. "
"416700","417240"," And."
"418260","421760"," Should not have bought them because when they when we came back up."
"422520","423340"," Those calls. "
"423900","425600"," Did not budge in price."
"427100","427660"," And."
"428640","431160"," We saw that all day long yesterday, right?"
"431160","435120"," There really wasn't a ton of payout on calls. "
"435920","437880"," I was so frustrated yesterday."
"438220","439720"," I looked at all of my trades yesterday."
"440660","443620"," And I was so frustrated after the close yesterday. "
"445480","448940"," Because the input the implication that we have range expansion."
"450100","454580"," Means a couple things means you have to stay long all fucking day long and you have to go up"
"454580","456420"," 100 fucking points to get paid."
"457580","463820"," And it's a it's a it's a it's a it's a it's a function of dealers basically saying go fuck"
"463820","464280"," yourself. "
"466240","470400"," Not getting that expansion of of the implied range."
"472020","474420"," And that premium repricing all that kind of stuff."
"475140","477280"," It made me not want to play today. "
"477940","482560"," That's how much much fucking angered me into the close yesterday because I was just like, you know,"
"483020","484740"," I was like, I don't really want to trade this."
"484740","486680"," If if this is how it's going to go."
"487100","490300"," Now, normally we don't have a lot of range expansion on these dates. "
"490700","493400"," Implied moves are usually like here and here."
