"start","end","text"
"120","2440"," And sound level before the film begins."
"11220","16220"," This leader is provided to permit the projectionist to complete his death on a focus on sound"
"16220","16760"," level."
"17040","18380"," Before the film begins. "
"18820","19480"," Check the hole."
"21480","22840"," Check the hole."
"26760","29060"," How is the hole doing this morning?"
"29580","30640"," Probably not too good, is it?"
"33730","39900"," I'm going to assume that uh, hold on here. "
"42940","44300"," Turn this bad boy off."
"44540","44780"," Let's go."
"47660","48620"," Yee-haw, baby. "
"52980","54520"," Rock and roll."
"54520","54740"," Oh."
"56960","58440"," Let's start by this. "
"62980","63599"," Scrabber's over."
"65000","65760"," Anger isn't."
"67920","68400"," Saved. "
"73900","74560"," Oh, yeah."
"75840","77320"," Make sure you're reading this right here, boys"
"81900","92820"," and"
"92820","92820"," girls."
"103720","110140"," I'm so short right now. "
"114180","115040"," You don't know how short I am."
"115040","115260"," You don't know how short I am."
"115260","115740"," You don't know how short. "
"116100","117160"," Matter of fact, I'm so short."
"118280","119940"," My broker called me this morning."
"122400","127360"," They told me that they would, they would, they would actually give me more margin. "
"128759","132400"," And then I could charge them to give me more margin."
"134420","135020"," Guaranteed."
"137500","138600"," Oh, baby. "
"138920","139860"," Here goes the pain."
"142420","145100"," How's that pain trade doing this morning?"
"147420","148440"," Anybody out there?"
"150200","151180"," Who's out there?"
"152780","155020"," How's that pain trade doing this morning?"
"156220","157100"," You feel it now?"
"159880","161400"," Feeling that pain trade?"
"167940","173240"," Looking at my numbers yesterday, I'm like, man, thousands of people watching this show yesterday."
"175500","177540"," Some of y'all were here yesterday. "
"179960","181240"," Good morning to you."
"181640","182740"," To just say good morning."
"182900","184420"," Someone special out there just thinking more. "
"184480","185100"," Don Mafia."
"185980","187200"," Good morning, everybody."
"187860","189240"," How's everybody doing out there?"
"189320","189920"," Y'all doing well?"
"190640","192680"," I'm starting to look at your comments right now. "
"193260","194680"," Good morning to you all."
"197720","198680"," Good morning."
"198720","201300"," Good morning to all of you. "
"204060","205100"," Everybody's doing well."
"205100","207460"," So, we had a blog to talk about this morning."
"209920","211960"," Get a bull cross right here. "
"212900","214960"," Just so you can see, there's a bull cross right here."
"217720","219480"," Forming up nicely here in the background."
"221400","224760"," I could end up getting a little bit of a pullback here at some point. "
"225040","228500"," We'll just start you off real quick so everybody's all good and ready to go."
"230040","232200"," We talked about buying the clothes yesterday."
"232200","238620"," We talked about buying the open this morning yesterday before the bell talked about the last of the"
"238620","239580"," volatility for the week. "
"241520","243380"," Last of the volatility for the week."
"244880","246920"," Was just this morning."
"248840","251040"," Yesterday was an odd day. "
"251260","257360"," So, if you're watching right now, you're probably one of those people that tune in."
"258680","261820"," Most of the day and not just the part you want to."
