"id","start","end","text"
"W-XWjm3BynY","0","7600"," Good morning traders Captain Jim James here with a daily brief just starting to get up"
"W-XWjm3BynY","7600","8600"," this morning."
"W-XWjm3BynY","8600","11160"," I'm a little sore after this weekend before we get started this morning."
"W-XWjm3BynY","11160","18840"," I just wanted to talk to you all whether you're a bull or bear about how to be on a basic"
"W-XWjm3BynY","18840","24640"," level how to be a basic or a good trader and it mostly has to do with trends."
"W-XWjm3BynY","24640","29280"," Generally speaking our market goes up but this relates to whether our market goes up"
"W-XWjm3BynY","29280","30280"," or down okay."
"W-XWjm3BynY","30280","36880"," What I want to talk to you about is this is that you all know in the past that when"
"W-XWjm3BynY","36880","42800"," you use methods like Elliott Wave theory or you're using previous highs, previous lows"
"W-XWjm3BynY","42800","48920"," to look for areas of resistance or support whether we're moving up or down you know that"
"W-XWjm3BynY","48920","56920"," our markets can trade irrationally for extended periods of time mostly that's on the upside"
"W-XWjm3BynY","56920","60080"," but it could do the same thing on the downside as well."
"W-XWjm3BynY","60080","68040"," So oftentimes I'll see people say well I called the top or I called the bottom and it's tough"
"W-XWjm3BynY","68040","72320"," to do that because even if you do call the top or the bottom let's say you call a top"
"W-XWjm3BynY","72320","73320"," right."
"W-XWjm3BynY","73320","76880"," Let's say we look I want to show you real quick take you somewhere okay I want to show"
"W-XWjm3BynY","76880","81760"," you this high over here I'm going to delete this here and you see this high right here"
"W-XWjm3BynY","81760","84600"," 473 53 was a high."
"W-XWjm3BynY","84600","90680"," So when we were here if you said well I called that top I'm going to assume that you probably"
"W-XWjm3BynY","90680","96360"," called this top and this top I don't know this top and this top but you probably didn't"
"W-XWjm3BynY","96360","102120"," and if you look on a six month or a year chart you know it's six months that's a year I'm"
"W-XWjm3BynY","102120","106520"," going to assume that you called all of these as well which we know that you didn't and"
"W-XWjm3BynY","106520","110880"," this is where traders lose money on both sides bull and bear."
"W-XWjm3BynY","110880","116960"," So you try to play what's in front of you the entire time in case we become irrational"
"W-XWjm3BynY","116960","121040"," and there have been many moments of this as a matter of fact this move right down here"
"W-XWjm3BynY","121040","128120"," to here was an irrational move and so you have to play those moves until they stop playing"
"W-XWjm3BynY","128120","129320"," for you right."
"W-XWjm3BynY","129320","133840"," So in the way up you're looking for some sort of see follow my cursor here you're looking"
"W-XWjm3BynY","133840","139760"," for confirmation that we're heading down and the same thing was even up here at 473 you"
"W-XWjm3BynY","139760","145440"," need confirmation it's not just that first dip you need confirmation and that is where"
"W-XWjm3BynY","145440","150360"," we are in the inverse right now and in the market we've confirmed that we were heading"
"W-XWjm3BynY","150360","156760"," down and we're starting to show a reversal but we still need confirmation to take long"
"W-XWjm3BynY","156760","161520"," like long like one month two month three month longs and we're going to talk about that"
"W-XWjm3BynY","161520","166440"," in the rest of this video but it's important for you as a trader because a trader in an"
"W-XWjm3BynY","166480","173000"," investor and an investor has different criteria but an investor has different criteria for"
"W-XWjm3BynY","173000","180040"," who to invest in when to invest in those companies and those are usually more defined"
"W-XWjm3BynY","180040","186320"," you seasonality does to an extent work for investors."
"W-XWjm3BynY","186320","191440"," You have a seasonality for tech you have a seasonality for consumables you just have"
"W-XWjm3BynY","191440","195640"," a seasonality if you're going long one three four five years you even have seasonality"
"W-XWjm3BynY","195640","200760"," and just charts in a company that you can check as well you start to back test these"
"W-XWjm3BynY","200760","205680"," theories back and forth on companies right how long has a company been going up for an"
"W-XWjm3BynY","205680","211560"," entire year right does it need to cool off a little bit as a stock been down since February"
"W-XWjm3BynY","211560","216220"," of this year bleeding off for an entire year are they rated to make another move up so"
"W-XWjm3BynY","216220","222060"," investors have their own criteria you've got swing traders that have their own criteria"
"W-XWjm3BynY","222060","227300"," then you've got traders right so as a trader to me it doesn't matter if the market goes"
"W-XWjm3BynY","227300","234420"," up or goes down but at the same time if I was calling tops along this entire way and"
"W-XWjm3BynY","234420","239900"," started to go short I would lose my shirt right I would be out of a job I'd be selling"
"W-XWjm3BynY","239900","247820"," subscriptions on social media which is more than likely what happens to most people that"
"W-XWjm3BynY","247820","253020"," trade like this so what happened so my point to you though is this it doesn't matter if"
"W-XWjm3BynY","253020","257740"," we're as a trader it doesn't matter if we're heading up if we're heading down it doesn't"
"W-XWjm3BynY","257740","262860"," matter if it's extended and you can play both sides as a bull and a bear okay and if you're"
"W-XWjm3BynY","262860","266620"," not comfortable with that you can always just step back from the market until it's ready"
"W-XWjm3BynY","266620","272140"," for your style of trading so understand that as as we move forward as well so let's say"
"W-XWjm3BynY","272140","278140"," hey I'm only a bull in tech I only trade apple you can check apples charts see the weakest times"
"W-XWjm3BynY","278140","282540"," of the year and then start making and take the rest of the year off right same goes for the"
"W-XWjm3BynY","282540","288140"," spy in a one year I've talked to you many many times in the past when we come into these bottoms"
"W-XWjm3BynY","288140","294380"," you can safely until we start until we start to make something different right so if you're"
"W-XWjm3BynY","294380","300780"," looking on a year chart here you can start to see have we broken through let's all put this"
"W-XWjm3BynY","300780","308140"," up right now for as a matter of fact right so you've got this is 11 this is 11 so we're in we're in"
"W-XWjm3BynY","308140","317580"," the 12th we're in December right so you can take this support line and you can still see that our"
"W-XWjm3BynY","317660","324940"," markets in a bullish context so you know that you can buy this still or you from previous history"
"W-XWjm3BynY","324940","331260"," and continue to go long so depending on what your time frame is right so just just it's an"
"W-XWjm3BynY","331260","336780"," important note for you as a trader and as an investor as a swing trader to realize that you"
"W-XWjm3BynY","336780","341500"," have to be able to look for the signs that we're rolling over or the signs that we're turning back"
"W-XWjm3BynY","342060","348380"," up you need to know how much risk you can put on and then and if you need to be switching to bear"
"W-XWjm3BynY","348380","354860"," or bull and then you need to know when is the trigger for you to take along that's one to three"
"W-XWjm3BynY","354860","361740"," months without right or if you're a bear like right now we are turning up for all intention"
"W-XWjm3BynY","361740","368620"," we're starting to show signs of turning up so that means that you if you're a bear you put less risk"
"W-XWjm3BynY","369580","373260"," now some people out there are going to say just tell me this so that i'm not a bear and that's"
"W-XWjm3BynY","373260","379260"," just not the case because i take shorts all the time i buy puts all the time i buy calls i play"
"W-XWjm3BynY","379260","387180"," both sides in this market i'm a bull because 90 percent of the time we're going up it's the"
"W-XWjm3BynY","387180","393260"," only way that you can survive for me at least in this market i guess if you're a bear if you're"
"W-XWjm3BynY","393340","399900"," only making trades every you know only at critical times or playing small moments in the market"
"W-XWjm3BynY","399900","404860"," yeah you can get by as a bear but for me i've got you know people in my life i got to take care of"
"W-XWjm3BynY","404860","412140"," i got two dogs i got a house is you know all that shit so for me at least i'm not here to tell you"
"W-XWjm3BynY","412780","416060"," don't be a bear today because you know we're heading to the pits of hell or whatever"
"W-XWjm3BynY","417020","421100"," you know because i don't want you to take that stuff i'm just saying when the market's turning"
"W-XWjm3BynY","421100","427660"," over rolling over i'll still play that market heading up until proven otherwise right and when"
"W-XWjm3BynY","427660","433340"," it's curling back up that i'm going to play that market that in that same method and we're there"
"W-XWjm3BynY","433340","440540"," right now at we're we're possibly at a bottom right now for this pullback so that's what's"
"W-XWjm3BynY","440540","444780"," important about where we are right now so keep that in your mind as you as you move forward here"
"W-XWjm3BynY","444780","449500"," bulls you are not out of the woods in any way shape or form yet and this could just be a relief and"
"W-XWjm3BynY","449500","455580"," i'm going to go through the i'm going to go through uh i wm in the rut for that reason i'm going to"
"W-XWjm3BynY","455580","460380"," go through tech and i'm also going to talk about the rotation that's been taking place some of the"
