"start","end","text"
"90630","91470"," What's going on everybody?"
"91970","92570"," Good morning."
"93390","94850"," I hope everybody's doing well."
"100420","101020"," Good morning. "
"101240","101620"," Good morning."
"103220","110940"," Joey Clapton, John Alexander, Faison, Jafar, Corey, Dan, Zach, Blind Nestle, Johnny Five, how are"
"110940","112640"," you doing Marcus, Wikiface, what up brother?"
"113260","114080"," How are you doing this morning?"
"117700","121320"," I like it when he comes that way because he gives me a couple hours doing my actual job."
"123500","127199"," Keisha Clapton, Quentin, or Quantum, Dustin, good morning. "
"127419","128500"," Yeah, I'm late this morning again."
"128960","131420"," I got a bunch of shit in the background I'm doing here now."
"131520","135180"," I got a bunch of stuff related to the channel going on in the background. "
"135980","138040"," I was actually even up late last night."
"138280","143980"," I was working until midnight or one o'clock in the morning and then again this morning when I woke"
"143980","144200"," up."
"144420","146000"," So it just never, it never fucking ends. "
"147280","148920"," So it's kind of hard to get on this morning."
"149360","150820"," It's a long day to be streaming."
"151180","153260"," So we got some stuff to talk about this morning. "
"153660","158120"," We're going to flip right over real quick and just cut this bullshit out."
"160500","163680"," And it's kind of a kind of a light trading day right now."
"165240","167320"," That can be good for bulls to an extent. "
"169440","172480"," Take a look at some support levels, some resistance levels this morning."
"172480","175920"," We're going to talk about what to expect in the next today and tomorrow."
"176580","178660"," To some extent, I loved it. "
"178760","180180"," We touched down and we blast off."
"181500","183260"," Can we trade higher the higher this morning?"
"183520","184120"," Sure, it's possible."
"184740","185600"," We can trade up here. "
"186320","187640"," We can trade before 18, 420."
"188620","189960"," But to escape this, right?"
"191080","192980"," There's two things that have not happened."
"194020","194660"," Two. "
"195640","198520"," Today is not an OPEC's day."
"199720","209000"," So you need not only the fuel of expiring puts, you need bulls to jump on board with you."
"209180","211780"," You need market participants to jump on board with you. "
"212340","215140"," Banks, hedge funds, whoever."
"216380","219980"," Now those banks might might know what's going to happen in the Fed meeting."
"220280","226000"," It doesn't appear that they know for sure what's going to happen in this FOMC meeting. "
"226140","227180"," There's still some derision."
"228400","230340"," We'll get into that this morning at some point."
"232020","237700"," There's some calculating saying that it's going to be a bullish FOMC, believe it or not, even from"
"237700","237940"," bears. "
"239520","245100"," Especially if you have other markets, currency markets, mortgage markets."
"245640","246880"," I'm going to stop there."
"247080","249540"," We'll get the Joel's job openings from March expected. "
"250260","253960"," 11.2 million, pyros 11.27 million."
"253960","261760"," We'll get March factor orders expected 1.2%, pyros 1 and 0.5%. And with the factor orders, we'll"
"261760","267820"," get the March final thermal goods orders data expected 0.8%, which would be in line with the"
"267820","268260"," preliminary."
"271550","274590"," The commodities markets believe it or not, it's all wrapped up in this. "
"274730","277790"," We get all kinds of markets, especially under the surface."
"278670","283610"," If you have the wheels that take you someplace, let's say that's the equity market, while the"
"283610","289590"," engine, the inside of our markets, have some real fucking problems going on in it within it."
"289910","292510"," That can't impact 2T, believe it or not. "
"293310","298010"," Now, with all that said, we need to escape velocity."
"298310","300170"," We're not going to get it today for two reasons."
"300170","302590"," The first one is today's not a no-pex day. "
"303150","309530"," You need the kick from puts expiring for that escape velocity."
"309970","310670"," Everyone knows it."
"312090","313430"," Everyone knew it yesterday. "
"313970","314530"," We knew it yesterday."
"314730","321070"," We said, eventually at some point today, I don't care when I want to be in when these shorts close"
"321070","323770"," and these puts expire."
"324790","327490"," I don't know when it's going to happen, but I know it's going to happen. "
"328330","331910"," Now, today we can easily trade up here, trade up here at 420, whatever."
"332190","335570"," I don't know that we have the escape velocity for two reasons."
"336550","337590"," It's not a no-pex day. "
"338030","343150"," There's a high chance, a good chance that nobody's going to close their puts today for one day away"
"343150","344350"," from the FOMC meeting."
"344510","350970"," There's no reason to close puts that are expiring on Wednesday, four on Friday today."
"352110","355210"," So, what's the benefit of going along here?"
"356450","357170"," I don't know. "
"357310","362710"," You can go from 4.13 to 4.24.18. That's the benefit."
"364070","370370"," If we trade up here, there's a fair chance we're going to roll it over today or even tomorrow into"
"370370","376210"," the FOMC meeting or not the FOMC meeting, but the FOMC statement."
"377290","382350"," So, there's a chance there's a trap in here for bulls and we're going to trade lower once more more"
"382350","382570"," time. "
"382570","385690"," This is even anticipating some good news."
"388140","395300"," There is another concern here and the other concern is, especially as a bull, is there any bad"
"395300","395620"," news?"
"396560","401260"," Is there something, is there like a sacrificial lamb that is the equity market?"
"401920","406000"," And that's one more positive that's been out there for about a week or two now, would be that you'd"
