"start","end","text"
"520","1860"," All right, let's see if this works."
"22700","24020"," Yeah, what's going on?"
"24720","26520"," All right, tell me you can hear me right now."
"27040","27900"," Can you hear me?"
"28020","29140"," Please tell me you can hear me. "
"29980","30920"," Tell me the chat."
"31800","32560"," You hear me?"
"33340","34000"," Fuck yeah."
"36560","39860"," Can you hear a Yellen speaking in the background?"
"45940","47880"," Can you hear Yellen talking in the background?"
"51340","52200"," You can't hear. "
"52320","52940"," I didn't think you could."
"53160","57720"," So I'm still having some some issues with audio and I agree with you."
"59640","61280"," I agree with you on the. "
"63739","66480"," Let's take a look real quick and see if we can figure it out."
"70290","71150"," You don't."
"72750","73810"," Second, we announced. "
"73970","74710"," Oh, wait a minute."
"74770","75470"," Can you hear it now?"
"75910","77550"," To provide additional liquidity."
"78190","79630"," Yeah, you can hear it now, can't you?"
"80790","81870"," I think you can hear it now. "
"81970","82450"," Can you hear me on?"
"82690","84350"," Can you says can't hear?"
"84570","85290"," I can't hear Yellen."
"85530","85570"," Okay."
"88210","89090"," Yeah, you can hear. "
"89470","89910"," All right, cool."
"90770","93730"," Like you don't stream for one day and streamlabs is like."
"95390","96830"," Pulling a hissy fit in the background. "
"98830","99590"," It's like now."
"99730","100050"," Fuck you."
"100210","103670"," Did I swear in the first five minutes of the broadcast?"
"105570","109230"," You can hear Yellen now. "
"109430","109750"," Good."
"110110","117070"," I do have some stuff I got to do in the background because."
"117070","124810"," Letting banks, including the very largest and some regional banks, announced 30 billion dollars. "
"124810","125650"," She's so terrible."
"125850","129050"," The posits into first Republic Bank last week."
"130290","134070"," The support represents a vote of confidence in the banking system. "
"135830","139170"," We're continuing to monitor conditions closely."
"140130","141210"," How's everybody doing this morning?"
"141370","142730"," First off, just a couple of things."
"143730","146550"," I'll do the work in the background in just a second here, just so you can see. "
"148990","153410"," You're going to expect natural sellers to come into the market right where we are right now."
"154450","155910"," I'll show it to you on a."
"159230","160030"," Second here."
"160230","167330"," You can't believe. "
"167790","170670"," Back then my ass."
"172730","175030"," You did their holdings of subprime assets."
"175890","179750"," We do not see that situation in the banking system today. "
"180590","182410"," I'm just saying I get some stuff to do here with you."
"182790","186730"," So just let's look at Apple real quick."
"188210","191650"," This is in large part through the post crisis. "
"191970","193770"," You can see where Apple is right here."
"193870","199170"," You're going to see natural just just so you can see here, here, here, and then right here you"
"199170","202150"," should see some sort of natural resistance coming into the market."
"202730","209190"," But I wouldn't be fully bearish here at this point on the market or on Apple. "
"209510","215250"," And I'll head over to another just so you can see it here somewhere else."
"219190","221790"," So here is the daily trigger, OK?"
"223790","225970"," And there's two things you should be looking for here."
"226590","230290"," Just on this yellow line, this is the daily trend, right?"
"231270","234310"," Bulls want to hold on to this trend on Apple. "
"234590","235470"," This is Spy."
"236470","243990"," That's 396.73. Even with that said, we're a large, a large trigger cluster here."
"244270","246230"," And then we also have the hourly working its way higher. "
"246810","249370"," So on the down side, 39356."
"250630","255970"," Even with that said, it's not going to surprise me at all to see."
"256910","259350"," Large banks playing an important role in our environment. "
"261010","268110"," Even if we have a pullback here and some consolidation as this works itself out, we may not get"
"268110","269150"," that bloodbath down."
"269450","272430"," Could just be consolidation for a move even higher."
"273770","280630"," So you want to be probably watching the Spy in the background at least on this cluster and then"
"280630","282090"," maybe even a squeeze higher. "
"282330","283050"," You can actually see."
"284450","285810"," You go back to the main live stream."
"286570","290190"," So you can even see here where we've had other moments where we've squeezed higher. "
"290610","291470"," You can see it right here."
"291670","292830"," Bams squeeze higher."
"293590","297570"," So I'm going to expect that same kind of a thing to take place here at minimum. "
"298350","303810"," Something like this on Apple and Spy and some other tickers."
"303970","305390"," We'll take a look at that later this morning."
"305510","309670"," We're just waiting to see that to start off this morning because we've got a few things in the"
"309670","310790"," background I have to do. "
"313050","320450"," You also worked with us to deliver advanced payments from the Enhanced Child Tax Credit which"
"320450","324690"," helped cut child poverty nearly in half in 2021."
"326150","333830"," And we've collaborated to rapidly deploy assistance to hundreds of thousands of homeowners facing"
"333830","334630"," foreclosure."
"335970","337810"," And this is a five minute chart here. "
