"start","end","text"
"340","1280"," Check one to my check."
"3300","4560"," It's still up for now."
"4900","10280"," This leader is provided to permit the projectionist to complete adjustment focus on sound level"
"10280","11920"," before the film begins. "
"12560","15160"," It's not a little dehydrated."
"17880","19760"," I don't know if I'd like to share either."
"20800","24860"," This leader is provided to permit the projectionist to complete adjustment of. "
"63660","70300"," I wonder if people took their profit yesterday or not."
"77340","79260"," Good morning, good morning."
"82810","83810"," How's it going out there?"
"83970","84810"," How's everybody doing out there?"
"84990","85350"," Good morning. "
"87290","88230"," Morning Flombak."
"88350","88730"," How are you?"
"89410","90250"," Can not be helped."
"90430","91330"," Good morning, Matt Quela. "
"92150","93190"," Good to see you, brother."
"93870","95510"," A roller coaster, James Glazier."
"97930","98670"," What up, Joe?"
"99030","100890"," What up, 26 grumpy Lee Hahn. "
"101050","101350"," Good morning."
"101750","103050"," How are you, Shaq Baker?"
"104050","106630"," Let's get right into it here."
"108370","109290"," Switch it right out. "
"109450","110990"," Oh, I got to still have some stuff up here."
"111150","112670"," Hang tight for a second."
"114290","116950"," We will mute that right there. "
"118710","119430"," Oh, shoot."
"119630","120430"," Hold on one second here."
"121150","124030"," Let's go to a weeble full screener here. "
"124510","125150"," Do one quick second."
"125330","126090"," I got a couple things I got to do."
"134750","139350"," I had to reset my office this morning. "
"142310","143530"," Not streaming yesterday."
"143770","147030"," It's like everything wanted to update, so give me this quick second here."
"147850","148930"," Okay, so let's start. "
"149130","150430"," Let's start by."
"155990","158870"," This is not where S1 is."
"159010","159430"," I don't think. "
"160290","161690"," I think we're below S1."
"161830","163170"," Let me clear out all the stuff here."
"163270","164130"," Move forward drawings. "
"166750","168610"," This is the trigger screen."
"168890","172010"," Give me one quick second as I get book maps pinned up here."
"173950","178750"," Not quite seeing across yet on spy this morning. "
"185100","188040"," Not seeing the hourly get dragged down anything like that."
"188800","190420"," We've got a weekly trigger right here."
"190500","191400"," Give me one quick second here. "
"206030","206830"," All right."
"208310","209330"," Main screen."
"217060","219160"," We can get this stuff spun up here. "
"230070","231270"," I also got a new."
"231550","232990"," I also got a new."
"235230","239430"," Here and I'm not quite sure from happy with it. "
"243690","245510"," We might be too big."
"246670","250730"," I got a big and tall chair and I'm not six foot one."
"252390","256810"," I'm not quite like tall and I'm not quite big. "
"257529","261390"," I'm a big guy but not not bad or anything."
"263510","269810"," I thought I liked this chair and then it went on sale on Sunday, I think."
"272730","274990"," I think I might have liked a different chair. "
"275310","276530"," I ordered a second chair too."
"276870","277970"," So I ordered two chairs."
"279030","281050"," One's being delivered and one I could pick up. "
"282410","285910"," So we'll see when that other chair comes in and see if it's better than this one."
"286730","287610"," We'll have a second here."
"296280","299460"," Okay, so that book map up here. "
"301820","303800"," Leave this stuff down here."
"303800","313560"," I still have a cross here"
"313560","316340"," on the hourly and the half out of the downside."
"316760","318820"," You got a target down here to check out. "
"319280","320480"," 431 30."
"322100","325220"," 431 31 on the weekly trigger down below here."
"325740","334520"," And then your S one this morning is at 431.02. So we'll put that in really quick. "
"347560","348740"," Right down here."
"348900","349860"," This is your S one."
"355360","364120"," If any of you guys, I guess whoever stayed with me on Friday on Friday. "
"366820","368540"," Leave that right down there."
"369620","373420"," Get a one minute cross five minute cross bearish."
"373680","377360"," We should expect at least that 431.02. We'll see if we bounce up it. "
"377900","379180"," This weekly trigger down here."
"381260","385020"," Leave you with me on Friday as we close the show out."
"385740","390000"," I was going to get short, not short, but long puts for a hedge. "
"390800","395080"," And if you stuck around until the end, I want to go with calls instead."
"396080","397460"," It was a good day yesterday."
"398460","403720"," And not only was it good, I had a small hedge, like a 10 cent puts and I had 30"
"403720","409640"," cent or 50 cent calls on Friday. "
"410020","416300"," Now, I needed to make 60 cents to break even on the on the trade itself, which it did, of"
"416300","418120"," course, make good money in the trade yesterday."
"419220","422420"," And then yesterday morning, I had a doctor's appointments."
"422600","424320"," Matter of fact, I got a few of them this week. "
"424460","424640"," I got."
"425460","428040"," Two or three more doctors appointments coming up."
"428200","431740"," I've got, I've got doctors looking at my butthole. "
"432200","433180"," Believe it or not."
"433640","434900"," And my foot."
"435320","438260"," I've got some damage that I've done over the years to my feet. "
"439120","442980"," That needs to be for a second time operated."
"443340","445060"," Actually, this is the third time."
"446200","454900"," And my my doctors are scratching their heads because this is the first I broke my foot years ago"
"454900","455660"," when I was young. "
"456520","463960"," And then I do a lot of outside type activities and they thought that I had cut my foot open"
"463960","467280"," and got some dirt into it."
"468080","470620"," And I'm having an infection of my foot years ago."
"470840","472960"," This was five years ago or maybe longer. "
"473720","475500"," And they cut out a bunch of shit out of my foot."
"476100","482300"," And then now I'm having more problems, having problems with damage that I've done to my feet, like"
"482300","484840"," stepping on hard rock stuff like that."
"485760","491200"," And it's built up these like damaged tissue underneath my foot. "
"491560","494900"," I'm still fine to walk and all that stuff, but they're going in there to clean out a bunch of"
"494900","496720"," damage that I've done to myself."
"497140","498700"," I guess that's the simple way to explain it."
"500500","506160"," And then I've got a I was able to get my my butt looked at. "
"506780","508120"," And so I show up to that too."
"508240","508680"," I've got that."
"510280","513460"," That's like a process like show up and they give you a bunch of crap to do. "
"515740","517780"," Trading four thirty two forty six."
"518460","520600"," We'll look to see if we can at least trade down here."
"520960","522600"," So we're going to talk about a few. "
"523100","526620"," We're going to talk about some earnings stuff today and market."
"526840","528040"," I'm kind of shocked right now."
"528180","532520"," It's like they got in the office of sport and I was like, oh, they pulled the entire move back"
"532520","533260"," from yesterday. "
"534140","542220"," It does look like if you're looking at if you look at the if you look at the triggers, right?"
"543140","545120"," Looks like we're just bouncing around, right?"
"545400","546880"," Lots of consolidation down in here."
"547980","549540"," There's the trigger screen right here."
"549740","552100"," Just bouncing above and below that daily trigger. "
"553300","557560"," And that daily trigger keeps getting bought that or the weekly trigger keeps getting bought."
"557820","566260"," So you'd expect as excuse me, you'd expect a lot of the same of that today."
"567000","569320"," You'd expect that half hour trigger to hold. "
"569540","570740"," We're kind of close to it right now."
"572700","576300"," And so we'll look for that if we can get possibly get that half."
"576460","578380"," This is a 30 minute chart on spoons. "
"580000","581980"," We can get that half hour trigger by."
"585610","589650"," It's been fairly consistent by it, by it, by it, by it."
"589890","591850"," And then you'd be looking for that same by down here. "
"592490","593030"," Could be a trap."
"593370","593690"," You never know."
"593690","599190"," But as long as we stay above, as long as we stay above that S1, we should be fine. "
"599370","605190"," The one thing to consider down here is always price being above the one in five minute triggers,"
"605210","607750"," which you guys mostly know about anyways."
"608430","612170"," So if you're looking for that trade, it should be coming up here shortly."
"614430","617030"," It looks like almost the entire move from yesterday. "
"617090","617870"," Let's take a peek."
"619170","620950"," That's 8.33 in the morning."
"621690","624070"," And then sometimes you always see this kind of stuff right here. "
"624730","627050"," It's that four o'clock move down below here."
"627110","631410"," Keep your eyes on this gap that's left behind down that weekly trigger."
"631590","637010"," This is yesterday at four a.m. Is that little box down here?"
"637050","638170"," That's where that S1 is. "
"639370","640570"," So that's the big pivot."
"645950","647410"," Let me one click second here."
"654460","655900"," Yeah, so there's a gap right here. "
"656180","658120"," And then let me see that come back down here so you guys can see it."
"658440","660000"," So here's the full gap right here."
"670490","671690"," Hold on a second here. "
"680300","681440"," Kind of lost your hero."
"689500","691660"," Sorry about that if I lost you on the screen."
"692920","695880"," So down here, we've got this gap that was left unfilled. "
"699280","700960"," This is gaps right down here."
"701180","703280"," This is right before the open at four a.m. yesterday."
"704860","706780"," We'll take a look at that gap down here. "
"707720","710100"," Right about there, right down there."
"711640","713720"," That gap is right here."
"719780","721680"," It's kind of where they fuck around with you, right?"
"721960","723660"," Tuesday is kind of like we call it. "
"726260","728140"," Turn around Tuesday, right?"
"728560","731080"," You guys all know what turn around Tuesday is."
"731500","734100"," I always like to call it fuck around Tuesday."
"734560","736960"," Get y'all scared and paranoid, right?"
"737140","740020"," They accumulate a Monday to mess around on Tuesday. "
"740080","743340"," They wind up directly taking their profits by Thursday."
"744900","747320"," And then we close out Friday."
"747660","749620"," So we'll see if we can get a good price here this morning. "
"750320","751400"," Move that over."
"756750","758090"," Yeah, they give me a bunch of crap."
"758130","758970"," Do my butthole. "
"760950","762170"," They, you know, like they."
"763110","766110"," They want me to eat a certain way and drink certain things and."
"771100","772480"," Take a look at TLT today. "
"772800","774220"," I don't mind taking a look at that one if you want."
"774400","776120"," So just down here is that gap down below."
"776980","780960"," Kind of know you want to see it get closed and you got S3 down here too. "
"801660","802540"," Right there."
"812650","813690"," More and how y'all doing."
"814690","815510"," Doctors visit one. "
"815590","815770"," Okay."
"816730","817950"," Still have more to go."
"818110","818990"," I've got a list of them. "
"819310","822530"," I'll get the, I'll get the exact dates again for you today."
"822750","825330"," I don't think people ever like a tape told people last week."
"826010","827350"," And they were like, yeah, whatever. "
"827430","830070"," I also got a Twitch coming up this weekend."
"830930","832430"," I've told you guys about that as well."
"832690","834110"," So we have Twitch coming up on the weekend. "
"834570","840070"," And I've got a series of doctors appointments that I scheduled a couple weeks ago."
"840470","842150"," And I don't know how those are going to go."
"842210","844250"," I don't know what the outcomes are. "
"844710","847950"," How many reschedules are all that all the kind of crap that goes along with it."
"848230","849930"," But it's like doctor season four."
"851070","852110"," Jimmy James here. "
"854410","855070"," What up Dave?"
"855770","856750"," I know you are brother."
"859870","860770"," That was the butt."
"863090","864670"," My butthole looks like shit. "
"865170","865730"," It's weird."
"865930","867750"," They said my butthole didn't look like shit."
"867870","869230"," They stuck their finger at my butt. "
"869970","871690"," I don't know if it was their finger, but."
"872990","873910"," Oh, it's second."
"875850","876990"," I felt that though. "
"877070","877470"," I felt it."
"886480","890480"," How do I pick a how do I pick a dock for a ball and ball cancer?"
"890840","891620"," You know what it was was."
"893220","896640"," My buddy is a doctor. "
"897640","901160"," And he told me to get my colonoscopy."
"901240","903000"," I tried to get one last year."
"903780","905340"," And I was told no. "
"906600","908860"," Because I didn't exhibit anything that."
"909880","912240"," Called for it and I wasn't old enough."
"913520","918680"," Now my buddy told me to make shit up to get that done. "
"919980","922560"," And so I came back to this checkup."
