"start","end","text"
"25840","34080"," Good morning Dylan, good morning R.S., good morning Ben, how are y'all doing, good morning Joshua?"
"35440","42380"," I don't even know if you guys can see me or not, we'll find out, don't know if my camera"
"42380","43100"," is working or not."
"43820","48240"," Good morning Joshua, good morning your wife's boyfriend, Dougie Dee, what's everybody doing out"
"48240","49800"," there, you guys can't see me right on, right on."
"53610","57190"," Good morning Jafar, first, still chilling. "
"58870","67150"," Good morning Mihai, Tara, good morning B.G. Tatte, everybody's doing well this morning."
"68250","72690"," Good morning Chansu, kind of a wild weekend out there, right?"
"72870","81450"," We had a crazy weekend, good morning Nate, good morning Matthias, good morning yeah, Tim's working"
"81450","85310"," well right on, hopefully you can get everybody in here, got a lot to get through this morning, it's"
"85310","90650"," already kind of late at 39.05 this morning, everybody did well, we had a great weekend with the"
"90650","96370"," concert with Rad at a blast, got a lot to go over this morning, morning fisted, morning car boy,"
"96670","98430"," starfish, how are you brother?"
"100070","107690"," So we had a kind of a crazy weekend here right, John, good morning, a Vegas and good morning, Maj"
"107690","112530"," Maj Maj, good morning, we're gonna jump right in this morning because we got a ton to go over, so"
"112530","120430"," we're just gonna slide right over here and we're gonna switch over, turn this music off, right in"
"120430","125250"," here, come on looking out here, good morning everybody, how's everybody doing?"
"126390","131210"," We're gonna turn that off, we're gonna get right into it, there's gonna get a lot to go over, oh"
"131210","135670"," yeah, so just we'll get some nice things out of the way, had a great weekend with the interns,"
"136230","141390"," appreciate all of you guys that support the channel, you guys help pay for that, for the work those"
"141390","147570"," girls are starting to do in the channel, we're gonna also get into, I did order, I had to order"
"147570","155990"," a computer for the, to live stream and discord, so I'm just waiting on that to be delivered, and so"
"155990","162770"," that's just an update there, and then on Friday we talked about how if you're in cash market, you"
"162770","168750"," get destroyed today unless you were holding spreads right, and we can see that this morning right"
"168750","174650"," away, boom, if you were short or long or look, see the side long on puts or calls, you're gonna"
"174650","180470"," get wrecked this morning, there was no way for you to win out, even with all the craziness over the"
"180470","187350"," weekend, we went, we went cash gang over the weekend as a cash market trader, and that has proven"
"187350","192190"," work itself out, even with all the craziness over the weekend as we come into this morning, so"
"192190","195830"," hopefully we're saving some of you guys money out there, and you're not blowing up your accounts on"
"195830","201950"," either side of that trade, now the futures market's completely different, and so we'll get into"
"201950","208390"," that this morning, and what should be happening this week, we'll talk about that, then of course"
"208390","213790"," I'm shitposting all week long on Twitter about it, because I'm laughing my ass off the entire time,"
"213790","217350"," and then I told you guys it wouldn't be here until Wednesday, that was just more shitposting on"
"217350","222210"," Twitter, anyone that was following along on that stuff yesterday, so we're gonna take a look at"
"222210","227310"," this morning and just see that we traded higher than single digits here, so we're gonna get into it"
"227310","230630"," because we only got a few minutes until we open, and we're gonna get as caught up as to where"
"230630","235110"," the market is, what to expect for today and tomorrow, now one other thing I posted on Twitter was,"
"235410","244150"," oftentimes on OPEC states, you will see, I said, I think I said, I might have, I might have"
"244150","249450"," misworded what I was trying to say was that we have OPEC's today and tomorrow, and the market maker"
"249450","254710"," sometimes will make a huge move today and tomorrow and burn all of those options, believe it or"
"254710","259790"," not, and then you'll get your move on Thursday, and we'll look at the economic calendar here in a"
"259790","265070"," minute, I do want you to see ES this morning that we're down here with single points down below, we"
"265070","268610"," traded above that of course, I talked about this last night too, that we would get this bought up"
"268610","274810"," by open, and sure enough we did, and we should too, right, someone's gonna buy this bottom by the"
"274810","280310"," time after hours opens here, no one's gonna stay short down here, heading into today, Tuesday,"
"280510","283890"," they're gonna buy this bottom and hopefully make this run up and sure enough, that's what we did,"
"284430","290970"," now, value area low is 4.39 to 0.7, be aware of that, number two, this is an important"
"290970","297570"," number for you to know, and then we've got putting controls up here at 4504, this is about a 15 "
"297570","302670","-day chart, 15-minute chart, be aware of this as we move forward, that we don't have a ton of"
"302670","308490"," resistance heading up until we hit this 440 number, and we'll talk about retesting down below,"
"308750","313790"," we'll talk about what we talked about on Friday, we said on Friday we said, look, we broke below"
"313790","323170"," 4350 or 4352, and that would set up a test of lower numbers than at 420, we retested those numbers"
"323170","331570"," in futures over the weekend with horrible news, horrible news over the weekend, so for us to go"
"331570","337450"," back and retest that 420 again today or tomorrow, I was going to take an economic calendar,"
"337450","342410"," horrible news or more Russia horrible news for us to go back down there, but I'm assuming that a"
"342410","346790"," ton of you are like, hey, we're gonna go back and retest that, whatever, however deep we went, I"
"346790","351350"," think we went pretty, pretty low, so you know, you've got bears out there that are like, we were"
"351350","356390"," retesting that right off the bell today, we'll look at some of the charts and we'll talk about some"
"356390","362550"," of that this morning, if we do that this week or today on Monday, we go back and revisit those"
"362550","368590"," numbers, now the door for us to be open is for a break of that 420 number, we'll look at"
"368590","375490"," the exact numbers where we need to see a break, we didn't see a break of the previous low in"
"375490","384450"," futures, we were slightly higher, so technically we're not gonna see 410, 415, 400 yet until we see"
"384450","388970"," a cash market break of that previous low, so we'll look at that here in just a moment, I'm gonna"
"388970","394870"," turn this off here and we're gonna take a look at some other stuff here, so it's critical that you"
"394870","401010"," know that right, that the futures did not break that previous low, and that so far is showing a"
"401010","408790"," double bottom, it's not showing us a, it's not showing us so far that we have broken through and"
"408790","413790"," we're most definitely going down to C400, now there's some other requirements for us to head down"
"413790","419670"," lower, if we don't, if we don't retest that 420 and then if we bounce off of, I think it's"
"419670","425290"," 440 or somewhere in there, the 200 a moving average, yeah we can head back lower and retest again,"
"425290","431690"," right, we're always testing lows, we're always testing highs, now for today, for Tuesday, we know"
"431690","437270"," we had a home depot this morning, Macy's this morning, we've got huge reports this week, right,"
"437750","443470"," we've got over about 100, 150, 200 a day each day this week, we got some big ones coming up,"
"444070","448710"," we got Teladoc coming up, we've got Transocean, we got Caesars coming up today, we got lows"
"448710","452290"," tomorrow over stock, so we'll take a look at these tickers if we get a slow day at all, we've"
"452290","458230"," got Jack in the box, we got Molson cores, Boo Boo, remember how Samuel Adams did not fare well"
"458230","464510"," inside of their their reports, we've got Hertz skills, Hertz got run up, we've got eBay, Lemonade,"
"464950","470870"," a bunch of beaten down tickers, keep that in mind, some of these beaten down tickers, and someone"
"470870","476910"," put a list out over Twitter over the weekend, some of these tickers are down 80, 90%, 60, 70, 80,"
"477070","482370"," 90%, so if any of these guys hit good earnings, any of these guys come out with some with some"
"482370","486190"," good earnings, you're gonna see some ripper, some face rippers, I also want you to be aware of"
"486190","490970"," something on earnings this week, we got Coinbase, Alibaba, that's the you know all these beyond"
"490970","498190"," meat, wafer, rocket, I do want you to be aware of something that there is a program in this market"
"498190","507090"," or a basket of stocks for indexes that are being shorted by hedge funds, and then there are, they"
"507090","514770"," also have a basket of high risk, of high risk growth stocks that they're shorting as well, and then"
"514770","520570"," they pick certain ones that they remove their shorts off of and then they let them rip, and this is"
"520570","526830"," this basket of a mix between risk and bonds, so they're buying some bonds, they're shorting the"
"526830","532890"," market overall, but then they have this play money where they put into high risk trades, and these"
"532890","537990"," high risk trades believe it or not, are in these individual tickers that have been beaten down for"
"537990","542550"," the course of a year or two, and Shocker when you're seeing some of these stocks just rip out of"
"542550","549030"," nowhere, when you see a stock that just blows up, goes up like 30-40%, that's typically one of"
"549030","556050"," these big hedge funds that are lifting their shorts and trading them up for fast money, so I think"
"556050","560650"," we are set up for some of that this week with some of these reports we have this week, so"
"560650","564530"," we'll pay attention to see if some of these start to pop off, and if they do start to pop"
"564530","569030"," off as the week goes on, you're going to see a bid in some of these companies just on that"
"569030","573550"," information heading forward, so we keep an eye on that as the week moves forward, the economic"
"573550","579130"," calendar this week, we have got the case Shiller Home Price Index, on Tuesday we've got, excuse me,"
"579170","586530"," Monday we're closed of course, we had the case Shiller Home Index this morning, we've got the PMI"
"586530","594770"," Flash, consumer confidence at 10am, so we still have some, some volatility between 930 let's say"
"594770","601930"," and 10am, but Wednesday we've got nothing scheduled, unless we get some bad Russia news, you might"
"601930","606990"," be setting up for some kind of a move here, right, move higher I believe honestly, on Thursday"
"606990","613570"," we've got claims, this is all bad stuff, right, GDP, bad stuff, we've got personal income, bad"
"613570","620450"," stuff, PCE, no-go, right, this is all inflation kind of stuff, core inflation monthly, we've got"
"620450","624370"," real disposable income, these are all the bad ugly numbers for Friday, right, the pair is going to"
"624370","633050"," be looking for us to sell down by at least Friday over here, and this is the 25th, but we're"
"633050","638110"," going to talk about how the market swings high, swings low, and where we are in that movement here,"
"638230","641570"," okay, so I have a feeling that we're going to swing up this week, that could be wrong on this,"
"641690","646290"," even if we do a retest, but there's a fair chance that we make a move higher for a rejection"
"646290","650910"," point to trade lower again, believe it or not, so we're going to get out of the economic calendar"
"650910","656250"," for right now, we're going to go into the spot camera report, futures in there are $4.33, $5 up"
"656250","661670"," from overnight lows of $4, $2, $4, $9, our models look for continued volatility with resistance at"
"661670","668010"," $4,400, so keep that one up, $4,400 is basically your 200MA or simple moving average on a daily"
"668010","675650"," chart, right, support is at $4,300 and $4,270, our current view remains in line with that of"
"675650","680170"," Friday, we see a little reason for risk on a large rally, and a red drought brought into this"
"680170","686010"," clarity on interest rates, latest possible date, FOMC March 15, geopolitical headlines are"
"686010","689730"," certainly taking us on a stage of the moment, we feel their impact is being exasperated by large"
"689730","696470"," negative gamut and elevated implied volatility, we'll find on this simply because it's through this"
"696470","701070"," view that we feel that any rally is simply short covering, right, we talk about that, right, that"
"701070","705570"," we're not getting that huge banner rally, we're just getting shorts covering, the rallies are"
"705570","711410"," short, they don't last for two, three days, they last sometimes for just an hour, two hours, and"
"711410","716670"," then they start re-shorting again, right, rallies can reverse great speed as the feedback loop"
"716670","722290"," reverses, killer short V and negative gamma, put buying increases IV, as IV increases, the speed of"
"722290","727410"," these V put the feedback loop's increase, that is a key note right here, the speed of the feedback"
"727410","732910"," loop increases to the downside, to this point if you think about the 50 day hit a rally in Friday"
"732910","736190"," or here on the cater a real time after this full side rally was spurred on through traders selling"
"736690","742310"," put options, right, closing their shorts, closing their puts, right, and then we get a lift up in"
"742310","747250"," the market with implied dealers could buy back futures, right, this implied that there was could"
"747250","752170"," buy back futures, this forced covered spurs on second order effects cam event that this short cover"
"752170","756270"," rally faded quickly though at 3 p.m, we saw that as well on Friday, matter of fact I think"
"756270","761450"," we saw this on Thursday as well, today's updated open interest data confirms, confirmed puts were"
"761450","766710"," closed, as we saw net put position closures for all strikes in the spy, greater than the 435 and"
"766710","768210"," SPX greater than 4,400."
"768850","773470"," Perry wanted to zoom out on the intraday feedback loop's base and equity help models pose below, we"
"773470","777590"," can see how the rate of SPX gamma changes below the nodes which appear as small peaks indicate"
"777590","783030"," where there may be a large change in SPH S&P gamma which believe signals material change and risk,"
"783470","787050"," hedging points, thinking about like a hedging band, at the strikes we've printed on the chart we"
"787050","791730"," believe support resistance forms, you typically watch chart during periods of high volatility as it"
"791730","796650"," showed great accuracy in previous drawdowns, we posted this chart because we think it's the best to"
"796650","802130"," pick the large amount of gamma at the 4,000 strike, now we talked about this last week right, last"
"802130","807090"," few weeks maybe four weeks we've been talking about hey look this is where they're re hedging, this"
"807090","812390"," is where they're rolling hedges, we know that right now they're pretty much from March 18th that"
"812390","819330"," all the money is right around 4 or 15 or so, okay for this March 18th expiry, we know that"
"819330","823490"," a lot of the puts have been actually rolled out to May, that doesn't mean they don't print out into"
"823490","829650"," March, whether the March 4, 15's and 4, 10's don't print out this week, but we know that we've been"
"829650","835650"," watching this before this has been commented on by SPOT gamma, okay, the large amount of gamma at 4 "
"835650","841150",",000 strike being sale large the note is just under 4,050, we believe this is material long-term"
"841150","847110"," support, strictly through an options positions lens, we take a material change in policy, not just"
"847110","852110"," narrative punch through that level, now this is just like the reverse if you're a bull, if you're"
"852110","859450"," looking at the high strikes right and in call options, we'll be looking for those strikes down the"
"859450","863890"," road as we trade higher, right now we're in this negative gamma, we're in bears buying tons of"
"863890","870930"," protection, so we're looking lower now to hit those strikes as time moves forward, and we've had"
"870930","876190"," that proven week out, week in, week out, and until we get some kind of material change, we're not"
"876190","882150"," just outside of negative gamma, but you're seeing long calls, long dated, much higher strikes be"
"882150","888910"," purchased out, let's say we start buying 4,60's, 4,70's, 4,80's for 60's for this month, 4,70's"
"888910","894850"," for next month, 4,80's for April, you would then see a switch in that regime, but we're not doing"
"894850","899270"," that, we're doing the inverse of that, right, so we're looking lower over time, to know you're not"
"899270","904770"," getting 400 today, know you're not getting 390 today, it's going to go up and down as we make our"
