"start","end","text"
"77550","78590"," Good morning out there."
"78690","79010"," How you doing?"
"102420","106920"," Good morning."
"118660","119680"," How's everybody doing out there?"
"120300","124880"," I wonder what the show looks like right now. "
"124880","128479"," I gotta check this out and see how it looks."
"148690","155370"," Oh, yeah, baby."
"156110","157170"," Harry and Kent Luke. "
"165280","166040"," All right."
"166080","166460"," Hold on here."
"166580","168540"," Let me get into my main streamer. "
"168660","169460"," Give me a second here."
"172440","180320"," So this morning, how the cookie crumbles."
"181640","182480"," I'll leave it simple. "
"182820","186340"," I'm not gonna say too much here."
"188900","191440"," I'll leave it simple this morning."
"194700","195560"," Hang tight here. "
"200490","202230"," What is going on here?"
"203810","206050"," I got some real wonkiness going on here."
"212570","213110"," Okay."
"213110","214610"," Leave it like that for right now. "
"215390","217870"," Having some technical issues here on the bell."
"218610","222570"," Off the opening bell, we have a huge bull cross this morning."
"229000","232300"," Right off the bell, we had a high of 412, 64. "
"232560","234080"," We're gonna chart this out together here."
"234760","237460"," You know, my take, you take the money and run."
"239440","241060"," You take the money and run. "
"244160","245720"," Take it when you're closing."
"246760","250800"," Take it on the opening bell, renegotiate the trade."
"251200","253860"," If it's going up, rebuy cheaper. "
"254640","261540"," So if you have nine cent puts and they go up 700%, you realize those gains."
"263580","264920"," Same goes with calls."
"265460","266480"," Get back in on calls. "
"266760","269320"," If you think it's going to continue hot, continue higher, they're cheaper."
"271700","277060"," Realized gains renegotiate the trade on zero dates, one dates."
"283680","286360"," I had, I had people. "
"288320","289920"," This is a funny story."
"290280","290900"," Give me a second."
"291020","291840"," I got something I got to do here. "
"294400","296240"," We'll go through a bunch of stuff this morning."
"296640","296940"," So."
"302770","304950"," My wife came to me this morning. "
"305570","307630"," Well, first of all, see that."
"307930","308510"," See my new rig."
"312510","314690"," So my wife came to me this morning, early this morning. "
"314850","315850"," She doesn't know anything, right?"
"315970","317090"," She doesn't know anything about my trade or whatever."
"317630","319850"," But she helps out and stuff like that in the background."
"320570","322050"," And so she came to me this morning. "
"323770","325730"," And she said, hold on here."
"327310","327670"," Yes."
"330090","330450"," Yes. "
"334830","335950"," Really a Tesla today."
"335950","336550"," It's a big one."
"342800","346500"," And she'll go through and so she checks my YouTube comments. "
"349620","353420"," Every day to make sure it's like bots come into the YouTube comments."
"354380","356840"," And then it'll look like it'll have like a hundred likes."
"363800","364940"," Oh, yeah, baby. "
"365080","365100"," D."
"365180","365380"," S."
"365420","366260"," has become a member."
"369300","369700"," So."
"371060","372980"," We got a bunch of stuff about today, but. "
"374040","374820"," A whole bunch of stuff."
"376300","377280"," Good morning, everybody."
"377460","378700"," Good to see you all here this morning. "
"380120","382120"," A whole bunch of stuff about this morning."
"382580","385220"," But you know, the first point is this is that."
"388580","390320"," Into the stream closed yesterday. "
"390820","392760"," Well, first of all, earlier in the dead said."
"393300","394380"," But they're cheap, right?"
"395840","396440"," Dirt cheap."
"396780","397960"," No reason not to buy them. "
"398160","399500"," Now me, I didn't get to get any, right?"
"399660","400240"," I didn't buy any."
"400360","402960"," I'm like, I'm hoping for a squeeze up in the bell so I can get some puts in tomorrow."
"404400","408000"," We got the liquidation break into the end of the day, though, right?"
"408160","412780"," The restaurant and Belarus reaffirm their commitment to nuclear non-proliferation treaty in a joint"
"412780","413180"," statement. "
"413820","416460"," We also yesterday took a poll."
"416780","418180"," Everybody said 410 by tomorrow."
"418280","419300"," We ended up getting it yesterday. "
"423540","426160"," So hopefully you're able to buy those puts yesterday."
"427100","428820"," Make some money into yesterday's bell."
"429280","431920"," Now, as the day was wrapping up. "
"432660","434860"," I left you with, have you."
"436000","437640"," Closed for profit here."
"439300","440760"," And I was told no. "
"441880","444060"," There's a few that took the money and ran."
"444240","444980"," I saw a few of you did."
"445120","446380"," A lot of you did not. "
"447500","451680"," And then this morning, my wife was like, oh, I got a bunch of cool comments."
"452460","453980"," Looks like people are making money in your stream."
"455320","456420"," She's like, you want to look at them?"
"456500","456800"," I'm like, sure. "
"457120","459320"," So she had sniffed them and saved them for me."
"462840","467320"," And I said, oh shit, I got all these people that are leaving me comments that they're up to 670 "
"467320","470200","% wherever you are out there if you're watching right now."
"470980","472660"," You deleted your comment this morning. "
"473120","473480"," That's okay."
"473760","474520"," You don't have to delete your comments."
"474520","476900"," I can still see them after you delete them. "
"479260","481400"," So I have a bunch of deleted comments this morning."
