"start","end","text"
"10890","11590"," Check one."
"14340","15280"," Check, check one."
"96840","99720"," Anyone's drivers, any duration?"
"108440","109920"," I think I got it all right now. "
"110260","110620"," Good morning."
"110780","111460"," How are y'all doing out there?"
"112720","114760"," It's going straight to the live stream right now."
"114980","116180"," We're not going to waste too much time here. "
"117800","119020"," How's everybody doing out there?"
"120020","121380"," Let's say good morning this morning."
"121540","123040"," We're usually, we've been busy lately."
"123260","124060"," We'll just say good morning. "
"124460","124780"," Good morning."
"124900","131780"," Good morning, Jeremy, Joshua, Jill, Nutello, Gaudine, Dylan, McQuace, Chaz, Jeremy, Cecilia, rival,"
"131920","136400"," BD, Chaz, Jay Cortina, Binky, Chansu, Johnny Moog's baby."
"136400","138260"," Love that name, by the way. "
"138880","142380"," Morning, Nino, Chan, Ross, indices we trust is here."
"144840","153600"," I don't know how many of you follow me on that captain's alpha, but I left a, I left a"
"153600","154840"," post there this morning."
"155320","161000"," I didn't want to put it publicly on fin twit, on Twitter, on my public handle. "
"162200","164000"," We're seeing some of that right now."
"164480","165840"," We'll look at Tesla real quick."
"165840","169020"," It was a little bit of selling here, and I'm going to explain this. "
"172100","174740"," I'm going to explain this really quick to you."
"177800","178740"," About earnings."
"180700","183740"," And what happens during earnings, the mechanics of earnings. "
"184420","186780"," So we'll spend a very brief moment."
"188040","191780"," I know that sometimes you guys will read or hear stuff about the mechanics of earnings."
"192590","195080"," And you may not have a full understanding of it. "
"195200","197120"," So we'll talk about, this is a Tesla, okay?"
"199800","203860"," And there's a few, there's a mechanically, there's some things that are happening."
"204600","210600"," The dealers price in a market, okay?"
"212300","218060"," The options market and ten seconds for a move, okay?"
"219140","223860"," So leading up to this date here, I'll buy some calls."
"224340","226060"," Someone also, the dealers will buy some puts. "
"226800","231780"," Well, not put specifically, they can do, they can, they can actually take the opposite trade, made"
"231780","232180"," different ways."
"232380","236060"," But basically, let's say I buy a call, they're going to buy a put."
"236580","242780"," If somebody buys two puts, they're going to buy two calls. "
"243080","243440"," That makes sense."
"244820","246120"," That's not actually how it happens."
"246600","251820"," Sometimes those short, those sell against the position or buy with the position. "
"252340","256459"," But this is the, this is like the dumb down version of what I'm trying to explain to you, okay?"
"256700","260740"," Taking the opposite side of a trade as we come into a high vol event."
"261460","267300"," And what that does is it leaves them hedged neutral so that they will make money, believe it or"
"267300","270260"," not, whether we go here or down here."
"271720","278080"," And that's what the market is made here so that you can buy calls and puts to trade to these,"
