"id","start","end","text"
"XBnCUMcqfLU","0","10400"," Good morning traders, Captain Jim James here with your GellyBrief for December 22nd, 2021."
"XBnCUMcqfLU","10400","16200"," Happy Holidays gang, hope all as well with you out there in Twitterverse and YouTube world."
"XBnCUMcqfLU","16200","19160"," Hope you all have having a great week ahead of you."
"XBnCUMcqfLU","19160","23800"," Some of you will probably be taking some time off as we head into the holiday weekend."
"XBnCUMcqfLU","23800","29440"," Others out there, I'm assuming, will be trading right through Christmas and New Year's."
"XBnCUMcqfLU","29440","32320"," And I'll be here with you throughout the entire week."
"XBnCUMcqfLU","32320","39240"," I might not be here live on Thursday at some point unless there's a huge pivot in the market."
"XBnCUMcqfLU","39240","44480"," But you will get videos from me each day and live broadcasts whenever the market is at"
"XBnCUMcqfLU","44480","45480"," a critical pivot moment."
"XBnCUMcqfLU","45480","50160"," But I do want to take a moment to thank all of you for your support this year, especially"
"XBnCUMcqfLU","50160","52160"," as we wrap up this holiday season."
"XBnCUMcqfLU","52160","56120"," Couldn't have done this without you and can't continue to do it without your support."
"XBnCUMcqfLU","56120","58400"," So with that, let's just get into the rest of the week."
"XBnCUMcqfLU","58400","63960"," We're going to take a look at what we have going on here Wednesday and Thursday."
"XBnCUMcqfLU","63960","67080"," These are pretty big information dumps that we have coming our way."
"XBnCUMcqfLU","67080","73560"," On Wednesday, we've got the GDP, Revision Revise, GDP, Consumer Confidence Index that has to"
"XBnCUMcqfLU","73560","74560"," do with inflation."
"XBnCUMcqfLU","74560","82760"," We have existing home sales and sometimes consumer confidence index can be used for negative"
"XBnCUMcqfLU","82760","83760"," news."
"XBnCUMcqfLU","83760","84760"," That's at 10 a.m."
"XBnCUMcqfLU","84760","85760"," to be aware of that."
"XBnCUMcqfLU","85840","90560"," We also have Vickspiration today, the role of Vicks in previous years."
"XBnCUMcqfLU","90560","95120"," It hasn't had too much impact on this time of year."
"XBnCUMcqfLU","95120","97520"," I wouldn't expect it to be a huge impact."
"XBnCUMcqfLU","97520","103760"," It even if it's used for a reason, for weakness in the market, I wouldn't be so sure that"
"XBnCUMcqfLU","103760","104760"," that's the real reason."
"XBnCUMcqfLU","104760","105760"," Okay."
"XBnCUMcqfLU","105760","106760"," And then on Thursday, we have more information dumps."
"XBnCUMcqfLU","106760","107760"," Right?"
"XBnCUMcqfLU","107760","113280"," We've got initial jobs claims, continuing claims, personal income, consumer spending,"
"XBnCUMcqfLU","113280","116080"," court inflation, all kinds of stuff, right?"
"XBnCUMcqfLU","116080","120600"," We've got huge information dumps, consumer sentiment index."
"XBnCUMcqfLU","120600","125200"," I think all these numbers are going to be somewhat glossed over."
"XBnCUMcqfLU","125200","129520"," You might find slight volatility out of these numbers unless there's something going on"
"XBnCUMcqfLU","129520","131080"," that we don't know about."
"XBnCUMcqfLU","131080","134480"," I highly doubt that they're going to hammer us this week."
"XBnCUMcqfLU","134480","135480"," No one's around."
"XBnCUMcqfLU","135480","136480"," It's possible, I guess."
"XBnCUMcqfLU","136480","137480"," It can happen."
"XBnCUMcqfLU","137480","138480"," It's always a possibility."
"XBnCUMcqfLU","139480","144800"," But heading into this holiday season, people have wrapped up their main street shops and"
"XBnCUMcqfLU","144800","145800"," all that kind of stuff."
"XBnCUMcqfLU","145800","148880"," I doubt that it happens today or tomorrow."
"XBnCUMcqfLU","148880","151080"," So what does that really mean for us heading into the rest of the week?"
"XBnCUMcqfLU","151080","152720"," Thin trading, low volume."
"XBnCUMcqfLU","152720","153880"," We'll get into the charts."
"XBnCUMcqfLU","153880","161720"," I'm going to mostly rely upon the charts as we head into the coming days, rely upon volatility,"
"XBnCUMcqfLU","161720","163040"," that kind of stuff."
"XBnCUMcqfLU","163040","165280"," Volume profile should be important right now."
"XBnCUMcqfLU","165280","167360"," There's been a nice little base built up."
"XBnCUMcqfLU","167360","168920"," We'll take a look at that stuff right now."
"XBnCUMcqfLU","168920","173040"," We're going to get into just the volume profile real quick."
"XBnCUMcqfLU","173040","175560"," We're going to look at ES."
"XBnCUMcqfLU","175560","177960"," You can see that we didn't slip under in the overnight."
"XBnCUMcqfLU","177960","179720"," We're starting to curl up right now."
"XBnCUMcqfLU","179720","182080"," We should have a nice base in here."
"XBnCUMcqfLU","182080","186560"," But when we watch the book map together live during the daytime, we can see that that base"
"XBnCUMcqfLU","186560","188200"," is being built down here."
"XBnCUMcqfLU","188200","192480"," For 614, we saw that base get built yesterday."
"XBnCUMcqfLU","192480","194680"," You see it continuing in the overnight."
"XBnCUMcqfLU","194680","202680"," We might trade around in this area here for 640.25 up to this 468."
"XBnCUMcqfLU","202680","210280"," We were talking about this wall was coming down slightly into yesterday live on book map."
"XBnCUMcqfLU","210280","211360"," It's actually down here."
"XBnCUMcqfLU","211360","214040"," We start to get some resistance at 4660."
"XBnCUMcqfLU","214040","221280"," And as we grind through this wall, as the week wraps up, we could end up grinding through"
"XBnCUMcqfLU","221280","223000"," this into Friday."
