"id","start","end","text"
"XMz_pjU-1vw","0","2000"," So"
"XMz_pjU-1vw","60000","88160"," the"
"XMz_pjU-1vw","88160","104840"," what's going on? What is going on? We're about ready. I'm just second here."
"XMz_pjU-1vw","104840","125320"," Blam, blam, blam, blam, some easy day today. Ride the pumps up to get right into it. Turn"
"XMz_pjU-1vw","125320","127800"," that shit off. We're gonna get right into it because we're a little late this morning."
"XMz_pjU-1vw","127800","137280"," Had to talk to my attorney this morning. He does me a solid every once in a while and so"
"XMz_pjU-1vw","137280","143840"," whenever he does me a solid I'm telling him to buy some like bike hauls. Say I'm"
"XMz_pjU-1vw","143840","147320"," broken this little bull flag right now. Not too concerned about this bull"
"XMz_pjU-1vw","147320","152200"," flag break in here. We'll see if we have need to find concern at any point this"
"XMz_pjU-1vw","152200","157600"," morning. Thanks for joining. I haven't looked at comments just yet. I'll get to"
"XMz_pjU-1vw","157600","162000"," comments here in just a minute. So we need to get set up for the morning. That was a"
"XMz_pjU-1vw","162000","166840"," nice little pump off the top here. You could see if you just check my cursor"
"XMz_pjU-1vw","166840","172520"," right here you could see back here on book map we had resistance above. Nice"
"XMz_pjU-1vw","172520","177200"," fat support down here was just broken here. It's actually a good place to be"
"XMz_pjU-1vw","177200","181720"," buying a dip here shortly. So we'll talk about where support lies this morning,"
"XMz_pjU-1vw","181720","186560"," where to expect to be able to buy dips and some other things you have to be"
"XMz_pjU-1vw","186560","192040"," looking at this morning. Some important things today would be this this OPEX. An"
"XMz_pjU-1vw","192040","199880"," important part of this OPEX is you're going to see today rolling of hedging"
"XMz_pjU-1vw","199880","205920"," or you should see rolling of hedging in the market today. So I told you this"
"XMz_pjU-1vw","205920","213040"," morning on Twitter that right off the bell you should see a rip off the bell"
"XMz_pjU-1vw","213040","220360"," and that's due to the number of put our SPX options that we're expiring at 930 this"
"XMz_pjU-1vw","220360","224560"," morning. If you watch my cursor here you saw you saw that nice fat rip above"
"XMz_pjU-1vw","224560","230200"," right off the bell. We tagged 370 or just below 370. That was what we talked about."
"XMz_pjU-1vw","230200","234080"," Seeing some comments from the US deputy treasury secretary after testifying"
"XMz_pjU-1vw","234080","237720"," earlier this week on Capitol Hill is now meeting with other treasury officials"
"XMz_pjU-1vw","237720","243200"," saying that he recently highlighted elevated cyber threats in the wake of"
"XMz_pjU-1vw","243200","249480"," the Russian invasion of the Ukraine in a meeting with US bankers."
"XMz_pjU-1vw","250600","257480"," Now we talked about we talked about yesterday buying 372 calls and riding"
"XMz_pjU-1vw","257480","262520"," them to 370. We got that tagged this morning. Now the thing I want you to pay"
"XMz_pjU-1vw","262520","267440"," attention to this morning is that you know as these call as these puts expire"
"XMz_pjU-1vw","267440","270960"," you're going to get pumps in the market. So you're going to be looking for places"
"XMz_pjU-1vw","270960","278160"," to buy a dip every time every time these puts roll off every time those all those"
"XMz_pjU-1vw","278160","283920"," large those large hedgings will lose value at some point dealers will begin to"
"XMz_pjU-1vw","283920","290480"," stop hedging that risk right on on the put side of things. There should be two"
"XMz_pjU-1vw","290480","299960"," other actions today. The first one the first one is going to be the the pumps"
"XMz_pjU-1vw","299960","304560"," that come into the market from the expiry on these puts right just had this"
"XMz_pjU-1vw","304560","311240"," hedging. It'll ramp up to the 11 o'clock 11 at 11 a.m. 1 p.m."
"XMz_pjU-1vw","311240","317160"," hour. You guys know in the mornings in the mornings typically you don't see as"
"XMz_pjU-1vw","317200","324720"," much burn theta burn on option expiry days but it starts to ramp as we get"
"XMz_pjU-1vw","324720","329400"," closer to that four o'clock hour. Now the other so you got that going on right."
"XMz_pjU-1vw","329400","334360"," You've got the closing of puts today. You've got the burn of major puts in the"
"XMz_pjU-1vw","334360","337640"," market today. The second thing that you're going to have today is you're going to"
"XMz_pjU-1vw","337640","343160"," have two more or two more actions going on. You're going to have because we're"
"XMz_pjU-1vw","343160","347320"," going to quote quadruple rich at whiching right we've got different products"
"XMz_pjU-1vw","347320","351360"," expiring all over the place today and leading actually in the end of the month"
"XMz_pjU-1vw","351360","355880"," to some extent and then the placing of new bets by banks out there. So you're"
"XMz_pjU-1vw","355880","360800"," going to get two actions you're going to get that's put on the market for for the"
"XMz_pjU-1vw","360800","364840"," for the next quarter between now and the 30th and you're going to get the closing"
"XMz_pjU-1vw","364840","372480"," of plays between now and the 30th and also you're going to get re hedging which"
"XMz_pjU-1vw","372480","375800"," this is the important part. So as we head into the rest of today into the"
"XMz_pjU-1vw","375800","380720"," close there will be moments where we find weakness in the market unlike"
"XMz_pjU-1vw","380720","386320"," normal markets where we typically go up right. So today you would expect if"
"XMz_pjU-1vw","386320","390000"," we're going to close if I'm a bank and I'm going to close a hedge that I've had"
"XMz_pjU-1vw","390000","395040"," on for three months then I'm going to wait for a good place in the market to"
"XMz_pjU-1vw","395040","398960"," place my next hedge. So you'll see weakness at different points morning I was"
"XMz_pjU-1vw","398960","403560"," trying to make a point to this morning what was on Twitter was that you're"
"XMz_pjU-1vw","403560","409200"," going to keep a real close eye on the options market today for when we get"
"XMz_pjU-1vw","409200","413040"," those weak moments they should they should be more glaring than usual and"
"XMz_pjU-1vw","413040","416680"," you can see it right here this selloff on my left hand side my screen normally"
"XMz_pjU-1vw","416680","423440"," you'd see see if I can see if I can do this with a you see this shows up over"
