"start","end","text"
"3850","4830"," Check 1-2."
"10300","11020"," All right."
"19950","22070"," Check 1-2. "
"28360","29440"," Come on, baby."
"30500","35620"," Let's see here."
"43520","44800"," Scrubbers. "
"46520","47800"," See."
"63650","64930"," Okay."
"76510","77370"," Copy. "
"86060","95640"," Let's see if we can switch right over to it."
"96800","97280"," Okay."
"97700","98860"," Give me just a second here, guys. "
"99820","100440"," Good morning."
"101200","102100"," Hope y'all had a great holiday."
"109420","109900"," PX. "
"118920","131140"," Good morning,"
"131140","131420"," everybody."
"132300","134080"," We've got a little bit of a..."
"135240","135980"," That's some..."
"135980","136460"," Wait a minute."
"137260","138460"," Let's see if that's going to work. "
"140180","142640"," We've got some walkiness going on with Twitter the past couple of days."
"144620","145360"," Good morning."
"145760","146680"," Good morning, Eric. "
"147080","148240"," Good morning, kid time."
"151160","152300"," Good morning, Binky."
"152920","153460"," Good morning, Mark. "
"154080","154360"," Herms."
"154860","154880"," Chase."
"156000","156820"," Yeah, we're doing great. "
"157020","157440"," Had a great holiday."
"158500","161060"," Good morning, fishing with Pan Dan."
"161700","162260"," Pan Fish Dan. "
"162900","163320"," Good morning, Liam."
"163580","164020"," Poor Badger."
"164020","164980"," G.M. Hiroshi. "
"165060","165420"," Winky face."
"165940","167120"," Johnny Moggs in the house."
"167220","168400"," Patrick Cruisins here. "
"168880","169740"," Good morning to all of you."
"171120","173420"," So we're going to take a quick look at the market this morning."
"174120","175980"," I just wanted to highlight a few things for you. "
"176160","183260"," So now, before the market opens today, we'll talk about Tesla at some point as well."
"184020","187360"," There was a giant gap in here."
"187640","189140"," There's a giant gap in here this morning. "
"190820","194000"," And that gap was closed just now, which is..."
"194020","195500"," Which is actually very productive."
"195960","198320"," I'm going to explain to you why here in just a moment."
"199640","200700"," I'm going to clean all that off. "
"200900","205180"," You can see, we remember on Friday that..."
"205180","206980"," I'll get this mic a little bit closer here."
"208620","214860"," So remember, we're trying to trade this up on Friday when we're having our holiday party here at"
"214860","215220"," this show."
"216280","217580"," We pushed this up here. "
"217860","220880"," We changed this color here."
"221500","226300"," And we had James Rowland on Friday."
"227020","229060"," And he was talking about triggers, right?"
"230080","232240"," And so we're talking about picking this up on Friday. "
"233120","237780"," And you saw the seller's just heavy and hard here on Friday, right?"
"237980","238520"," Picked it up again."
"239000","239900"," Picked it up again."
"240860","241900"," Picked it up again. "
"241900","247660"," And the overnight actually sent us higher."
"249340","251780"," So we got up and hit that 386 in the overnight."
"252680","255079"," And we had a gap that we left behind here. "
"255140","256880"," We actually just closed that gap down below."
"257760","263400"," But going with what James had said on Friday, we know where the squeeze is, right?"
"263540","264620"," We know where the trigger is."
"264620","267140"," So I've put here a bullish above. "
"267620","269320"," You'd expect the same thing today."
"269880","273160"," You need to get past these sellers here."
"273560","277500"," And you need to get past all this down with pressure that we're seeing here. "
"277820","285520"," Now, the other neat part is the difference today in Friday was that you remember on Friday we"
"285520","286160"," had..."
"286160","288320"," Our three was way up here at like 394."
"288940","294360"," So we're getting a little bit of compression today and a look below today."
"294660","297460"," You can actually see the support and resistance. "
"298100","305780"," The resistance has become tighter and there's more room for a dip to buy down below here today."
"306540","315080"," We want to look behind and see that we've got 37802 is previous low and then we've got a previous"
"315080","317160"," low back down here at S3 today."
"317160","320160"," So not seeing..."
"320160","325600"," We're seeing these sellers here and then the gap get closed and not immediately picked right back"
"325600","326360"," up here, right?"
"326980","333100"," It would seem at least logical to want to come back down at minimum and retest this pivot. "
"333580","335760"," You remember that this is still positive gamma on the day?"
"337040","341560"," And I would even like to see us come back down and retest this..."
"341560","343820"," Maybe this low down here at 37002."
"344240","346000"," Anything above here, it's positive."
"346120","347460"," We got a bounce here today. "
"347540","350140"," It could just be a slow grind up into the end of the year."
"351240","352160"," We're looking on this morning."
"352300","352740"," We'll go over. "
"352900","356540"," At some point today, we'll go over expectations into the 30th."
"357700","359420"," What to expect into the 30s."
"359520","361940"," There's a bunch of stuff we can look at and this is actually some other stuff. "
"362500","364940"," We'll take a look at some Tesla stuff this morning as well."
"364940","369220"," I just wanted to know, coming off the bell here, you're still positive gamma."
"369380","373500"," Anything above 32.39. And this was the same pivot. "
"374060","377640"," We're not quite pitted, but that push point that we had on Friday, right?"
"378540","379820"," That we need to start..."
"379820","381740"," Press to start making higher highs."
"382240","385500"," We really need to get above these sellers back here."
"386100","387620"," You're only going to get so many attempts. "
"387860","391600"," You're not going to get a 1, 2, 3, 4, 5."
"391600","394500"," We got up the pajama traders, right?"
"394820","398060"," Veritably put us up here this morning to that 386."
"399200","401980"," And it was immediately sold off, right?"
"402380","404480"," So we talk about it on the show all the time."
"404840","411200"," If you can't get that traction, if you can't leg it up in pre-market and then off the bell,"
"411540","415080"," we're going to start looking for where real support is down below. "
"415080","420520"," We know that that first place for real support is down here at 37804."
"421060","423940"," We know that the next one is back here at 374."
"424460","428640"," If we start breaking through those levels, we've got some places, right?"
"431860","438520"," You can remember this move here, this nasty move that we had, that same kind of a spot, right?"
"438720","442600"," Remember we had this low here, another low here, we tagged it again. "
"443080","445840"," So is this, is it inevitable that we come all the way down here today?"
"446500","447260"," I don't know."
"447620","448500"," I don't think so."
"449540","451020"," I don't think we get that low today. "
"451400","458220"," I think my thought process in the end of the year, it's going to be a sideways and wide dip"
"458220","459780"," kind of environment until the 30th."
"459820","460560"," I could be wrong on that."
"461200","466360"," But I don't think that you're going to see mass selling into end of year. "
"466360","471500"," There's a couple of other things, the JPM collar spot or closes on the 30th."
"471840","473140"," JPM doesn't close that collar."
"474060","476220"," It could pin us right around that 38250. "
"476220","477640"," I think it is a 38230."
"478600","483800"," So you've got that pin effect here heading into the 30th that could happen."
"484400","488240"," And then you've also have the new year coming, right?"
"488400","492500"," You know that you still have some rotation that's going to take place into end of year. "
"492500","495380"," And that's part of what I'm looking at with Tesla."
"496320","504840"," I made a post last night about Tesla and about it going back to close some of these gaps."
"506440","511100"," I've got different instances of Tesla, but you can see these gaps down below here. "
"512419","518799"," And if you're going to, if you're going to put some money into the market, you know, are you going"
"518799","523059"," to put, you know, if we don't, we're at, I think we're down here at like, we're pretty lower, like"
"523059","524340"," one 16 or something."
"524560","529580"," But if you're going to start to deploy money into the market for the new year into Tesla, you might"
"529580","532420"," as well come back down and start at least closing these gaps at a minimum."
"532720","534440"," You want to come back and close these gaps. "
"534940","537160"," People say this all the time, right?"
"537860","541260"," Every gap that gets left behind comes back to revisited."
"542580","550140"," This could be a bullish sign for the market to find a bottom."
"551080","552460"," This isn't guaranteed. "
"552820","559420"," But when you if you fill these gaps down below here, this could actually trigger a some kind of a"
"559420","564080"," bull run in 2023, which is bizarre to say."
"564080","570700"," But if there's any chance of the market coming up in 2023, let's say we find a low in that"
"570700","576060"," January, March, if we can't sell the mark, we can't have our quote unquote bloodletting of the"
"576060","577840"," market in January or March."
"578140","579940"," You might see the market go sideways and up. "
"580560","585540"," And if they close these gaps down below here, this could be a signal to that taking place."
"586560","594260"," This happening and you can see the spine not quite reacting the same same way, or even cues react"
"594260","598820"," the same with Tesla decoupled from the major indexes."
"599760","605920"," So I'd be paying attention to something down here in the next next week or two into the first and"
"605920","610580"," see if we can get Tesla into some kind of a bloodbath, right?"
"613440","616140"," There's not no other explanation that I have for it than that. "
"616800","618020"," Well, there's other explanations."
"618540","622440"," We didn't have a lot of buyers back here, but let's just be conscious of this."
"622600","625140"," If we can get to get it down into the 90s, get that 96. "
"626180","630600"," This is the one that I've been talking to Joe about for a year, I think, maybe longer, maybe a"
"630600","633600"," year and a half now getting down to this 96 level."
"633740","639480"," So if we can get down here to this 96, the 80, I think some bears were saying on Twitter"
"639480","645020"," too, you know, they'll just buy this hand over $50 or $80 or anything down below here, but it could"
"645020","652920"," be some kind of a precursor to a localized bottom coming into the new year."
"653380","658300"," And we know that we've got all those puts, the yearly puts on Tesla expiring in January. "
"659600","667420"," A poster talked about it on either Twitter or here, which was the one mistake that bulls make as"
"667420","668540"," price is no object."
"669240","676340"," When you know that information, I think Spock Emma had said, you know, these yearly puts on Tesla"
"676340","677440"," are all expiring."
"678120","685280"," And we could see like almost like an inverse what happened in January of 2022 where instead of this"
"685280","687600"," violent move down, it's a violent move up, believe it or not. "
"688300","697600"," If we get that violent move up in January on Tesla, price, price getting into January doesn't"
"697600","697920"," matter."
"698480","701620"," Because I guess that's my point is everyone would say, well, if that's going to happen, we should"
"701620","701920"," stabilize."
"702960","708140"," And the reality would be it's either going to be another opportunity to roll into new put positions"
"708140","712180"," or it's going to be an opportunity for all those put positions to roll off. "
"712900","718840"," And, you know, if it's down at 80 bucks, these guys can buy it at 80 while while it's burning,"
"718840","719220"," right?"
"719220","721360"," Or while the last bull is left standing."
"721520","727520"," I think that's what I meant in my, I don't know what that's called, but the picture on my video"
"727520","729820"," this morning is there's not many Tesla bulls left."
"730700","739580"," Not only are there not many Tesla bulls left, but Tesla gang is being gutted right now by Elon"
"739580","740080"," himself. "
"740840","742580"," You can't really deny that."
"743800","747820"," Even myself, some of the things that I've been thinking of is why are we here?"
"747820","749760"," I can't believe that we're here right now."
"750180","755940"," I was thinking this morning, I was like, I was like, even a Ford, Ford CEO wouldn't be talking with"
"755940","761440"," Russians on Twitter, cracking jokes about what they expect in 2023. "
"761980","763660"," It's kind of vile, to be honest with you."
"765660","768240"," I've got no sympathy at all for Russia."
"768720","769080"," I'm sorry. "
"771140","772360"," Here, he'll give you a second here."
"775010","776250"," Let's see who's here this morning."
"776750","777730"," Good morning, Rowan. "
"777830","778150"," How are you?"
"778490","779050"," Merry Christmas."
"779250","779530"," Happy holidays."
"779770","780270"," Happy Hanukkah. "
"780390","780990"," 10 of you out there."
"782850","784490"," TLT pretty much at the buy zone."
"784670","785290"," Just for your first year. "
"785390","786650"," We'll take a look at TLT as well."
"788510","790810"," TLT is coming into, why is that not so?"
"790970","792650"," I get some weird wonkiness going on this morning."
"793130","794010"," Look at that right there. "
"794230","797490"," So it's almost perfect right here, right?"
"799230","804290"," TLT tagged 100.31, and I've got TLT as a buy down here."
"804290","805930"," We'll take a look at why that is too."
"810300","813380"," And what we want to see to reenter TLT. "
"814000","816020"," Now we're going to look on an hourly."
"816360","817160"," We're going to look at TLT."
"817480","819160"," This is my buy zone down here, right?"
"820240","823340"," And we're going to look at TLT in a one hour and a four hour chart. "
"824080","826080"," And we can see that it hasn't turned yet."
"826140","828500"," You can see there's this little bit of bloodletting down here."
"829680","831640"," You're watching that blue line, right?"
"831780","834160"," This is the trend, hourly trend on. "
"836560","839100"," You can see this hourly trend down here, right?"
"839320","842960"," We're still trending down on TLT this morning."
"843840","845520"," You can see when we reverse."
