"start","end","text"
"6730","7850"," Mike check, check one."
"10150","11210"," Check one."
"71750","74310"," We're not going to wait here for that. "
"74450","75490"," We're going to go straight into it."
"75890","79090"," So just notice here if you are on..."
"81090","90090"," If you are on calls from yesterday, let me exit it right in here on zero dates,"
"90090","93510"," but you've got this one right here."
"93510","97670"," It's pretty close here to this R2, 450, 87. "
"98910","105250"," If you are on zero dates in your directionally, if you're holding calls directionally from"
"105250","110810"," yesterday and today if you're buying that close yesterday, type of characters there, you actually"
"110810","120490"," remember the mechanics of what are now zero dates and what they could become the CEO to then be"
"120490","125750"," able to say that the two losing candidates, the rejected fine, will not feel heard and will not"
"125750","127210"," want to jump ship right away."
"127770","137850"," What they actually mean, right?"
"139010","146150"," We are close to this R2 and then over here we have the target that we had from yesterday for"
"146150","146530"," today."
"148230","150850"," Today and tomorrow, minimum of 452. "
"151790","155130"," We also have 455, I believe, for Friday."
"156330","159950"," We should get ball crush on CPI data."
"160110","160410"," Yes, sir. "
"160470","165330"," We talked about the downside moves in the marketplace."
"169930","176130"," And according to the statement Biden says the inflation data shows the US economy remains strong."
"178010","179130"," I think tight here. "
"179210","181170"," I've got a financial juice today."
"181210","186110"," It feels like being really high."
"186410","194290"," So just off of this open a few things for you to understand is you're going to get a ball"
"194290","204150"," crush on CPI data and you likely get a little bit of a bump from the expectations for tomorrow. "
"205330","213330"," Tomorrow we have on Friday, PPI, core PPI, PPI over here, or PPI over here, then of course consumer"
"213330","218570"," sentiments preliminary, which I think is actually going to be good."
"220750","223110"," Consumer sentiment should take up slightly."
"225130","229550"," And any of the reads on gas being high or shouldn't come out just yet. "
"231270","237350"," So there should be at least some ball crush off of Friday's anticipated news."
"240010","246430"," Now saying that we still have not had a legitimate retest of hourly trigger."
"246790","248750"," We had the retest down below here. "
"248910","250390"," This is good for the squeeze above."
"250910","256410"," So we tagged 480, I think in the discord this morning, I told them expect a tag of 480 and"
"256410","266270"," then expected us to go up on the bell as well."
"266270","268930"," And we're trading this R2 at 450, 87. "
"270970","273690"," There is a small gap to the downside."
"274610","280110"," And I mean, tiny, like super tiny down here on the pivot."
"280830","282230"," Can we come back there?"
"283110","283690"," Possible. "
"284910","286390"," 446, 64."
"287330","289310"," It's possible we can get down here."
"291870","295630"," Velocity is toppingish right now. "
"298090","300170"," But that ball crush can overrun that."
"300310","300810"," We know that right."
"300950","303090"," We can have some sustained a sustained move to the upside. "
"306670","309230"," Now with that said, let's take a look really quick."
"309450","311030"," We talked about this yesterday in stream."
"311930","315490"," To set up into the close yesterday, there's two fold. "
"316650","320350"," Someone wanted to pin the market the last half an hour."
"320670","325310"," I was in the options chain yesterday on zero dates."
"326490","331310"," And someone was slamming 800,000 calls for pennies. "
"334210","336470"," I believe 448."
"337570","339950"," And so much money."
"341030","343190"," It's a good morning, by the way. "
"343830","344810"," Good morning to you."
"344830","345910"," If you made money on that open."
"346910","353350"," If you traded any of this here or even here, there's a lot of money here. "
"353530","354550"," Some good money this morning."
"355390","357110"," Thanks for joining us, by the way."
"360250","361290"," There's two things that happened. "
"361490","370470"," In the close yesterday, someone a dealer or an entity of some kind was buying like 2 cent calls."
"371010","373710"," Like 7 cents and then down like 2 cents and 1."
"373910","375950"," So they just slamming them."
"377410","380290"," And so that was that was putting the market into the close. "
"380490","381750"," We ended up rolling down into the bell."
"383110","386130"," But there's one other argument that was made into that belly yesterday."
"386670","388490"," And that was we're coming up now to 457. "
"391090","399090"," And someone in the chat yesterday said to me, no you worry about the report tomorrow."
"400070","402430"," And so I had to draw for them."
"402610","408750"," I had to draw for them who actually had to worry, right?"
"410030","410990"," It's not. "
"410990","412570"," It's not the bulls."
"413090","415170"," The setup there is for bears."
"416410","420810"," They needed a very hot CPI report. "
"421190","429710"," Can't trade down into the close of like that severely over the past few weeks."
"429930","436070"," Can't trade Apple down to 174 and then think that you're going to get."
"438210","440470"," They mild CPI report. "
"441010","448030"," And expect Apple to drop another, you know, 50 points or 25 points or 10 points or 5 points."
"448670","450010"," It's not going to happen."
"450610","454550"," You just had to pull back on Apple to 177. "
"455690","456350"," It's close enough."
"457030","459830"," Maybe a pullback to 174, another $3 or something."
"460650","466170"," It's so close down there that you're seeing a rotation in the market. "
"466390","467690"," You're not seeing distribution."
"469590","474210"," How you know that is because the S&P 500 is holding up."
"474790","479990"," You're seeing some of the main drivers of the market having decent pullbacks. "
"480450","482410"," Apple specifically had a correction."
"482930","484270"," The S&P did not."
"485210","493650"," And you're seeing that money enter other sectors in the stock market holding up the S&P 500. "
"494270","500410"," That includes, believe it or not, oil and gas are part of the S&P 500."
"501710","505470"," Meanwhile, you see Apple come down to 177 bucks."
"506050","514350"," We discussed multitude of times that 174 is a great buy, dip buy for bulls. "
"515490","520850"," Bulls out there want to buy, not Tesla, Apple at 174 at 177."
"522789","523950"," It's a no brainer."
"524590","526250"," It's a no fucking brainer. "
"526310","527870"," You buy it at 174 bucks, 177."
"529450","533630"," It doesn't even matter if it goes down to 174 because it's not done going up."
"533630","536150"," This summer is not over. "
"538410","539870"," And we are going up."
"541290","545650"," So there is some corrective action going on the stock market, but not the S&P 500."
"546050","551890"," As a matter of fact, resilience of the S&P 500 is real. "
"552230","554050"," It's a real thing."
"554970","557150"," It's always real, always has been."
"558050","565930"," Now S&P might not outperform like a tech stock might outperform, but on times like this, the S&P"
"565930","568490"," 500 is holding up quite nicely, isn't it?"
"569130","575210"," You should pay attention and take note of that as well, that the S&P 500 does that. "
"578090","591440"," It does hold up, have more resilience than individual"
"591440","594240"," tickers, the volatility associated with individual tickers."
"594240","595140"," We have a new high."
"595700","596940"," Look at that right here. "
"597440","598740"," New high just now."
"599860","604660"," We also stated that we always put in our targets, right?"
"604820","605660"," There's one right there."
"606320","607460"," Here's this one from yesterday. "
"608340","611300"," And this is our next target above, 45221."
"612800","613800"," Now I'm still in spreads."
"614120","616540"," I didn't get out of anything that was directionally challenged. "
"617900","620300"," I'm a fan of taking the money and running, realizing profit."
"620300","625770"," I was loading the boat down here yesterday."
"626150","631050"," I did take some of the money off yesterday, some of my exposure, but I did leave some on and"
"631050","634130"," I made outstanding money on this trade today. "
"634350","636090"," So I took it right there."
"636390","638370"," I'm plenty of cash for me."
"639710","641150"," The FOMO is kicking in. "
"641270","642330"," The event ball is cool enough."
"642550","643590"," We're burning up right now."
"643950","644930"," Trying to blast even higher. "
"645770","647050"," We're going to trade next."
"647050","650850"," I think that gave this target inside of Discord this morning."
"651510","653330"," Price target of 45221. "
"654170","657950"," And I also gave this target yesterday before the bell."
"659730","664750"," Now trading 45122 to that R3 above."
"665810","667950"," We know where this purple lines mean, right?"
"668190","669210"," This is where the sellers are. "
"670180","675730"," We are trading above all the way back right now to August 7th."
"676830","682790"," And we have this Valhalla moment up here, this failure above."
"683270","687790"," This is also R3 target of 45259. "
"688230","691190"," And then this 45290 up here above."
"691450","699190"," Look at that beautiful squeeze."
"699190","702750"," One, two, three, four, five. "
"704050","704730"," Erased."
"705950","708090"," Gone, gone, gone, baby."
"709010","710270"," Gone, gone, gone. "
"710870","712650"," Giant gap up here."
"713050","714230"," This is a gap."
"716130","720990"," You've got the R3 target above up here, PT45221. "
"721310","727310"," I want you to know that there's going to be vol up in here."
"729790","732930"," Sellers right here, they're going to want to sell down on you again right here."
"734130","735590"," You've got one more day. "
"736930","740730"," We're lined up here and start to knock all this stuff back out again."
"741810","742910"," Do I think we get up there?"
"748050","749010"," Oh boy."
"750570","753190"," Now let's just talk about something here. "
"753630","754890"," This hourly trigger."
"756050","757510"," We talk about this."
"757510","759450"," I talk about it in stream every day. "
"761070","764250"," And we have not had a successful retest of it."
"764690","768010"," We are looking for that still even with this squeeze."
"769450","776450"," No matter where we go to the upside, you want to see it come back and get a successful retest"
