"id","start","end","text"
"XkQlGwYdWCw","0","5300"," All right."
"XkQlGwYdWCw","5300","9080"," This is better."
"XkQlGwYdWCw","9080","15360"," I think that I figured it out and I got the microphone working, which is badass, and I"
"XkQlGwYdWCw","15360","23200"," think I got everything going."
"XkQlGwYdWCw","23200","41960"," I think I might have figured this out finally, but I think I worked out two issues I was"
"XkQlGwYdWCw","41960","42960"," having."
"XkQlGwYdWCw","42960","57800"," I think I can do just a second here."
"XkQlGwYdWCw","57800","68560"," I think I figured everything out, so I just re-ran, but I did was, I changed, I took my,"
"XkQlGwYdWCw","68560","78160"," I had my, I had my desktop on, plugged into my desk, which has a bunch of outlets and"
"XkQlGwYdWCw","78160","79160"," stuff on it."
"XkQlGwYdWCw","79160","86160"," It's like wired in, and I separated my desktop, so I don't know."
"XkQlGwYdWCw","86160","87160"," We'll see."
"XkQlGwYdWCw","87160","96960"," I was thinking maybe there was, maybe there was too much on one, on one circuit?"
"XkQlGwYdWCw","96960","99360"," I don't know."
"XkQlGwYdWCw","99360","106440"," So we're going to see if this works, and we're going to work this out."
"XkQlGwYdWCw","106440","109640"," This is what I was going through before when I was like, I'm going to fucking, I'm going"
"XkQlGwYdWCw","109640","122800"," to fucking take a flamethrower, I think I'm done."
"XkQlGwYdWCw","122800","142880"," Current order book, figure column, aggregate."
"XkQlGwYdWCw","142880","150360"," This is also bizarre, I got like problems with, and that sounds good, we'll do as well, we'll"
"XkQlGwYdWCw","150360","163120"," load the entire day, three hours of storage, load all that up."
"XkQlGwYdWCw","163120","166720"," Trying to retest that 440 down below here, see if we can catch it or not."
"XkQlGwYdWCw","166720","169680"," Let me just take an area to load up some stuff."
"XkQlGwYdWCw","169680","175640"," I think, I think my mic is fixed too, and I think I can hear, trade the news finally,"
"XkQlGwYdWCw","175640","179680"," so I'll be talking over, trade the news, and I think I'll be able to hear it."
"XkQlGwYdWCw","180680","184640"," Yeah, I can hear trade the news now, fuck yeah, finally."
"XkQlGwYdWCw","184640","188920"," This shit's crazy, whenever every time I rebuild this stuff you have to go through and rebuild"
"XkQlGwYdWCw","188920","195680"," every single aspect of it, and if you miss one little part, you're kind of fucked up."
"XkQlGwYdWCw","195680","201320"," So I can hear trade the news now, which is nice, I'm not going to talk over Charlie talking"
"XkQlGwYdWCw","201320","203040"," or whatever."
"XkQlGwYdWCw","203040","205040"," It drives me fucking baddie."
"XkQlGwYdWCw","206040","208800"," Yes, there we go."
"XkQlGwYdWCw","208800","215000"," We're loading up the entire day, I think, so we can get back to 9.30 here, and there we"
"XkQlGwYdWCw","215000","230720"," go, it's perfect."
"XkQlGwYdWCw","230720","232720"," That shit was driving me fucking baddie."
"XkQlGwYdWCw","232720","235680"," I think that this should be it, I don't know."
"XkQlGwYdWCw","235680","236680"," We'll see."
"XkQlGwYdWCw","236680","246360"," This is the kind of stuff that drives me fucking nuts, but Aomar, how are you?"
"XkQlGwYdWCw","246360","252560"," Yeah, what I did was, I really spoke meat."
"XkQlGwYdWCw","252560","260280"," Yeah, so what I did was I rebooted the computer and I moved the tower onto its own dedicated"
"XkQlGwYdWCw","260280","262280"," circuit."
"XkQlGwYdWCw","262280","271160"," I have a bunch of stuff on one circuit, and then I have my desk wired in, like plugs"
"XkQlGwYdWCw","271160","277720"," on the desk, they're wired into the wall and all that, so I switched the circuit, there's"
"XkQlGwYdWCw","277720","285560"," nothing else on this circuit, maybe, I don't know, maybe it's the interrupted power supply"
"XkQlGwYdWCw","285560","286560"," possibly."
"XkQlGwYdWCw","286560","294520"," Maybe I have to get a battery bank or something, but it kicked off, it was kicking off every"
"XkQlGwYdWCw","294520","295520"," few seconds."
"XkQlGwYdWCw","295520","308440"," I took the glass off like Winky told me to do, keep it cool, so we'll see if that helps."
"XkQlGwYdWCw","308440","311520"," A little bit of a cold beer bump on this one right here, right?"
"XkQlGwYdWCw","311520","314400"," One, two, and three."
"XkQlGwYdWCw","314400","320240"," Now this kind of do or die for the bulls."
"XkQlGwYdWCw","320240","336080"," Okay, so a question for you, so still have 140,000 puts, so we're at 92,000, we're at"
"XkQlGwYdWCw","336080","343280"," 90,000 puts, we're at 50,000 puts early, now we're at 140,000, so tripling down on puts,"
"XkQlGwYdWCw","343280","361680"," we're only worth $1.32 now, this is expiring on 413, 440p, and so I guess our big question"
"XkQlGwYdWCw","361680","370480"," is, why do they keep loading up on puts?"
"XkQlGwYdWCw","370480","376920"," I see the basing on VIX, I see that, I get that VIX should be going up right now."
"XkQlGwYdWCw","376920","387440"," This has to do with Biden, I can't see any other reason, why I wouldn't have something"
"XkQlGwYdWCw","387440","391880"," to do with Biden speaking at 230, someone must know some shit that we don't know, or they're"
"XkQlGwYdWCw","391880","398960"," just expecting volatility into the Biden speech, I haven't seen anything else about"
"XkQlGwYdWCw","398960","413520"," the Biden speech today anywhere, but I'm gonna look it up right now when I have a moment."
"XkQlGwYdWCw","413520","420200"," But I am concerned about it, because everything is saying, here indicator is up, there's still"
"XkQlGwYdWCw","420200","427600"," no real money selling, I mean the call buyers are there, they've been there all day long."
"XkQlGwYdWCw","427600","433000"," The dip buyers are there all day long, so there's something that I don't know, there's"
"XkQlGwYdWCw","433000","439360"," some volatility in the market saying that we're going down, I mean I see why we're going"
"XkQlGwYdWCw","439360","454800"," down here, son of a bitch, and did it just get rid of my, no it didn't."
"XkQlGwYdWCw","454800","460280"," So I mean there's mixed signals in the market right now, like I want to buy this dip bad"
"XkQlGwYdWCw","460280","465280"," right now, but you know how it goes right, if Biden is going to speak at 230 you end"
"XkQlGwYdWCw","465280","471240"," up getting weakness, and then we come back almost always, unless there's some news about"
"XkQlGwYdWCw","471240","476040"," Biden coming out there, we don't know about yet, something unknown, we were talking about"
"XkQlGwYdWCw","476040","481120"," if it could be an unannounced rate hike, you don't know what could be said, Brady was"
"XkQlGwYdWCw","481120","486480"," kind of a nothing burger to an extent, I'll check right now and see if Biden's still"
"XkQlGwYdWCw","486480","491640"," speaking, but when I was told yesterday, I'll trade the news, they said 230 this afternoon,"
"XkQlGwYdWCw","491640","499600"," he's going to give a speech about prices, about something actionable to get prices down."
"XkQlGwYdWCw","499600","507360"," Normally I'd buy this, I'd buy this dip right here, normally I'd buy this dip right now,"
"XkQlGwYdWCw","507360","512000"," it's a perfect setup, it's been a minute now to the results of the Treasury's $34 billion"
"XkQlGwYdWCw","512000","518800"," 10 year note reopening, this is a perfect set up to cover the last option, it was $2.47."
"XkQlGwYdWCw","518800","525680"," It changed that fucking color back to green, not that green though, not that green either,"
"XkQlGwYdWCw","525680","533600"," don't want that lime green, I got some questions for you guys out there, because no, not that"
"XkQlGwYdWCw","533600","537280"," green, that's nasty green, come on now give me a better green."
"XkQlGwYdWCw","537280","543600"," It's an ugly green too, all right, fuck it, we'll just take the shitty green."
"XkQlGwYdWCw","543600","548400"," Like normally even this is perfect right, let me just look at that right, nice one, two,"
"XkQlGwYdWCw","548400","564320"," three, bam, bam, that's how you do it right there, textbook, 101 right there, perfect setup."
"XkQlGwYdWCw","564320","570800"," Why am I hesitant? I'm hesitant because the market is rolling over, I'm hesitant because"
"XkQlGwYdWCw","572640","576240"," there is a bit in the market, there's some good news in this market, right, if you get market"
"XkQlGwYdWCw","576240","580880"," internals it's not rolling over but it's rotating."
"XkQlGwYdWCw","581440","589440"," A 10 year reopening, drawing at 2.72%, 66.6% allowed high bit to cover 2.43,"
"XkQlGwYdWCw","595280","600320"," and 2.43 bit to cover, it's a little lower than 2.47 prior and the 8 auction"
"XkQlGwYdWCw","601280","603120"," reopening average of 2.49."
