"id","start","end","text"
"YQV9mL3dPsE","0","10320"," Hey, any of you are looking for any last minute gift ideas for me?"
"YQV9mL3dPsE","10320","11320"," I have one."
"YQV9mL3dPsE","11320","16320"," I like Frank Shirley, my boss, right here tonight."
"YQV9mL3dPsE","16320","22120"," Good evening, Captain Jim James here with your daily brief."
"YQV9mL3dPsE","22120","27440"," The second video for this week, I think yesterday I had said to you that I hope to not have"
"YQV9mL3dPsE","27440","30200"," to come back to make one of these videos this week."
"YQV9mL3dPsE","30200","33820"," You never really want to see me coming back to make another video."
"YQV9mL3dPsE","33820","39040"," Now if you did not watch Sunday's video, I'm going to ask you to go back and review"
"YQV9mL3dPsE","39040","42920"," that video or watch that video before you continue into tonight's video."
"YQV9mL3dPsE","42920","49720"," It is important to what we're going to talk about here because last night I talked about"
"YQV9mL3dPsE","49720","54520"," Apple specifically and the individual stocks that were pumping the market."
"YQV9mL3dPsE","54520","60160"," So I talked about how you should have sold Apple and only play it on the runs that it"
"YQV9mL3dPsE","60160","61160"," is going on."
"YQV9mL3dPsE","61160","66400"," We'll look at this in a bit, but that is exactly what took place today."
"YQV9mL3dPsE","66400","70320"," Let's talk about today because it was interesting this morning."
"YQV9mL3dPsE","70320","75080"," As you know, I was posting on Twitter where I was making my entries and exits."
"YQV9mL3dPsE","75080","82480"," I'm also in a Discord that is the kind that you type into."
"YQV9mL3dPsE","82480","89440"," I was also in a voice chat Discord in another room yesterday and it was interesting because"
"YQV9mL3dPsE","89440","93800"," I ended up taking a long yesterday right at the open."
"YQV9mL3dPsE","93800","101800"," I took 11.24 or no, 11.22 or 4.72 or 4.74s, I can't remember."
"YQV9mL3dPsE","101800","108800"," But they were like 36 cents and these printed, we ended up selling these two live on Twitter."
"YQV9mL3dPsE","108800","111360"," They printed for almost 500%."
"YQV9mL3dPsE","111360","116400"," It was a nice run and we sold out of this play up at the top over here."
"YQV9mL3dPsE","116400","119320"," This kind of coincides with what I'm going to show you here in a minute."
"YQV9mL3dPsE","119320","121760"," Let's talk about the trading day today."
"YQV9mL3dPsE","121760","127920"," What is interesting is as we started to sell down over here, I tried to make entry twice"
"YQV9mL3dPsE","127920","133520"," in this area and I got stopped out both times yesterday."
"YQV9mL3dPsE","133520","135840"," There was no news in the market yesterday."
"YQV9mL3dPsE","135840","141320"," What's interesting is these trading rooms I was in, everyone else was short down here."
"YQV9mL3dPsE","142040","146280"," I was long and I was long on Twitter."
"YQV9mL3dPsE","146280","151280"," The both rooms that I was in, everyone was short and they got destroyed."
"YQV9mL3dPsE","151280","156760"," If there's any bears out there saying that they made bank yesterday, I bet that most"
"YQV9mL3dPsE","156760","157960"," broke even at best."
"YQV9mL3dPsE","157960","162640"," They might have made a little bit but I know that a lot of bears got trapped in this area"
"YQV9mL3dPsE","162640","166680"," at the start yesterday."
"YQV9mL3dPsE","166680","169680"," This is where it gets weird or two."
"YQV9mL3dPsE","169680","173720"," Some bears that I tried to buy, there's a second time yesterday and some bears did"
"YQV9mL3dPsE","173720","174720"," as well."
"YQV9mL3dPsE","174720","178640"," If anyone out there is telling you that this did not look like a trend day yesterday, they're"
"YQV9mL3dPsE","178640","180680"," just straight lying to you."
"YQV9mL3dPsE","180680","187120"," That's part of what the title card in this video is about, is that this reversal that"
"YQV9mL3dPsE","187120","193360"," took place with zero news, I searched all over Twitter, I asked in three rooms that I'm part"
"YQV9mL3dPsE","193360","194360"," of."
