"start","end","text"
"900","2040"," Check one to you."
"2560","3640"," It's like we're alive."
"4580","5100"," Okay. "
"11810","12730"," That one too."
"19810","26420"," This is good."
"28600","38440"," Check one"
"38440","38680"," too. "
"49690","50970"," What's going on out there?"
"54160","55300"," Jared, how are you?"
"55560","56080"," Good to see you."
"56080","58600"," Yeah, I'm trying to make my way out of this."
"61520","62560"," Hold on here. "
"71980","73520"," This does matter."
"73900","82640"," And especially if you're a young trader, if you're a young trader, then this is for you."
"83520","87640"," This isn't every time, but you need to know about this. "
"87820","93000"," I can add a conversation with someone I think it was Sam."
"93240","93920"," I don't know if it was Sam."
"94040","103860"," It could have been somebody else, but we had a conversation about we got to stop everything here. "
"104100","114920"," So we're talking about being a young trader and being oblivious to"
"116360","118640"," basic shit, like just simple things."
"119000","122220"," Let me show you this one right here."
"123700","125640"," This is a fairly..."
"130290","131930"," We're going to simplify this though. "
"132830","135090"," So we're going to start with this right here."
"140320","142220"," It's fairly simple here."
"142560","142980"," Previous eye. "
"146600","148800"," Let me just turn that shit off."
"151700","153900"," So there's a fairly simple concept."
"154280","158900"," It's classic traditional charting, but it's still worthy to look at..."
"158900","161260"," I'm going to previous eye right here. "
"161540","162100"," It's today, right?"
"163280","170180"," You're always looking for you hear this called cup and handle and stuff, but truly know."
"170540","172880"," What you're really looking for here is this previous eye."
"173600","175080"," Time frame doesn't matter. "
"176680","178000"," So this is a one minute chart."
"178800","180160"," It was previous eye right here."
"180340","182660"," You're looking to see if that fails there. "
"184000","185280"," It's a previous eye."
"186060","188340"," Failure to get a new high, right?"
"189020","190800"," This would be a failure to get a new high."
"191560","195180"," And this shows weakness for bulls. "
"195580","196960"," You can do the same thing in the reverse too."
"197260","198720"," This works for bears as well."
"199460","209400"," Now if you get the new high, so if you if you don't have any of"
"209400","210680"," this yet here, okay?"
"211500","212760"," None of this is here yet. "
"215880","217660"," Okay, just pretend none of this is here."
"219220","220540"," Scratch all that out there."
"222020","226160"," What's important here is it's a one minute chart, right?"
"226880","229100"," So without seeing any of this shit over here. "
"230860","232260"," This is basic stuff, right?"
"232980","234260"," Get the previous eye right here."
"234420","237280"," You're looking to see if there's a failure to get this high."
"238360","242360"," This is showing the will of buyers waiting, right?"
"243080","243940"," Not good, right?"
"244160","245080"," You want to see a new high. "
"245160","246580"," If you're a bull, you want to see a new high."
"247900","249620"," So if you get the new high right here."
"252620","253840"," You don't want to short that. "
"255700","257420"," That's now I can go against you still."
"257500","259700"," We can still roll down and down this way."
"260240","264160"," But when you see the previous high get knocked out in a one minute chart, this is a one minute"
"264160","264600"," chart, right?"
"265360","266320"," It's showing strength. "
"267340","273620"," Now I can still back pull back, but you're going to expect an actual new high over here."
"274320","274840"," Does that make sense?"
"275500","277900"," The previous eye, you catch the new high."
"278360","281180"," Even if you get a pull back, the expectation is that you're going to go higher. "
"282380","286380"," And so the thumbnail this morning is about how to spot weakness."
"288500","290900"," Or just a pull back or strength, right?"
"291060","291780"," How do you spot it?"
"292320","295300"," And we can simplify this even more."
"296400","300940"," So I'm going to go to, let's see if I can go over here to this weebull chart here. "
"301520","303960"," I'm really going to bring up SPX or something."
"304200","304460"," Hold on."
"309760","313000"," These are fairly simple concepts, right?"
"313940","316020"," So here's SPX here. "
"317560","319580"," Now this is a 30 minute chart, right?"
"319800","323220"," Not a one minute chart, but you can see here you got the new high, right?"
"325680","331120"," And even on a 30 minute chart you see the failure to go back up and get the previous high"
"331120","331600"," right here."
"332720","334000"," Pretty simple stuff, right?"
"335640","337560"," Failure to get the new high right here."
"337620","338280"," What does that mean?"
"338900","341960"," It means if you get the failure to get the new high that we keep rolling down. "
"343740","350280"," Now a lot of you out there will try to say things like a lot of you out there will"
"350280","353300"," try to say things like, well, you should have known we're going all the way down here."
"355000","362180"," You'll see Elliott Waivers will say things like, you know, if this, then that, then if this, then"
"362180","362460"," that."
"362880","364960"," And that's not really good enough, right?"
"366320","367660"," You'll go against you. "
"367740","370880"," So you'll see things like an Elliott Waiver tell you, well, we're going all the way down here and"
"370880","373820"," then, you know, what ends up happening is we get the new high."
"374460","379060"," Then we just continue on to the right and you say, well, fuck, I hate that Elliott Waiver, right?"
"379840","381120"," I don't like that Elliott Waiver."
"381200","381740"," He got it wrong. "
"382780","388580"," The truth is that Elliott Waivers need to break out their erasers and stuff like that."
"388860","391160"," You need to know more than that as a trader."
"392840","394400"," As an investor and as a trader. "
"394720","397860"," So if you do see that failure you're going to expect more downside to come."
"397960","400960"," You see the failure again, more downside to come, right?"
"401680","407780"," Now, if we had gotten this previous high or if this had become a previous, we actually gone up"
"407780","407980"," here."
"408420","410840"," Got the new high, you'd actually expect a reversal to the upside. "
"410860","412060"," So it's important for you."
"413380","419240"," The key point here is that the matter who's out there telling you where we're going, you need to be"
"419240","423700"," able to identify if a reversal is shaping up or not."
"424000","425100"," Okay, that's the key point here. "
