"id","start","end","text"
"YcYAIGBKSPE","0","2000"," You"
"YcYAIGBKSPE","30000","32000"," You"
"YcYAIGBKSPE","60000","83000"," Hey, what's going on? How's everybody doing out there? Turn this off."
"YcYAIGBKSPE","84000","87000"," Whoo!"
"YcYAIGBKSPE","87000","91000"," Civic and move some stuff around here."
"YcYAIGBKSPE","91000","93000"," Wait a minute here, where am I going on here?"
"YcYAIGBKSPE","93000","97000"," Move this somewhere up there."
"YcYAIGBKSPE","103000","105000"," A bunch of stuff I gotta move here."
"YcYAIGBKSPE","105000","108000"," Good afternoon. Welcome."
"YcYAIGBKSPE","108000","111000"," How's everybody doing out there?"
"YcYAIGBKSPE","112000","115000"," Everybody doing all right? I was told that my."
"YcYAIGBKSPE","115000","118000"," I'm not loud enough for you guys out there, so."
"YcYAIGBKSPE","118000","121000"," I'm gonna turn up the volume today."
"YcYAIGBKSPE","121000","125000"," Burr baby Burr. How's everybody doing out there?"
"YcYAIGBKSPE","125000","131000"," Oh, how's everybody doing?"
"YcYAIGBKSPE","131000","133000"," What's going on?"
"YcYAIGBKSPE","133000","137000"," They got a few things they gotta do. Hold on here."
"YcYAIGBKSPE","137000","141000"," We got a few things they gotta do here. I gotta go from chop chat to live chat."
"YcYAIGBKSPE","141000","145000"," I got some stuff. We don't want to have the."
"YcYAIGBKSPE","145000","151000"," We don't want to have the Russian girls next door people in here, so we'll do"
"YcYAIGBKSPE","151000","155000"," subscribers only. Any duration save."
"YcYAIGBKSPE","155000","159000"," Supposedly I can do something with auto."
"YcYAIGBKSPE","159000","163000"," Like I can do something where it's like a auto-generated."
"YcYAIGBKSPE","163000","167000"," I don't know. It's like auto-generated subtitles or something."
"YcYAIGBKSPE","167000","171000"," Live commentary approved subscribers."
"YcYAIGBKSPE","171000","175000"," Okay. I don't see where I can do that. Supposedly I can do that here."
"YcYAIGBKSPE","175000","179000"," I just don't know where that is."
"YcYAIGBKSPE","179000","183000"," Wait a minute. Wait a minute. Let me see."
"YcYAIGBKSPE","183000","187000"," Let me see. Does anything down here?"
"YcYAIGBKSPE","187000","191000"," I'm looking."
"YcYAIGBKSPE","191000","195000"," Language and caption certification."
"YcYAIGBKSPE","195000","199000"," Nope."
