"start","end","text"
"2700","8220"," This leader is provided to permit the projectionist to complete adjustment of focus and sound level"
"8220","9900"," before the film begins."
"18100","24120"," This leader is provided to permit the projectionist to complete adjustment of focus and sound level"
"24120","25880"," before the film begins."
"137660","146540"," This leader is provided to permit the"
"157710","159330"," projectionist to complete adjustment of focus and sound level before the film begins. "
"159330","164840"," Good morning out there."
"165240","172500"," How's everybody doing?"
"172500","173540"," We've got our one above."
"173760","183500"," We just broke through the after hours high right here, tagged"
"183500","190300"," through that and now trading up to retest the high at 4.39. Oh, wait from yesterday. "
"191080","192460"," I'll just see that right here."
"193540","197720"," Yesterday's high at 4.39. I believe that's 08 or 06 somewhere up in here."
"199820","205480"," Tag yesterday's low before the close here and see that right there in premarket. "
"207960","212520"," I do need to let you know this morning that I'll give it a few minutes to see if I"
"212520","213420"," can make a pile in here."
"216040","217360"," Just a minute here."
"218800","220840"," There we go. "
"220900","221420"," Good morning everybody."
"221620","222160"," How's everybody doing?"
"224780","225420"," Excuse me."
"226760","229100"," Let's give a minute here for people to pile in. "
"240420","241400"," I'm about to close."
"241980","244380"," So I've got a bunch of options out there."
"244460","246220"," I've got some puts for the 20th. "
"246320","247740"," I've got 0-8 puts for today."
"248460","250940"," I've got 440 C's for Friday."
"250960","252720"," I'm about to sell those right now. "
"253280","255120"," Those are now 74 cents."
"255360","256880"," So many guys followed that trade yesterday."
"257579","259000"," I'm about to exit that trade. "
"259079","264200"," That's 440 C for Friday, the 16th."
"272820","275520"," I've got a puts for the 20th in here."
"275520","275720"," It's here. "
"278480","280920"," Puts for the 20th getting hammered right now."
"281760","284480"," I've got June 20th for 20 P's."
"284660","285960"," I think I'm going to leave those on. "
"286160","288520"," I think yesterday they were just dying."
"289300","291660"," I did buy those with profit last week."
"292380","296620"," And then the close yesterday added 4.31 P's for this morning. "
"297520","298840"," Those are fucking dead."
"298920","300020"," I think those are dead right now."
"300440","301640"," Let me just check those right now. "
"303120","305160"," They're at 3 cents, 4 cents."
"305340","307060"," I think I bought them at 15 cents yesterday."
"307980","311460"," But I am proposing for some profit on the 16th right now. "
"311620","314640"," So just heads up on that 440 C."
"315880","319480"," And then I did not buy 0-8s on this morning's bell."
"319860","321580"," I was a little late getting here this morning."
"321780","325020"," I was on the phone with, I have to do some meetings today. "
"325880","327760"," Tomorrow I will not be here."
"327880","328060"," I'm at."
"329140","337060"," At an office for the website kind of stuff that I'm doing. "
"338200","343500"," With some people that have to take a look at everything that we're launching to prove everything"
"343500","344380"," that kind of stuff."
"344980","347520"," But I'm getting caught up in some meetings today."
"347700","349140"," So the live stream will be on today. "
"349360","352200"," I'll be in the office today with you."
"352640","356900"," So if there's any like big moves in the market, anything like that, I will pop into the stream."
"357620","362500"," You likely see my camera here with me here, but I do have to take some phone calls this morning. "
"363580","366900"," Leading up into that meeting tomorrow that I have."
"366900","367600"," So I have no choice."
"368000","369260"," Now we're going to look at the market here. "
"370640","371780"," We're going to look at the market here."
"372080","373060"," What to expect here."
"374180","378720"," In the coming couple of weeks that we have coming up here because we have OPEC's. "
"378820","379500"," We've got Vixpiration."
"379920","382940"," We've got end of month flows, all that kind of stuff."
"383900","385880"," We have the digestion to go over. "
"385880","387560"," So this morning, I'll be here with you."
"387660","391160"," It's 9.55. They're probably taking about a half an hour to review this stuff with you."
"392360","397020"," What to expect in the next couple of weeks into the beginning of July, that kind of stuff. "
"400920","402980"," Get a nice new hot cup of coffee in front of me."
"403940","405540"," We're going to review that stuff today."
"407700","409220"," And how to trade it. "
"409380","410820"," We were talking about this yesterday."
"412660","416760"," Inside of this closed yesterday, we were talking about the close down here."
"418660","423180"," If we're above green, if we're below green, what to be doing, right?"
