"start","end","text"
"18700","19580"," Check one, two."
"24760","32400"," All right, so if you guys can see me out there, I'm just heads up."
"32560","33460"," I've got a thunderstorm. "
"33900","34660"," I walked outside."
"34920","36220"," I'm like, I want to go see what's going on outside."
"42440","53410"," So I'm just heads up that where I live, where"
"53410","53850"," I live. "
"54550","55510"," I'm having, I walked outside."
"55750","57370"," I'm like, is there construction going on outside?"
"58010","58410"," Well, I got side."
"58590","60050"," There's like a wall of black in the sky. "
"60830","64349"," So if you're tracking, if you're still with me right now, if you're tuning in real quick."
"65530","68950"," There's a, there's a high chance I'm going to lose power and internet."
"69570","70610"," It's like flashing. "
"70910","71550"," My lights are flashing."
"72030","72710"," My internet is flashing."
"74450","77450"," And more than likely I'm going to lose power at some point here. "
"77570","79470"," There's a massive thunderstorm coming through."
"80410","82890"," You're listening to trade the news."
"83130","83650"," Yeah, hold on here. "
"84110","85270"," Thanks for the trade, the news update."
"86610","87710"," Everything's coming back online."
"88530","89790"," Just, I promise, this isn't me. "
"93800","96120"," So we'll look real quick in case I lose you guys."
"96680","99480"," In case I lose you guys, I'm going to, in case I lose you guys."
"101560","107420"," If this, if it does shut off at some point, we're going to talk about the rest of the day. "
"107480","112820"," Okay, we're going to go over what, what my expectations are for the rest of the day in case we"
"112820","113800"," get lost here."
"114180","115620"," I want you to know two things."
"115760","115940"," Okay. "
"116840","118960"," I want you to know that there's volatility."
"121100","121960"," Right here, right?"
"122140","123660"," I want you to see this volatility, right?"
"123720","124680"," We broke above it, right?"
"124780","126620"," But I want you to see this right here specifically."
"127900","132480"," So these sellers, bears are going to try to step back in here, right?"
"133040","136900"," We know that there's, we know that these, there's sellers had a big red bar that we saw up here. "
"138000","139000"," And up in here, right?"
"140580","144000"," So just, just know that bears are going to start to reposition as we get up here."
"144760","149520"," Uh, know that we're still within our trading range to trade all at the 450."
"149560","151060"," We talked about that yesterday, right?"
"151400","153260"," Still in our trading range to even get up here. "
"153760","156100"," It's not abnormal for us to trade that high."
"156900","159340"," Don't feel like it is because it isn't on a larger timeframe."
"159400","164140"," You can see that, that we can easily trade up to 450. "
"164940","165340"," Right?"
"165500","167100"," We can easily break above here."
"168820","169880"," Just be aware of that."
