"start","end","text"
"2060","2980"," Let's see."
"15960","18000"," See if we're back on again."
"19240","20780"," Back on again. "
"24180","32360"," It's funny, I was just talking about how I just signed up for fiber."
"39100","40800"," Just signed up."
"41620","42460"," Save. "
"47470","47890"," Okay."
"51950","53310"," Oh, and the rude again."
"57710","58430"," Yeah, it's funny. "
"58590","60230"," I was just, I see some of your here."
"60450","60850"," You know, it's funny."
"61030","63349"," I was just talking to. "
"65410","70950"," You guys a few minutes ago, I now have fiber available to me."
"72370","74730"," So the difference with."
"78600","80940"," Oh, I got something I got to do here in the background. "
"84660","85920"," Yes, yeah."
"88020","90320"," Uh, one of the things that."
"91000","91840"," Drivers. "
"93880","96620"," That sucks about Xfinity is."
"98360","100840"," The choke upload."
"105520","109220"," Not choke, but it's not really truly fiber. "
"109760","112860"," You don't get the same, uh, clinical upload speeds."
"113500","114360"," Yeah, I'm back."
"114920","116000"," I still got you guys covered here. "
"116520","117420"," Then go nowhere."
"120060","124660"," But, uh, Xfinity internet really sucks balls."
"127220","129160"," Uh, it's really bad. "
"129160","134710"," A couple of things I got to do."
"139040","140380"," Share, click that."
"146020","146720"," Hold on here. "
"146860","147740"," A couple of things I got to do here."
"155120","155720"," Copy that."
"170700","174960"," And, uh, I went, maybe they were listening in when I said that when I, when I started talking,"
"175260","177920"," everybody started talking about, uh, I'm going to switch to fiber. "
"179180","180720"," They've got maybe they were listening."
"182440","185540"," And they're like, we're just going to cut your stream off right now."
"188370","189970"," We're going to kick you right in the teeth. "
"194600","196820"," See, uh, post that."
"197740","198180"," Okay."
"203080","205960"," Um, close that up, close that up. "
"208680","211380"," Make sure you get all this back up and running here just fine."
"213100","213540"," Sweet."
"213740","214500"," We're back on again. "
"215420","216100"," Yeah, it's weird."
"216280","224020"," I got up for, uh, got to take a leak and then, uh, it came back downstairs to change."
"224120","225220"," I was going to actually change. "
"226380","228880"," Uh, a scroller here that says I'm on break."
"232460","233980"," Uh, still bleeding right now."
"235640","237060"," The market's still bleeding. "
"238400","239680"," So I'm switching to fiber."
"241540","243360"," It's, uh, it's less expensive."
"246320","251040"," It gets, uh, the matching upload speeds, which is going to make a huge difference. "
"252320","253020"," It's a gig."
"253820","254960"," So I can't complain."
"256120","256920"," Less expensive. "
"257519","258040"," Say it again."
"260220","261400"," Which is always welcome."
"261720","265060"," And then I can, I can tell it's funny to go to, uh, can't swear. "
"265280","266440"," I'm trying not to swear as much."
"266440","269580"," But you guys know what I'm going to tell you, XFINITY, right?"
"270920","272580"," Here are the bane of my existence."
"273720","282090"," Always have been, you know, VIX is just kind of messing around right now. "
"282170","283310"," It's not really doing anything."
"284910","285550"," It's blow."
"285730","286690"," It's one in five minutes. "
"287670","291650"," Uh, this could lead to a relief rally here right now."
"291830","294810"," So if you are, so I'm long, uh, puts right now."
"295790","297650"," I'm thinking about closing them out. "
"297650","302370"," I'm at 98 cents right now and puts this looks like garbage."
"304850","307910"," Uh, one minute's looking like it's going to go down."
"308570","312030"," It's like right here just looking at this without knowing anything in the background. "
"312350","313410"," This looks kind of bearish."
"316070","319910"," I mean, I really want us to get down to like 410, 408."
"320810","322790"," Any of these targets down below here. "
"325940","327060"," Even 41066."
"327640","330220"," Like just give me a race to move."
"330220","331760"," This isn't even the move. "
"338380","340000"," You know, this isn't even the move from yesterday."
"340440","342640"," So this, this, this, uh, H line right here."
"344140","346060"," This is just the low from yesterday. "
"347240","351440"," Like, uh, or yesterday Friday before we closed the day."
"352340","354660"," This is, uh, the low of the day."
"355940","359220"," So this is the previous low, I guess on Friday. "
"359500","360680"," This is the low of Friday."
"363540","369620"," Um, we're not asking for too much here."
"375150","378370"," So I'd like to close these puts out if possible at some point. "
"385760","387920"," Bears haven't had much follow through, right?"
"388400","389960"," You can see that this is supportive."
"390320","397460"," Even if we go down here, if we go down here, go down here, go down a 408, you can"
"397460","399600"," see the market's still very supportive here."
"399940","403680"," So I would temper your expectations if you're a bear. "
"410100","412700"," You know, not a trend down day in any way, shape or form."
"421720","423980"," So if you wanted to close your puts there, I don't blame you."
"423980","427920"," Uh, the market is supportive. "
"436640","438500"," Hey, uh, cheap here."
"438700","440200"," Thank you very much for supporting the channel."
"440200","440940"," I appreciate it. "
"443040","448140"," I try to find, uh, if you, if you support directly through PayPal, every Friday, I try to give a"
"448140","448900"," shout out to you guys."
"465050","467030"," Probably going to get a decent squeeze out of this."
"467150","483600"," If you want to get some calls, I'm flat"
"483600","484160"," right now. "
"490720","505540"," If you're looking for the next roll over, look for"
"505540","507320"," it back on that hourly trigger again."
"512929","514169"," Somewhere up in here."
"519120","522140"," We're going to get long on some puts that somewhere up in here. "
"531130","532650"," Just dog day trading."
"548320","554200"," Kind of hoping here that we get this bigger move down right in here."
"554440","555220"," Somewhere right in here. "
"565770","567550"," I still want to make head sodas."
"568270","569230"," I'm going to get in trouble for that."
"570930","575220"," It tastes good though. "
"577580","579000"," I don't drink soda."
"579240","580860"," That's like pure sugar."
"581580","589310"," Oh, that's fire. "
"600640","603680"," We'll take a look at some, uh, reports going on."
"603780","606520"," We've got more bank reports after the close today."
"606980","608660"," We've got JB Hunt reporting. "
"610380","614340"," We have some stuff to talk about a bunch of stuff we haven't talked about yet."
"617740","619440"," I'm going to post something for you."
"619440","621640"," I'm going to put a bunch of talk about here. "
"621840","624300"," I'm going to get a bunch of stuff out there."
"637270","642450"," Now, if you like to produce content, I have something for you."
"643370","647230"," If you want to seem like you're, you know what you're doing. "
"649970","651850"," Let me see if I can find this here."
"674580","675840"," I can't complain here too."
"675980","677500"," This is like 100% trade for me. "
"677720","679660"," Or close to, I think it's like an 80% trade."
"679660","683480"," I can't complain here."
"691350","693270"," What am I looking for here?"
"694090","699890"," Why is it not coming up?"
"713070","713950"," Right here. "
"714150","716590"," So squeezing right now."
"721380","724360"," So I'm going to post a link for you guys."
"727560","729040"," With a caveat here. "
"729500","729920"," So."
"730800","731740"," Hey, biggie."
"731820","732240"," Thanks, man. "
"733520","734400"," Appreciate it, brother."
"739180","742420"," I'm going to post the link for you guys to read through here."
"745300","749440"," Now I'm going to, I'm going to preface this and I'm going to tell you. "
"750740","753240"," There's 900 comments in that post."
"755440","762060"," What is the key in that post is that I just gave to you."
"762140","763600"," Open that up in a screener at home or something. "
"764440","772440"," What's key in that post is you have a lot of people commenting that work in the film and television"
"772440","773200"," industry."
"774880","780500"," And so this isn't like you and I saying, yeah, TV shows suck and movies suck."
"781440","785000"," These are below the line. "
"787430","790890"," Production staff commenting on the union."
"791830","795490"," The writers guild of Hollywood of California."
"796410","798530"," And they are openly discussing. "
"799790","801190"," The writers strike."
"802250","805190"," And it's impact on film and TV."
"806010","812610"," And there's some neat stuff in there too about the rise of social media streaming services. "
"813250","817590"," Why TV show seasons are canceled after season two."
"818330","819490"," And then also."
"820890","821930"," Stuff like that. "
"822030","824270"," That's all cool stuff, but the really neat stuff."
"824790","826130"," Has to do with."
"828190","828830"," Seasonally. "
"830530","832250"," For seasonally speaking."
"833450","839070"," A lot of movie filming and a lot of movies and TV shows are the season is ending right now."
"840170","841490"," And with discussion. "
"842330","844270"," Discussion taking place on."
"847790","850190"," Or there's discussion taking place on."
"850990","852250"," That's multi fold. "
"854150","855630"," It talks about."
"856590","863550"," How there are no new productions starting for TV or movies like they would normally begin a new"
"863550","866150"," season or starting or planning a new season."
"866690","869710"," That a lot of writers and other. "
"870870","874610"," Services are don't have work lined up for the summertime."
"875030","877850"," That a lot of productions are not starting."
"878530","879530"," We might have a."
"879690","881150"," A dearth at some point. "
"881630","882130"," We're not a dirty."
"883350","889310"," Now we had less production movie TV show production during COVID could be entering that again and"
"889310","890430"," they discuss historically."
"891070","893370"," That there was one comment talking about how. "
"894110","898070"," There used to be 10 soap operas on TV that went down a four or five during the last writer"
"898070","898490"," strike."
"898990","902830"," They also talk about the timing of the last writer strike versus the timing."
"903270","904390"," This writing strike. "
"908840","914460"," That they're not Hollywood is doing well right now in terms of timing the strike."
"915020","915960"," But it does discuss."
"916860","918300"," Over time what will happen. "
"918960","919800"," We'll see it."
"919980","921320"," We'll see a time period."
"921980","923840"," And movie and TV production will be a lag. "
"924060","926500"," We will be missing movies TV shows."
"928220","931120"," Coming to you to consume."
"933060","935340"," And there was also discussion if other. "
"936040","938160"," Services would go on strike with the writers."
"939200","940920"," But it might be something worth."
"942080","945500"," Looking back on the last writer strike that we had. "
