"id","start","end","text"
"ZQjD2wCOVGQ","0","8440"," Good morning traders, Captain Jim James here, just got my coffee out so I'm still a little"
"ZQjD2wCOVGQ","8440","9960"," slow at this point."
"ZQjD2wCOVGQ","9960","15000"," But we are going to talk about a few things."
"ZQjD2wCOVGQ","15000","20280"," First of all, when I make videos for you, I'm not charging you 500 bucks for a course"
"ZQjD2wCOVGQ","20280","23400"," or a subscriptionary, that kind of stuff, right?"
"ZQjD2wCOVGQ","23400","29320"," So I don't have an army of guys that can help me to put together all this due diligence"
"ZQjD2wCOVGQ","29320","30320"," every day."
"ZQjD2wCOVGQ","30320","39080"," I don't sell subscriptions, so I don't create fluff to make videos about to get to the point"
"ZQjD2wCOVGQ","39080","41880"," of you to understand why and where we're at."
"ZQjD2wCOVGQ","41880","49280"," Pretty much come to you with the due diligence already done, snap some lines to confirm and"
"ZQjD2wCOVGQ","49280","53440"," then put a video out for you, and I make it simple because, you know, I don't get paid"
"ZQjD2wCOVGQ","53440","54440"," for this."
"ZQjD2wCOVGQ","54440","58880"," If I got paid for this, I would do that stuff for you because that would pay for that to"
"ZQjD2wCOVGQ","58880","59880"," be done, right?"
"ZQjD2wCOVGQ","59880","61600"," Anyways, I guess that's possible."
"ZQjD2wCOVGQ","61600","63760"," I can start charging if you want to be too."
"ZQjD2wCOVGQ","63760","71360"," I don't know why though, just take the videos and consume them, I guess, right?"
"ZQjD2wCOVGQ","71360","74160"," Or compare them to what other people are telling you."
"ZQjD2wCOVGQ","74160","78920"," Now this is a neat morning though, and because I want to talk to you about something that"
"ZQjD2wCOVGQ","78920","83520"," happened earlier, and we're going to look here at the 24th."
"ZQjD2wCOVGQ","83520","87640"," I said it was the 29th on Twitter, but it was the 2024th."
"ZQjD2wCOVGQ","87640","92720"," This is an interesting date because before this, I could put this, before I could put"
"ZQjD2wCOVGQ","92720","100000"," this up a resistance in, right, I already knew about this, look here to the left, right?"
"ZQjD2wCOVGQ","100000","104200"," I already knew about this top over here, but I also knew about this next one right below"
"ZQjD2wCOVGQ","104200","105200"," it."
"ZQjD2wCOVGQ","105200","110840"," And I knew that if we were to break above this top right here at the end of the day on"
"ZQjD2wCOVGQ","110840","114840"," the 22nd, that volatility would come into play."
"ZQjD2wCOVGQ","114840","121240"," When that volatility comes into play, the reaction is typically violent, and in a low"
"ZQjD2wCOVGQ","121240","123840"," liquidity environment, it can be very violent."
"ZQjD2wCOVGQ","123840","131000"," So back here, right towards the end of the 23rd, I was asking, or not the 23rd, right"
"ZQjD2wCOVGQ","131000","135120"," here at the end of the 24th, I was asking people on Twitter, I was hoping that we would"
"ZQjD2wCOVGQ","135120","142760"," get a dip into close and possibly even in after hours so that we wouldn't trigger that"
"ZQjD2wCOVGQ","142760","145600"," volatility in the overnight."
"ZQjD2wCOVGQ","145600","147800"," And nine times out of 10, we don't, right?"
"ZQjD2wCOVGQ","147800","154000"," We will dip down, we'll come back up, and the game is played fairly, right?"
"ZQjD2wCOVGQ","154000","161280"," Now, everything changed this night because I did buy Smuff D's down right at the bottom"
"ZQjD2wCOVGQ","161280","168240"," down here, and I went to bed, everything was great, and then I noticed that in the overnight,"
"ZQjD2wCOVGQ","168240","176560"," we went up crazy, it was like 0.5, 0.6, 0.7% until like 12 or 1 o'clock in the morning,"
"ZQjD2wCOVGQ","176560","181440"," and of course we triggered the volatility, and in a low liquidity environment, you saw"
"ZQjD2wCOVGQ","181440","184840"," what happened, it just dropped, okay?"
"ZQjD2wCOVGQ","184840","190880"," And that's important to know, and it was important to know moving forward from that point of"
"ZQjD2wCOVGQ","190880","194840"," what was going on in the market, okay?"
"ZQjD2wCOVGQ","194840","196280"," So this was important."
"ZQjD2wCOVGQ","196280","201360"," And now we're going to move forward to where we are right now, and what's important about"
"ZQjD2wCOVGQ","201360","203360"," what happened yesterday."
"ZQjD2wCOVGQ","203360","209320"," I talked to you, or to some of you on Twitter, until Joe exactly where to sell your longs."
"ZQjD2wCOVGQ","209320","216400"," I think I said it two, three times, I even went into my comment sections to beg people"
"ZQjD2wCOVGQ","216400","222600"," that I follow, people that follow me, please sell their longs, I think it was moments before"
"ZQjD2wCOVGQ","222600","223600"," we ricocheted."
"ZQjD2wCOVGQ","223680","228640"," And that's because although I have this yellow line here, we know where volatility is, we"
"ZQjD2wCOVGQ","228640","232880"," know where sellers are hiding, almost exactly where they're hiding."
"ZQjD2wCOVGQ","232880","239160"," Now, yesterday, as we sold off down here, I actually did put some spreads on, but I gave"
"ZQjD2wCOVGQ","239160","244200"," some time to them, and even earlier in the day, I posted some spreads with time on them"
"ZQjD2wCOVGQ","244200","252080"," to show that even if we dipped down lower, either yesterday or in future days, that it"
"ZQjD2wCOVGQ","252080","254160"," would give you the time for a recovery."
"ZQjD2wCOVGQ","254160","259080"," Now, the interesting part about that is the reason why I posted some spreads with a swing"
"ZQjD2wCOVGQ","259080","264160"," underneath was because if we got picked up in this area here, right, where liquidity"
"ZQjD2wCOVGQ","264160","267440"," should be, well, it starts to be here yet yesterday, it started to be right around this"
"ZQjD2wCOVGQ","267440","268440"," 457."
"ZQjD2wCOVGQ","268440","275760"," But anywhere from 460 to 455, zero, we should have had great liquidity here yesterday."
"ZQjD2wCOVGQ","275760","281160"," So my thought process was, well, we could probably still continue down the next day or"
"ZQjD2wCOVGQ","281200","286160"," into Friday, so we'll put some time on that so they swing back up after that event takes"
"ZQjD2wCOVGQ","286160","287160"," place."
"ZQjD2wCOVGQ","287160","293800"," Well, instead, what happened yesterday was someone, an entity that knows how to manipulate"
"ZQjD2wCOVGQ","293800","302080"," the market came in and maxed out zero-day puts in this moment here, and when this took"
