"id","start","end","text"
"Znnmv-LRKj0","0","5000"," Good evening."
"Znnmv-LRKj0","5000","10000"," This is Captain Jim James with a special report tonight for August 18, 2021."
"Znnmv-LRKj0","10000","17000"," I, it, well, if you made money today or if you have not lost any money or you're,"
"Znnmv-LRKj0","17000","21000"," if you're an old trader or you don't really lose money in events like today,"
"Znnmv-LRKj0","21000","25000"," you might just want to skip forward to where you get into the nitty gritty details."
"Znnmv-LRKj0","25000","28000"," But if you lost money today, stick around."
"Znnmv-LRKj0","28000","31000"," We're going to demystify the stock market."
"Znnmv-LRKj0","31000","38000"," We're going to take your fair away from market crashes or anything that you hear out there"
"Znnmv-LRKj0","38000","42000"," about the dangers of trading and how you lose, lose everything, right?"
"Znnmv-LRKj0","42000","47000"," We're going to go ground, not ground zero, but in recent history, ground zero."
"Znnmv-LRKj0","47000","51000"," We're going to talk about events like this."
"Znnmv-LRKj0","51000","54000"," We're going to talk about how to protect yourself."
"Znnmv-LRKj0","54000","59000"," We're going to talk about how to capitalize on these, on these events."
"Znnmv-LRKj0","59000","63000"," Okay. So if you've been trading forever, you don't, you didn't lose anything changed"
"Znnmv-LRKj0","63000","66000"," from making bank all week, just move on down the line."
"Znnmv-LRKj0","66000","72000"," This is mostly, or move on down to the end of this video."
"Znnmv-LRKj0","72000","78000"," For any of you that have lost your shirts today, especially new traders or traders that are always losing"
"Znnmv-LRKj0","78000","83000"," or not making consistent profit, this video, the beginning of it is for you."
"Znnmv-LRKj0","83000","86000"," Okay. So let's get started."
"Znnmv-LRKj0","86000","89000"," We're going to go way back, not way back."
"Znnmv-LRKj0","89000","95000"," We're not going to go back to the 1920s and 30s, but we are going to look at in 2000."
"Znnmv-LRKj0","95000","102000"," I have been seeing comments on Twitter recently talking about how the markets were more difficult"
"Znnmv-LRKj0","102000","107000"," in the past and how people don't remember how hard it was to trade in the past."
"Znnmv-LRKj0","107000","110000"," And I've been trading for a long time."
"Znnmv-LRKj0","110000","114000"," And I have never found these markets difficult."
"Znnmv-LRKj0","114000","118000"," Whatever is presented in front of you, it can be traded."
"Znnmv-LRKj0","118000","122000"," So when I hear those things, it kind of bothers me."
"Znnmv-LRKj0","122000","127000"," And it's very disrespectful to traders that have traded for a long time."
"Znnmv-LRKj0","127000","132000"," Traders have made their money in these markets for hundreds and hundreds of years."
"Znnmv-LRKj0","132000","135000"," Anyways, we'll move on from that little rant."
"Znnmv-LRKj0","135000","139000"," We want to look back to the .com bubble."
"Znnmv-LRKj0","139000","141000"," I think it was in March."
"Znnmv-LRKj0","141000","146000"," It was like March 13th or something, March 15th."
"Znnmv-LRKj0","146000","151000"," The March 13th, 2000 is when we had the .com crash."
"Znnmv-LRKj0","151000","159000"," And it's an important history lesson in how much value was lost."
"Znnmv-LRKj0","159000","166000"," Well, this is the S&P mini, but in the composite, across all indexes in our stock market, right?"
"Znnmv-LRKj0","166000","169000"," And people lost fortunes."
"Znnmv-LRKj0","169000","182000"," But what's often not talked about in the .com crash and many other crashes is how much money is made in those crashes on both sides of the crash."
"Znnmv-LRKj0","182000","189000"," This not only involves the fall of the market, but the spikes as well."
"Znnmv-LRKj0","189000","196000"," So if you look inside of just this chart, if you look closely in this screen right here, you can get a little bit closer."
"Znnmv-LRKj0","196000","210000"," If market participants know that the market is going down, a lot of these, the shorts aren't so much, but the options are very much so priced in so that you don't make max gains."
"Znnmv-LRKj0","210000","220000"," It's not like you're going to either, and it's not like you're going to buy puts up here at the top, dated a year out, and those are going to just print heavy all the way down."
"Znnmv-LRKj0","220000","224000"," The market makers devalue options over time."
"Znnmv-LRKj0","224000","227000"," There are strategies to mitigate that."
"Znnmv-LRKj0","227000","231000"," If you had bought some spreads dated this far out, those would print heavy."
"Znnmv-LRKj0","231000","241000"," But if you look at spreads that are dated one, two, three, four years out, they might make you five hundred, ten thousand percent."
"Znnmv-LRKj0","241000","246000"," They really don't make you the money that's made within these weeks or days."
"Znnmv-LRKj0","246000","252000"," You know, when you see this crash here and we go down, let's say we start up here and we were at 1550, right?"
"Znnmv-LRKj0","252000","256000"," And then we go all the way down here to this 1287 mark."
"Znnmv-LRKj0","256000","267000"," You know, there's a lot of profit in here, but then when you look down below here, this 1263, when we shot back up to 1409, that was an unexpected move, right?"
"Znnmv-LRKj0","267000","271000"," If you didn't know that that was if we were going to have a spike in the market."
"Znnmv-LRKj0","271000","277000"," So there was a lot of money to made even on the way down as a bull in this market over time."
"Znnmv-LRKj0","278000","286000"," And even looking at a long time frame on a chart, you could see where this bottom was going to bottom, right?"
"Znnmv-LRKj0","286000","291000"," You could pull this chart out way back in 2000 and know where you'd find bottom."
"Znnmv-LRKj0","291000","298000"," But my point is that even within a market falling, there is a lot of money to be made as a bull."
"Znnmv-LRKj0","298000","303000"," And there's a lot of money switching over to a bear to being a bear, okay?"
"Znnmv-LRKj0","303000","315000"," So when you have a day like today that was down, if you watch any of my previous videos, we stopped being long in this market when I started making these videos."
"Znnmv-LRKj0","315000","318000"," And we'll talk about that further down in this timeline."
"Znnmv-LRKj0","318000","324000"," But my point is that you should remember is a few things."
"Znnmv-LRKj0","324000","331000"," One, when a market goes down, sometimes there's more money to be made in the way back up than there is in the way down,"
"Znnmv-LRKj0","331000","334000"," especially after it's known that the market is going down."
"Znnmv-LRKj0","334000","340000"," Once it's known that we're heading down, there isn't as much value as you start to head down."
"Znnmv-LRKj0","340000","347000"," Now, when you come back up, there's a lot of money to be made on this downward pattern, okay?"
"Znnmv-LRKj0","347000","349000"," And we're going to talk about that."
"Znnmv-LRKj0","349000","353000"," And we're also going to talk about where we should be buying in a market, right?"
"Znnmv-LRKj0","353000","356000"," We always say don't be buying or we're heading towards the top."
"Znnmv-LRKj0","356000","359000"," You always want to be buying down here, right?"
"Znnmv-LRKj0","359000","361000"," This is where safety is."
"Znnmv-LRKj0","361000","366000"," So when you see a day like today where we're down, and I'll show you that right now, we'll go over there,"
"Znnmv-LRKj0","366000","369000"," when you can see on this one-year chart, right?"
"Znnmv-LRKj0","369000","376000"," You know, I got long here, got long here, got long here, and here, and here, and here, and here, and here."
"Znnmv-LRKj0","376000","383000"," And I made money each time we went down here with little to no worries, okay?"
"Znnmv-LRKj0","383000","388000"," When we're down here, and I go long for a period of time."
"Znnmv-LRKj0","388000","396000"," Let's say I start buying positions that are one month out, one week out, two months, three months out."
"Znnmv-LRKj0","396000","401000"," If I can put more risk on, I don't have to worry about it as much."
"Znnmv-LRKj0","401000","404000"," And they almost always print, right?"
"Znnmv-LRKj0","404000","406000"," They almost always print."
"Znnmv-LRKj0","406000","412000"," So if you had just been patient this year, or let's go all the way back to November of last year,"
"Znnmv-LRKj0","412000","414000"," so we're in August right now, right?"
"Znnmv-LRKj0","414000","416000"," We're going to take the auto off here."
"Znnmv-LRKj0","416000","419000"," We're going to look at where we are right now last year."
"Znnmv-LRKj0","419000","421000"," So this is September right here."
"Znnmv-LRKj0","421000","423000"," Here's September, right?"
"Znnmv-LRKj0","423000","425000"," And here's August."
"Znnmv-LRKj0","425000","432000"," And let's say we dip down here in September 25th, we could have bought this dip and had no worries,"
"Znnmv-LRKj0","432000","435000"," even if the market was heading down."
"Znnmv-LRKj0","435000","437000"," Same thing goes for November."
"Znnmv-LRKj0","437000","438000"," This is October, I think."
"Znnmv-LRKj0","438000","440000"," You didn't have to worry about it."
"Znnmv-LRKj0","440000","447000"," And this time here in November and December, this is what's considered like a holiday run, right?"
"Znnmv-LRKj0","447000","450000"," This is where the market gives back to everybody."
"Znnmv-LRKj0","450000","455000"," You can pretty much, not always, but you know, seven out of nine, eight out of ten years."
"Znnmv-LRKj0","455000","457000"," You're going to get this holiday run."
"Znnmv-LRKj0","457000","458000"," This is fruitful."
"Znnmv-LRKj0","458000","462000"," You can pretty much buy down here in November and hold all the way up to them."
"Znnmv-LRKj0","462000","464000"," I think this is the first or something."
"Znnmv-LRKj0","464000","466000"," Right before New Year's, you get rid of everything."
"Znnmv-LRKj0","466000","468000"," You take your gains and you walk away."
"Znnmv-LRKj0","468000","473000"," I even think only retail's involved in this last month of November."
"Znnmv-LRKj0","473000","475000"," Maybe it's December."
"Znnmv-LRKj0","475000","478000"," But anyways, market sells off in January."
"Znnmv-LRKj0","478000","480000"," You can buy this bottom again."
"Znnmv-LRKj0","480000","485000"," If you had just bought these bottoms, this year, you would not have to work."
"Znnmv-LRKj0","485000","487000"," This is one whole year."
"Znnmv-LRKj0","487000","489000"," You don't have to work."
"Znnmv-LRKj0","489000","490000"," You don't have to play."
"Znnmv-LRKj0","490000","491000"," You don't have to day trade."
"Znnmv-LRKj0","491000","493000"," You don't have to buy month, please."
"Znnmv-LRKj0","493000","495000"," You don't have to follow underneath FOMO."
"Znnmv-LRKj0","495000","498000"," You can just buy these things down here."
"Znnmv-LRKj0","498000","502000"," Print your check and go do anything that you want to do."
"Znnmv-LRKj0","502000","508000"," And so people like me are always looking for these moments where the market falls off."
"Znnmv-LRKj0","508000","511000"," And we stopped getting long somewhere up in here."
"Znnmv-LRKj0","511000","515000"," So I want to say it was, yeah, somewhere in July, early August, I stopped."
"Znnmv-LRKj0","515000","517000"," I got long once more."
"Znnmv-LRKj0","517000","519000"," But even then I was selling them."
"Znnmv-LRKj0","519000","521000"," You can go on my Twitter."
"Znnmv-LRKj0","521000","526600"," And I'm selling out of these positions, even going long, like a week, two weeks in, taking"
"Znnmv-LRKj0","526600","528000"," my money and running."
"Znnmv-LRKj0","528000","533320"," And then I've been day trading with a lot of other people on Twitter where we can't hold"
"Znnmv-LRKj0","533320","536000"," anything for any length of time."
"Znnmv-LRKj0","536000","538800"," There's always danger, always."
"Znnmv-LRKj0","538800","544000"," And even this morning, I made a post on Twitter that said that I had closed all my longs."
"Znnmv-LRKj0","544000","546000"," And I had been making some serious cash."
"Znnmv-LRKj0","546000","549000"," I made some serious cash on the spy."
"Znnmv-LRKj0","549000","555000"," I made some serious cash shorting, IWM, NDX."
"Znnmv-LRKj0","555000","560000"," And then I made some bank on spy on calls and made some bank on Tesla on calls."
"Znnmv-LRKj0","560000","565000"," When people are always asking me, or telling me, don't enter this position."
"Znnmv-LRKj0","565000","569000"," And then they're telling me, why aren't you staying in this position?"
"Znnmv-LRKj0","569000","576000"," So I'm pretty consistently being asked at the wrong time when to be, why am I buying and"
"Znnmv-LRKj0","576000","578000"," why am I selling, right?"
"Znnmv-LRKj0","578000","581000"," So there's a time when everyone is fearful, right?"
"Znnmv-LRKj0","581000","584000"," That I'm the one that's buying, no one else is buying."
"Znnmv-LRKj0","584000","589000"," And then there are times when there's FOMO and people are wondering, they're asking me,"
"Znnmv-LRKj0","589000","595000"," today I got asked maybe 20 times, are you going to go long here with Tesla into tomorrow?"
"Znnmv-LRKj0","595000","596000"," And I'm not."
"Znnmv-LRKj0","596000","597000"," And I didn't."
"Znnmv-LRKj0","597000","602000"," I went long in Tesla yesterday when they were testing their lower support."
"Znnmv-LRKj0","602000","607000"," And I exit those plays right now because we were at the top of a market."
"Znnmv-LRKj0","607000","614000"," You can't stay in those plays longer than the fuel that's in them that run them, right?"
"Znnmv-LRKj0","614000","617000"," They run and you have to get out."
"Znnmv-LRKj0","617000","619000"," Now let's say down here, I bought Tesla."
"Znnmv-LRKj0","619000","622000"," This is ES, but let's say I bought Tesla down here."
"Znnmv-LRKj0","622000","625000"," And I bought a long call that was two, three months out."
"Znnmv-LRKj0","625000","633000"," I wouldn't, I would give more leeway to that call losing some value with the anticipating"
"Znnmv-LRKj0","633000","636000"," that we were in a bullish trend going up."
"Znnmv-LRKj0","637000","642000"," And Matt, I wouldn't lose too much money on that down day or down half a day."
"Znnmv-LRKj0","642000","648000"," So my point is this, right now today we started to come down."
"Znnmv-LRKj0","648000","656000"," Now we are seasonally going to continue to go down as we head into September and October."
"Znnmv-LRKj0","656000","660000"," Now this does not mean that we won't go up in this timeframe either."
"Znnmv-LRKj0","660000","668000"," And looking at ES where it is right now, we are pretty close here to start taking on some long positions."
"Znnmv-LRKj0","668000","676000"," Now at the end of the day I had someone with like two followers probably a ghost account for some asshole on Twitter."
