"id","start","end","text"
"_5SdcLHTzXQ","0","18220"," the"
"_5SdcLHTzXQ","18220","23560"," check on two mike check"
"_5SdcLHTzXQ","23560","29840"," Don't over trade today, a key for today."
"_5SdcLHTzXQ","29840","34960"," Do not over trade today."
"_5SdcLHTzXQ","34960","37960"," Check one two."
"_5SdcLHTzXQ","37960","40320"," Good morning everybody."
"_5SdcLHTzXQ","40320","45560"," I got some good news today."
"_5SdcLHTzXQ","45560","46560"," Good morning."
"_5SdcLHTzXQ","46560","53400"," I hope nobody is over trade this morning."
"_5SdcLHTzXQ","53960","55000"," Good morning out there."
"_5SdcLHTzXQ","55000","59560"," I hope everybody is doing well this morning."
"_5SdcLHTzXQ","59560","60560"," Welcome to the program."
"_5SdcLHTzXQ","60560","62440"," I hope everybody is out there doing very well this morning."
"_5SdcLHTzXQ","62440","66000"," Hope you're not over trading this morning."
"_5SdcLHTzXQ","66000","67880"," That was one of my fairs, believe it or not."
"_5SdcLHTzXQ","67880","69120"," I was going to get on at 9.30."
"_5SdcLHTzXQ","69120","69960"," I'm like, fuck this."
"_5SdcLHTzXQ","69960","72440"," I'm like, I know exactly what's going to happen."
"_5SdcLHTzXQ","72440","73360"," People get over trade."
"_5SdcLHTzXQ","73360","76200"," I hope that if you were in calls that you took profit"
"_5SdcLHTzXQ","76200","81960"," at the bell, I posted that for you this morning,"
"_5SdcLHTzXQ","81960","84320"," that I was taking profit on that bell this morning."
"_5SdcLHTzXQ","84320","86080"," I hope that you did as well."
"_5SdcLHTzXQ","86080","89360"," Hope you got that text or that text, that DM this morning,"
"_5SdcLHTzXQ","89360","91120"," that DM that post this morning."
"_5SdcLHTzXQ","94080","95560"," Hope everybody is doing well out there."
"_5SdcLHTzXQ","95560","97920"," Hope everybody got that DM this morning"
"_5SdcLHTzXQ","97920","99240"," where I said I was telling on the bell."
"_5SdcLHTzXQ","99240","103560"," Hope you sold on the bell if you were along this market."
"_5SdcLHTzXQ","103560","105840"," Welcome."
"_5SdcLHTzXQ","105840","107080"," Pile in here, get in here."
"_5SdcLHTzXQ","107080","107840"," Good morning, everybody."
"_5SdcLHTzXQ","107840","108920"," Happy FOMC day."
"_5SdcLHTzXQ","108920","111400"," This is a big day for a lot of people in the market."
"_5SdcLHTzXQ","111400","113440"," It's a huge day."
"_5SdcLHTzXQ","113440","114840"," They might not tell you that on Twitter,"
"_5SdcLHTzXQ","114840","118520"," but if you're a finance guy or gal or them or whatever,"
"_5SdcLHTzXQ","118520","122360"," they trust us a big day for people in the market,"
"_5SdcLHTzXQ","122360","124560"," so they look forward to this day."
"_5SdcLHTzXQ","124560","126480"," Big day for the bears today as well."
"_5SdcLHTzXQ","129600","131040"," I got some good news for you too."
"_5SdcLHTzXQ","131040","132240"," Hope everybody is doing well this morning."
"_5SdcLHTzXQ","132240","133440"," Let's not go through real quick."
"_5SdcLHTzXQ","133440","134800"," This is a special day, right?"
"_5SdcLHTzXQ","134800","137960"," I'm going to say hello to Gerald, Ed, Jafar, Pazon."
"_5SdcLHTzXQ","137960","138800"," Biggie, baby."
"_5SdcLHTzXQ","138800","140200"," Good to see you, Christian."
"_5SdcLHTzXQ","140200","141280"," Good to see you, Dan."
"_5SdcLHTzXQ","141280","142360"," All the regulars are in here."
"_5SdcLHTzXQ","142360","147720"," Matthew, Gerald, B.D., Dylan, Steve, Ravi, Harushi, Wolf,"
"_5SdcLHTzXQ","147720","150880"," got him up one bucks."
"_5SdcLHTzXQ","150880","152800"," Good morning to you, Binky."
"_5SdcLHTzXQ","152800","153840"," We already said hi to Binky."
"_5SdcLHTzXQ","153840","158120"," Iden, Brandon, Ryan, Jeff, Clap, and Konstantinos, Jeremy"
"_5SdcLHTzXQ","158120","158800"," Winky."
"_5SdcLHTzXQ","158800","160120"," What's up, brother?"
"_5SdcLHTzXQ","160120","165200"," Fisted, John, Soprito, Chris, Brandon, Ed, Corey, Ben"
"_5SdcLHTzXQ","165200","166560"," God, free good to see you too."
"_5SdcLHTzXQ","166560","167480"," Come read the loan."
"_5SdcLHTzXQ","167480","169240"," Good to see you."
"_5SdcLHTzXQ","169240","170720"," Joe, Nick, Al, Christian."
"_5SdcLHTzXQ","170720","171640"," Everybody's here, right?"
"_5SdcLHTzXQ","171640","174200"," Brad, good to see you, my brother."
"_5SdcLHTzXQ","174200","176200"," Ed, Medford guy."
"_5SdcLHTzXQ","176200","178160"," The Medford guy is here from Massachusetts."
"_5SdcLHTzXQ","178160","178800"," Oh, fuck."
"_5SdcLHTzXQ","178800","181640"," We're all fucked if the Massels are here."
"_5SdcLHTzXQ","181640","182200"," Good morning."
"_5SdcLHTzXQ","182200","183200"," I should have said that, right?"
"_5SdcLHTzXQ","183200","184440"," I said a fuck in the first minute."
"_5SdcLHTzXQ","184440","186600"," I'm going to get demonetized if I am demonetized."
"_5SdcLHTzXQ","186600","189040"," I'm going to delete that beep."
"_5SdcLHTzXQ","189040","192280"," Biggie, Tom Pacheco, James."
"_5SdcLHTzXQ","192280","193920"," Charlie, Bliden, Estelle, Cog."
"_5SdcLHTzXQ","193920","195320"," Everybody's here this morning."
"_5SdcLHTzXQ","195320","197920"," Wow."
"_5SdcLHTzXQ","197920","200320"," He just closed some calls on some individual names."
"_5SdcLHTzXQ","200320","202000"," Garrett, good morning, SOS."
"_5SdcLHTzXQ","202000","206080"," Shint took James, Dejan, Chase, good morning, Michael."
"_5SdcLHTzXQ","206080","208360"," Danny, we have some time here this morning."
"_5SdcLHTzXQ","208360","210520"," So we'll just take it easy here for a minute."
"_5SdcLHTzXQ","210520","212320"," We'll switch right over so you can see stuff."
"_5SdcLHTzXQ","212320","213840"," What's going on?"
"_5SdcLHTzXQ","213840","215280"," T-Crown, good morning."
"_5SdcLHTzXQ","215280","217920"," Jasmine, Kalo, Scott, Ryan, Ignatio."
"_5SdcLHTzXQ","217920","220160"," Holy shit, people are showing up."
"_5SdcLHTzXQ","220160","223520"," James Buchanan, the King cows here, Matthew."
"_5SdcLHTzXQ","223520","225240"," Ali Baba, good to see you."
"_5SdcLHTzXQ","225240","227560"," RS, Aussie, Medford guy."
"_5SdcLHTzXQ","227560","228560"," Good morning."
"_5SdcLHTzXQ","228560","231520"," Hey, GM, good morning, Everton."
"_5SdcLHTzXQ","231520","234080"," All right, we'll talk about Tesla today, too."
"_5SdcLHTzXQ","234080","236320"," So this is a big market day."
