"id","start","end","text"
"_SITEMu4LIE","0","2000"," You"
"_SITEMu4LIE","30000","32000"," You"
"_SITEMu4LIE","54880","59400"," Hey, good morning, let me know if you can hear me in the stream right now uncle jbj"
"_SITEMu4LIE","60400","64580"," Can you hear me in the stream? Can you let me know in the chat if you can hear me in the stream?"
"_SITEMu4LIE","67720","74760"," Okay, awesome, I'm gonna mute this just a couple things guys this is a second setup. That's not quite ready to go"
"_SITEMu4LIE","76120","83980"," I'm gonna mute this microphone. I can't see a bunch on my end, but I figured I'd put this up so you guys can talk and chat"
"_SITEMu4LIE","83980","90940"," I'll be on at certain moments what I'll do later on is I'll turn the stream off and reset it on a different setup"
"_SITEMu4LIE","92120","97860"," But I want you guys to have a place to be and be with friends and stuff throughout the morning while I have this meeting"
"_SITEMu4LIE","98580","100020"," so"
"_SITEMu4LIE","100020","102020"," Just bear with me. All right brothers"
"_SITEMu4LIE","102580","105460"," If you can explain to everybody and chat, I'd appreciate it"
"_SITEMu4LIE","106100","111180"," This morning if anybody has a question if any of you are moderators or if your longtime followers"
"_SITEMu4LIE","111500","116420"," If you could do me a solid just I don't mind if you guys have fun today. Just try to keep it"
"_SITEMu4LIE","117300","120660"," You know, like no one's ripping on each other too much stuff like that"
"_SITEMu4LIE","122460","127700"," And the stream will get better that these streams like this will get better once I get a new computer back so that I"
"_SITEMu4LIE","128860","132680"," Can have it like I like the regular setup if I'm not here"
"_SITEMu4LIE","134380","138620"," Yeah, all right, you guys I'll talk to you guys in a bit. I gotta get into a meeting here in a moment. I"
"_SITEMu4LIE","138620","141620"," Appreciate it brothers"
"_SITEMu4LIE","168620","170620"," You"
"_SITEMu4LIE","198980","203340"," Yeah, thanks guys, I appreciate all of you out there right now trying to stop back in a minute here"
"_SITEMu4LIE","204940","209580"," That's these streams will get better on this other setup. This isn't that the actual setup"
"_SITEMu4LIE","209580","211580"," This is just another laptop. I got running in the background"
"_SITEMu4LIE","212100","215940"," So I just appreciate all of you this morning for bearing with me and having some patience and"
"_SITEMu4LIE","217460","220420"," On the on the bell this morning. I don't know what to say to you"
"_SITEMu4LIE","220420","223780"," I would take the money and run. I'm gonna take the money and run here in a few minutes. I"
"_SITEMu4LIE","224660","230220"," Every trade is a new trade right you come into and open you can always take a second trade take the money and run and"
"_SITEMu4LIE","230740","233580"," If you think we're going up you buy cheaper calls, right?"
"_SITEMu4LIE","233580","236500"," So if you're if you're in calls into the clothes yesterday"
"_SITEMu4LIE","236580","241060"," You take the money and run and if you think we're going up you reposition into cheaper calls"
"_SITEMu4LIE","241180","244980"," So let's say you go in for 25 cents and you're up to 50 cents"
"_SITEMu4LIE","244980","250580"," You take that money and run and then jump back in on 20 cent calls again. You don't have to let something run"
"_SITEMu4LIE","251300","255260"," You know a zero data or one date. It's directional always"
"_SITEMu4LIE","256380","258580"," So that's I got to say and I'll see you guys soon"
"_SITEMu4LIE","258580","262420"," I appreciate you guys showing up this morning and keeping the community going on a live stream"
"_SITEMu4LIE","280580","282580"," You"
"_SITEMu4LIE","310580","312580"," You"
"_SITEMu4LIE","340580","342580"," You"
"_SITEMu4LIE","370580","372580"," You"
"_SITEMu4LIE","400580","402580"," You"
"_SITEMu4LIE","430580","432580"," You"
"_SITEMu4LIE","460580","462580"," You"
"_SITEMu4LIE","490580","492580"," You"
"_SITEMu4LIE","520580","522580"," You"
"_SITEMu4LIE","550580","552580"," You"
"_SITEMu4LIE","580580","582580"," You"
"_SITEMu4LIE","590180","595900"," Got us a check in here real quick. So if you're following Tesla, right Tesla needs to hold"
"_SITEMu4LIE","598580","604820"," 170 to 40 when you guys mark that down in case someone comes in for Tesla targets if Tesla can hold"
"_SITEMu4LIE","605540","607620"," 170 to 40 the price target above is"
"_SITEMu4LIE","608500","610500"," Roughly one"
"_SITEMu4LIE","610500","614380"," One if the tech the actual target is 186 71"
