"id","start","end","text"
"_qZpSLW1VN4","0","4000"," Check one two, it's like we're alive."
"_qZpSLW1VN4","4000","5000"," Okay."
"_qZpSLW1VN4","5000","7000"," Check one two."
"_qZpSLW1VN4","7000","15000"," Who are we gonna do here?"
"_qZpSLW1VN4","15000","20000"," Who are we gonna do here?"
"_qZpSLW1VN4","20000","25000"," I definitely don't feel well."
"_qZpSLW1VN4","25000","26000"," Still."
"_qZpSLW1VN4","38000","39000"," Check one two."
"_qZpSLW1VN4","46000","49000"," Whoa."
"_qZpSLW1VN4","49000","54000"," What's going on out there?"
"_qZpSLW1VN4","54000","56000"," Jared, how are you? Good to see you."
"_qZpSLW1VN4","56000","60000"," Yeah, I'm trying to make my way out of this."
"_qZpSLW1VN4","60000","64000"," Hold on here."
"_qZpSLW1VN4","65000","79000"," Definitely, definitely trying to make my way out of the COVID shit."
"_qZpSLW1VN4","79000","82000"," Still still."
"_qZpSLW1VN4","82000","86000"," I'm still."
"_qZpSLW1VN4","86000","90000"," Well, I'm still definitely."
"_qZpSLW1VN4","91000","93000"," Come on here."
"_qZpSLW1VN4","93000","98000"," Get some stuff to do."
"_qZpSLW1VN4","98000","101000"," Look at that supply up there."
"_qZpSLW1VN4","101000","105000"," There's a little more higher."
"_qZpSLW1VN4","105000","108000"," Some stuff up there too that's now showing itself."
"_qZpSLW1VN4","108000","114000"," This is now showing itself up here."
"_qZpSLW1VN4","115000","117000"," Nice little wall right here."
"_qZpSLW1VN4","117000","118000"," Sellers."
"_qZpSLW1VN4","118000","120000"," We'll talk about this right here today."
"_qZpSLW1VN4","120000","124000"," This is actually."
"_qZpSLW1VN4","124000","131000"," Let me move some of this over here so."
"_qZpSLW1VN4","131000","137000"," Important for you to see."
"_qZpSLW1VN4","137000","143000"," It's important to be paying attention to this stuff up in here."
"_qZpSLW1VN4","144000","148000"," And why is it important that kind of stuff failures."
"_qZpSLW1VN4","148000","151000"," And what it matters."
"_qZpSLW1VN4","151000","156000"," Matter of fact, where we are right now is a good place to start."
