"id","start","end","text"
"_zb0kga97sQ","0","5200"," 7 certification sooner rather than later and we need that aircraft and it's a"
"_zb0kga97sQ","5200","10000"," wonderful aircraft. I want to thank Bob for coming on the set and Phil for"
"_zb0kga97sQ","10000","15560"," visiting us because I I've been able to stop because you know but that's I've"
"_zb0kga97sQ","15560","19320"," I've changed that stance it's just too good an opportunity even though you're"
"_zb0kga97sQ","19320","24000"," pretty sure we appreciate it thank y'all for the time thank you Jim when we come"
"_zb0kga97sQ","24000","26720"," back I'll get Kramer's mad dash count down to the opening bell take another"
"_zb0kga97sQ","26720","31880"," look at futures here holding in 10 years still sub 4 and the 30 year just"
"_zb0kga97sQ","31880","35720"," about 11 basis points away don't go away"
"_zb0kga97sQ","56720","58780"," you"
"_zb0kga97sQ","86720","88780"," you"
"_zb0kga97sQ","116720","118780"," you"
"_zb0kga97sQ","146720","170620"," you"
"_zb0kga97sQ","170620","175620"," the"
"_zb0kga97sQ","175620","176620"," futures remain green so many"
"_zb0kga97sQ","176620","178620"," interesting numbers this morning."
"_zb0kga97sQ","178620","181620"," 10 year 396 VIX is right at 12."
"_zb0kga97sQ","181620","183620"," The dollar index almost back to"
"_zb0kga97sQ","183620","185620"," 102 and of course the all time"
"_zb0kga97sQ","185620","189620"," closing high on the S&P 4796"
"_zb0kga97sQ","189620","191620"," would be just about 90 points"
"_zb0kga97sQ","191620","192620"," away."
"_zb0kga97sQ","192620","193620"," We'll get the opening bell in four"
"_zb0kga97sQ","193620","194620"," minutes."
"_zb0kga97sQ","224620","227620"," Thank you."
"_zb0kga97sQ","254620","257620"," Thank you."
"_zb0kga97sQ","284620","287620"," Thank you."
"_zb0kga97sQ","314620","317620"," Thank you."
"_zb0kga97sQ","344620","347620"," Thank you."
"_zb0kga97sQ","374620","384620"," Thank you."
"_zb0kga97sQ","384620","386620"," You have a very little amount of"
"_zb0kga97sQ","386620","387620"," time."
"_zb0kga97sQ","387620","389620"," We've got an opening bell in"
"_zb0kga97sQ","389620","390620"," 45 seconds."
"_zb0kga97sQ","390620","392620"," It's not getting the recognition"
"_zb0kga97sQ","392620","394620"," you should at FedEx."
"_zb0kga97sQ","394620","396620"," Burning today just talks about"
"_zb0kga97sQ","396620","398620"," can FedEx continue to put points"
"_zb0kga97sQ","398620","399620"," on the board and get them"
"_zb0kga97sQ","399620","400620"," working?"
"_zb0kga97sQ","400620","401620"," Yes they can."
"_zb0kga97sQ","401620","402620"," This is about a transformation"
"_zb0kga97sQ","402620","405620"," team."
"_zb0kga97sQ","405620","406620"," It's just pushing."
"_zb0kga97sQ","406620","408620"," Margins keep going up."
"_zb0kga97sQ","408620","409620"," Yeah."
"_zb0kga97sQ","409620","410620"," The Fred Smith will the great"
"_zb0kga97sQ","410620","411620"," company."
"_zb0kga97sQ","411620","412620"," Time for new blood."
"_zb0kga97sQ","412620","415620"," Rosh is taken into over drive"
"_zb0kga97sQ","415620","416620"," is baseball drive."
"_zb0kga97sQ","416620","418620"," I like to stop the referee very"
"_zb0kga97sQ","418620","422620"," much."
"_zb0kga97sQ","422620","423620"," If you open a bell and you see"
"_zb0kga97sQ","423620","425620"," the big boy that is here"
"_zb0kga97sQ","425620","426620"," there celebrating the"
"_zb0kga97sQ","426620","428620"," sponsored trip of Brian Hark,"
"_zb0kga97sQ","428620","430620"," one of the best places in"
"_zb0kga97sQ","430620","434060"," City and the Windsor Village there at the Nasdaq Alico in"
"_zb0kga97sQ","434060","436960"," Acribusiness and Land Management Company."
"_zb0kga97sQ","436960","440300"," Jim has worked a 47-23 today."
"_zb0kga97sQ","440300","443800"," Yeah, look, I think that there's a big pivot."
"_zb0kga97sQ","443800","446700"," You got to watch Max 7 versus everything else."
"_zb0kga97sQ","446700","450840"," Watch a Zion's Bank, but watch a bank like Comarico,"
"_zb0kga97sQ","450840","452040"," which everybody's really worried about."
