"start","end","text"
"31659","36800"," Good morning."
"36940","39620"," Good morning Eric Joshua J Max."
"39920","40300"," Good morning. "
"41100","45280"," This is secure the bag and the fish and fish and dash in."
"46660","47820"," Good morning Chas."
"49000","49800"," Do you good?"
"51100","52100"," Good morning everybody. "
"52400","54140"," Good morning and this is in this season we trust."
"54540","55860"," Good morning John asked morning Philip."
"56920","58600"," He filmed the same way today. "
"59760","63040"," Dylan, Gavin, Sue, Jeremy, RS."
"65560","69220"," I was having some technical difficulties getting on this morning."
"69540","71980"," So apologize for that no memory card. "
"74360","83180"," Good morning everybody."
"85490","86580"," Good morning everybody."
"86880","91820"," I've got Vegas, PTC, C, KK, Lucy, good morning. "
"92640","95600"," Guy on SC, Brad, good straight EV."
"96840","97560"," Hello everybody."
"99260","100460"," Yeah, what are we going to do?"
"101300","103380"," Pretend it's time we get right into it. "
"105500","107320"," I don't even know if I can turn it down."
"109060","110200"," Come on the wrong one."
"111360","111740"," Back, back. "
"112700","115100"," All right, we're going to switch it right over here."
"116420","118580"," We're going to roll right into this because we only have a few minutes."
"118880","120420"," It's already not 10 past nine. "
"120940","122360"," We're going to get into this as fast as possible."
"122460","123260"," Can good morning, Mary."
"123420","124780"," Good morning, John. "
"125240","125980"," How's it right doing?"
"127000","129000"," Yes, smash that like button, maybe Brad."
"130540","131900"," Good morning everybody."
"132320","135400"," Okay, so we're going to make this fast because we only got 20 minutes for the bell opens. "
"135460","137580"," I just want you guys to have an idea of where we are."
"138080","139180"," There is a lot to talk about."
"139980","147080"," So we're going to talk about, you know, post after all that stuff yesterday, you know, we're going"
"147080","148960"," to have an emergency being to raise rates and all that kind of bullshit. "
"148960","152160"," That's just during the pot trying to affect the market."
"152160","156700"," We'll talk about that later and what took place yesterday at individual tickers where we were in"
"156700","157040"," the market."
"157640","162140"," There were definitely some manipulation of the market yesterday and then some amplification of that"
"162140","163020"," manipulation of the market. "
"163020","165020"," So we'll get into that after the bell opens today."
"165580","167380"," I do want you to know that it is Friday, right?"
"167900","170240"," The biggest moves of the week have happened already this week."
"171120","173680"," You, I wouldn't expect that it's going to get crazy today. "
"173980","176960"," It's possible that it could at some point, but I don't think that it will."
"177460","180100"," So we'll, let's talk about what's going to happen today."
"180460","186800"," Let's look forward to next week for OPEC's and yeah, right on. "
"187060","188320"," Yeah, I wouldn't be too scared right now."
"188760","193140"," So just for this morning on the volume profile, right?"
"193620","197820"," You can see that we're getting our time and our way back up this morning."
"198200","199460"," Just be conscious of this. "
"199600","204160"," Okay, that we're coming back into the above an iceberg today."
"204460","205580"," We should be able to trade higher."
"206060","212620"," I know that there is some concern that we have some resistance above here right around 4522. "
"214380","218400"," We're gonna train sideways in here and I'll show you some other things this morning that that could"
"218400","222140"," lead some to this possibility that we just trade sideways into the close."
"222660","225620"," But we do have, we don't have a lot of resistance up high right now."
"225940","228660"," If you're looking at the the profile here, okay?"
"228980","230380"," So it's possible we have a green day today. "
"231200","236760"," Or we just trade sideways into the bell and maybe slowly trade down and off into the sunset."
"238360","239280"," But just be aware of this."
"239360","242220"," I know that a lot of people out there have a different viewpoint on what's happening today. "
"242780","247980"," Just be aware that there are not there's there's not a lot of we can trade up higher here to"
"247980","248880"," like 452."
"249240","252320"," There's not a lot of resistance for us moving up into the end of the day."
"252860","255480"," I know that's a counter to what everyone out there is saying. "
"257160","259820"," So we are going to get out of this right here."
"260240","261220"," Turn this bad boy off."
