"id","start","end","text"
"aYacB8FlXpA","0","11160"," good evening traders captain Jim James here I guess we'll do a quick special"
"aYacB8FlXpA","11160","16920"," report in the middle of the night I know today for some of you I know today was"
"aYacB8FlXpA","16920","24600"," hard to navigate if you're a permabear I actually do feel bad for you today this"
"aYacB8FlXpA","24600","30560"," morning when I posted the daily brief on Twitter first couple lines really"
"aYacB8FlXpA","30560","35080"," we're talking about and the point that I was trying to make was that you know"
"aYacB8FlXpA","35080","41600"," volume was falling off a cliff in those environments often times the bulls can"
"aYacB8FlXpA","41600","45840"," take charge and drive the market up you've seen that happen countless times"
"aYacB8FlXpA","45840","54240"," during holidays and this past week you are even just starting on Monday you can"
"aYacB8FlXpA","54240","58800"," see how the market was trading within a pretty tight range now just starting"
"aYacB8FlXpA","58800","63680"," here from the beginning on the one year this trading channel has been"
"aYacB8FlXpA","63680","69480"," respected since May and in previous time periods as well so you know when to go"
"aYacB8FlXpA","69480","74760"," long and you know when to go short now we can jump above this trade this"
"aYacB8FlXpA","74760","81760"," trading channel here and we did in 2020 when we started heavy quantitative"
"aYacB8FlXpA","81760","88120"," easing and then we can also skip periods of pullbacks we have in the past as"
"aYacB8FlXpA","88120","95600"," well now 2019 we did pullback or excuse me 2019 yet we pulled back in August but"
"aYacB8FlXpA","95600","101400"," we didn't have a pullback in July so we had skipped July went straight into"
"aYacB8FlXpA","101400","106400"," August and we got our pullback so you know June we had a pullback July no"
"aYacB8FlXpA","106400","110080"," pullback August we got a pullback that's two straight months of going straight"
"aYacB8FlXpA","110120","115360"," up if you're looking at from at least from May until now we had two two big"
"aYacB8FlXpA","115360","124480"," pullbacks in May one in June and then one in July so you know both bull and bear"
"aYacB8FlXpA","124480","130120"," viewpoints are on the table to whether we're pulling back right now or not and"
"aYacB8FlXpA","130120","137880"," how big is that pullback now when we hit all-time highs over here on 723"
"aYacB8FlXpA","137920","143560"," let's get a little bit closer now when we hit this all-time high right here it"
"aYacB8FlXpA","143560","148240"," was looking like down the next cup the next couple days we're looking like we"
"aYacB8FlXpA","148240","153360"," were gonna start to do some some sort of a pullback and let me get a little bit"
"aYacB8FlXpA","153360","163560"," closer here now the original thesis is that we're setting up"
"aYacB8FlXpA","167880","174600"," a bear flag"
"aYacB8FlXpA","179600","184040"," I apologize for the noise in the background I've got my youngest daughter"
"aYacB8FlXpA","184040","190000"," with me and my dog is over here licking his balls"
"aYacB8FlXpA","191000","197680"," I felt like coming into my office and cleaning himself late night"
"aYacB8FlXpA","197680","203600"," you know but let's take a look at this how it was originally looking"
"aYacB8FlXpA","203600","209880"," now originally this was this is very bearish you know if you're not really"
"aYacB8FlXpA","209880","215480"," looking at this area here this chart is looking very bearish coming into this"
"aYacB8FlXpA","215520","221880"," week seasonally you know we could start a correction at any time we could start"
"aYacB8FlXpA","221880","226480"," it in August or as late as September but seasonally we're coming into that"
"aYacB8FlXpA","226480","230920"," time and this is was shaping up to be very bearish you know and selling these"
"aYacB8FlXpA","230920","237560"," tops is the right thing to be doing here now there are some market internals"
"aYacB8FlXpA","237560","243200"," that that are complicating this issue right now so in those posts I was talking"
"aYacB8FlXpA","243200","247760"," about how long does it take for us to go sideways before we correct we can go"
"aYacB8FlXpA","247760","254400"," seven to nine days in that process and that would and this would be the start"
"aYacB8FlXpA","254400","260160"," of that process somewhere here you've got one two three four five six seven"
"aYacB8FlXpA","260160","266640"," eight would put us and nine would put us on Friday for unemployment news now"
"aYacB8FlXpA","266640","270800"," there are some things that we have to consider about that unemployment news"
"aYacB8FlXpA","270800","276560"," first the Fed knows right now what's happening that unemployment news we've"
"aYacB8FlXpA","276560","282640"," got the infrastructure bill that is being used just like past events they'll"
"aYacB8FlXpA","282640","287720"," pump and dump infrastructure and juice it both Republicans and Democrats as long"
"aYacB8FlXpA","287720","292080"," as they can they could they could use that right up into wintertime if they"
"aYacB8FlXpA","292080","297840"," wanted to and the same goes with the eviction moratorium you know let's say"
"aYacB8FlXpA","297840","301120"," they came out and talked about eviction moratorium again they talked about the"
"aYacB8FlXpA","301120","305840"," infrastructure deal again and this is all intended to pump the markets out when"
"aYacB8FlXpA","305840","311200"," it's about to fail now the Fed whether you want to believe it or not it's"
"aYacB8FlXpA","311200","317520"," probably buying equities in the ETF markets they're probably buying equities in"
"aYacB8FlXpA","317520","323360"," hedge stocks like Amazon and Apple and they are showing up to the bond market"
"aYacB8FlXpA","323360","327600"," whether they admit it or they give you the correct numbers or not that is what's"
"aYacB8FlXpA","327600","334960"," taking place now the bond the 10 year bond tapped yesterday a bottom and then"
"aYacB8FlXpA","334960","340320"," tapped again today so that was two taps in the bond market and you know anyone"
"aYacB8FlXpA","340320","344240"," that knows anything about the bond market knows that you know it's looking for"
"aYacB8FlXpA","344240","351280"," that second or third tap can lead to a breakdown of our market our whole"
"aYacB8FlXpA","351280","356040"," entire market you know it's very very dangerous and you know the Fed did"
"aYacB8FlXpA","356040","361400"," something today that is unimpressed not unprecedented but highly unusual it's"
"aYacB8FlXpA","361400","366840"," not like Jerome Powell coming out and holding a speech or something or saying"
