"id","start","end","text"
"axndAqK5BgI","0","8120"," I'm still not live I don't know what the fuck is going on with this fucking"
"axndAqK5BgI","8120","13780"," I'm problems the stream I don't even know if I'm live right now"
"axndAqK5BgI","13780","24020"," gonna check this is a second fucking time they've had problems with fucking"
"axndAqK5BgI","24020","34580"," stream my live on twitch thank you"
"axndAqK5BgI","36140","40540"," they got a weird placard up to right now"
"axndAqK5BgI","44780","52240"," it didn't come back with the original uh come on now"
"axndAqK5BgI","57780","62460"," super back on live can you guys see me out there"
"axndAqK5BgI","62460","73980"," nice all right I can see you guys I see you guys in chat now"
"axndAqK5BgI","74620","80940"," I'm still having monitor problems right now it's pissing me off to the new end"
"axndAqK5BgI","84860","89100"," can you guys hear me on the stream too"
"axndAqK5BgI","89100","99460"," it says I'm let me check my mic in the background is my mic better now can you"
"axndAqK5BgI","99460","101940"," hear me now"
"axndAqK5BgI","101940","121420"," I'm having some uh I'm having technical issues here in the background just hang"
"axndAqK5BgI","121420","123660"," tight"
"axndAqK5BgI","125580","129340"," the VIX falling off because it's kind of crazy I'm looking at the VIX right now"
"axndAqK5BgI","129340","134700"," it's bloodbaffing and the price of spy spy still being pinned by shorts in"
"axndAqK5BgI","134700","141700"," this market well that's shorts fucking zero to eight puts dude what all right"
"axndAqK5BgI","141700","151180"," I'm gonna freak out here in a minute killing me you know I'm gonna do is this"
"axndAqK5BgI","151180","155500"," turns off once more I'm gonna switch over to a different monitor"
"axndAqK5BgI","159900","166780"," I'm still long here I'm still long calls I'm on a 398 C's right now they're at"
"axndAqK5BgI","166780","172860"," 42 cents currently I'm holding I'm not selling I'm not selling this I'm taking"
"axndAqK5BgI","172860","177540"," this trade to completion today I don't want to scalp this bullshit I'm here to"
"axndAqK5BgI","177540","190500"," make some money say squeeze baby squeeze it"
"axndAqK5BgI","207540","209540"," you"
"axndAqK5BgI","237540","239600"," you"
"axndAqK5BgI","267860","279780"," what's going on Mero I see you man yeah I'm on calls here Mero"
"axndAqK5BgI","283620","286540"," see"
"axndAqK5BgI","286540","293980"," hold on I'm looking right now I'm reading texts"
"axndAqK5BgI","295900","299460"," and told to read texts"
"axndAqK5BgI","317540","321740"," mary you all you all bear it up right now to what the I've got some craziness"
"axndAqK5BgI","321740","328660"," going on and I don't know what is going on here"
"axndAqK5BgI","333620","336420"," all right"
"axndAqK5BgI","336420","350060"," mary you're in here brother hey what's going on man I think I did a bunch of"
"axndAqK5BgI","350060","363860"," water damage to my I think I did a bunch of water damage to my to my very"
"axndAqK5BgI","363860","370900"," expensive monitors it's gonna cost me some some money I'm gonna have to"
"axndAqK5BgI","370900","374660"," replace these things like you can already see it"
"axndAqK5BgI","377980","387540"," my short no no I'm not short here I picked up some calls somewhere down in"
"axndAqK5BgI","387540","396220"," here I'm up 25% on him right now"
"axndAqK5BgI","400220","405500"," I need to see price come below the white line brother"
"axndAqK5BgI","406420","419660"," yeah it's so I think it happened what two or three days ago or something like"
"axndAqK5BgI","419660","428060"," that two days ago I think and I let him dry I had a fan on him but I it's only"
"axndAqK5BgI","428060","433820"," been two days I don't know if I don't know if they're still wet on the inside"
"axndAqK5BgI","433820","437420"," or something like that maybe maybe I should do the rice trick with a fan or"
"axndAqK5BgI","437420","446740"," something yeah mary I'm long I'm up 25% if we don't get any kind of we don't"
"axndAqK5BgI","446740","453580"," get any kind of like bloodbath somewhere in here my man I'm looking for at least"
"axndAqK5BgI","453580","460020"," this to this one right here I'm looking for a 399 71 and a PT where you guys are"
"axndAqK5BgI","460020","463860"," up here we're south side as a bright in here"
"axndAqK5BgI","470940","479220"," ah nice Vero is it still wet on the inside"
"axndAqK5BgI","490020","501580"," yeah I got Mero in the chat on YT right now"
"axndAqK5BgI","503260","507780"," see it's weird I'm not showing like I gotta refresh the chat I got really"
"axndAqK5BgI","507780","510660"," weirdness going on here in the background it's kind of fucking wonky"
"axndAqK5BgI","510660","516260"," I'm pissing me off right now I can see twitch chat right now"
"axndAqK5BgI","520820","524820"," twitch hard I'm back down good"
"axndAqK5BgI","531620","539060"," it's weird too because the one of the display is got stuck on HDR mode and"
"axndAqK5BgI","541380","546420"," I couldn't change any of the settings on HDR mode"
"axndAqK5BgI","550300","558500"," he's been pissed on the LCD screens I knew what I did today's ago or last time"
"axndAqK5BgI","558500","565900"," the stream went down I reset the modem I was getting hammered in traffic like"
"axndAqK5BgI","565900","570180"," hammered straight hammered I looked at my traffic and it was I was getting"
"axndAqK5BgI","570180","575100"," hammered in the background so I just changed my p-dress"
"axndAqK5BgI","586740","596500"," train 39774 right now now 51 cents on 398 these they were down around 30"
"axndAqK5BgI","596500","603980"," cents or so 32 bounced around 32 34 36 almost a hundred percent trade right now"
"axndAqK5BgI","603980","632140"," I got to do the chat and think tighter I got some stuff to do"
"axndAqK5BgI","633980","647500"," I forget I have to show the news chat and then"
"axndAqK5BgI","647500","673340"," I see you guys I see your chat now in YouTube"
"axndAqK5BgI","678500","690500"," I got a I'm having streaming so I have a big cup of water like this my kids cup"
"axndAqK5BgI","690500","696220"," and I spilt it all over the desk and I use these monitors that I travel with so I"
"axndAqK5BgI","696220","705940"," can stream and travel and I have they sit on a magnetic case that like opens and"
"axndAqK5BgI","705940","709860"," closes a very thin monitors they can slip like four of these things in my"
"axndAqK5BgI","709860","717820"," backpack with a with a debt with a laptop and stream from anywhere and so I use"
