"start","end","text"
"2203080","2204680"," All right, can you guys hear me out there?"
"2221200","2224380"," Should be able to check one, two, check."
"2237300","2238560"," See if you guys can hear me."
"2246700","2247020"," All right. "
"2248340","2251080"," So look at what's going on in the spy right now."
"2252560","2254620"," Spy's about to squeeze, right?"
"2255820","2258120"," You guys see all these sellers."
"2267360","2269240"," Those clear sky moments, right?"
"2271740","2273600"," It's gonna be a rocket ship here coming up in just a second. "
"2276260","2278280"," See if you guys can hear me."
"2282060","2290210"," This is out of the spy right now."
"2291170","2293750"," And I was about to squeeze, right?"
"2295310","2295930"," 47750. "
"2296430","2297270"," All these sellers."
"2297730","2298830"," So let me get this over here."
"2300690","2305670"," So you got 47.50 as your first target. "
"2306310","2307610"," Second target's 480."
"2310010","2311810"," Tesla's doing the same thing right now."
"2312990","2316870"," You probably start seeing squeeze and all over the place on Apple spy. "
"2319360","2321320"," Yeah, Apple's about to squeeze itself."
"2325530","2326810"," AMD broke through."
"2327550","2329150"," That was a play we looked at earlier. "
"2334180","2334880"," Excuse me."
"2335640","2337860"," And on Tesla, same thing."
"2337980","2341760"," You're looking for a break above 1120 and you've got clear skies to 1150. "
"2341760","2345140"," If you guys want to scroll over here, look at your comments."
"2345320","2348560"," If you guys want me to look at any specific plays, let me know."
"2362440","2363440"," Give me a second here. "
"2404430","2406970"," So this is pretty critical where we're at right now in the market."
"2406970","2408870"," You can see that there's a push."
"2409270","2416350"," I'm going to check out Apple as well because we really need these stocks to be squeezing if it's"
"2416350","2418170"," going to squeeze the spy above. "
"2418170","2427220"," It's crazy too because these, it was December 4th or excuse me, the December 27th calls."
"2428420","2431180"," The 478's were two pennies earlier this morning."
"2432180","2433060"," They were even less. "
"2433300","2435860"," They were a penny earlier this morning."
"2436060","2437200"," So now they're up to 4 cents."
"2438480","2442140"," If we squeeze the 478, I mean, you're talking 99 cents. "
"2442520","2443000"," That's, that's insane."
"2443000","2450340"," It would have to be a straight shot though to get it because the dealers and the market makers will"
"2450340","2452140"," just bleed them off even if we get there."
"2452840","2455520"," But you see right here, you see this critical point in Apple right now. "
"2455920","2457980"," See this rejection here at 179."
"2459180","2465200"," And you see how the sellers, I want you guys to see this that you've got some sellers, but these"
"2465200","2466420"," are hidden sellers here."
"2466420","2473460"," These sellers just came in to the market and you have to have some concern for this rejection here"
"2473460","2480060"," because you, you've got supply above that are looking for bulls to. "
"2480740","2485320"," Let's say you're taking along an Apple and you say, Hey, we're going to squeeze here like I'm"
"2485320","2485640"," saying."
"2486420","2491260"," And then if you see rejection, this is a pretty significant rejection here on Apple."
"2491260","2493320"," So it does lend some concern. "
"2493740","2495780"," What will happen typically in these situations?"
"2496040","2499540"," Let's say we, we do have the chance to squeeze here."
"2500020","2504920"," But I want you to understand too, at the same time that when you get to these levels up here,"
"2504920","2506340"," this is a prime example."
"2508520","2514540"," Algorithms will make you think we're going to squeeze through and then they'll just dump shares on"
"2514540","2514720"," you. "
"2515500","2521460"," And so we go back down and people say that you're just wearing out sellers until we can squeeze"
"2521460","2524900"," through these positions and that is somewhat true."
"2525640","2529620"," And we are in that situation being in the Santa rally."
"2530560","2534840"," And we have some really good bid in the market, especially in Apple right now. "
"2535220","2540480"," So it's not to say that we won't go above, but when you are taking these trades, it's good for"
"2540480","2545920"," you to be buying these dips, then selling the rips and wait to break through for the next move"
"2545920","2546300"," above."
"2546880","2547800"," This isn't really good."
"2549760","2555850"," I want to show a better or a better or a prime example, right?"
"2555970","2559890"," Your price target on Apple, you're looking for 190 and then 200. "
"2560850","2563010"," But breaking through this level here is a challenge."
"2563790","2569730"," And when you see supply coming in to sell at these levels, it's dangerous."
"2570210","2573450"," So let's say you want to say you're like, okay, I want to take Apple to 190. "
"2573450","2576010"," Let's say in your mind, you're like, I'm going to buy a 190 call."
"2577330","2579550"," You see that there's no supply below here."
"2579770","2582230"," That's a good sign for bulls that we are going to 190. "
"2582830","2583650"," So what do you do?"
"2583690","2585430"," What do you do to trade this into Friday?"
"2585710","2592070"," You can buy yourself some 190 calls or some spreads for 190 of expire or 185 would be safer."
"2593010","2596630"," But then think to yourself, how do I hedge this bet right here?"
"2597150","2602010"," And how you would hedge this bet is you're just going to buy yourself some penny puts on the spy"
"2602010","2602550"," against."
"2603090","2603610"," Apple. "
"2604210","2606890"," You buy them for like four cents, two cents, one penny."
"2607670","2610450"," And you buy them each day for each OPEC's."
"2610990","2613210"," So you buy the OPEC's for today. "
"2613310","2614770"," You buy the OPEC's for Wednesday."
"2615670","2622350"," Once today's puts are dead at the end of the day, like 4 p.m. You could buy Wednesday's five"
"2622350","2622930"," cent puts."
"2623290","2628890"," If you believe in us hitting 190, it just adds that little bit of protection to the trade that"
"2628890","2629350"," you're taking. "
"2630110","2635430"," You guys all understand that out there the concept of you going along when we're in danger, when"
"2635430","2636070"," we're at resistance."
"2638530","2644130"," It's not that we're not going to 480 because we are, but you can also offset your trade with with"
"2644130","2645210"," their cheap plays."
"2645550","2654880"," I mean, I'm looking at, I'm looking at, you know, 470 P's right now on"
"2654880","2657260"," Apple or inspire two pennies. "
"2657460","2657960"," It costs nothing."
"2659240","2659480"," They're cheap."
"2660060","2665820"," So let's say you make a trade for a hundred bucks on the on Apple, then you trade as well. "
"2666560","2671480"," Call it like 25 bucks on or 20 bucks on or 10 bucks on."
"2672220","2677820"," You have to scale up to whatever you're trading, but put a little bit of hedge on there at like"
"2677820","2680660"," 470 P."
"2681040","2685380"," And then at the end of the day, let's say we continue up with Apple and that you burn down"
"2685380","2686340"," that two pennies."
"2686880","2690920"," For a much larger move in Apple, you can do the same thing at the end of the day for"
"2690920","2693080"," Wednesday protecting your trade. "
"2694140","2695520"," You guys all understand that out there?"
"2696220","2698140"," I'll make sure you guys are clear on that stuff."
"2701600","2710750"," Hey Dave, quarterly expiration on the 31st shouldn't there be a sell off on or around that day."
"2711250","2717390"," So my plan for you guys in my previous videos have given you what my expectations are for the"
"2717390","2719110"," market as we head into the 31st. "
"2720390","2728650"," On or my trading plan right now is I am long to 480 on the spy and corresponding stocks right"
"2728650","2730370"," like Tesla and Apple."
"2732970","2734510"," So that's what I'm looking for."
"2734890","2736370"," Do we go higher than 480?"
"2737310","2738350"," Yeah, I think we do. "
"2738570","2744010"," I think we can go to 483, maybe slightly higher 485 and then maybe ricochet 45."
"2745870","2750490"," I'm looking for that long trade into Friday, but this is what else I'm thinking out there."
"2751050","2756410"," And that is that the JPM caller trade is going to become front and center. "
"2757030","2764310"," When we get up around 480, 483, you'll hear it in the news or your social media feeds."
"2764530","2766350"," You'll see it up posted everywhere."
"2767130","2772370"," And that is an indication to you that it's going to be looked at as some negative news. "
"2772370","2773790"," So how do I trade that?"
"2774090","2776490"," I want to trade weakness in the markets."
"2778250","2784810"," Traditionally, I would trade the weakness in the markets at the close on Friday into January 3."
"2785670","2793850"," But because we're all intertwined in this market, I'm afraid that it'll come slightly earlier."
"2794350","2799110"," You might see profit taking closer to Thursday Friday. "
