"id","start","end","text"
"bkZTabvgxXU","0","9700"," Good morning traders I think I'm on live I'm going to just check real quick"
"bkZTabvgxXU","17000","20900"," Sweet this looks like a bond just need a minute here"
"bkZTabvgxXU","20900","31000"," All right, everything looks good"
"bkZTabvgxXU","43200","45200"," I want to check one more thing"
"bkZTabvgxXU","50900","63200"," All right, we look like we're good to go"
"bkZTabvgxXU","71500","73500"," Good morning azul blue"
"bkZTabvgxXU","74100","79200"," If any of you are joining me this morning, I know I've only got six of you here right now"
"bkZTabvgxXU","80200","86200"," If any of you are joining me this morning for the first time bear with me this is a new"
"bkZTabvgxXU","87200","89200"," Thing that I'm doing where I'm"
"bkZTabvgxXU","90200","92200"," streaming live"
"bkZTabvgxXU","93200","99800"," During the open or the close if I can and this morning I'm on a different"
"bkZTabvgxXU","99800","103800"," Any of you are joining me this morning"
"bkZTabvgxXU","104800","106800"," And mute this hold on here we get some feedback"
"bkZTabvgxXU","107800","112800"," Okay, so this is a different trading rig I'm on the road this morning, so I'm going to try to"
"bkZTabvgxXU","113800","116800"," Do a live stream this morning for you. That's easy"
"bkZTabvgxXU","117800","121800"," Good morning good morning Patrick good morning Bobby good morning one day at a time"
"bkZTabvgxXU","122800","127800"," Good morning Michael and good morning. I lost the toad good morning faith family and business"
"bkZTabvgxXU","127800","129800"," Hope everyone is doing well this morning"
"bkZTabvgxXU","131800","139800"," So I've employed my oldest daughter to try to help me get a tip jar out there this morning if you guys see one down below"
"bkZTabvgxXU","139800","145800"," There it's to help with the cost of production to put this stuff together and to get a"
"bkZTabvgxXU","146800","149800"," Get the tools that I need to put this information out"
"bkZTabvgxXU","149800","152800"," to every day and also"
"bkZTabvgxXU","153800","161800"," Shortly I'm going to put up book map instead of using classic charts for you so that you can see where the liquidity is in real time"
"bkZTabvgxXU","162800","166800"," As we move forward and this morning if I'm still on this morning at the 930 hour"
"bkZTabvgxXU","166800","172800"," I'll put up some flow for you live actual flows so that we can see what the day is doing"
"bkZTabvgxXU","173800","177800"," Now the reason I'm making this video now and not a regular daily brief video"
"bkZTabvgxXU","177800","187800"," is because it's a challenge sometimes to get across to people where we are in the market what's taking place what's happening"
"bkZTabvgxXU","188800","195800"," So the plan for today will be this I will go through this video for you in terms of where we are in the market"
"bkZTabvgxXU","196800","202800"," And then I'm going to also today post what will look like plays"
"bkZTabvgxXU","203800","207800"," that have a chance of printing heavy today so as that flow comes in"
"bkZTabvgxXU","208800","216800"," that'll be the direction for today now you should be taking yesterday in terms of the indexes you want to be taking yesterday and today"
"bkZTabvgxXU","217800","220800"," and the upcoming days as a chance to"
"bkZTabvgxXU","221800","224800"," fall back slightly take a breather and"
"bkZTabvgxXU","225800","228800"," find out where you want to be positioned"
"bkZTabvgxXU","229800","236800"," And the reason I'm saying that is because this is the time when bulls bulls really do get wrecked even though the market is going up"
"bkZTabvgxXU","237800","243800"," If you follow my cursor here I'm going to go over this in a minute but you'll find us going to see this sideways range here"
"bkZTabvgxXU","244800","252800"," You'll see it at this 470 mark all the way down to in reality this 466 mark right in here"
"bkZTabvgxXU","253800","259800"," Okay, and this is a consolidation zone and within this consolidation zone you're going to be looking for"
"bkZTabvgxXU","260800","265800"," For where you feel most confident buying the dip for the next move up"
"bkZTabvgxXU","266800","270800"," And what I really want to get across to all of you out there is this"
"bkZTabvgxXU","271800","276800"," You know that market makers dealers all these people need to be Delta neutral"
"bkZTabvgxXU","276800","287800"," They talk about being Delta neutral being Delta neutral and the same really have the same really applies to you to an extent as a trader as an investor"
"bkZTabvgxXU","288800","290800"," If you're a swing trader day trader"
"bkZTabvgxXU","291800","297800"," You're looking for to be to be Delta new well in my view what I would consider a traders Delta neutral"
"bkZTabvgxXU","298800","304800"," For how you trade this market and my point behind that is this let's get a little bit closer here"
"bkZTabvgxXU","304800","309800"," I want to explain something to you so we know that liquidity is down here somewhere right it's below"
"bkZTabvgxXU","310800","316800"," It's below this what I have here tagged below this 468 16"
"bkZTabvgxXU","317800","323800"," And also at 467 65 right we know that down here there's this big whale down here"
"bkZTabvgxXU","323800","330800"," This is like a liquidity whale like a little ocean flowing and they decide when they're going to come up to buy the market or not"
"bkZTabvgxXU","331800","336800"," If the market is looking weak that whale is going to go a little bit deeper in the ocean right?"
"bkZTabvgxXU","337800","343800"," And so you have to think for yourself as a trader or an investor well where do I want to buy in here"
"bkZTabvgxXU","344800","352800"," Now if you buy down here at this 464 level you're almost Delta neutral if you go upright here right it's all profit city"
"bkZTabvgxXU","352800","360800"," If we start to go down from this 464 number then you can cut your losses and know that you can take short here right?"
