"start","end","text"
"130","3630"," To complete adjustment of focus and sound level."
"8150","9390"," Check one two Mike."
"33330","34210"," Check one. "
"58840","60680"," Good morning, everybody."
"60860","61620"," How y'all doing out there?"
"70510","73550"," Yeah, everybody's piled in right now."
"73570","74510"," We're not good to see everybody. "
"75470","76970"," How y'all doing out there?"
"77850","78890"," Happy morning to you all."
"79150","79410"," Happy Thursday."
"81410","82690"," All right, let's get right in. "
"82850","84510"," Whoa, we've got about something new over here."
"85510","86590"," Before I'd let this continue."
"86730","87550"," Part of it does go back. "
"87550","88110"," Let's not forget."
"88410","91070"," There was a different CEO for a number of years."
"91450","92490"," Good to do. "
"92590","96030"," You just want to be in the matchable board and you want to keep it and you want to you"
"96030","99170"," may want to criticize the board and that down a little bit in the background there."
"99390","100770"," Success in succession."
"100990","103050"," Good morning to all of you. "
"103850","108170"," So we had a stabilizing market yesterday, right?"
"109350","114870"," And we had one last little dip down to 470 and then we rolled right back up into close and"
"114870","116630"," we are up this morning."
"121310","125090"," And hopefully I think I've posted to you."
"126510","128669"," We should get a print right here, right?"
"129389","133630"," We're in the money 100% on that trade right now, right?"
"134530","136890"," So you take that trade off here. "
"137390","140630"," You don't know."
"143230","143950"," Hold on here."
"146010","150050"," You take the trade off here because we can't make any more money. "
"150470","153590"," I guess we get cut one side of it off, but you should be taking the money and running."
"159470","160110"," Hold on."
"160190","161710"," We got a couple of things we got to do here. "
"161790","162890"," I got to do a couple of quick things."
"163290","167990"," Hold on one second here."
"168150","169790"," I got one more thing to do here in my end. "
"169790","172150"," They got to make sure I'm good, but what I'm supposed to be doing here."
"176770","177910"," There we go."
"181170","182750"," And this is what else we got here. "
"184610","186010"," Turn the comments."
"186350","192310"," So it's our most recent first state and the stock has just been nothing but a horse."
"192310","193690"," I'm going to miss them here. "
"193830","194390"," Something here."
"194510","194990"," I'm missing them."
"195310","198790"," I got it all. "
"199130","201490"," I'm missing my thumbnail for a second."
"202690","204090"," newest comments first."
"204630","206190"," What's going on?"
"206350","207210"," Good morning, my brother. "
"210830","213070"," We have some issues this morning."
"213270","214310"," We're going to talk about them."
"215530","216770"," Not quite issues. "
"217230","220390"," We're above the gamma flip at the moment, which is good."
"221790","223490"," We turned this down for a minute here."
"223710","230030"," I want to show you guys a couple of quick things here. "
"230170","233490"," Now these levels, I was pushing the levels where I want them."
"234010","236890"," I had to make a try."
"237070","238510"," I had to close my trade. "
"239970","249390"," I'm running a little bit behind at the moment, but regardless of where the levels are, I do want"
"249390","253690"," you to look specifically at price action."
"255730","258430"," And we're in a crossing environment here, right?"
"258829","260510"," So, or price."
"260810","263310"," I should say V shape recovery. "
"265030","266490"," The bounce right."
"266650","267410"," We're now up here."
"268470","272970"," And price has crossed above the hourly trigger. "
"273590","277030"," The half hour trigger needs to cross higher."
"278070","284030"," And also when you see that half hour crossing the hourly, we typically will come back down and do a"
"284030","287210"," back check on trend to the upside."
"287210","287770"," Okay. "
"289830","291910"," And you want that confirmation."
"292830","295910"," That doesn't matter where we squeeze to or how high we go."
"296390","299170"," You're always looking for that back check at some point. "
"299170","306290"," And I always say this to bulls and bears, both of you guys, generally speaking, I don't care if"
"306290","310810"," we're going down or if we're going up the initial move though, right?"
"311150","317230"," So the initial move above the hourly trend or the initial move below the hourly trend."
"317770","319330"," You want that back check."
"320190","320350"," Okay. "
"321130","325670"," And that back check signifies, especially on an hourly basis."
"328530","331530"," Now you can do this on a daily basis, weekly basis."
"332470","334170"," One in five minute basis, right?"
"334350","339850"," You know, Jerry Marcus is out there and he trades that one in five minute trend, right?"
"341810","345730"," So on this hourly trend, at least you're looking for that back check. "
"347250","350810"," And you need it for a continuation mostly, right?"
"351030","353150"," So it's not like your squeeze isn't great and all that kind of stuff."
"353150","355550"," But you are looking for some kind of a back check."
"355830","362270"," And oftentimes you'll see them when you see two triggers crossing. "
"362810","366150"," It ends up acting like a magnet for that back check."
"366390","369370"," So we'll see if we get that back check or not."
"369590","372910"," Or if we just park it and you see the cross come up here. "
"373070","374750"," You see this gray cross here."
"375850","377650"," We just start running at some point."
"377910","377930"," Okay. "
"378490","380710"," But I like to see that back check."
"380710","383110"," Now coincidentally, same time."
"386010","386550"," Excuse me. "
"390520","391960"," Now at the same time, right?"
"393460","396180"," Now, I need to do all this again, but whatever."
"396420","397180"," I'll do this in a minute."
"397360","400800"," But the key point here is that here's your gamma flip right here. "
"402980","406880"," And it just so happens to lie right where we are on SPX."
"408400","409720"," So we do want that."
"409840","413620"," I want to see that, you know, that just that back check on gamma flip and where do we head"
"413620","415420"," next will be the next question, right?"
"415560","416220"," Where are we going, cap?"
"417100","419520"," Where are we going into Friday and stuff like that too, right?"
"420200","422220"," So we got a target for the upside here. "
"422620","424940"," 47, 75, 14."
"426880","433000"," So 47, 75, 14, 93 on SPX at least."
"433540","435500"," And that's just that top of the key right here. "
"435600","437720"," We talked about that top of the key yesterday, right?"
"438580","440880"," Remember, I drew these in for you yesterday."
"440880","447640"," So on the main screen back here, we're just looking for we use our normal tools that we use, right?"
"447820","449880"," Guys, we use how many times we go over this stuff."
"450240","452220"," Every day we're in here talking about the stuff, right?"
"452320","457020"," It's like, it's like, here's a new tools, here's a new tool, that kind of stuff, right?"
"457560","459360"," We talked about this one back here yesterday. "
"460920","462780"," And lo and behold, where are we at?"
"463420","465620"," We talked about this one yesterday, right?"
"466040","468180"," Lo and behold, here we are, here we're at."
"468580","469020"," Tap it up here."
"469780","470320"," Nice little sweep. "
"471480","474780"," So we're going to get rid of these at this moment or move these up now, okay?"
"475800","478600"," And we know where support lies, right?"
"478700","481180"," So we know that support is right here on this green area right here."
"481800","482420"," This is support."
"483000","483560"," Hold on. "
"484680","486520"," This is support right here and this is trend."
"487240","492220"," Okay, if we're going to continue up and then we took out our previous pivot points."
"492820","494600"," So we're going to start to look at the next pivot points, right?"
"496280","497840"," We'll drop this one up here. "
"499580","500580"," We're right about there."
"501420","502540"," Drop this one right here."
"503560","504580"," And we'll add another one in. "
"504820","505300"," How about this?"
"505400","506800"," We'll take this one from the other day."
"508100","509060"," Put this one."
"509960","511000"," Ready to tag that one. "
"513240","514520"," One more up there."
"516799","518059"," Just put those up there."
"519280","520240"," Really simple, right?"
"520559","520980"," Not too hard. "
"526220","531280"," And so if you're looking for some targets for upside targets, you got them, right?"
"531500","531960"," You got support."
"532240","532720"," You got targets."
"533640","539280"," You know that if we roll down below, that will be below positive gamma again and then we'll start"
"539280","542240"," flipping to the bare side for a downside move. "
"542340","548140"," You got one more target right here for a back check, I guess, if you really wanted to say we're"
"548140","549100"," still bullish, I guess."
"549980","554300"," Could come all the way down to this pivot and come back up, but we don't want to go down"
"554300","554680"," to the downside."
"556060","561180"," And I don't expect that role into, personally, I don't expect that role until we get into the"
"561180","561440"," weekend. "
"561480","565020"," So I'm not looking for extreme bearishness or anything like that."
"565140","568840"," But I am looking for sideways and down into next week."
"568840","571100"," We'll talk about that at some point this morning. "
"571720","576180"," It doesn't necessarily have to happen, but I would like to see."
"576400","577760"," I mean, I'll be honest with you guys."
"578280","583040"," If we're going to make, or if we are going to make a run this year, if the thesis is,"
"583620","585240"," we're going to get a seasonal low. "
"586240","590780"," My expectation is that earnings come in, if they've been trading up, right?"
"590960","591600"," They get a great earnings."
"591960","592740"," They're going to sell the news."
"593140","595000"," They take the monetize, right?"
"596460","602440"," You're going to be looking for other companies to get a major low on their earnings, believe it or"
"602440","602660"," not. "
"602940","606300"," And some blood into this spring."
"607560","612820"," Who wants to buy a ticker on a high, right?"
"612820","616320"," To buy for a bull run for the rest of this year."
"616520","621900"," So my expectations for earnings this season are either take the money and stuff that's been run up"
"621900","628800"," or some capitulation to the downside for tickers out there that really isn't as bad as you might"
"628800","629060"," think. "
"629140","631840"," It's more just a setup for the rest of the year."
"632080","635200"," So keep that in mind at this point where we are."
"639820","641660"," We'll chat more about that this morning. "
"641660","650820"," We'll talk more about that this morning, but I would keep your, I guess, my thesis here on earnings"
"650820","658420"," season for this year specifically is to, if you've got five, ten, fifty, hundred, whatever your"
"658420","664480"," favorite tickers are and they've been underperforming, it's not necessarily a bad thing."
"664920","669860"," They've been underperforming if you're of the thesis that we're going to have some form of a bull"
"669860","672360"," run into that election season at the end of the year."
"673180","676720"," You should always welcome weakness in tickers. "
"677560","678500"," If that's the case."
"679500","681200"," So we're getting into that more."
"681340","682380"," We have to go over earnings. "
"682840","686820"," I didn't go over the bank earnings and miss that or that."
"686900","687840"," I didn't have the time to do it."
"687900","691700"," We're going to look at the earnings for this year and a lot of your favorite tickers and stuff. "
"691860","695180"," I think we have the time today to get to some of those tickers."
"696700","699500"," Right now, just come back down and back check that hourly trigger."
"700560","704920"," We'll see if we can actually get the touch down there and find out are we bullish or not. "
"707920","711660"," Let me set up the levels for you this morning because none of these are accurate at this time."
"711860","713000"," The point I think is right."
"714240","717560"," 471.65. Put that down there. "
"718580","719320"," One quick second here."
"719900","720440"," Set these up."
"721400","723160"," 471.65. 471. "
"734480","735840"," There's your S1."
"736560","737440"," Support one."
"737540","748470"," Then we have 468.73. Here's"
"748470","750090"," your second support right here. "
"750490","757810"," And then down below we got 467.59. Right there."
"757870","758270"," Close enough."
"760670","764530"," And then above we've already blasted through our one. "
"765350","768670"," And that's sitting at 473."
"768670","769070"," 43."
"772550","783100"," We got"
"783100","783960"," our two right here. "
"784800","793080"," 474.57. That's your R2."
"794160","805720"," And then your R3 for today is 476.35. Up"
"805720","805940"," there."
"806140","806760"," Docker right. "
"807800","809640"," That looks appropriate to me as well."
"811480","813220"," Looks appropriate up here as well to me."
"813320","814720"," I don't think we're ever getting back to that 4800. "
"815900","816740"," Well not ever."
"817060","819820"," But I don't think we're getting back to that 4800 today or tomorrow."
"820440","821500"," Personally I don't. "
"821840","824920"," I think that we do."
"825300","826960"," And some of you all think that we are."
"827180","829620"," But for me I don't think that we are. "
"830940","834700"," Let's also take a quick look at the 30 minute chart here."
"835660","837720"," And just so you can get some context right."
"837840","840040"," Just just get some context here. "
"848100","850580"," It's a nice little context right here right."
"850940","851720"," So you can see this."
"853880","855640"," One, two, three. "
"855740","856520"," Nice blast up."
"856780","857040"," Whoop."
"857500","858300"," Daddy I love you. "
"858800","858840"," Right."
"859260","859760"," Come back down."
"860100","861020"," Slam into that daily trigger. "
"861880","862900"," Right back up here."
"863540","864260"," Talk to you about."
"864660","868240"," Talk to you about coming into this on Friday and being told no. "
"868240","870560"," We're right back down again."
"870660","870880"," Okay."
"870880","872040"," So just be aware of that. "
"872200","874580"," They're going to try to sell you here right now where we are today."
"874980","875780"," But I don't."
"875780","876460"," I don't know if it is. "
"876620","877580"," It's either today or tomorrow."
"877720","880160"," They should commit and try to sell this right back down again."
"881120","882260"," Matter of fact yesterday. "
"882780","886140"," When I talked to some of you guys and there's some lower targets down here."
"886460","888540"," But there's a giant move coming up here."
"888880","890960"," And I don't know where this is here. "
"891640","893020"," Where this dip is going to be to buy."
"893920","894880"," We'll talk about that as well."
"894880","898400"," Where we think it is and where we think we're going and we should have one more. "
"898580","899640"," One more squeeze."
"900740","906300"," I'm going to call it a squeeze because this squeeze should result in a big down move."
"907980","911660"," Into late March 21st, 20th of March, something like that. "
"912320","915400"," Pretty significant correction coming up."
"915740","916980"," In the springtime."
"917440","920580"," Should now it doesn't mean that it's guaranteed that's how it's going to go. "
"921420","926940"," But we're going to we're looking forward with a plan to that and we'll trade what's in front of us."
"927760","931140"," You know we do it day by day by price action of course but."
"932500","933440"," We are at least. "
"933940","935760"," Hey this is what we think is going to happen down the road."
"936160","936440"," It's wrong."
"937240","938380"," We'll adjust to it right. "
"938600","940060"," But we're always thinking ahead of it."
"940400","943280"," I saw someone yesterday on fin to it."
"943920","947100"," Bring up how shocked they are. "
"949380","955740"," And how many people don't have a plan how they enter trade how they exit a trade that goes against"
"955740","959320"," them how they exit to they double down is their thesis right the timing is wrong."
"960540","962720"," Your entire trade being planned out right."
"963160","968280"," We talk about that here frequently don't we spend a lot of time on matter of fact I think two"
"968280","971880"," days ago or three days ago we are three sessions ago that we were together. "
"972680","976640"," That I laid out trade we start to finish right."
"976980","982280"," I was like we're going to do this this this this this this and the moment that it fails we"
"982280","985460"," know to exit our trade right it's not going the way that we want it."
"985820","991340"," And if we take this trade what's our percentage of winning from the point that we take that trade. "
"992000","997100"," Like here's that we have a 30% chance or 15% chance 30% chance 60% chance 80"
"997100","998540"," plus chance to make money."
"999440","1005560"," At different places and why are that why are we at 15% why are we at 30 where where's"
"1005560","1007000"," the fail points in that trade."
"1010600","1014360"," So we're going to go over earnings today at some point. "
"1014920","1021440"," We're what waiting for a check a back check here on the hourly trigger to confirm if the move is"
"1021440","1023780"," higher into Friday now from my perspective."
"1023780","1027339"," My price target on Friday was 475."
"1028660","1034200"," I think that is top for this week at least personally I could be wrong there. "
"1035040","1039400"," We could bounce off this hourly trigger and trade for 80 or whatever but."
"1040520","1041440"," I'm on team."
"1043079","1049020"," I'm on team park the bus into the end of the week somewhere around that 40 47 50. "
"1051980","1057080"," 4750 and down to 4,700 and then a slow bleed out into the end of the month."
"1057760","1059300"," That doesn't mean we'll have some cool trades."
"1059600","1061160"," We'll have some cool trades in this earnings season. "
"1061320","1064500"," We have some fun this earnings season but that's what I'm expecting here at least."
"1067680","1069740"," All right let me just check these one more time here."
"1070700","1072320"," That looks right there for me. "
"1077040","1080020"," All right so I'm going to go over a few things with you we're going to I'm going to catch"
"1080020","1080940"," you up to the market."
"1080940","1084660"," And we're going to have a quick chat about the market for today."
"1085200","1087660"," I'm going to read some notes to you this morning. "
"1090100","1091400"," One quick second here."
"1094720","1097600"," Let me check gamma this morning too by the way."
"1099240","1103460"," I'm going to make sure that we're the same on gamma this morning make sure I'm not telling you one"
"1103460","1105360"," thing in the game pictures change. "
"1106140","1109540"," So I talked to you about the gamma that's rolling off into this Friday."
"1110240","1113480"," It's about half of the call gamma that's in the market."
"1113840","1118620"," There is another you know the the call game that's running off the market. "
"1118620","1122280"," The market is still developing call gamma though to the upside."
"1123240","1126880"," So we'll we'll wait and see how that works itself out."
"1129720","1131040"," Put that in there. "
"1131640","1132380"," Yes we're good."
"1132620","1134200"," Oh no the gamma flip is slightly lower."
"1136940","1141820"," It's 47.50 or 47.48 or something. "
"1146360","1150040"," 47.49 so just below 47.50 on SPX."
"1150680","1151560"," It's gone down slightly."
"1152440","1154020"," I'm going to leave this up for you right now. "
"1154120","1156160"," Look the bottom right hand side of your screen."
"1157880","1158900"," Look down here."
"1159640","1164140"," This is your gamma flip right there. "
"1165660","1170220"," We're just going to check and see the behavior on that flip see if it holds or not."
"1174460","1175420"," Let me bring that."
"1175680","1176740"," I thought I had gamma flip. "
"1176960","1177420"," Yeah here we go."
"1178240","1179400"," I'm going to move this over."
"1180920","1182960"," Here's the SPX gamma flip right here. "
"1192740","1195100"," We're going to see if that holds right there or not."
"1195100","1202600"," And also note two we have a gap on SPX down just above the five minute trigger."
"1203080","1209260"," So it is possible you could see like a quick break down below and then a recovery. "
"1209500","1212620"," So it might not bounce exactly off of right here because I'm just looking at this."
"1213140","1217400"," I'm looking at this gap that needs filled on SPX small gap down there."
"1225240","1226400"," Oh yeah, I sold right. "
"1226600","1228320"," I was I was 100% of the money."
"1228780","1230780"," So 475 was top for me."
"1230960","1232900"," So I was out right on the open this morning. "
"1233420","1234720"," And I didn't say something about it."
"1234820","1236700"," I think when the stream came up that I was closing them."
"1236840","1238620"," So I closed them or whatever. "
"1240380","1241160"," Good question."
"1246060","1247800"," Let me read some stuff to you."
"1248560","1253400"," Feds Raphael Bostick the voting member of course says he doesn't expect the fed to start cutting"
"1253400","1255460"," rates until the third quarter. "
"1256600","1259540"," Until the third quarter according according to Bloomberg."
"1260020","1260520"," So key three."
"1261320","1262520"," They want to start cutting. "
"1264120","1264800"," That's bizarre."
"1265920","1266760"," That's not bizarre."
"1267020","1267740"," You know what the truth is. "
"1268480","1269780"," We talk about it right."
"1270680","1272260"," We're not getting any fucking cuts."
"1272260","1276600"," And they're going to fraudulently report fraudulent numbers. "
"1276960","1280620"," It's the highest point of fraud and from the fed."
"1281600","1287580"," And they're going to massage the numbers and they're going to massage the inverted yield curve and"
"1287580","1288320"," get used to it."
"1289700","1292860"," If you want to know when they're going to likely cut if they were going"
"1292860","1302240"," to cut. "
"1302780","1305220"," Volatility into the election we should drop into September."
"1306420","1308520"," And they're talking about cutting at that point."
"1308940","1310540"," And then that ball is going to kick off. "
"1311180","1313220"," The market's going to moon."
"1313640","1314780"," It's going to straight fucking moon."
"1316420","1318520"," So I don't know if I see those cuts at that point. "
"1319800","1321700"," And it doesn't answer the question either."
"1321940","1322640"," Like here's another thing."
"1323120","1325540"," When you guys hear about when you guys hear about. "
"1327800","1330140"," Like Hey, what does bag holder mean?"
"1330420","1330500"," Right?"
"1330700","1335180"," There's a whole story behind like bag holder is not something that was just made up."
"1335260","1338480"," It has to do with the bag being empty being filled along the way."
"1338520","1341660"," And then people convincing each other that there's still room in the bag. "
"1342400","1343720"," You become the bag holder."
"1343980","1344480"," It's not empty."
"1344800","1345620"," It's actually full. "
"1346720","1346900"," Right?"
