"start","end","text"
"380","2120"," Let's welcome in the founder of Appaloosa Management."
"2440","3300"," Now, David, welcome back."
"3440","4360"," Thanks so much for being with us. "
"5120","5760"," How are you doing?"
"6160","6580"," I'm good."
"6940","7320"," I'm good."
"7440","11660"," It's great to have you, especially at a time where stocks are basically hanging around record"
"11660","12020"," highs. "
"12740","14860"," The 10-year, the yield's been ticking up."
"15239","16860"," I said it touched 170 earlier."
"17160","17980"," It's dropped a little bit back. "
"18140","19600"," Do you like the equity market here?"
"19600","25510"," Do you mean like I like you, Scott, or are you talking about like on a personal basis?"
"26250","29190"," Personal, professional, however you want to characterize it, David?"
"30090","34630"," Look, I like it as a long-term instrument that I think everybody needs in their portfolio."
"37830","38330"," Okay."
"38330","46350"," Do you like it for the risk reward right now in stocks given where valuations are relative to where"
"46350","46850"," rates are?"
"48390","52910"," As a trader, trader, you're asking me, as a trader or as an investor, Scott?"
"56450","57310"," Hello, traders. "
"58030","62050"," Captain Jim James here with your daily brief for the week of Thanksgiving."
"62990","67290"," So this is going to be an interesting video for the upcoming week."
"67290","72470"," Looking at the screen or here, you can see that we have the Fed Chair. "
"72830","77310"," We know that the Fed Chair will be announced at some point this week before Thanksgiving."
"78030","83990"," If the Fed Chair was nominated and anyone thought that the nomination would disrupt the markets,"
"83990","89550"," that that nomination would take place over the weekend or outside of market hours."
"89550","96630"," The longer that we don't hear who the Fed Chair is, the more likely it becomes J-POW. "
"96890","102510"," Now, I did post on Twitter that Lael Bernard would also be very positive for the market."
"103390","109130"," You should still look at the bear case for Lael Bernard if she's nominated."
"109130","118910"," Have some concern in that as when you look back in history on changes to the Fed Chair, they can"
"118910","123270"," become the hatchet men, even if they are perceived as bullish. "
"123770","124790"," So just keep that in mind."
"124950","127789"," And she is considered overly bullish for the stock market."
"127789","135750"," But if it's not J-POW and it is Bernard, it's possible like Carter did with Vocalar back in the,"
"136050","138190"," I think it was 79 or E."
"138570","145610"," He was anticipated to be dovish, but in reality Carter wanted inflation to move down so he would"
"145610","146390"," win reelection. "
"147270","148390"," Now that didn't work out for him."
"149150","152530"," So I don't know how that impacts this time around, right?"
"152530","153850"," But keep that in mind."
"154410","159750"," I think the reaction with Bernard is going to be positive for the market, but with the market"
"159750","161550"," doesn't like his uncertainty. "
"161710","165190"," They don't care if the uncertainty is positive or negative."
"165530","167950"," They really like status quo."
"168770","170090"," So consider that with Bernard. "
"170430","175370"," The rest of them are pretty much dovish except for Bostick and there's a couple others."
"176350","179330"," That would be bearish for the market."
"179710","186150"," But I would expect if he got a bearish Fed Chair nomination, it would have happened this past"
"186150","186490"," weekend. "
"186990","194550"," Or if we don't tear anything on what by Wednesday, they might be saving a bearish or even something"
"194550","198370"," that could disrupt the market for Thursday or on the weekend."
"199630","201790"," Thanksgiving or the weekend coming up."
"202190","206630"," Even if it's anything, anybody other than Jay Powell, they're probably going to save it for"
"206630","208990"," Thursday or the weekend or non trading hours. "
"209370","217570"," Jay Powell is, we are, we have, we are pricing in rates for the Jay Powell plan, right?"
"217930","222290"," So if he gets redominated or if he's given the seat, right?"
"222290","230630"," And it's the status quo and the market should be the least disruptive with the plan that we are on"
"230630","230990"," right now."
"231370","239510"," The idea behind Bernard being disruptive to the market on the upside is that they were, did float"
"239510","240050"," this week."
