"start","end","text"
"3110","4650"," We got going on here."
"5170","10290"," This leader is provided to permit the projectionist to complete adjustment of focus and sound level"
"10290","12050"," before the film begins."
"26350","27350"," Alright, here we go. "
"30750","39150"," Take the money and run."
"70870","79440"," Let's get this"
"79440","86860"," started here to be an interesting day here, we're going to get right into it."
"97420","103380"," Okay, so right away, I want to tell you guys something, I'm going to mute this CMBC here in the"
"103380","103700"," background. "
"106020","114040"," Alright, so just quickly, okay, so this is our three right here, so I need to be aware of this"
"114040","115040"," right on the opening bell."
"115600","120760"," This is pretty much normally the top, okay, and we're opening on that part."
"120820","124660"," Two minutes, Tom, now at 9.45 AM Eastern time, do you see this?"
"126420","129500"," So we are at our three right on the open this morning. "
"129720","133380"," We can trade higher now."
"133380","143360"," Now, the cell is right here in between 4 and 8,"
"143580","153480"," 31 and 4, 89, 38 or 39, anyway, it's somewhere in here, okay, so this is a"
"153480","156100"," normal like big time cell signal right here, okay."
"157820","167220"," We, very, we're talking like 2% of the time, will we trade above here today, okay, so just be"
"167220","169580"," careful of, take the money and run. "
"170100","179640"," Now, I'm saying that to you also because the next level above this is extremely high, it's like"
"179640","187980"," way, way, way up here, so it's not that we can't go up here,"
"188460","193360"," but it's extremely, it's pretty high up, okay."
"194300","198780"," So you're talking about just look at this here, so do I think you can squeeze up here today?"
"199620","207680"," Probably not to 500, okay, but you can later on in the week stuff like that if we get a"
"207680","213140"," good, more good tech report, stuff like that, just be aware that where we are right now this"
"213140","221900"," morning, we're likely going to sell right where we are, and even if we come up, sometimes we'll"
"221900","227860"," oftentimes like do a quick back check, spam straight up and tag this upper range in here, that is"
"227860","230960"," possible today, but I wouldn't be expecting more than that."
"231040","237580"," So we're pretty close to, I take the money and run kind of a situation, depending on how much risk"
"237580","238100"," you want to put up. "
"238100","243000"," If you were holding zero dates overnight, this is the place for you to take the money and run, even"
"243000","246960"," if we come up here and retest this in regular cash market and then begin to roll down, even if"
"246960","251860"," we squeeze up here, if you were long overnight, remember yesterday when we were closing the stream"
"251860","260920"," down after the reports, I said, do you to expect the narrative to be extremely bullish for the rest"
"260920","263680"," of these companies that are going to be reporting?"
"264440","265640"," Why is that not on?"
"265780","270660"," Hold on a second here, are we not switching between these two, something's going on here."
"272520","280740"," Anyway, at any rate, my point here is that when we have a bad Netflix report,"
"281260","289460"," we were joking yesterday about CNBC will come out and get negative, you'll see negativity around"
"289460","297580"," the market where it will impact other tech stocks, others' tech stocks will sell off and bleed and"
"297580","298440"," all that kind of stuff."
"299240","302800"," And as we were closing the stream yesterday, I said to you, don't expect that, right?"
"302880","308100"," You're going to expect positivity in the market based upon Netflix's report. "
"308780","313620"," Now saying that, right, all of that can go out the window on the next report."
"314000","319140"," There are many years where we'll get a Netflix report or many quarters where we'll get a bad net,"
"319140","324820"," not many, but we'll get a bad Netflix report, let's say, right, and then we have following reports"
"324820","325700"," that are positive."
"326540","330180"," So keep that in mind just in the rest of the reports in the week. "
"330700","336360"," This effect is wonderful, it's being monetized today, so just be aware of it."
"336460","341140"," I'm still bullish on the week, I'm bullish here, all that kind of stuff for the rest of this week,"
"341180","347140"," but I want you to still understand that there are pullbacks along the way."
"349180","353560"," And all it takes is one or two battery ports for this glow to go away. "
"353840","357620"," So just be aware of that as the week progresses and the inverse holds true as well."
"357740","362300"," You can see like bearishness in the market if Netflix had had a bad report like in previous"
"362300","366880"," quarters, but then all of a sudden we get great reports from other companies and they make the"
"366880","368680"," market perk up to the upside."
"368860","371000"," So just that inverse correlation there. "
"372600","373820"," Now, so I'd be taking the money."
"373820","380760"," It was me personally, if you were holding overnight on that bullish thesis and glow for the"
"380760","384000"," markets, this is a place to take money and look for a dip to buy."
"384900","389620"," We know those dips are down below here in the hourly trigger and the half an hour trigger to the"
"389620","390080"," downsides. "
"390080","395600"," So if you're looking for a dip to buy, if you missed the close yesterday, if you missed the ramp"
"395600","401300"," up in the four to four 15 hour, if you missed all this overnight stuff, your dip by is lower,"
"401800","411780"," at least at a 484 91, and then we're also going to look at the four PM close and"
"411780","418220"," that was at just above this, it's right where the hourly trigger is."
