"start","end","text"
"53560","54760"," Check 1-2, baby."
"55000","59480"," Check 1-2."
"59700","61600"," You just want to take a look at that. "
"62460","63660"," I've got this stuff in the background."
"63840","64340"," I've got to do it."
"65620","66960"," Hope you're all doing well out there. "
"75940","78980"," You signed up for Discord and it kicked me out yesterday."
"79360","80120"," K Money's 75."
"80680","81240"," Just give me a second here. "
"94820","96300"," More and how's everybody doing out there?"
"97260","98900"," K Money's 75."
"100220","101340"," So I'll see you a few things."
"102560","104540"," I'm going to mention a few things to you. "
"106480","110080"," So, dude, what is going on?"
"115310","118350"," I've got some walking that's going out with YouTube this morning."
"119630","121450"," And YouTube, definitely."
"123310","124230"," Good morning, everybody. "
"128020","129600"," It's had railroad livestream real quick."
"132280","137560"," So we are opening this morning on the hourly trigger."
"138320","140300"," What is going on with YouTube this morning?"
"143640","146420"," I want to say I get some walking that's going on here in the background. "
"156160","156700"," Okay."
"157860","159440"," I'll check that out in the background."
"159780","160860"," I feel like YouTube, man. "
"161400","162480"," It's like YouTube."
"167110","167630"," Twitch."
"167730","175330"," Well, Twitch, you know, is more stable than YouTube, believe it or not. "
"182030","185550"," I probably go with Twitch being the most stable."
"188310","191510"," And then let's make sure you guys are all here this morning."
"191570","192110"," Good morning, everybody. "
"196450","198530"," Yeah, it's kind of where YouTube has some good stuff."
"198730","199830"," Twitch is the most stable."
"200250","201750"," Streamlabs is not stable. "
"202070","203030"," There's a better version."
"203330","205550"," There's a streamlabs that you can build from scratch."
"207090","208710"," That's stable, but it's like Linux. "
"209090","213130"," It only works for what you want it to do."
"213770","220370"," Now, off this open this morning, before you even open the bell this morning, this is the hourly"
"220370","221190"," trigger right here."
"229220","230860"," I don't know what you guys talking about here. "
"236690","237770"," So this is the hourly trigger."
"247820","250260"," I want to talk to you about the open here."
"250260","253280"," Let's try to get out early so I could do this with you. "
"266630","270970"," So price this morning is above the HD, right?"
"272950","281390"," And we have a bull plane forming"
"281390","284230"," here."
"289500","292460"," Now, coming into the morning, right?"
"294740","300500"," It's kind of like, I guess if you're a bull, you're like, yeah, price can get up here."
"303320","305480"," You should get a confirmation and make our way higher. "
"306120","310780"," I think this lies this morning on the opening bell."
"310880","316360"," It's five minutes left to the open, but you know, if you didn't have this hourly trigger."
"318320","323280"," Your first thought here would be as long as price gets above 4, 2, 7, 10. "
"325320","327100"," We'll likely go up here, right?"
"327360","328000"," It's forming, right?"
"328280","329880"," This looks bullish on the open."
"331020","339040"," Our lead trigger, though, also on its own tells you if price can come up, it'll likely go up."
"340460","342700"," This is where two things are important. "
"343580","350540"," The first one would be the first one would be a velocity."
"350960","359040"," And the second one would be the rules that you have is not doing up here."
"359460","361340"," It doesn't hold on a retest. "
"364560","366320"," So can price action win?"
"367340","367840"," Yes."
"371880","375980"," But this is where you really want to be watching your rules, even if we go up on this bell."
"376440","377040"," This is my point. "
"377580","379080"," Now, I think we're going down on the bell."
"382710","386090"," I think this is a bearish cluster here."
"388310","394170"," But even if we go up on this bell, the rules are there for a reason. "
"394170","401370"," And I think today might be one of those days where it could be a bull trap here."
"402230","409270"," If there's a bull trap here, hopefully we can see it together as a group so that we can discuss"
"409270","409790"," it, right?"
"410470","414950"," These are the pitfalls for most traders without an edge."
"416050","419710"," It works seven times, works six times, works nine times. "
"424590","426670"," And you really need an edge."
"426850","428290"," You need an edge over the market."
"428650","429590"," Very hard to get. "
"429810","430730"," Not an easy thing to get."
"438530","440790"," It doesn't really matter if we go up here."
"441250","448210"," You need to have an edge at all times, whether we go up, whether we go down, you must have"
"448210","448630"," an edge. "
"448630","449430"," It's required."
"449930","453390"," I'll be honest, like 70% of traders are failures."
"455430","461690"," And then in that small group, a bunch of them still blow up accounts every two, three years, four"
"461690","462390"," years, five years. "
"462810","463230"," I've been there."
"465350","468310"," I've blown up accounts, even when I was a good trader."
"468790","471670"," So you're looking for some kind of an edge in here. "
"472810","479030"," And if there's no edge, sometimes you sit on your hands for price action to show you."
"486960","490600"," I see some of my microphone sounds different this morning."
"490860","491140"," It's possible. "
"492780","496960"," I think I've got some weird shit going on in the background of the broadcast."
"499260","504420"," I've got all kinds of stuff happening."
"509620","514960"," I've got technical issues in the background, which are not my fault. "
"515220","521820"," Things I try to work on sometimes that bleed over into a live broadcast."
"522039","523000"," Live broadcasts are weird."
"523400","524700"," You go with what you got. "
"525120","526260"," Sometimes it doesn't even go."
"536970","540050"," Sometimes you all think that I'm just not wanting to come on."
"540050","548310"," But sometimes it's a tweet this out now. "
"558690","568040"," So just on this open this morning, one of the things telling me that we're going down here."
"570880","573200"," I've got the S&P 500's bearish."
"573200","573980"," I agree. "
"575140","578760"," And just on this opening by, you can see us bleeding down below the hourly trigger."
"578920","584640"," Economy growing 5 spots 6% in 2023 and 4 spots 6% in 2024."
"585060","592500"," World Bank sees euro area economy grow up 0 spot 4% in 2023 and 1 spot 3% in"
"592500","593120"," 2024. "
"593720","600040"," And sees the US economy growing 1 spot 1% in 2023 and 0 spot 8% in 2024."
