"start","end","text"
"4740","6360"," I think I make some playlists."
"7039","8580"," I need to hire my kids."
"9040","9800"," That's what I need to do. "
"11420","15250"," And where's my water?"
"16650","17930"," Let's see if we're live."
"24660","25600"," Alright, sweet."
"28980","30080"," We are live. "
"71860","78010"," If anyone's here right now, let me just a second."
"102220","103440"," Can people show it up?"
"103980","104580"," Right on."
"105700","106840"," Do I have a boyfriend?"
"107180","114360"," Brad, Matt, Betty, Mac, William, Juice, 3.89, Brad, Curtis, Rob, Benjamin, Binky, John, Troy. "
"115080","120860"," All the way, Ben, Matthew, Michiche, Chaz."
"121500","122500"," Good to see all of you."
"123960","126000"," She got a solid post on Twitter then, too. "
"130300","130840"," Happy holidays."
"131180","132560"," Anybody that's celebrating a holiday today?"
"150510","151890"," Hello, Frotron."
"153370","155710"," Omar, how are you, ex, Garrett, endless. "
"156970","159130"," Jasmine, Joe, Bobcat, Missy."
"159730","160650"," Good to see everybody."
"163010","164490"," Hope everybody's doing well. "
"165430","168490"," Let me change my brightness level here."
"176860","176980"," Okay."
"178240","178820"," Hey, Guac. "
"179800","180660"," The King Kong."
"180820","181340"," Good to see you."
"184030","185790"," Hope everybody's doing well this evening. "
"188760","193620"," Before we get into, we'll, we'll, we'll, we'll let people pile in here."
"195220","196980"," My numbing day today."
"198020","198640"," Yeah. "
"198960","200820"," So we'll talk about that."
"204440","209760"," It's not, it's not all bad right now, but there are some forces in the market."
"210300","212800"," You know, we had OPEC's this past week. "
"213400","218630"," The month actually wraps up and the quarter still continues to wrap up as we head into."
"219750","220870"," The 31st."
"221510","225690"," And we're all really positioning for January through March. "
"226150","229490"," Some of us just have more weight than others, right?"
"233070","235930"," We missed your soothing voice during the mayhem today."
"236430","237690"," Yeah, you know, I got cut."
"237990","239090"," So I had a couple of issues. "
"239210","243630"," I had my children were away at their grandmother's house."
"243630","245730"," They came back home this afternoon."
"246190","247850"," I didn't really have too much. "
"247850","249790"," Of an option."
"249830","253610"," It's weird too, because I put on a long spy call."
"254310","257390"," This morning, and then I bought at end of day. "
"258510","260230"," A hedge as well."
"260529","264330"," So I'm invariably, I'm in a straddle type situation myself right now."
"266460","269760"," It was what's surprising about this straddle that I'm in. "
"270240","272180"," They're, they have different dates."
"273220","276500"," And I believe they both will both sides will print."
"276500","280140"," In some fashion, both will be green at some point. "
"285040","286900"," Nvidia even crew looks strong."
"287860","289220"," Holding Nvidia weeklies."
"289940","291680"," Love all of you guys out there. "
"292180","295860"," I wish I could have been here for you at part of the day at least today."
"296300","298700"," You have me back tomorrow full time."
"299300","301980"," Things have settled down around here slightly, I hope. "
"303580","305120"," As you know, it is the holidays."
"305460","305920"," Things are crazy."
"306720","309520"," Kids out of school got family and friends coming around. "
"310360","314720"," So there are parts of the day where I can't be here 100% of the time."
"317590","319030"," Yes, sir, a family first."
"319610","319830"," Yeah. "
"319990","323350"," And I, you know, it's weird because my youngest daughter, I hadn't seen her in a few days."
"325150","328010"," And we ended up cuddling later in the afternoon today."
"328570","333530"," And all she wanted to do is play some Roblox and sign up for the, I gave her. "
"333530","337090"," Her first Roblox money."
"337290","338530"," She's never had Roblox money."
"339670","344030"," And she doesn't know how to upload the card and all that kind of stuff. "
"350600","351960"," Excuse my coughing too."
"352280","353220"," I've been talking a lot."
"354280","359160"," Not sick or anything, but I've got a sore throat from speaking so much of the mornings. "
"360600","363460"," So I've had to get some, I got the old school loutins."
"364240","368280"," That you remember when you're a kid and your school wouldn't allow you to have cough drops."
"368880","371860"," If there were loutins, I don't know if anybody remembers loutins. "
"372240","376760"," There are basically candy that you could pretend you could eat candy in school when you weren't"
"376760","377300"," allowed to."
"383220","386940"," Yeah, I did want to mention that before we get started too."
"387460","391480"," I was so impressed today looking at the chats and people helping each other out. "
"391840","393580"," It really made my day seeing that."
"393580","397680"," I wanted to talk briefly about discord on that topic as well."
"398560","402580"," You know what we can do is you can stay connected in your regular. "
"403680","407400"," If you only have one screen or two screens out there."
"407440","410260"," If any of you are trading on like laptops, desktops, that kind of stuff."
"410900","413720"," We're discord because I'm in a couple, I'm in a few discords. "
"415000","420560"," Now, let's say I spend majority of my time on Twitter."
"421980","424160"," For my social media interaction."
"424780","429020"," But when I have a discord that I have that I'd have unmuted. "
"429580","436420"," Even if the screener is not up, I'll get little pop up boxes that keep me abreast of whatever the"
"436420","437800"," conversation is."
"438340","441900"," On that discord channel that I'm trying to pay attention to."
"441900","447160"," And I know discords can become very, there's too much clutter or. "
"449220","451040"," There's too many speakers."
"453600","457220"," Or people can be really mean and discord sometimes."
"457820","464920"," I can sometimes be a group think that goes on in discord that. "
"465660","468080"," It can be positive or it can be negative."
"468080","470660"," But sometimes they're really good."
"471000","472600"," The best discords that I've seen. "
"474820","477860"," Usually there are very few channels."
"478600","479960"," One, two or three."
"480880","484800"," There's usually a dedicated group of people that are. "
"485600","486800"," Actively trading."
"487260","489720"," Either futures or cash markets."
"490420","493560"," If you have that dedicated group that are. "
"493960","496500"," Actually trading the market day in day out."
"497140","499600"," Those tend to be some very productive channels."
"501260","504940"," And you need to have the bears and the bulls get along. "
"506080","508960"," And be traders, be investors and be there to make money."
"509860","511080"," Or at least tacitly get along."
"511460","513460"," And then usually a third channel for investors. "
"514539","516020"," Where the investors talk."
"517000","518600"," Now if you guys want something like that."
"518600","521360"," I can buy a taste art. "
"521960","523900"," Trading ticks has some mods."
"524740","527500"," Where you can look for trade setups as well."
"528260","529700"," That actually is a pretty good program. "
"530320","531360"," It's trading ticks offers."
"532340","535380"," So it gives you some tools to use within a discord."
"538430","540330"," Yeah, it wouldn't be open to the public. "
"541190","544350"," The discord community, it would be something rigid and more structured."
"545830","547570"," So we would have to structure it for sure."
"548420","548730"," And. "
"550110","553630"," We really, you really want, and to be honest with you, you really want."
"555760","560940"," Active traders controlling the discussion that consistently make money."
