"start","end","text"
"10","10590"," Before the film begins, this"
"10590","15470"," leader is provided to permit the projectionist to complete adjustment of focus and sound level"
"15470","17230"," before the film begins."
"132180","133100"," Good morning."
"134280","135620"," Is there a dude out there?"
"137780","138840"," Just a second there. "
"139740","140760"," Morning Jason, how are you brother?"
"147880","148480"," Alright."
"150400","151500"," He's in here so far."
"151860","152720"," Don Moffy. "
"152780","153080"," Good morning."
"153200","153320"," Nino."
"153400","153800"," Good morning. "
"154540","154800"," Patel."
"156620","157100"," Omar."
"157500","157660"," Griff. "
"158200","158680"," Supergale."
"158920","159400"," Tapped in."
"160260","161260"," Phone on 99. "
"161560","161840"," Good morning."
"161980","162280"," Herushi."
"162400","162720"," Good morning. "
"162880","163220"," Dougie D."
"165380","165860"," Cruising."
"165940","166260"," Good morning."
"166480","166660"," Flama. "
"166760","167640"," Good morning."
"167940","168200"," Good morning."
"168200","168780"," Griff's in the house. "
"169120","169400"," Jason."
"169540","169660"," Andrew."
"169740","170200"," Salmarina. "
"170360","170500"," Wow."
"172140","173280"," Families in the house."
"173280","173800"," Vladimir. "
"173860","174920"," Richard Blanchett."
"175060","175300"," Jess."
"176360","176800"," Binky. "
"177400","177840"," Maria."
"178220","178580"," Marie."
"178820","179120"," Epps. "
"181820","182260"," Taylor."
"182400","183960"," R.S. Lehan."
"184640","184960"," Gary. "
"185260","185500"," Shelton."
"185620","187760"," How's everybody doing right now?"
"188880","190020"," We'll get right into it this morning."
"190160","191840"," We got a whole bunch of stuff going on today, don't we?"
"193440","194880"," We got the silver gate going on. "
"195040","196420"," Bitcoin selling off."
"198060","199780"," Market going up right now."
"200040","201420"," So we'll go to the mainstream real quick. "
"201420","203720"," Check that stuff out."
"204360","205240"," I got some work to do."
"205340","206720"," I didn't know my camera is so dark. "
"207520","209260"," I think it's the exposure or something."
"209880","211960"," I must have messed with it taking some photos of the kids."
"212860","214200"," Hope you're all doing well this morning. "
"215420","217460"," Just so we'll get right into it before the opening bell."
"218060","220720"," We've got only five minutes until the bell sound."
"221260","222300"," Four minutes until the bell goes. "
"223540","226520"," This is the automatic short from yesterday above here."
"227020","228900"," We'll talk about that this morning."
"228900","233440"," We're going to get a nice little gap up this morning to 429. "
"236760","237560"," Cool down here."
"239140","242400"," Kind of that kind of you can see here on book map that."
"245280","248680"," This is a this back here is one of the. "
"249340","249920"," Let me see."
"250040","250880"," Look at this here."
"251040","253060"," So far back to Zisco. "
"255420","257140"," Right in right in here."
"257140","260040"," Then I've got a top back here is back on."
"262880","264240"," 27th and 28th. "
"268920","272100"," Somewhere down in here is one more level just right where we are right now."
"272220","274140"," You can kind of see on book map where that is."
"275020","277860"," Now what I really want to say this morning is. "
"281240","283160"," The spy here and this is."
"285720","287620"," Part of my post here from."
"288880","290220"," That captains alpha. "
"291400","293920"," And what I'm going to do here is I'm going to mute."
"294480","297720"," You can see the ledge that we're sitting on right now on book map."
"298180","299980"," Just be aware of that as we open the. "
"300300","301680"," Open the morning here, but."
"302300","304370"," The key here that I'm watching is."
"305100","306560"," I'm going to move this down to. "
"307760","308980"," Right of that per minute."
"312300","313860"," So just on a daily."
"315140","317000"," It's a 30 minute chart right here. "
"317120","321480"," Just be aware of this on a 30 minute chart."
"321880","323420"," And this yellow box."
"323620","325260"," These yellow boxes that you see down here. "
"326420","328480"," Is daily velocity daily momentum."
"329620","332620"," So the concern here that I had in."
"333460","337600"," Well, I guess on live stream the past two days or two days ago is like we're going to squeeze"
"337600","337880"," up. "
"338500","340440"," We didn't squeeze and we finally squeezed yesterday."
"341940","348060"," And we squeezed overnight further up to that PT five and that those higher numbers didn't quite get"
"348060","350080"," to the automatic short number."
"350840","353160"," But in the daily trigger, I just want you to see this here. "
"355660","360880"," And specifically how we start we begin to roll into negative velocity down below."
"360880","363440"," And you can kind of see it forming over here."
"364640","368540"," This negative velocity on a daily trigger and I just want you to be aware of this as we come"
"368540","369040"," into today. "
"370640","372440"," Now we bottoming down here."
"373060","377160"," Is the question right is this is this an actual bottom down here and you can kind of see it"
"377160","377560"," down here."
"378680","380520"," While we have it back in December. "
"383140","386680"," And you can see it back over here, but there's some more down that took place."
"386860","388060"," This is back in October."
"388680","390900"," We had another roll over now. "
"390900","394700"," This is the hourly trigger, which is still looking bullish right now."
"395420","399920"," Though the one in the five minute are a little over over bought right now."
"400420","403880"," We could probably see some weakness right into the opening bell on the one and five. "
"404580","409080"," We really want to be watching this hourly and now we're opening at nine in another minute right"
"409080","409800"," nine twenty nine."
"410320","412200"," So let me bring this over here."
"412900","415980"," And somebody looking for some weakness on the opening bell. "
"416560","421740"," The big concern here of course is this negativity."
"422080","422500"," It's in the market."
"422640","424400"," We've got two examples of this. "
