"start","end","text"
"280","520"," All right."
"680","1620"," Let's see if this works now."
"5650","6130"," Okay. "
"23200","33100"," Just a second here, we'll get back to, uh, we'll start"
"33100","34960"," this over one more time here."
"59840","60940"," Let's make sure that I'm here."
"61260","62060"," Can you guys hear me?"
"62960","66980"," Yeah, you know, you see that Linus tech tip stuff yesterday too. "
"68720","70160"," And hang tight here."
"72000","74380"," Or did you see the Linus tech tip stuff yesterday?"
"75220","76960"," We're going to take this one and delete it."
"79140","81160"," Delete forever, yes sir. "
"82700","84740"," We're going to delete that forever."
"85120","88920"," We're going to make that enlisted maybe."
"90080","90500"," Public. "
"91280","92280"," I'm listed."
"92740","93260"," Save."
"95120","96480"," We're going to give you just a second area. "
"96640","97520"," A couple of things we've got to do."
"99500","100100"," Done."
"100700","100900"," Save. "
"104420","106480"," I just reset everything."
"110540","113630"," See here."
"114310","115890"," We will not be thwarted on a Friday. "
"115890","119350"," I apologize for that for the moment here."
"122110","123790"," It's, uh, sometimes."
"126930","131330"," Just save that in there. "
"131710","131850"," Edit."
"132090","133170"," Come on, baby, do it."
"133470","134290"," Give me a right back up there. "
"135450","136550"," Any duration."
"137290","139850"," This actually gives people time to get back in here again too."
"141670","143450"," Save and then, uh. "
"145490","146050"," Copy."
"153420","153980"," Tweet."
"155740","156620"," Send now. "
"157400","157960"," Okay."
"159180","160560"," Let's take our back on here again."
"161080","162960"," Back up and running and apologize for that. "
"165220","165880"," Hey, buddy."
"168940","169340"," Okay."
"169380","173760"," I'm going to delete this one right here. "
"175620","176020"," Delete."
"178460","180480"," Just make sure I get everything going here in the background."
"182340","183760"," We back on Twitch too. "
"184140","184760"," Yeah, good morning."
"184960","185320"," How are you doing?"
"185920","186900"," But had bangers."
"187140","194640"," What's going on, brother?"
"194640","195100"," Back on again. "
"195720","196340"," Nice."
"198520","199800"," All right."
"201400","202700"," Back on again. "
"203460","205820"," I kid you not."
"207420","209620"," Like the technical background stuff."
"209840","212080"," It's never ending. "
"213100","213780"," It literally is never."
"213940","216840"," The crazy part is, is that I opened up my task manager."
"217600","220740"," And I found like 18 instances of streamlabs running. "
"221080","224320"," I don't know if it was part of the processes when it got cut off or if it was."
"225880","227560"," Streamlabs is a disaster sometimes."
"228240","228860"," Uh, whatever. "
"229620","232420"," They reset my modem and my router at the same time, just in case."
"233200","236640"," Just try because I was downloading porn late night last night."
"237300","238740"," Uh, Hobbit porn. "
"239580","241980"," Hobbit, Hobbit, uh, ankle porn."
"242120","245060"," I have been expanding my, uh, expanding my, uh."
"249400","250420"," I don't know. "
"258680","259079"," Okay."
"259399","263460"," So, uh, a man of culture."
"266100","269360"," So I just get back over to this, uh, the spy chart real quick. "
"269500","270620"," We're going to show you a couple things here."
"277280","279380"," Uh, so just trend wise, right?"
"281240","282560"," Uh, just see if I can."
"284360","285200"," Hold on here, me. "
"297170","297910"," Okay, hold on."
"298030","298390"," This is going to help."
"302860","303620"," This is going to help. "
"305960","310720"," Actually, let me, uh, remove all the drawings here."
"312080","312400"," Okay."
"313980","316040"," Nice little squeeze going on right now, by the way. "
"317980","321040"," Um, this is what I want to show you here."
"322660","324980"," Because we all trade on different timelines."
"326860","331060"," And we all trade, like some people trade on, uh, they ask me questions, like you bearish or you're"
"331060","331260"," bullish. "
"331980","335700"," We'll ask you things like that and they'll say, and then they'll, you know, like we trade a one"
"335700","337340"," minute chart, sometimes a five minute chart."
"337900","341420"," Uh, they have to kind of pull back a little bit and see where we are in the market, right?"
"343100","344760"," Now this right now is a 30 minute chart."
"344880","348100"," I like this chart because the stock market tends to trade. "
"349100","354180"," On an hourly, uh, but on the half hour, the 15 minute, right?"
"354420","357680"," But it's like nine 30 until 10 30, 10 30 to 11 30."
"357880","359560"," So like the hour, I like the hour for trend."
"359700","362400"," I actually like the, uh, for like a super trend for our chart. "
"362660","364040"," I like that a lot as well."
"364600","368960"," Uh, but I'm looking at a chart, uh, for, for trend for over a period of time."
"369460","372500"," And deciding what, uh, tool you're going to use. "
"373300","376480"," In whether we're bearish or bullish."
"377800","383360"," If the market is supportive to buying, uh, or we have squeezes, but we're selling rips."
"384200","386540"," I tend to follow this, the yellow line right here. "
"387000","388400"," Uh, this is your daily trend."
"389780","397880"," And, uh, markets tend to, uh, when they're above or below, uh, prices below, we're trending down"
"397880","399980"," for prices above or trending up."
"399980","407200"," Uh, and oftentimes you'll get great interaction off of the hourly and the daily. "
"407780","409960"," And this is the green line right here is the hourly."
"411200","414360"," And you can actually kind of see sometimes too when we're bottoming out."
"414600","416700"," Very simply, even without looking at velocity. "
"417500","422960"," You can just, you can start to see a bottoming process and then on a negative and a topping process"
"422960","424720"," up here on positive, right?"
"424880","425560"," You can kind of see that."
"425560","430560"," Um, some kind of a bottoming process here, some kind of a topping process here, right?"
"431780","436800"," And you can also see, uh, when you start to get some confirmation once you're above, right?"
"437500","442280"," Um, and you like confirmation that you get to squeeze higher to a positive, uh, aspect."
"442540","447060"," And then you have some kind of a confirmation that you're going to continue to go up, right?"
"447540","451020"," You know that you can buy these dips on the hourly, right?"
"451020","456340"," So if we fall back to, uh, let's say we're above the daily and we, now, as a matter of"
"456340","458300"," fact, the spy right now sucks really bad. "
"458420","459300"," That's peace sucks, right?"
"459700","464440"," Whereas if I show you the Q's chart or if I show you a big tech chart, uh, how, how"
"464440","467060"," a ticker looks more bullish than other tickers."
"467060","473880"," I've shown you Tesla versus Apple Tesla versus Nvidia and what a healthy stock looks like versus"
"473880","475520"," something that's not as healthy."
"476200","482200"," And so just this green and yellow right here, uh, kind of gives you a perspective of where we are,"
"482200","483360"," uh, in trend. "
"484940","491200"," And just right now for the S&P 500, you can see that we're selling off of that daily, right?"
"491780","495800"," We're taking the opportunity to have a topping process going back back over here, right?"
"495960","500660"," We had this nice little run up here and we sell down and they're selling down and they're"
"500660","502580"," attempting to still sell down here."
"502580","503120"," You see that?"
"504580","509340"," And we're looking for some kind of a bottoming here to break above trend."
"509920","512340"," This daily and become bullish again. "
"512860","514179"," And even into yesterday's close."
"515080","516200"," Uh, we were closing yesterday."
"517020","518679"," Uh, I was asked, hey, you bullish or bear share?"
"518780","522179"," And I was like, yeah, it's really not a place for us to trade, uh, into this close. "
"522580","526040"," Well, no, well, I guess the last 15 minutes, like, yeah, we're going to squeeze up right here, but"
"526040","531280"," can't really take a trade with confidence, uh, as a bull until you get above there."
"531280","535720"," And you can kind of see how that played out, uh, into this morning's open, right?"
"536560","541140"," Futures and what we talked about this yesterday to the close, uh, that futures trade is going to"
"541140","543060"," look to be selling off of this in the overnight."
"543060","545020"," And that's what they did this morning, right?"
"545900","549840"," And so even right now, uh, this is a few things that we're looking for. "
"550680","551780"," So are we bottoming?"
"552200","553540"," Is the market bottoming?"
"553860","556680"," What is this price matter in this market bottoming process?"
"558100","559980"," And we'll take a look at it right here."
"559980","561120"," This is a 30 minute chart, right?"
"561180","562480"," It's going back into August."
"563100","564480"," All the way back into August here. "
"564840","566300"," And so we have a lower low here."
"566400","572200"," This is back on, um, October 17th, I think, somewhere in the 20th, I think the 17th was the big,"
"572280","572860"," or it was September."
"573560","575680"," In October, then we've got, uh, December here. "
"575980","577600"," We don't quite have a low yet."
"577960","580020"," So it's like a higher low, higher low, higher low."
"580060","583000"," So on a larger time frame, uh, this is kind of bullish, right?"
"583960","586300"," Uh, we have a low here, right?"
"586440","587920"," We got a high, new high, right?"
"587920","588820"," We got a higher low. "
"589160","590320"," We got a new high here."
"590460","592880"," We haven't quite gotten a new low down here."
"593040","595400"," So a longer time frame, it's still kind of bullish. "
"596300","600900"," Uh, the S&B 500 is still kind of bullish regardless of what you like to say or what bear"
"600900","603100"," likes to say, or even a bull likes to say."
"603280","606540"," It's still overall over time, uh, bullish here."
"606700","609800"," And you know that people want to get a low in the market right now. "
"610120","612240"," You hear people out there saying they want to get a low in the market."
"612500","614660"," You can see sellers trying to sell this market here."
"614660","617060"," We're going to go, go into some cycles in this. "
"617480","619300"," At some point this morning, we're going to talk about cycles."
"619840","621300"," And this is what it's all leading into is cycles."
"622640","625780"," And we haven't quite seen that bottoming process yet down here, right?"
"625900","626900"," You can actually see in velocity. "
"627880","628820"," This is just a daily."
"629560","631380"," Uh, you can see it's nice bottoming down here."
"631520","632860"," You can see it's nice bottoming down here. "
"633180","635380"," And you're kind of looking for signs of that right now."
"635880","638940"," Uh, over here for this part of this cycle, you kind of bottom out."
"639160","640720"," We also know that we're coming into April. "
"640980","643260"," This is one of the strongest months in the entire year."
"643740","645840"," Where you think March is strong."
"646320","652100"," You're actually looking for a bottom in March and April, um, traditionally to, uh, buy into"
"652100","652320"," strength. "
"653340","655900"," Uh, and then we can come in and it's usually becoming a cycle in summer."
"656340","658280"," That's kind of like a slow, slow thing, right?"
"658520","659700"," You take naps in the summertime."
"660180","664640"," Uh, you'll notice people that people at day trade are like, not enough in the middle of the day. "
"665220","667520"," Uh, looking for an entry, a buyer saw this market."
"667960","669580"," And so you kind of expect that."
"669580","676360"," Now what we're going to layer that over to with, um, cycles and debt cycles and some of the signs"
"676360","677560"," that we're seeing out there. "
"677800","681420"," And we're going to talk about the Fed as well and how they're impacting that right now."
"681920","684020"," Um, and you know, do we get this?"
"684200","686460"," I've been asked about the JPM caller."
"686880","687600"," JPM caller. "
"687600","689840"," We've got two actual magnets."
"690280","691580"," Well, potential magnets."
"692120","694680"," We've got a magnet above at four zero six zero. "
"694900","697480"," And then we have a magnet down at like thirty six hundred or something."
"697480","702660"," And the more that we trade up here, the less that magnet impacts on the low down here at thirty"
"702660","703220"," six hundred."
"703580","709560"," Uh, we tend to, we'll tend to want to actually, uh, be attracted to that four zero six zero on"
"709560","709860"," high. "
"710300","711980"," Uh, maybe trade sideways here."
"712340","715940"," And if you start to see this bottoming process take place, I'm going to show this on another chart"
"715940","716440"," here too."
"716920","718440"," Um, why price here?"
"719180","721400"," I'd be wary of a downward move at this point. "
"721760","725160"," And even if we get a downward move here at this point, let's say we get a bottoming."
"725740","729500"," Uh, and I'm going to show you back in some other, some previous bottoms."
"729980","733040"," Uh, you might get some kind of a deep bottom at some point. "
"733560","735320"," Uh, and it could be very fast."
"735360","738840"," Like, uh, if you're long a stock, I would not sell in that moment."
"739060","743460"," If you saw like a two or three day, uh, plunge here for a moment, I would not sell. "
"743780","747880"," I would stay in your position because it's likely going to swing right back on high again."
"748160","751320"," I wouldn't be something permanent likely, probability wise."
"752020","754120"," Uh, but I don't see a probability of this even happening. "
"754120","760340"," I doubt this happens, but if it does, uh, we have some kind of brief moments in the next month"
"760340","760700"," or two."
"761780","762880"," I don't even know if it's two."
"763080","765980"," I would say the end of this month into June or into April. "
"766560","768600"," You may, but it may not happen."
"769240","771940"," Uh, now, now remember that I say this here."
"773200","775180"," That's important that you remember that I say this here. "
"775420","779420"," And I'm going to show you a couple of other things here that are important for you to, um, to"
"779420","779940"," look at here."
"780540","781580"," Uh, so hold on a second."
"781580","782900"," I'm just going to find this here. "
"784220","790720"," Uh, cycles, uh, YouTube unnamed."
"792320","793180"," No blow to layout."
"794060","796060"," I'm going to find out a layout here for you. "
"797960","800260"," All the Macarean need and BI."
"800520","801500"," We're going to look at a couple of things here."
"804500","805200"," See that again. "
"805480","808700"," So, so on the first off on the, on the, on the market breath, right?"
"810820","811260"," Daily."
"811720","813040"," We're going to do an auto here."
"814820","818520"," And I want to show you, uh, just market breath here. "
"819080","819700"," Just briefly."
"819760","821140"," We're going to look at a couple of things here."
