"start","end","text"
"99780","101460"," Oh, yeah, somebody's coming in here."
"103830","107690"," You guys are all coming in sweet All right, hold on here."
"110090","111750"," Okay with you guys are showing up this morning. "
"111890","115630"," I haven't seen you guys in a few weeks You guys hear me this morning."
"115630","118630"," I think you can Good morning."
"118950","124430"," Let's say some let's say some good mornings Stocks anonymous is here right on James Rowan Sid"
"124430","134110"," Marcus Chan sue is here Dio clapping Gil fisted John SP Matthew Poots Darryl's here Nintendo"
"134110","138990"," master stocks on it's good to see your brother Stay humbled is here son spot pinky. "
"139110","139530"," What up, bro?"
"140090","146130"," Shit slammers here Matthew Poots Matthew fill up good morning, brother Gerald's here."
"146350","152970"," Who else is here this morning Gary Shelf's RS DR all kinds of people are here this morning Fuck"
"152970","155970"," yeah, well, I shouldn't have said fuck right in the first broadcast."
"156150","159570"," I'll be demonetized Kind of crazy, right?"
"160010","162090"," Turn this off and get right into it. "
"162150","162990"," We're gonna get right out of there."
"163350","168730"," We're gonna get right into it this morning, okay We're just a little some some chatting this"
"168730","169050"," morning."
"169410","171650"," Good to see everybody Everybody's here. "
"172070","175110"," It's really nice to see everybody here this morning Garrett's here."
"175290","175870"," Steven's here."
"176110","182230"," Jose's here Zavaco Mars soccer three two ones here and like a week he's here. "
"182330","183250"," What up, bro?"
"184590","191150"," Good to see a weekie chance who's here old school subscriber Followers here stocks anonymous is"
"191150","197090"," here who else there's Zach Burton showed up hot showed up Dan Brizzlin showed up Gary Shelf showed"
"197090","203230"," up I'll cut all kinds of people are in here this morning right on Let's get right into it real"
"203230","203370"," quick."
"203530","208550"," I got a bunch of stuff to go over this morning Just off the just off that open this morning."
"208730","212790"," We're gonna go over some stuff here My setup is my rig is kind of every time I trim a"
"212790","213110"," rig off. "
"213470","219810"," It wants to It wants to like re-update for a half an hour to an hour It's been out"
"219810","220270"," for three weeks."
"220270","225950"," So my my computer is not happy this morning I'll get trade the news up here up and running here"
"225950","226690"," for in just a moment."
"226830","232390"," I'll log into it Just briefly off the bell There's a few things for you be looking for I want"
"232390","239150"," you to check my cursor over here We can see this nice resistance above here at 3200. "
"239350","239730"," Okay."
"239830","240650"," This is 3206."
"241190","246810"," I've got that tag there There's some more resistance, which we just bounced off at 380. "
"247130","254890"," We talked about this earlier on Twitter So right here at 380 we had another band of resistance"
"254890","256290"," right up in here, right?"
"256829","260730"," So you can see that resistance down below You can see down here."
