"start","end","text"
"900","6260"," This leader is provided to permit the projectionist to complete adjustment of focus and sound level"
"6260","8000"," before the film begins."
"45660","47420"," Check on two, baby."
"48940","49820"," Yee-haw. "
"75260","76540"," Oh, wait, what did I do down there?"
"88040","89060"," Chaz, good morning."
"89220","89540"," How are you?"
"91420","92800"," Gee, daddy gold."
"99620","101720"," Good morning, everybody. "
"101720","102640"," How's everybody doing out there?"
"103000","104140"," Y'all doing well?"
"104760","106920"," Y'all ready to get another week started here?"
"107740","109240"," We can go up today."
"109760","120290"," I made a post this morning that made a post"
"120290","130110"," this morning that to let the markets open up, we'll see if sometimes"
"132580","135360"," the market can look like it's going up."
"135360","138760"," And I'll show you my reasoning at some point here in just a moment. "
"139680","148640"," It's one of those days where even if we're going up, it's sometimes better to let the"
"148640","151480"," market open up so that you can find the direction."
"154060","155460"," Same thing would hold true."
"155720","159400"," If we were going down in this bell, I would say the same thing to a bear. "
"161180","164220"," I would say, temperature expectations."
"166280","167140"," Let's see here."
"169880","172240"," And let the markets show you the direction. "
"172660","174300"," That would be the key this morning."
"182940","183920"," All right, I posed this."
"185300","186720"," Let's get straight into it. "
"188160","190840"," Trying to get the everything set up here in the background."
"193900","196020"," Let's have a look and see if we are range bound."
"196300","196860"," We might be. "
"197000","197920"," I think that we are."
"199880","203680"," Now we can break out of range, but just where my cursor is in here."
"204200","205320"," Let's keep an eye on this. "
"207620","210160"," I'll explain to you why in just a moment."
"211480","212680"," My thoughts here."
"215780","219580"," On this Monday, my thoughts here are that. "
"223980","227460"," You let the market open up and find a direction."
"227880","230180"," I don't think it would matter if we're going up or down this morning."
"231760","234120"," I would temp your expectations if you're a bear. "
"234320","236900"," I would temper your expectations if you're a bull."
"239920","243800"," I would let the markets show you the direction that we're heading in."
"244740","247820"," That sounds counter to productive. "
"248120","248840"," You want to call it."
"252670","255610"," And say we're going here, point your finger or whatever it is you're going to say."
"255790","256390"," If I had to guess. "
"258950","263270"," It's going to be like a rainbow sideways and down to consolidation."
"265390","272710"," We also have, you know, yelling on deck at some point around 10 a.m. Not on deck, but let"
"272710","273530"," me see if I get this right."
"274390","275370"," Keep that up. "
"277890","279850"," We're going to close that up here in just a minute."
"281910","284310"," I'm going to show you guys what I'm talking about here."
"286730","288090"," Hope everybody had a great weekend. "
"289370","291530"," I had a great week last week."
"291750","294670"," So I ended up taking off some time and."
"298550","299990"," I've been I've been. "
"301030","303030"," Well, I'm thinking about selling my boat."
"304510","308130"," And while I'm thinking about that, I'm also provisioning."
"309450","312070"," We had a late spring and. "
"313590","315950"," I was provisioning for."
"318970","322390"," The upcoming season for hiking, biking, camping."
"323930","327530"," Oh, subboarding, kayaking, sailing, all that kind of stuff. "
"330430","333790"," So seeing from a poll here, a Canadian home prices are to fall."
"333890","337670"," A median of eight spot 9% this year versus a 12% fall."
"337810","342490"," If that was seen in the March poll, same poll states that Canada's average home prices are to rise"
"342490","342790"," to. "
"342970","344930"," I'm going to mute this this here for you."
"344930","347570"," Now, just off of."
"349690","351090"," We're going to take a look at something here. "
"354690","356230"," Just off of this open."
"357210","358550"," Normally I would say."
"364280","365580"," We're going up here. "
"368800","370960"," Let me meet some of this stuff here."
"374000","374980"," Does a bull."
"378790","381030"," Move some of the songs stuff down here. "
"381510","382010"," Get some walking."
"382270","382770"," I got some walking."
"382970","383690"," It's going on this morning. "
"384170","385090"," It's what takes me forever."
"385130","386850"," Sometimes this kind of stuff here."
"390570","393170"," I've got like some screens set to. "
"394270","399550"," 60% some screen set to 90% off this opening bell right here."
"400290","404590"," Is there anything stopping us from just ripping faces off on this boat?"
"404590","405470"," No, nothing."
"408330","410430"," Can we like rip some faces off here?"
"410550","411210"," Grab that 430. "
"413450","415630"," Bounce along and then consolidate down."
"416070","416350"," Absolutely."
"417150","418110"," We do that off this bell?"
"418490","418810"," Absolutely. "
"420470","423110"," Can we get velocity to keep going higher?"
"423570","423610"," Sure."
"425630","428250"," Is there a trap up here for bulls more than likely?"
"428870","430210"," Where do I like to buy down here?"
"430210","431710"," Call me Kirsten down here."
"432530","433490"," That's where I like to buy. "
"434710","437130"," If you're a bear, you want to sell this, right?"
"437370","438690"," Or take profit Friday."
"439030","439490"," Take profit."
"439770","440470"," We talked about that. "
"443390","447330"," You can kind of see here."
"448010","449390"," Like, what do I want to do?"
"450250","453550"," I'm sure you've got bulls out there just saying buy the dip by the dip."
"453890","455490"," And we can get another bump up here. "
"456950","460590"," But it does result in some sort of catastrophe."
"461130","462210"," Even if we get up there."
"462530","465510"," So, enter today if you wanted to buy that dip as long as it showed itself. "
"465810","469070"," We are coming into hourly velocity tag here."
"469530","472710"," It could be short lived as my points and then some kind of a roll."
"473090","475710"," This roll, though, I don't think it's as deep as you think it is. "
"476790","482970"," We also have some treasuries being, some T-bills being sold today, I believe at 10 a.m. But just"
"482970","486070"," for me, when I'm buying a, when I'm looking to buy a dip, I'm a bull, right?"
"486210","487850"," When I'm looking to buy it up, I'm trying to buy down here."
"487850","488910"," Trying to buy that."
"489530","490630"," Trying to buy this. "
"491830","500510"," I want that sustained run trade in some kind of, uh, some kind of, uh, comfort, right?"
"502130","503930"," And I don't want it to be short lived."
"504170","508970"," If you end up getting this range, let's say you get yelling, say some nonsense, you come back down"
"508970","513909"," here and then you get your range bound sideways trade that kind of sets itself up over time."
"513929","514190"," Okay. "
"514650","516289"," Just be conscious of this."
"516289","521770"," I know that, uh, I know the bulls are, you know, fever, feverly wanting to just buy this opening"
"521770","522150"," bell."
"522970","524050"," The next two minutes. "
"524050","525750"," So just the spy specifically."
"527470","529010"," We'll look at the cues real quick."
"529790","530870"," We're looking at NDX. "
"533950","534890"," That's NDQ."
"538710","539670"," NASDAQ 100."
"540210","543190"," You know, the NASDAQ 100, not showing it as much. "
"543710","546330"," It is the Arley's racing up."
"546750","548350"," You see this role here?"
"549050","550710"," You get a little bit of down in here, maybe."
"551590","553030"," This comes down, right?"
"554710","556010"," NASDAQ kind of cools. "
"556090","558150"," It's jet up jets on this open, possibly."
"559490","561610"," IWM everybody's looking for the RT."
"561810","563370"," I guess we can do RTY. "
"563470","563830"," It doesn't matter."
"567290","569670"," RTY ready to rotate, right?"
"569890","571470"," Look at the explosion in here ready to go."
"573190","575110"," Arley not looking so good. "
"576190","578970"," Uh, though the RTY trade is likely odd."
"579130","580730"," You can see the consolidation down."
"580870","582270"," They're looking for an explosion move higher. "
"582730","587670"," Target above 186.2.7 on the rut this morning."
"588530","590710"," Uh, some interest at the sea this morning."
"590990","596530"," How if we actually go up, if we reverse and come back down, then we blast higher to that target"
"596530","604760"," of 187.5. The last thing we'll take a look at is"
"604760","608820"," the VIX this morning on the opening bell. "
"620660","623720"," We got the VIX in a death spiral still."
"625080","632670"," You get that push down, and then maybe that push up here on the VIX this morning."
"633450","634830"," Trying to squeeze itself higher. "
"635490","636270"," Downside target."
"637790","638310"," 1250."
"640990","642410"," 13 somewhere in there. "
"646360","647580"," On the VIX."
"649800","654040"," It would be fascinating to see if we can squeeze this up in this opening bell."
"654920","657360"," I truly think though it's some kind of a range bound move. "
"657620","658860"," We either like tag the high."
"661100","662560"," Either going to tag the high."
"663400","664600"," Roll and start trading sideways. "
"665980","669240"," Or we get that first leg down and the dip gets bought."
"670000","673660"," Come back up and try to fight for that 433 on SPX."
"676700","678500"," We'll get SPX as well if you want. "
"687460","688780"," You can see it right here."
"689220","690280"," Top of the key, Mom."
"692080","694820"," Here's the 432 620. "
"695660","697840"," So you get that nice squeeze up higher."
"699260","701780"," Then we end up getting that consolidation move right here."
"713610","715130"," Oh, and I'm trying to log in to Tasty. "
"717190","719450"," Another, I'm trying to log into my account right now."
"721430","721930"," Damn it."
"722310","723390"," Oh, that was thinking of the wrong. "
"729270","731730"," Trying to log in so I can take some trades with you."
"747210","747870"," Here we go."
"748030","751590"," I'll give you some exact targets on the day if you think we're going up there. "
"751890","764400"," 434.14. Let's"
"772170","774590"," take a look on the SPY here."
"780320","781820"," You got to see my picture."
"782640","784800"," Is my video quality okay?"
"785060","785940"," It looks a little dark, man. "
"786120","786300"," Hold on."
"788440","791660"," Can you see my face on my video or is it dark right now?"
