"id","start","end","text"
"hIaAfjGjx-A","0","7080"," Hey Triders, Captain Jim James here. Happy Sunday. Hope you all had a great weekend. I've"
"hIaAfjGjx-A","7080","12240"," been slowing down the videos that I make as I want to see them play out either against"
"hIaAfjGjx-A","12240","18480"," or within video, right? Or whatever I talked about in them. So I just wanted to give an"
"hIaAfjGjx-A","18480","22080"," update video to my last one as to where we are. But before we do that, I want to talk"
"hIaAfjGjx-A","22080","27600"," about current macro view point of our market. In 2020 in March, right? Well, first of all,"
"hIaAfjGjx-A","27600","36160"," we have for two years. Two years we've had an established trading channel, right? This"
"hIaAfjGjx-A","36160","40160"," works since March 2020. Now we created this trading channel. It's been working for two"
"hIaAfjGjx-A","40160","48440"," straight years. We had this major dip within this channel way back in March. And we've"
"hIaAfjGjx-A","48440","54240"," been trading within this channel for almost two years. Not quite, not quite, but you know,"
"hIaAfjGjx-A","54240","61880"," here in three quarters, something like that, right? And we had one more major dip here"
"hIaAfjGjx-A","61880","70600"," in October. And we've worked our, fought our way back into the old trading channel. Now,"
"hIaAfjGjx-A","70600","80360"," I know that there are, well, I should say I trust Elliott Wave, but I do question how"
"hIaAfjGjx-A","80360","89560"," far back you're going, right? Are you starting it way back pre-industrial revolution? Are you"
"hIaAfjGjx-A","89560","95560"," starting it in the industrial revolution? Did you start it 1930s? You know, often people don't"
"hIaAfjGjx-A","95560","106120"," talk about how we skipped a bubble period at the turn of the century due to the industrialization's"
"hIaAfjGjx-A","106120","111240"," effect on our stock markets around the world. And we're kind of in that same situation right now"
"hIaAfjGjx-A","112520","119400"," with tech, right? We have some big changes coming down the line with AI. We've got changes"
"hIaAfjGjx-A","119400","125880"," coming down with computing. We've got changes coming with exploration and space, new currencies."
"hIaAfjGjx-A","125880","133560"," We have major changes to our markets operate, modern monetary theory. We just had an epidemic"
"hIaAfjGjx-A","133640","139400"," that we've never experienced before. Everyone says, right here, oftentimes,"
"hIaAfjGjx-A","139400","144120"," yellowed up in changes is always the same. If you want to talk about it's always the same,"
"hIaAfjGjx-A","144120","149080"," then you have to look back towards the industrial revolution and how we did skip a bubble during"
"hIaAfjGjx-A","149080","154280"," that time period. I'm going to assume that some of you don't check that history. So anyways,"
"hIaAfjGjx-A","154280","159320"," my point though is this, is that for the last two years, we've traded in this channel. And"
"hIaAfjGjx-A","159320","163080"," even if you were to say we're in a fifth wave or something, you know, way back here in March,"
