"id","start","end","text"
"hS3y69sGdsg","0","7080"," All right, let's try this again."
"hS3y69sGdsg","7080","9440"," I think I'm just having some connectivity issues."
"hS3y69sGdsg","14080","15180"," Let's see if you guys are here."
"hS3y69sGdsg","15180","31180"," And we will go to Twitter."
"hS3y69sGdsg","45180","64980"," If you guys are here right now, just give me a minute, I'm going to, this is the, this"
"hS3y69sGdsg","64980","71980"," is the link to you tonight's."
"hS3y69sGdsg","94980","111380"," All right, so this one should be good."
"hS3y69sGdsg","111380","114300"," See if anybody's here right now."
"hS3y69sGdsg","114300","118660"," All right, looks like we've got a bunch of you in here."
"hS3y69sGdsg","118660","122140"," I can see 29 of you are watching right now."
"hS3y69sGdsg","122140","127140"," Can you guys hear me?"
"hS3y69sGdsg","127140","130540"," Let me know if you guys can hear me."
"hS3y69sGdsg","130540","132540"," Annless, I'm doing great, man."
"hS3y69sGdsg","132540","133540"," How are you?"
"hS3y69sGdsg","133540","142260"," It was a wild day today again, you know, of course leading up to today, there's stress."
"hS3y69sGdsg","142260","145540"," I think there's stress if you're a bull, a bear, I don't think it really matters."
"hS3y69sGdsg","145540","151660"," I think either side that you're on, there was a lot of stress today for everybody."
"hS3y69sGdsg","151660","152660"," Anthony Chavez."
"hS3y69sGdsg","152660","155460"," Hey, how are you doing, Anthony?"
"hS3y69sGdsg","155460","158380"," J who, that's my dog outside barking."
"hS3y69sGdsg","158380","165820"," I asked my wife and children to put the dogs away, but they didn't, so it's all right."
"hS3y69sGdsg","165820","166820"," Ryan, how are you?"
"hS3y69sGdsg","166820","170340"," Good evening, bed, good evening."
"hS3y69sGdsg","170340","176700"," Rohn, Fraun, Tro, Alpine, how are you doing, men, or a woman, or whoever you are?"
"hS3y69sGdsg","176700","177940"," Adam, how are you?"
"hS3y69sGdsg","177940","181940"," Chaz, good to see you, my brother."
"hS3y69sGdsg","181940","185980"," This is the first one that gave me a direct notification from YouTube for your information"
"hS3y69sGdsg","185980","187660"," right now, right on."
"hS3y69sGdsg","187660","194620"," Evening cap, that 470 call was beautiful this afternoon, boy, you know what, we, I bought"
"hS3y69sGdsg","194620","199100"," that clothes on Tuesday at the close at four o'clock."
"hS3y69sGdsg","199180","203500"," I think I posted it with enough time for anyone to grab them to, I think I posted it"
"hS3y69sGdsg","203500","205340"," right at four p.m."
"hS3y69sGdsg","205340","212900"," If you had held that call into, if you had held that call into today, the market went"
"hS3y69sGdsg","212900","215780"," down, but the call went up."
"hS3y69sGdsg","215780","221420"," So you could, and I posted about this earlier about call premium to watch call premium"
"hS3y69sGdsg","221420","229300"," today, because if you had known what the call, the pricing of calls yesterday at the"
"hS3y69sGdsg","229300","234980"," close, what they were, and then this morning, what it was interesting because it didn't"
"hS3y69sGdsg","234980","235980"," show up and flow."
"hS3y69sGdsg","235980","241900"," There was no flow showing up today showing that the banks were buying long in the market."
"hS3y69sGdsg","241900","247420"," They were very stealthy all day long, and the only way that I could tell that they were"
"hS3y69sGdsg","247420","249980"," going long was the call premium."
"hS3y69sGdsg","249980","257180"," It was going up, even though the market was going down, which inferred, of course, that"
"hS3y69sGdsg","257180","258180"," people were taking the market long."
"hS3y69sGdsg","258180","261260"," And when I say people, it's not us retail."
"hS3y69sGdsg","261260","266260"," We don't have that kind of power in the, in the market, but banks do."
"hS3y69sGdsg","266260","271900"," Hey, Elram, how are you?"
"hS3y69sGdsg","271900","273340"," Adam, what's up?"
"hS3y69sGdsg","273340","274340"," Jess, yo."
"hS3y69sGdsg","274340","275340"," Hey, Joe."
"hS3y69sGdsg","275340","276340"," Thanks for showing up."
"hS3y69sGdsg","276340","277340"," My brother."
"hS3y69sGdsg","277340","278340"," Good to see you."
"hS3y69sGdsg","278340","279340"," James."
"hS3y69sGdsg","279340","280340"," Thanks."
"hS3y69sGdsg","280340","281340"," Explorement."
"hS3y69sGdsg","281340","282340"," Matthew."
"hS3y69sGdsg","282340","283340"," Denny."
"hS3y69sGdsg","283340","285380"," What's up, my brother?"
"hS3y69sGdsg","285380","286380"," Yep."
"hS3y69sGdsg","286380","287380"," Cyber Dave."
"hS3y69sGdsg","287380","288380"," How are you, Cyber Dave?"
"hS3y69sGdsg","288380","289380"," Hey, Adam."
"hS3y69sGdsg","289380","290380"," How are you?"
"hS3y69sGdsg","290380","297180"," Yeah, we ended up so, so we started making the call last night before, or let's say Tuesday"
"hS3y69sGdsg","297180","303780"," before the close, right, to go long, and then we, some of some of you guys had followed"
"hS3y69sGdsg","303780","310300"," on that trade, and knew already as we were heading into the 1.30, 1 o'clock hour or"
"hS3y69sGdsg","310300","311300"," so."
"hS3y69sGdsg","311300","316980"," They were, they just kept going up in premium that I was, I think at 1.0 is up 30%."
"hS3y69sGdsg","316980","321300"," Even while it was that last little dip, it just held value, it didn't go away."
"hS3y69sGdsg","321300","324820"," So you just knew that you knew what was going on."
"hS3y69sGdsg","324820","326500"," You knew we were going up."
"hS3y69sGdsg","326500","331580"," And I ended up cutting those calls and I rebot calls two or three times, then added more to"
"hS3y69sGdsg","331580","332580"," my calls."
"hS3y69sGdsg","332580","333580"," We'll go into that later."
"hS3y69sGdsg","333580","334580"," Hey, Joe."
