"id","start","end","text"
"hieKIv8-UO4","0","3000"," All right, let's see if that works."
"hieKIv8-UO4","3000","5000"," Move you."
"hieKIv8-UO4","5000","7000"," I'm going to refresh the chat here."
"hieKIv8-UO4","7000","10000"," The chat's all messed up."
"hieKIv8-UO4","10000","11000"," Hold on here."
"hieKIv8-UO4","11000","12000"," This might be working."
"hieKIv8-UO4","12000","14000"," We may be back in action here."
"hieKIv8-UO4","14000","20000"," Let me see."
"hieKIv8-UO4","20000","23000"," Just check back here and see what's going on."
"hieKIv8-UO4","31000","32000"," Yeah."
"hieKIv8-UO4","32000","35000"," What I did was I relaunched the, um, I, I, I reset."
"hieKIv8-UO4","35000","36000"," All right."
"hieKIv8-UO4","36000","38000"," Not the router, but I unplugged everything."
"hieKIv8-UO4","38000","39000"," The modem and the router."
"hieKIv8-UO4","39000","40000"," So new IP address."
"hieKIv8-UO4","40000","43000"," Don't know if I'm getting slammed right now with."
"hieKIv8-UO4","43000","45000"," Um,"
"hieKIv8-UO4","45000","49000"," requests for service."
"hieKIv8-UO4","49000","51000"," Swiss national bank."
"hieKIv8-UO4","51000","54000"," Swiss inflation is low in international comparison."
"hieKIv8-UO4","54000","58000"," Probably going to get into a price stability target."
"hieKIv8-UO4","58000","62000"," Just saying I reset the stream for you."
"hieKIv8-UO4","62000","63000"," Sorry about that."
"hieKIv8-UO4","63000","71000"," I apologize for the delay."
"hieKIv8-UO4","71000","73000"," I've got a few things in the background."
"hieKIv8-UO4","73000","79000"," I have to do here."
"hieKIv8-UO4","79000","82000"," This stream is sponsored by Ticksrike."
"hieKIv8-UO4","82000","85000"," Ticksrike allows you to actually hear order flame futures,"
"hieKIv8-UO4","85000","89000"," and you can get a free trial at Ticksrike.com."
"hieKIv8-UO4","89000","92000"," Everything was down brokerage down."
"hieKIv8-UO4","92000","100000"," Shortly expecting the results of the fed reverse repo."
"hieKIv8-UO4","100000","108000"," Come on now."
"hieKIv8-UO4","108000","111000"," Dude, I want to buy some fucking calls."
"hieKIv8-UO4","111000","114000"," Come on."
"hieKIv8-UO4","115000","118000"," Oh, shit."
"hieKIv8-UO4","118000","120000"," We traded three 99 33."
