"id","start","end","text"
"hyTBo-cFYKU","0","17600"," Check one two, mic check."
"hyTBo-cFYKU","17600","21600"," See is everything on?"
"hyTBo-cFYKU","21600","25600"," Look at some."
"hyTBo-cFYKU","47600","51600"," See that?"
"hyTBo-cFYKU","51600","55600"," Let's go."
"hyTBo-cFYKU","77600","93600"," Good morning."
"hyTBo-cFYKU","93600","95600"," Good morning."
"hyTBo-cFYKU","95600","97600"," Arthur Solom."
"hyTBo-cFYKU","97600","99600"," What's going on?"
"hyTBo-cFYKU","99600","101600"," Stacey, good morning."
"hyTBo-cFYKU","101600","105600"," Keep your eyes on a 3.30 this afternoon."
"hyTBo-cFYKU","106600","109600"," It's a 3.07 right now hour of power."
"hyTBo-cFYKU","109600","121600"," So I'm going to talk to you guys about what to expect the next 3-4 days here into Friday."
"hyTBo-cFYKU","121600","125600"," Ball is in Sellers Corner here."
"hyTBo-cFYKU","125600","129600"," So this is the 29th right here."
"hyTBo-cFYKU","135600","145600"," If you are a seller, as long as you stay below 4.29.87,"
"hyTBo-cFYKU","145600","147600"," I've got two targets for you to the downside."
"hyTBo-cFYKU","147600","151600"," First one's going to be 4.20.87."
"hyTBo-cFYKU","151600","155600"," This is your first target right here into tomorrow,"
"hyTBo-cFYKU","155600","160600"," and Thursday, and likely into Friday the 4.16.84."
"hyTBo-cFYKU","160600","162600"," This is spy specific."
"hyTBo-cFYKU","162600","168600"," This is not."
"hyTBo-cFYKU","168600","184600"," This is not SPX, but just here into tomorrow."
"hyTBo-cFYKU","184600","190600"," So just so I just want to pay attention to this right here unless."
"hyTBo-cFYKU","191600","193600"," Change this to wait."
"hyTBo-cFYKU","193600","198600"," Any kind of squeezing to the upside, expect it to be sold to the downside."
"hyTBo-cFYKU","198600","204600"," Thursday, price target 4.20.87, Friday price target 4.16.84."
"hyTBo-cFYKU","204600","206600"," Into end of month, end of quarter."
"hyTBo-cFYKU","206600","208600"," Could be quicker than that."
"hyTBo-cFYKU","208600","212600"," I'm going to show you really quick."
"hyTBo-cFYKU","212600","217600"," A little bit of a squeeze here in Spy right now."
"hyTBo-cFYKU","217600","218600"," Watch this from above."
"hyTBo-cFYKU","218600","220600"," Bull's failed, right?"
"hyTBo-cFYKU","220600","222600"," Bull's failed right here."
"hyTBo-cFYKU","222600","225600"," Didn't even get the chance to sell this to the downside."
"hyTBo-cFYKU","225600","227600"," It was just boom, saw you down."
"hyTBo-cFYKU","227600","228600"," Nobody's nobody's big."
"hyTBo-cFYKU","228600","229600"," No big deal."
"hyTBo-cFYKU","229600","231600"," Doesn't mean anything, right?"
"hyTBo-cFYKU","231600","235600"," And so any I want you to see this hourly trigger here."
"hyTBo-cFYKU","235600","239600"," This is just about to cross the weekly trigger."
"hyTBo-cFYKU","239600","242600"," You're going to see this cross down overnight."
"hyTBo-cFYKU","242600","246600"," And then into tomorrow, and you're likely going to see that rejection."
"hyTBo-cFYKU","246600","252600"," At some point here tomorrow and into Wednesday and Thursday."
"hyTBo-cFYKU","252600","256600"," If you are a bull, you've got no trade unless you're above the weekly trigger."
"hyTBo-cFYKU","256600","260600"," Just another springboard here for sellers to come in and sell the market."
"hyTBo-cFYKU","260600","263600"," You'll have intraday trades that you can take."
"hyTBo-cFYKU","263600","265600"," Like you can take a trade like this."
"hyTBo-cFYKU","265600","269600"," From here to here, you can take this trade right here and this trade right here."
"hyTBo-cFYKU","269600","275600"," But even so, you are looking at a major, major downside move."
"hyTBo-cFYKU","275600","277600"," Coming your way."
"hyTBo-cFYKU","277600","280600"," You also have a four hour."
"hyTBo-cFYKU","280600","285600"," You have a four hour rollover bear."
"hyTBo-cFYKU","285600","288600"," Or excuse me, bear cross on the four hour and SPX."
"hyTBo-cFYKU","288600","294600"," That should last either price or time to the downside."
"hyTBo-cFYKU","294600","300600"," Major downside moves to come in SPX for a sustained period."
"hyTBo-cFYKU","300600","303600"," So if you're a bull and you're looking for some relief."
"hyTBo-cFYKU","303600","308600"," You got it in here, but at the same time it's positionally to get short."
"hyTBo-cFYKU","308600","312600"," Right there, get short right there and get short right here."
"hyTBo-cFYKU","312600","319600"," And by morning, by morning tomorrow that hourly trigger should roll down."
"hyTBo-cFYKU","319600","325600"," And you should be waking up with that hourly trigger somewhere down in here to even sell down even farther."
"hyTBo-cFYKU","325600","333600"," So expect more pain to come unless we trade currently trade above $429.87."
"hyTBo-cFYKU","333600","336600"," No trade above this $429.87, no holding."
"hyTBo-cFYKU","336600","340600"," And even if you do, let's say you got to squeeze up here, right?"
"hyTBo-cFYKU","340600","343600"," Say the market squeezes, right?"
"hyTBo-cFYKU","343600","349600"," If you don't hold that hourly, it's just another springboard to the downside over here."
"hyTBo-cFYKU","349600","354600"," So you need not only do you need to break above the weekly trigger, but you need to hold it"
"hyTBo-cFYKU","354600","359600"," and begin to make your way higher for this correction to be over currently right now."
"hyTBo-cFYKU","359600","363600"," Bulls giving it up, giving it up at 1.30 this afternoon."
"hyTBo-cFYKU","363600","366600"," This was the deal breaker right here for bulls."
"hyTBo-cFYKU","366600","369600"," As soon as they broke that up, as soon as they broke this right here,"
"hyTBo-cFYKU","369600","373600"," you've now got the, you've got the young Jim bros that are sitting right here"
"hyTBo-cFYKU","373600","376600"," and they want nothing more than to sell this down."
"hyTBo-cFYKU","376600","382600"," And you've got the big boys right here waiting for you to sell the market down into Friday."
"hyTBo-cFYKU","382600","390600"," Price target into Friday, 4.16 in change for the sellers, 4.16 in change."
"hyTBo-cFYKU","390600","393600"," Unless we break above that 4.30, right?"
"hyTBo-cFYKU","393600","395600"," That's what you've got coming up."
"hyTBo-cFYKU","395600","399600"," Flat right now looking to reposition into Friday to the downside."
"hyTBo-cFYKU","399600","404600"," Just looking for this squeeze to end and grab some more puts for Friday."
"hyTBo-cFYKU","404600","407600"," Not a good look for buyers."
"hyTBo-cFYKU","407600","411600"," Let's look at SPX really quick and show you exactly what I'm talking about."
"hyTBo-cFYKU","412600","416600"," So just right here, if you want to look at this on a one hour,"
"hyTBo-cFYKU","416600","420600"," just so you can see it pounding down right now."
"hyTBo-cFYKU","420600","425600"," You know, you're trying to talk about, you're talking about this right here."
"hyTBo-cFYKU","425600","429600"," Talking about this right here holding the entire market up."
"hyTBo-cFYKU","429600","433600"," I'm going to tell you, fuck you know that shit ain't holding anything up."
"hyTBo-cFYKU","433600","437600"," So this right here, you're telling me that this is the entire market."
"hyTBo-cFYKU","437600","439600"," I'm going to say to you, no."
"hyTBo-cFYKU","440600","442600"," It's down here somewhere."
"hyTBo-cFYKU","442600","443600"," You see it?"
"hyTBo-cFYKU","443600","445600"," So it's way, way down here."
"hyTBo-cFYKU","445600","447600"," Just a matter of time."
"hyTBo-cFYKU","447600","451600"," Up here, squeeze this down and blast straight to the depths of hell."
"hyTBo-cFYKU","451600","458600"," This will be your full capitulation move down here into Friday or the first week of the month."
"hyTBo-cFYKU","458600","463600"," I would not expect this to be your place to buy the market."
"hyTBo-cFYKU","463600","465600"," Go along all that kind of shit."
"hyTBo-cFYKU","465600","467600"," It's definitely down here."
"hyTBo-cFYKU","467600","469600"," I'm going to lead to the downside."
