"id","start","end","text"
"iCFUkCibyhc","0","8960"," The greatest feeling you can get in a gym or the most satisfying feeling you can get"
"iCFUkCibyhc","8960","12360"," in a gym is the pump."
"iCFUkCibyhc","12360","19360"," Good morning traders, Captain Jim James here with your daily brief."
"iCFUkCibyhc","19360","27560"," I live in a state where we had a storm over this past week on Wednesday and we lost power."
"iCFUkCibyhc","27560","31400"," We should have power off for up to 10 days in parts of the state."
"iCFUkCibyhc","31400","35760"," I think that the electrical infrastructure here is antiquated at best."
"iCFUkCibyhc","35760","37560"," I'll leave it there."
"iCFUkCibyhc","37560","43120"," I'm not from this state, but to not bury power lines is to me unconscionable, especially"
"iCFUkCibyhc","43120","47600"," if you head out west, any of the western states, all power lines are buried."
"iCFUkCibyhc","47600","50720"," Well, not all of them, not all of the western states, but most of them."
"iCFUkCibyhc","50720","56840"," So when they tell you that it's too costly to do, that's complete matter of fucking bullshit."
"iCFUkCibyhc","56840","60400"," And the cost for electricity in the state is very high."
"iCFUkCibyhc","60400","64560"," So I'm not going to name the company or which state only to, because I don't want to get"
"iCFUkCibyhc","64560","66320"," sued, but whatever."
"iCFUkCibyhc","66320","78200"," So I did plot out and chart the S&P or not the S&P 500E MIDI going to, well, let's roll"
"iCFUkCibyhc","78200","79360"," back a little bit."
"iCFUkCibyhc","79360","89240"," Goldman Sachs gave a price target of 470, which for end of year, which to me was more"
"iCFUkCibyhc","89240","93640"," than I was expecting, or at least more than I was targeting for end of year."
"iCFUkCibyhc","93640","96560"," I thought that was a very liberal estimate."
"iCFUkCibyhc","96560","100560"," And then someone else put, I don't forget who the other person was, or the other group"
"iCFUkCibyhc","100560","106200"," was, but someone else put a price target of 5,000 by end of year, and then that kind"
"iCFUkCibyhc","106200","107600"," of blew my face off."
"iCFUkCibyhc","107600","113520"," So I did chart out where that 5,000 move comes from, and where that 4,700 move comes"
"iCFUkCibyhc","113520","124960"," from friend of year, and that's somewhere, here's that 5,000 move right there."
"iCFUkCibyhc","124960","131160"," So this is that 5,000 move that everyone's talking about, or Purnables are talking about"
"iCFUkCibyhc","131160","136200"," somewhere up in here, that's 4,983, and that's what they're saying, that we're going to create"
"iCFUkCibyhc","136200","141080"," a new trading channel or trade above for the rest of the year."
"iCFUkCibyhc","141080","147520"," The GS, Goldman Sachs is actually looking very reasonable to say that we get to 4,700,"
"iCFUkCibyhc","147520","153200"," so there's 4,699.5, and this is November."
"iCFUkCibyhc","153200","157720"," Now that would, now the Goldman Sachs estimate actually looks a little bit more reasonable."
"iCFUkCibyhc","157720","162000"," It looks more attainable if we do have any pullbacks in here, let's say we swing back"
"iCFUkCibyhc","162080","166720"," down, and then we trade up and grind up the last end of December."
"iCFUkCibyhc","166720","171560"," I think we did that last year, I think we ground up, I think most holidays, we've become"
"iCFUkCibyhc","171560","175720"," a low volume environment, and we do this slow grind that last month."
"iCFUkCibyhc","175720","181320"," You can kind of just set some call spreads, let's say some, at some point in November,"
"iCFUkCibyhc","181320","186360"," December, and you just let them ride all the way into the holiday season."
"iCFUkCibyhc","186360","191760"," And this does make sense for me right here, but I can still see what the Purnables are"
"iCFUkCibyhc","191760","196800"," saying as well, saying that we'll have S&P 5000 by end of year."
"iCFUkCibyhc","196800","201440"," This does not bode well for the bears, if you're a bear, you don't want to be seeing"
"iCFUkCibyhc","201440","202440"," this."
"iCFUkCibyhc","202440","209440"," Now, we can go to a smaller timeframe here, what I'm calling for over the weekend is a"
"iCFUkCibyhc","209440","217080"," move up to test an attempt to trade in an upper trading channel on the E-mini and spy."
"iCFUkCibyhc","217080","224880"," So let's call, let's, I'm going to make a call from Friday into Monday for an attempt"
"iCFUkCibyhc","224880","233160"," to get above 4467.75, and with an attempt to try to hold that into Monday."
"iCFUkCibyhc","233160","238200"," Now the thing you need to understand about this move up here, let me see if I can draw"
"iCFUkCibyhc","238200","243000"," this out for you, is, you know, the attempt is going to be that we come up here, swing"
"iCFUkCibyhc","243000","251720"," up an attempt to land somewhere above this, this 4476 or 4472."
"iCFUkCibyhc","251720","259160"," Now if this does not hold, we are coming down quite far, that's an issue, because if we"
"iCFUkCibyhc","259160","269240"," don't hold this line up here, you're talking about a move back down to 4429.75, a retest"
"iCFUkCibyhc","269240","270240"," down here."
"iCFUkCibyhc","270240","275640"," So there's a lot of expansion of trading range in this area that we're going to encounter"
"iCFUkCibyhc","275640","283440"," in the coming few weeks, you will see this trading area expand, and you'll see bulls"
"iCFUkCibyhc","283440","291640"," try to push up in here, and you'll see the bears trying to retest these levels and get"
"iCFUkCibyhc","291640","294600"," the bulls to take some profit off the table."
