"start","end","text"
"51210","52410"," I need him to support him."
"52890","56990"," I mean, people, people have to understand that this is so much fun, but these guys, number one"
"56990","61090"," position in the U.S., Q4, 2023, Sportbook 2, 51% share."
"61610","65250"," They have a, today, they have a company imported fourth core revenue of a 15%. "
"65250","68410"," This year with 13.5 million average monthly players globally."
"69190","70810"," This is a powerhouse company."
"71370","73050"," Quarterly revenues in piece 26%. "
"73050","73970"," Powerhouse."
"74410","75350"," I like this field."
"75590","76850"," We can't wait to talk to Rob in a minute. "
"77270","81190"," Jim, Dow is being led by IBM, again, and salespeople."
"81190","81790"," What's right behind?"
"82210","83590"," IBM's quarter was really monster."
"84090","87490"," And IBM really does have a great role that they can play in AI. "
"88150","91210"," You know, look, if you're obviously connected with AI in any way, it's moving things up."
"92290","93450"," Salesforce has terrific AI."
"93910","98550"," That's a, that's a, you know, they've got the science time product, he has trillions of questions. "
"99230","104330"," I know AI seems to hype, hype, hype, but there are a few companies, like look, we in service now"
"104330","104610"," on this."
"104850","105450"," I think that's a good story."
"105450","110630"," I think between IBM now, SAP, we're moving beyond the picks and shovels, are we not?"
"110630","115950"," Oh my, I think that you're now in a world, I got super micro, and I did, they're tremendous AI. "
"116310","120230"," You're now in a world where I think that you're starting to see real benefits if you use it."
"120890","124410"," I think that there's so many use cases where it just makes a lot of sense."
"125190","129270"," And I think that they're, we still not, I know the chance that we'll say, look, it makes people"
"129270","131030"," more potential ones, CEO of NVIDIA. "
"131030","134470"," Well, it makes a lot of sense, and you'll make people more productive."
"134830","137390"," He is not in the belief that there's going to be a lot of layoffs."
"137570","138190"," So far that hasn't. "
"138410","139470"," It's made people more productive."
"139970","141570"," I wish the banks would talk more about AI."
"141910","142390"," They did not. "
"142930","145230"," The consumer products companies did not talk about it."
"145870","147690"," But other tech companies really do talk about it."
"147810","147890"," Yeah. "
"148410","152850"," As for layoffs, they're anecdotally, again, Lockheed's a good example today."
"153370","153950"," One percent."
"154610","156530"," We, we try to track them as closely as we can. "
"156530","161950"," And, Jim, over the weekend, Goldman, Jan Hotzius, sticking by their call for a March cut."
"162110","166810"," And one of the lines in the report was that the labor market may start to issue clues as to"
"166810","169190"," why you would want to cut sooner rather than later."
"169330","174110"," Well, the untold story, I was trying to figure out all the different websites, how many immigrants"
"174110","178370"," there are, and whether people are going to look the other way on the Korean part, I'm sure. "
"179090","181610"," This is a bright trick issue for employers, just to be sure."
"182190","183550"," But I think they're going to put a little wages."
"183550","186870"," I think immigrants are going to put a little wages. "
"187130","190330"," Now, we can ask the labor sector, and they will just, it's way too third-rail."
"190730","195530"," But we have had a lot of immigrants come in, and I think that, unfortunately, I hope they get them"
"195530","195970"," in their own wage."
"196190","202410"," But I think, unfortunately, there's a lot of companies that pay less than you think, and jobs are"
"202410","202610"," full. "
"202770","209150"," Well, how about this piece about banker pay, bonuses, down again, and it stings this time, says the"
"209150","209370"," journal."
"209750","210490"," Flat is the new one."
"210490","215310"," You've got to be really careful when you say things, because they make so much more of everybody"
"215310","215430"," else. "
"215550","216770"," But yeah, I read the piece, I understand."
"217470","219470"," And rents have been down now for six straight months."
"219810","223910"," There's a lot of things that, like Timur has said from the journal, a lot of these go in the"
"223910","225250"," Fed's way, but not enough yet. "
"225430","228550"," We still have disinflation, no genuine deflation other than Acosta."
"229010","232130"," Yeah, core goods, there's sharp deflation and core goods."
"232250","232610"," Yes, again. "
"233230","238510"," Then you wake up, and these three troops, troops in Jordan, Jim, worries about the Red Sea."
"238510","241830"," Everybody asks about what it's doing in terms of traffic."
"241830","245290"," Girlfriend Southern had bad numbers last week, and some people felt that they're not getting the"
"245290","246150"," business they used to. "
"246710","247370"," I don't know."
"247850","249930"," I got three downgrades of Norfolk, by the way."
"249930","250370"," No, my. "
"250830","252390"," She's the long knives route for Norfolk."
"252650","254490"," I thought that that was way, way too negative."
"254950","258250"," I just don't think that they're nearly as dangerous as people think. "
"258390","259430"," I like the transports too."
"259990","263130"," A Lockheed Martin Supreme Court, all the defend Northrop Grumman cut, price target cut."
"263470","266090"," I think people don't realize, there's a lot of people just betting that the Republicans are going"
"266090","268290"," to come in, and that's the end you can spend. "
"268730","270350"," And so you want to get away from your stocks."
"271630","272470"," Look, I don't know."
"272530","275730"," And I don't know if we're political advice. "
"275950","276750"," It's hard to read."
"277530","279510"," Another policy question, Jim, is the border."
"280030","284270"," The President's comment on Friday night that if he had emergency authority that he doesn't have, he"
"284270","286350"," would use it on the day he signed the bill. "
"287130","288930"," Are you watching the rails through that lens?"
"289650","291450"," I'm looking at everything that lens."
"291950","292610"," I think you have to."
"292750","294150"," I think it's an untold story. "
"295710","298130"," We were paying above minimum wage in New York."
"298770","299350"," Forget that."
"299650","300330"," Forget that. "
"300530","304510"," I mean, you have to hope that there are people who are not, who are willing to play by the"
"304510","306950"," rules and not offer 12 instead of 18."
"307550","308210"," It's around the country."
"308510","309290"," Minimum wage is back. "
"309650","310490"," It means a lot."
"310830","314070"," Because the immigrants want jobs, and I think that's an untold story, too."
"314590","318150"," You know, all the things, every time you mention the immigrants, I wish it weren't hot button,"
"318190","319790"," because something has to be done. "
"319790","324050"," But right now, we have 1.3 million people, and I believe, came in in the last year, and at"
"324050","325410"," 1.3 a year before I went over there."
"325750","330590"," More people came in in the last year than in four years of Trump, and they're going to work."
"331070","333210"," And that's what I think it's going to keep wages down. "
"334030","335110"," Jim, a lot of news on Boeing."
"335510","337230"," We got some Max Nines back in service."
"337630","344410"," This report that United's chief went to Toulouse to talk to Airbus about maybe if we don't get the"
"344410","344670"," tens. "
"345430","346390"," Could we work something out?"
"347010","348230"," You know, there's no planes."
"348670","349770"," I mean, that's a nice thought."
"350070","351370"," Maybe they want a discount. "
"352250","357590"," I mean, if Airbus had planes, believe me, you wouldn't have a war between these two characters."
"358370","359210"," Damn it, they don't have planes."
"359730","361270"," I know United wants to know. "
"361510","361790"," Forget it."
"361850","362550"," I mean, it's a nice thought."
"364370","366050"," Boeing is still in the driver's seat. "
"366350","367930"," Why is that stock not at 1.70?"
"368330","370330"," Because they have the planes."
"372270","375310"," And you got Ryan Air saying, hey, anybody doesn't want their tents?"
"375710","376750"," Well, listen to that."
"376850","378050"," That was a great interview, by the way. "
"378090","380330"," I love you coming early to get some really cool stuff."
"380750","384250"," I know you were tweeting early this morning about Phillips and sleep apnea."
"384450","385090"," Oh, my. "
"385390","387250"," I mean, look, you have to understand."
"387630","391970"," This is sleep apnea, it's a duopoly between Phillips and Resmen."
"392590","394850"," And Mick Farrell is got great numbers to begin with. "
"395010","396750"," The stock was down, RMD."
"396750","401870"," Because the GOP, even though he said the people said GOP, that's one, are using it in conjunction"
"401870","402890"," to Resmen."
"403050","403750"," So go by Resmen. "
"403910","405150"," Numbers are way too low."
"405310","408270"," And you got this decision on buyer 2.2 billion."
"408510","409490"," This Philadelphia court. "
"410030","411190"," It's the biggest penalty yet."
"411810","414090"," Buyer bought a company that could sink fire."
"414390","419970"," Monsanto was just, it's the gift that never stops giving you downside surprises. "
"420290","422850"," Terrible, terrible, terrible buy."
"423430","428410"," As for some cell-side research, Jim, got an upgrade of American over at City."
"428550","430530"," They go to buy the 20 from 14. "
"431010","437190"," They had the best upside, and the stock had been down basically where it was during the pandemic."
"437670","438930"," I think that deal makes sense."
"439950","441670"," My favorite, how much is America's best up?"
"441770","444610"," That was the one that was just so much better than expected. "
"444610","446050"," Ooh, opportunity."
"446490","447130"," The stock was down."
"447890","449790"," They had, they're multiples going hard. "
"450010","451650"," March, March, March had the best quarters apart of the ship."
"452010","452450"," Best guy."
"452830","453030"," I'm sorry. "
"453310","453610"," Best guy."
"453970","453970"," Yes."
"454890","456210"," Steve Screary came in. "
"456450","457390"," I mean, I was listening to Colin."
"457810","459390"," It was, it was, it didn't really."
"459690","463790"," Kind of got over, Capital One's comments kind of got over shadow because they had some pretty"
"463790","466230"," positive things to say about real wage growth, Jim. "
"466990","468710"," Capital One is such a great lender."
"469370","472830"," I know people say that they charge too much, but obviously they make it so a lot of people can"
"472830","473910"," get credit."
"474530","478090"," And then people say, well, listen, people default on it, but if you take a look at that chart from"
"478090","483130"," 2000 to now, other than it had been a big dip in 2008, and they came right back. "
"483530","489130"," And then they got overused during the, right during COVID, but that's a, that's a great, a 20 year"
"489130","492330"," chart on this thing shows you that Fairbank has been able to figure this out."
"492810","493630"," Very smart guy."
"493990","494690"," Really smart. "
"494870","495470"," Don't mess with it."
"495970","497010"," He'll find a phone number."
"497190","498930"," We'll tell you what an idiot you are, but he won't use that word. "
"499570","502670"," A big piece in business week over the weekend about Lilly Jim."
"503210","508470"," They quote an analyst saying that the saying among analysts is JBL, just by Lilly."
"508970","512010"," I'm not going to disagree with the used position of my travel trust. "
"512570","518830"," One day, there'll be enough, the GLP One, Unjaro in New York City, but right now it's so in short"
"518830","519110"," supply."
"519510","520990"," It's short supply everywhere, you kidding me?"
"521350","523830"," And North Carolina plants, they can't get them open fast enough."
"523830","526830"," Now, I know that you look, there's an issue here. "
"527010","527790"," There's always going to be an issue."
"528090","528610"," Are there problems?"
"528890","529890"," Who will pay for it?"
"530270","534690"," All I can tell you is, is that you, when you have a product that you can't make enough of,"
"535030","536990"," you're going to be able to make a lot of money."
"537170","537170"," Yeah. "
