"start","end","text"
"74820","75560"," Okay, hold on."
"75640","76320"," Whoa, here we go."
"76640","78160"," We're going to take a look at a couple tickers this morning. "
"79340","81800"," So number one, let's go around."
"82040","86220"," I mean, so my posit this weekend was it's possible we can go higher."
"87480","90000"," And the main drivers of the stock market. "
"90760","92200"," Maybe they don't over."
"92600","96100"," Maybe they don't like they don't over achieve."
"97700","101580"," But we look towards KRE or maybe Tesla. "
"102740","104520"," GME beta stocks, right?"
"104760","107840"," Tesla's been trading like a beta stock Netflix trading like a beta stock."
"108760","114760"," Maybe there's some parts of tech because cyclically, like seasonally, there is a moment of May"
"114760","116120"," where we get a kick."
"116620","121660"," We get like a second bull run in in May. "
"122100","125940"," So this is like a money flows coming into the market that are like, yeah, I want to snort some"
"125940","126660"," cocaine on tech."
"127840","129960"," It gives us the strongest months of the year."
"130100","131160"," This isn't September and October. "
"133020","134620"," And there is like cyclically."
"134660","139780"," If you look at seasonality charts, there's a small window in May where money flow comes in a tech"
"139780","140060"," again."
"140260","141140"," Believe it or not, no shocker. "
"142100","143200"," Everyone's like, do this, do that."
"143220","144040"," But in reality, it's tech."
"144400","146680"," So we're going to take a look at a few tickers this morning. "
"148040","149480"," We're going to take a look at Disney."
"150900","151780"," That's number one."
"151940","153400"," We got some Dizz stuff coming up, right?"
"154160","155160"," Oh, yeah. "
"156060","157860"," Dizz just slapped."
"159160","163200"," Now 103.82 yesterday, we're talking about Disney."
"165920","166640"," Nice Disney. "
"167640","168980"," Disney was slapping."
"171220","172680"," It's one of its triggers, right?"
"172820","174120"," I think 104 was its high trigger."
"174280","175080"," So we're going to take a look at Disney. "
"177580","180060"," I think we I think we said yesterday that Disney."
"180840","181640"," Hold on here."
"183320","184400"," One minute. "
"185920","186760"," Oh, dude."
"188140","190260"," Disney with an explosive move higher."
"192440","193480"," Hello, Disney. "
"198450","199670"," Let's take a look at Disney."
"208600","209140"," Disney."
"209300","210420"," First we're going to look at this morning. "
"210420","210520"," Disney's going to be a good one."
"224280","225500"," Scheduled for May 10."
"239030","240670"," Disney 30 minute chart. "
"241970","243570"," Explosive move higher, right?"
"243950","245150"," There's nothing final yet."
"245330","249270"," But he's hearing that Biden's meeting with congressional leaders will be around 4 p.m. Eastern time"
"249270","249550"," tomorrow."
"249550","251790"," Again, just from a political reporter via Twitter. "
"266810","267370"," Disney."
"267750","268970"," Beautiful ticker right here."
"268970","269030"," here. "
"269870","271370"," What was important about Disney?"
"274510","276950"," You've got price above the one and five minute."
"277010","279150"," You have the three trigger cluster here."
"279150","283730"," You have the four trigger cluster right there. "
"284690","288050"," You have the five trigger cluster right here."
"289110","296410"," Emotional, weekly, the orange line is very emotional, very powerful and all of these cluster of all"
"296410","302270"," these triggers usually translates into strong moves."
"303130","305270"," This dream is sponsored by To the Tick. "
"305650","311510"," Get free daily pivot points, Fibonacci and market profile levels by signing up at ToTheTick.com."
"311910","321290"," I'm interested right now on where is my, what was I going to need this thing up here?"
"321290","330050"," I'm interested in this right here."
"330250","332530"," I mean, like I would love to see a pullback right here."
"333330","338510"," 101-150 and actually higher than that. "
"338710","341030"," Something like weekly, daily and hourly."
"341290","341970"," Yeah, somewhere in here."
"342830","345850"," This, you want to be watching this hourly trigger right here. "
"347370","349090"," You want to watch this kind of roll over."
"349990","351350"," This kind of come down here."
"352070","358490"," And price consolidate around $1.150, $2. "
"362420","364700"," Somewhere in here, race most of the move."
"366820","368820"," Keep your eyes on Disney today."
"370060","379480"," Keep your eyes on Disney $181, but mostly right around this 101-70, 101 "
"379480","380840","-44. "
"381320","382500"," Keep your eyes on Disney today."
"384560","386260"," Maybe it erases some of that move."
