"start","end","text"
"2060","7680"," So just looking to the markets, noting S&P 500 extending slide down around spot 5% now."
"7980","12680"," The dollar pairing some of its gains as well, still up spot 25% on the session."
"13280","19060"," Also noting gold, which is pairing its decline, still down spot 25%. "
"48570","49650"," Check 1-2."
"79870","85690"," So Ukraine's a Black Sea port has halted operations because Russia refuses to allow ships through"
"85690","86970"," according to the deputy minister."
"91330","92570"," Good morning out there. "
"94350","96290"," I'm running a little bit late this morning."
"98050","99030"," Right into it."
"101150","105430"," I'm going to be reading the support of the bank. "
"112170","121470"," I wanted to try to get on in time this morning as we took some puts into the bell last"
"121470","121890"," night."
"125450","133560"," I wanted to be able to see this."
"133560","134600"," Take the money and run. "
"135040","135460"," Good morning."
"135580","136100"," How's everybody doing?"
"139100","139920"," Just a second here."
"145070","150210"," If you did grab those puts with me at the end of the night last night and you're still holding"
"150210","150490"," them. "
"152470","157110"," You may want to take take the money and run and then look for I'll show you where the early"
"157110","158130"," is above here."
"158130","159610"," In case you get a squeeze."
"166720","167800"," Do a second here. "
"169140","177990"," Start by new systemization."
"180050","180570"," Members."
"188240","190860"," Just got a couple of technical things in the background here. "
"194260","199060"," My voice is kind of rough today as well."
"216040","217000"," We'll look at."
"218660","220160"," We will look at. "
"234360","238580"," Good morning."
"238660","239480"," How's everybody doing out there?"
"239580","240340"," You guys all doing well?"
"246500","247860"," My phone was dead."
"248060","249940"," We keep even trying to text me this morning. "
"249940","253320"," Could not find my phone charger."
"257220","258060"," Good morning."
"259920","261900"," Did you guys get good morning?"
"262060","262480"," All of you out there. "
"262560","267000"," If you guys grabbed puts when I do what I hold overnight if it's caught."
"267140","268520"," Well, I have like a kind of a rule."
"269560","274500"," If I hold zero dates overnight or one dates the day prior overnight calls puts. "
"274740","275100"," I don't care."
"275100","279240"," I take the money and run then renegotiate if we're going to go up or down."
"279820","286060"," At times, if I'm losing money, I will leave them on because they're already dead. "
"286480","290420"," So if I put a lot of one for 30 cents and they're worth like seven cents."
"291480","293920"," When I come into the open, that's what we do."
"294000","294640"," Just leave them on. "
"295360","297080"," Sometimes I'll reposition them."
"297280","297920"," That's just me."
"298040","298780"," I'm like, yeah, they're burned. "
"298780","304860"," And that still holds true at that same trade, right?"
"305060","305980"," It's a directional trade."
"306300","307880"," Does it go the way that you want it to go?"
"307980","309660"," If it doesn't, trade is kind of dead."
"312880","314900"," Now, as of Friday. "
"317420","318400"," I think it's out here."
"319860","321240"," On this open up here."
"323340","324280"," Hold on one second here. "
"328250","330150"," As of Friday, we closed out calls."
"330790","332470"," We did some spreads in here."
"332590","338010"," We kind of figured that it would take two or three days at least to consolidate. "
"339050","343870"," And my hope was for that consolidation to take place into Wednesday at some point."
"345330","347290"," And that's what's been happening, right?"
"347510","350050"," We're consolidating, consolidating, consolidating."
"352110","355070"," And I'd really like to get some down or some vol. "
"355070","359030"," I was on the phone last night or after the close yesterday with Winky."
"360210","363770"," And he had brought up something important that we need to talk about this morning."
"365050","368590"," And that was just like a pressure relief valve. "
"368930","371090"," It says it's firmly opposed to 1848."
"371310","372270"," One trade agreement."
"376370","376910"," 1448. "
"378670","382050"," I'll see if I can reenter the trade again up here somewhere."
"382730","384090"," I'd like to see."
"384190","386130"," I would like to see here. "
"386310","388570"," Water flame futures, forex and stock instruments."
"389390","391730"," Get a free trial at tickstrike.com."
"392190","393430"," I would like to see."
"394790","395530"," Hold on here. "
"395610","397610"," I'm going to make sure that I don't get trapped in this shit."
"400950","404930"," I would like to see a bounce down here."
"404930","407210"," Four 1581 somewhere in here. "
"407670","409710"," Even if we have a further down day."
"411710","414430"," Or rejection up here, something like that."
"414730","416310"," For further down today. "
"416610","417210"," Turn around Tuesday."
"417730","421630"," Yesterday we said, can we get a turnaround Tuesday to the downside?"
"423630","426770"," And so something somewhere in here, maybe reset or something like that."
"427310","434090"," Try to get some blood, some of that panic into the minutes on Wednesday. "
"434930","438490"," We'll get rid of this too at some point this morning so you guys don't have to deal with this"
"438490","438950"," bullshit."
"439310","442670"," All this traditional chart and stuff."
"446380","448540"," Maybe we'll leave it in the background so you can see it. "
"451280","453440"," And then you have the minutes actually drop, right?"
"453680","454500"," The minutes come out there."
"454720","458860"," They actually are talking about a pause and you see some kind of a into Thursday."
"459780","463000"," Thursday we start going up again, Friday we start going up again, something like that. "
"466760","467920"," So that's what happened to me."
"468060","470740"," Like my kids are like, well my wife does the same thing."
"471780","474400"," What they do is they take a move. "
"474880","476580"," They claim they don't do that."
"476720","479080"," And then they hoard them and then they wind up underneath their beds."
"479320","479840"," That kind of stuff. "
"480840","481720"," That's what it is."
"483540","485020"," Matter of fact, I got a charge."
"485260","486880"," I just I just grabbed to give me a second here. "
"495690","498490"," Get a bunch of four 16s over here."
"498690","500110"," So we'll see what happens here in this bell."
"500350","504590"," It's like I didn't want to I didn't want to say anything on on fin to it this morning because"
"504590","505030"," I'm like. "
"505930","509010"," I'm like, man, it's like fucking bears man."
"509010","511990"," Like jinx that shit and it bounces the last five minutes."
"512630","514470"," You know, like it's never for the bulls. "
"514690","514890"," The bulls."
"515350","520590"," I guess it happens to the bulls sometimes, but I'm like, oh man, like these fucking bears are"
"520590","521510"," getting fucked so hard."
"521510","525110"," So hard lately, but you don't want to like jinx it for him. "
"525190","528830"," I'm like, they're probably they're probably fucking pacing in their bedrooms right now."
"531530","534230"," They got to be pacing in their bedrooms right now."
"534590","536310"," Is this the one where we crashed?"
"536710","538030"," I'm like, oh, here we go. "
"538770","542490"," But the conversation was happened with Winky was twofold last night."
"542730","546270"," And the first one was, you know, get let's get some pressure relief here."
"546470","551310"," Like it's never always goes straight up and it never always goes straight down, right?"
"552830","554530"," And you don't want it to always. "
"554810","557030"," We talked about those two groups of people yesterday, right?"
"557530","562470"," Talked about the group of people that you have to be careful of both of these people."
"563090","571110"," Be careful of the people that are like, it's going to zero because they're upside down, picking the"
"571110","572250"," wrong direction on the way up."
"572470","575930"," And then you've got the people that want to jump on 420 to 432 early. "
"576870","578650"," And both are like in your ears constantly."
"578650","580910"," And you're just like, man, I just chill."
"581390","582370"," You know, just chill. "
"582550","583290"," We'll get there."
"583450","583830"," Just relax."
"590960","592560"," I'm going to line this up here. "
"594580","596720"," So personally, I'd like to see that down day."
"596820","600460"," If we can get a turnaround Tuesday the downside, maybe we get a bump down here."
"600760","604160"," If we trade on the bell this morning though and trade down here. "
"604920","609920"," I am going to expect a demand to at least step in if we can trade down here to this"
"609920","610820"," 41581."
"610820","613720"," I was hoping for 416, I think."
"615240","619420"," Matter of fact, I didn't think we'd get this even this close overnight. "
"620340","626520"," My expectation was that maybe we'd get down here into this open and then sell down on the opening"
"626520","626780"," bell."
"627420","630220"," So we get a little bit of an extra right now this morning."
"633140","634220"," Good morning. "
"634220","634720"," How y'all doing?"
"637980","638740"," Husky morning."
"640260","643840"," Yeah, I got I need more water."
"644140","644920"," Like I'm dehydrated. "
"645400","650380"," We're not side last night with my wife and kids and ran around and trying to keep the kids."
"650700","653760"," Kind of like a happier."
"654100","655120"," They're not happy right now. "
"655940","658140"," And then we watched a movie last night."
"658700","661600"," Shazam and they were they were protecting kitties."
"661600","664820"," So my my children were happy with that and made their night. "
"678980","680720"," Chat disabled on YouTube."
"683540","687140"," Just tell me this chat is disabled is chat disabled for you out there."
"687240","688140"," You guys can chat on YouTube. "
"688140","688960"," It looks like."
"701000","704620"," But we're talking about when it was it's a two twofold conversation."
"704880","705320"," Okay. "
"705900","706600"," I got one more minute here."
"706680","716580"," Give me a"
"716580","719900"," second."
"719900","720980"," I got the six cents. "
"727580","731400"," So when you're talking last night, it was like a two or threefold conversation."
"731900","733840"," The first part of it was relief valve."
"735320","737060"," You know, the market needs. "
"739020","742740"," Even if it's just for a moment, you know, we were talking last night about."
"743860","749060"," Some of these fed meeting minutes meetings like give cell the minutes by the by the meeting."
"752200","757780"," And so I'm like, I'm like, we've had some fed meetings where we can blast down 70 to 100 points"
"757780","759440"," in like a day or two. "
"759880","762040"," They come right back up to where we should be."
"762560","764100"," I was like, is that what you're asking for?"
"764220","765540"," And when he's like, yeah, something like that."
"765960","771080"," Like, even if you're going to stay on trend, you just get that blast down, clear it all out and"
"771080","771920"," come back up again. "
"773140","777340"," And he made another great point last night, which was about."
"777340","781140"," The meme stocks, the meme basket stocks, they're all printing."
"781840","785820"," All the spec growth are printing, like everything is like that basket. "
"786620","789440"," Of risk, ask it assets are printing."
"790520","791740"," So we'll look at something."
"794140","796940"," Right now, or this morning, we're going to look at something. "
"797180","798060"," I'm flat, by the way."
"800340","806740"," So we'll look at something this morning and see if we can have it if we can find any correlation"
"806740","810820"," between these risk basket stocks."
"811180","816100"," And there's a fascinating story about this before pre GME. "
"817280","822080"," A lot of hedge funds and boiler rooms, stuff like that."
"822200","823360"," They didn't really give too much."
"824820","829420"," They didn't really give too much credit to the retail trader. "
"830580","836100"," And they weren't aware that retail traders were being taught how to trade on Wall Street bets of"
"836100","836560"," all places."
"837920","841280"," Wall Street bets kind of like a quiet, well, it wasn't quiet, but it wasn't."
"841800","843300"," At that point, it wasn't quiet. "
"843600","844700"," Just pre GME had grown."
"845680","852440"," But there was a cadre on Wall Street bets of traders that were trained by market professionals."
"853360","859640"," And that cadre grew and trained more retail traders how to basically how to do arbitrage. "
"861120","866920"," How to make money on bets that were like one out of a hundred, right, would work."
"867420","871200"," And some of these people knew how to do this and they passed along, passed along, blah, blah, blah."
"872680","882440"," When GME happened, there were very smart people that refused to believe that GME could blast off"
"882440","883280"," to the moon. "
"885160","889840"," And all their smart people, they were all in the meetings and these rooms going, you know, like,"
"889920","892000"," fuck these retailers, we're going to take them to the cleaners."
"893320","898340"," Well, of course, once they finally actually did figure out that they were fucked, right, this is"
"898340","899440"," when they shut GME down."
"901600","904940"," They didn't, they're not as dumb as they'd seen these people. "
"905260","911460"," So they ended up coming into GME and other stocks and they ended up fighting retail and then"
"911460","912360"," fighting each other."
"913360","920840"," And then developing straight training strategies as the example use case being Wall Street bets on"
"920840","922000"," how to capitalize."
"922380","927140"," If these retailers are making all this money, how do we capitalize and make money in this in a"
"927140","929900"," similar fashion and beat retail at the same time. "
"932040","934600"," And so they're all in there fighting with each other, right?"
"934680","939040"," It was like a war zone like professionals going after each other, not the retail and professional,"
"939320","941080"," not the retailers and that kind of stuff."
"941080","943840"," These are hedge funds going at it with each other."
"944660","949160"," And they rolled this into, I'll try to find an article this morning if I can, but there are hedge"
"949160","954440"," funds that have since then created risk baskets of meme stocks. "
"955560","961760"," So they're cycling into, we're doing rotation trades and then you see a rotation trade into these"
"961760","962360"," meme stocks."
"963540","968740"," And it's kind of fascinating because you're like, you're shorting, shorting, shorting, shorting."
"969320","973660"," And then you take that short off these meme stocks, they rip faces after you now on the underlying"
"973660","975340"," and you clean up, right?"
"975460","983240"," It's like one more money making operation for a professional to make some pretty fat cash, right?"
"983740","989940"," And then re-short again on these meme stocks, these meme baskets that they're called. "
"990260","994160"," I'll try to find an article about this, but there was people are talking about it a couple of"
"994160","996600"," things two, three years ago you could find articles on this stuff."
"997160","1003440"," Now, Winky yesterday said, hey, you know, how every time we start seeing the memes popping and I'm"
"1003440","1008020"," watching my growth picks popping, it's like all firing on the same cylinders."
