"id","start","end","text"
"jJUMNib-H18","0","11360"," Happy Sunday Twitter fam, Captain Jim James here with your weekly brief for December 13, 2021."
"jJUMNib-H18","11360","16160"," So I want to start off by saying that I hope that you get this video before morning."
"jJUMNib-H18","16160","22800"," I live near where those torn or close enough to where those tornadoes were that we had"
"jJUMNib-H18","22800","29600"," windstorms that wound up knocking power and internet out to us intermittently over the past"
"jJUMNib-H18","29600","36320"," two days. So I've made this video I think three times at this point and I've had uploads fail."
"jJUMNib-H18","37040","42160"," So hopefully you get this video and we're going to start this video off by looking at the economic"
"jJUMNib-H18","42160","48720"," calendar and we know that we have got no events on Monday. We have got PPI on Tuesday on Wednesday"
"jJUMNib-H18","48720","53760"," retail sales Thursday claims and continuing claims nothing on the docket for Friday."
"jJUMNib-H18","54560","62080"," I'm sure at this point everyone knows about the FOMC on Wednesday or at least the presser"
"jJUMNib-H18","62080","66720"," at 2.30 in the afternoon and that's really what you need to concern yourself with. Jerome Powell"
"jJUMNib-H18","66720","72240"," is going to come out hold a presser and talk to us about monetary policy heading into the upcoming"
"jJUMNib-H18","72240","78960"," year and ad nauseam I'm sure that everyone is talking about this everywhere. Sometimes you"
"jJUMNib-H18","78960","84640"," get in the rabbit hole or sometimes you get in that box and you don't know what to believe anymore."
"jJUMNib-H18","84640","89520"," When in reality as an investor a swing trader a day trader although the only thing you really"
"jJUMNib-H18","89520","98400"," need to know is are they going to increase or accelerate tapering in December and what if any"
"jJUMNib-H18","98880","104240"," rate increases we get in 2022. We know we have one bank that was saying that we're not getting"
"jJUMNib-H18","104240","109280"," any rate increases. We have another bank that's saying we're getting two if not three. A bunch of"
"jJUMNib-H18","109280","116720"," other banks believed that and we actually priced in two rate increases in 2022. So what does that"
"jJUMNib-H18","116720","123040"," mean? Well we know that Jay Powell has told us that he would telegraph before any major announcements"
"jJUMNib-H18","123040","129680"," during this time period. We also know that the market has been kept up during this time period."
"jJUMNib-H18","129680","135280"," We also know that the president came out and said hey inflation's going away. Shortages are"
"jJUMNib-H18","135280","141200"," going away. You can see it. I mean two is or two their credit somewhat. There have been lesser"
"jJUMNib-H18","141200","146560"," gas prices. Some of the shortages are relieving. Some people are going back to work. They do this"
"jJUMNib-H18","146560","153200"," doesn't need to improve. Yes did we see worse CPI numbers this week? No we got the expected"
"jJUMNib-H18","153200","158000"," numbers. I was expecting even higher they didn't come. So you have to somewhat give them the"
"jJUMNib-H18","158000","164000"," benefit of the doubt. You know if those numbers were worse that the potential for rate increases"
