"start","end","text"
"21040","21780"," Check one two."
"70260","71180"," Good morning out there."
"71260","71540"," How are y'all doing?"
"81410","83370"," Get right into it a little bit late this morning. "
"84850","87450"," I've got a little second here."
"89030","93790"," I've got some technical stuff that I'm doing here."
"93910","94170"," Hang tight. "
"95110","98390"," Now I want a few things I want you to see."
"99770","101510"," I'm trying to make this fast here."
"101650","103270"," It's kind of important for a lot of you out there. "
"113020","116740"," It's a title of the, well, Hang tight one second here."
"123210","125750"," Get some technical stuff I'm doing here in the background."
"129900","132000"," Good morning to all of you, by the way. "
"138040","142300"," Elon is now just straight destroying the API."
"142300","146800"," I like Elon has like a wrecking ball."
"149400","153520"," Oh, man, dude, I can't even imagine. "
"154960","165070"," Well, I can because I'm trying to work with the API and its current form and no matter"
"165070","174970"," where or not no matter as I work with the API and with different websites, different"
"174970","177490"," things are breaking at different time frames."
"178070","184150"," So it's not like it's a more of an evolution than it is just a one time thing."
"184410","185890"," I've been told that it's a migration. "
"186870","188310"," Maybe it's a slow migration."
"192530","196190"," We'll get Netflix to today because I'm sure there's some bag holders."
"200720","202880"," I'm sure there's some bag holders there. "
"203160","204340"," So I'm sure they're going to want to know."
"212340","212860"," At"
"217700","228820"," least"
"236270","237410"," review this stuff the U.S. existing home sales."
"239590","249570"," I think I posted most of my thoughts on this last"
"249570","256630"," night and posted most of my thoughts on this last night and I just want to make sure I can"
"256630","259050"," get everybody to pile in here so I'm not repeating myself. "
"260430","275840"," I oftentimes repeat myself and need to be able to get everybody in here so they can see something"
"275840","279110"," about it."
"281470","282370"," Ten seconds."
"285950","295850"," Yeah, like hello IBM four spot one six million four spot one"
"295850","296610"," six million. "
"296790","299610"," That's low than the forecast of four spot two one million."
"300070","302490"," Sisting home sales change of minus three spot three percent."
"302690","307090"," Your zone consumer confidence flash minus fifteen spot one minus fifteen at spot one. "
"307410","311890"," That's higher than the forecast of minus fifteen spot eight and the U.S. leading index change month"
"311890","315410"," over month of minus zero spot seven percent minus zero spot seven percent."
"315690","318250"," Low than forecast minus zero spot six percent."
"357230","358810"," Okay, so IBM this"
"358810","368690"," morning had a we'll"
"368690","378010"," discuss why that is to why I like IBM or liked IBM the best of all three reports yesterday major"
"378010","387410"," reports IBM was the only one of those three reports that was set up to go up regardless of their"
"387410","394470"," earnings and so yesterday I had a mixed bag here I went on to go on to Twitter yesterday and"
"394470","404000"," I said there's a few things to note note here number one I'm losing my voice pretty badly"
"404580","409520"," so I'm going to be only going to say this stuff once today not matter anything I've said I'm just"
"409520","418720"," my throat is really bad so first of all you've got Netflix traded up into their ER Tesla traded up"
"418720","427720"," into their ER they have to have stellar reports and stellar guidance"
"427720","437340"," Tesla specifically must also produce something that is unknown to market unknown to market nothing"
"437340","444620"," expected nothing that you're looking forward to otherwise you do not get a continuation to the"
"444620","451780"," upside and a squeeze of any kind after hours that is it there is no other discussion and"
"451780","460320"," specifically that has a lot to do to with the run up to 300 otherwise yesterday I even let you"
"460320","466920"," know where I want to buy Tesla so we'll look at Tesla this morning where I want to buy Tesla"
"466920","475640"," and I drew those out for you yesterday in stream in the morning now IBM was the sole"
"475640","484820"," ticker yesterday that actually still looks good even after their report and they had a mixed bag"
"484820","492880"," report but they weren't run up into their report and you can see this morning that they squose of"
"492880","504440"," all three they squose now trailed off by 18.9% from one year ago so at four now"
"505810","515789"," with that said now with that said those two large reports every year this"
"515789","524330"," is how it goes you get your first tech reports if your first tech report is outstanding we get"
"524330","532350"," continuation and run up some other tech stocks if the first reports are horrible we get panic and"
"532350","541330"," tech those reports were not horrible but they also were not great so what that does is if you're a"
"541330","547270"," tech bro you should already know this and that would mean that you're going to begin to wrap up"
"547270","557210"," shop you can see that right now in NASDAQ now there's something else for you to look at"
"557210","566150"," here DJI continued higher in the overnight that's showing you a migration"
"566150","574310"," like think of it like a bunch of like bulls running from place to place right they don't always run"
"574310","580110"," stay in the stock market sometimes they run out and they buy houses they buy commercial property"
"580110","586090"," they buy bonds they buy all kinds of shit right but sometimes they go out and they they just put"
"586090","594710"," their money into cash so there's a migration right now you can actually see now with that migration"
"594710","599070"," they haven't migrated from everything you can see it goes told there was excellent liquidity"
"599070","604710"," provided in apple yesterday and sure enough apple ripped faces off there was a key point here in"
"604710","611430"," apple too i want to show you something in apple i was watching it this morning in pre-market kind"
"611430","621130"," of a hint i want to show you the hint here in apple that there was no there was no"
"621130","628890"," exit liquidity i want to show you why here even though apple was down a dollar 40 in pre-market"
"628890","637350"," or whatever it was this morning the key for you to see was that the squeeze started right here and"
"637350","645150"," we never went below that squeeze at any point we had a retracement and then it's squeeze higher and"
"645150","652390"," they bought this in the belly yesterday too so this is just accumulation by large banks these guys"
"652390","662270"," want they have not left expectation that this will be spoken about in apple's earnings"
"662270","671130"," so you from from my perspective right now this mass migration out of uh tech"
"671130","678210"," is going to be tech that's been run up into their earnings apple is giving you a key that hey"
"678210","687950"," don't leave us behind we've got some news coming big news now i would exclude apple from this"
"687950","695070"," conversation start there like you're not sorry you're not going to see apple burn to the ground"
"695070","701770"," before their earnings knowing that they're developing anything with ai you and i both know that"
"701770","709950"," apple does not fuck around half-ass shit they're not elan musk if they make an announcement or if"
"709950","718070"," the washington post finds out that they're doing this now there is some risk here uh apple does not"
"718070","725170"," like information about development being broken publicly they were at this i don't know if you know"
"725170","733070"," this but they were developing a car and they actually were twice and they had an agreement i"
"733070","739430"," believe with fox con i could be wrong in this but i believe it was fox con or hunday they"
"739430","746510"," had a plant lined up and they literally broke the deal when it leaked publicly they're very"
"746510","752990"," sensitive about this stuff leaking i couldn't figure out if they broke the news or if reporters"
"752990","761690"," found out uh so that could be negative down the road here into their earnings apple hates uh public"
"761690","767130"," information before product is ready to launch on their own terms so i'll be fascinated by that they"
"767130","773390"," literally broke when they broke that agreement they shut down car development a second time but"
"773390","778550"," with that said with that news you're not going to see this crash right now i apologize to you it"
"778550","787850"," ain't happening it just doesn't happen this is not tesla this is this is apple so uh apple is still"
"787850","794330"," strong that's the point i'm trying to make to you you also see a lot of uh DJI companies still"
"794330","803550"," strong seeing tgt verizon the the list goes on on i reposted one last night from"
"803550","810170"," funstrats what a front front one of tom lee's guys made a post last night highlighting some of"
"810170","819070"," these companies uh and there's a list it's for you to look at they just posted it publicly jpm in"
"819070","825890"," tcm m m u n h m is fit cat g s apple nikey k o v a x p"
"825890","831710"," h d i b m and there's a list of other ones too that are being accumulated right now and"
"831710","840270"," shocker i b m is one of those so um they're wait what that's telling you is that we're not"
"840270","847750"," distributing that we're rotating and that we're consolidating and there's some kind of a movement"
"847750","855770"," into other parts of the market that have been knocked down we've seen this happen to the past since"
"855770","863830"," since december of 2020 we've seen this happen the last thing that was that was glaring was"
"863830","872110"," regional banks we talked about commercial real estate likely being next lo and behold it was"
"872110","880050"," companies like att like verizon they all got taken down to the woodshed there are still some"
"880050","886970"," medical companies that have not been taken out to the woodshed yet we know they're gonna be on deck"
"886970","892790"," at some point these companies were trading 15 they're trading like three hundred dollars right now"
"892790","902770"," there's no fucking way they're not getting biotech is july so maybe we see that happen with those"
"902770","908370"," companies in august we have a peak maybe in those companies then they just start hammering those"
"908370","916310"," next now the question becomes are we in distribution or consolidation right now it just looks like"
"916310","922950"," consolidation and you can see the signs i'm telling telling them to you okay i'm explaining to you"
"922950","931250"," what the signs look like right now now spy right now this morning i said expect to squeeze right"
"931250","939430"," you got it i posted this on twitter i said you're gonna get a squeeze on spy here and then"
"939430","949230"," you're looking for a bounce okay now this is called a kiss trade kis s and you want to see"
"949230","957610"," this hold if this does not hold right here uh becomes boom we reject and we start actually making"
"957610","963010"," our way lower uh so this is sub this is and this is another fair or a big point for"
"963010","970670"," you here this is a five-minute time frame here i always talk to you about in this show that"
"970670","977110"," you'll get confirmation on larger time frames that when we're trading a five-minute or a one-minute"
"977110","982410"," chart that if we're going to make a leg higher or even a leg lower you get a chance to"
"982410","988730"," get out of your shorts you get a chance to get out of your lungs and to never just panic"
"988730","998610"," sell that you'll have an opportunity to unfuck yourself so if you were position or if"
"998610","1007350"," you were long let's say let's say this bell you were long and you didn't panic sell down here you"
"1007350","1016710"," were given another opportunity today to get out and reposition yourself okay so right now what are"
"1016710","1023930"," bulls looking for they've got about two days left during this consolidation to make a new high time"
"1023930","1028790"," is running out for bulls i want you to know that uh we and i'm going to show you why"
"1028790","1035589"," time is running out for bulls in just a moment to complete this thought of consolidation so bulls"
"1035589","1040650"," don't have a lot of time they basically have until like close of thursday what is close of thursday"
"1040650","1048010"," it's today and they have to in in this closure right as we go into the weekend to monday there"
"1048010","1055090"," should be some kind of a consolidation we're going to talk about consolidation versus distribution"
"1055090","1063370"," and uh what my experience has been with that this year so far this is a very what this is"
"1063370","1070130"," a moment for you to learn something here now because this has cost me a lot of money uh and"
"1070130","1077410"," an insurance to trade up as we go along now i've made a lot of money too but you know"
"1077410","1085130"," like it's very been very costly uh and i want you to see it as well so right now you're"
"1085130","1091130"," waiting for a can successful consolidation bounce here or not consolidation we have a three trigger"
"1091130","1096970"," cluster here you want to see the break above and then the consolidation so if you're a bull here"
"1096970","1104150"," you know what you're looking for right you're looking for uh the hourly triggered hold you're"
"1104150","1110210"," looking for the bounce to check it and then you're looking for this right here i want to show it"
"1110210","1117610"," to you what you have no trade unless this happens as a bull if you were upside down yesterday you"
"1117610","1123450"," were given a chance to get right side up so you're looking for that bounce just so you can draw"
"1123450","1141330"," this so you can see it more clear here you're looking"
"1141330","1150730"," you're looking for this to happen first bounce down"
"1150730","1160440"," and then believe it or not something like this like you have to see this"
"1160440","1166380"," begin to happen before you can begin to even take a long even if it rejects down starts to squeeze"
"1166380","1172200"," up that's fine too but you need this you need to see that right there before you can even get"
"1172200","1180820"," bullish for the rest of today or tomorrow you need this to develop for you as a bull you were"
"1180820","1186980"," given a chance to get out here and now you're looking to see what happens here if you are a"
"1186980","1194220"," bear and you're like fuck you cap or crashing i don't know consolidation started yesterday uh"
"1194220","1200300"," whatever you know whatever that is you have some work you need to do too here you need to see"
"1200300","1210460"," a price break below this green line right here you're"
"1210460","1220390"," going to want to see an expansion to the downside and"
"1220390","1232690"," you're going to set up so you can draw that better make this not as sloppy oversimplifying"
"1232690","1245230"," this hold on here bounce right damn it let's try that"
"1245230","1253250"," one more time you're looking for this failure on the six EMA feel like a green bar that does not"
"1253250","1268470"," continue higher right there and that's going to begin to tell you we're"
"1268470","1273710"," going to start to make our way lower so if you see that failure bar right here you can set"
"1273710","1279050"," up some puts right here and take this down you've got another and you got one more line you got"
"1279050","1288300"," to hit right here your PT1 is actually going to be 450 370 to"
"1288300","1299230"," get one more line up here still"
"1299230","1309090"," have another opportunity to jump on this that's actually a bigger trade right there so"
"1309090","1314470"," just let this play out now i also want to tell you something here whether you're a bull or bear"
"1314470","1323050"," doesn't really matter this is kind of the microscope right here right you're like dialed in on a"
"1323050","1332750"," one-minute chart but the truth is this right here is setting up a multi-day"
"1332750","1342650"," trend one two three four five days you don't need to like be calling this right now there's"
"1342650","1349970"," no need to call this you want to you just want to see this break below and touch that's right"
"1349970","1356090"," here you want to touch that one you want to touch this PT1 you don't need to call like you"
"1356090","1361910"," got two days man five days a week it's like you don't need to be like i'm already short and"
"1361910","1369230"," that's it and i'll tell you why too it's like people on fin twitter like i've been short for two"
