"start","end","text"
"13640","14480"," Let's see if we're up."
"18000","20700"," Okay, I'll turn that so I can see."
"23280","25140"," I've got the feed up right now, right?"
"26280","28700"," Let's see if we can scroll this a little bit higher. "
"29260","30500"," Oh, yeah, maybe 480."
"31619","34240"," Look at the heroin decatur up."
"37000","37880"," Good morning. "
"38780","42560"," I was having some technical difficulties that I was trying to..."
"42560","45960"," Let's see if I can move this over a little bit here."
"45960","47360"," So I can see everything you guys are saying."
"49520","53080"," I was trying to run some new equipment to this morning. "
"53760","54580"," Good morning, y'all."
"54760","55240"," How y'all doing?"
"56140","56760"," Morning, Joey."
"56980","57680"," Good morning, endless research. "
"58840","65140"," Good morning, Damien, Dragon Wolf, Benjamin, Binky, Guacata, HP, Kubrick."
"65680","66200"," Good morning."
"66740","67440"," Morning, Binky. "
"68320","69100"," How y'all doing?"
"70960","73960"," I'm hoping that this is a better setup."
"74640","75440"," I'm almost there."
"75540","75900"," I'm like..."
"75960","76880"," 80% of the way there. "
"78160","79960"," I got a new camera setup this morning."
"81420","88740"," I have a new mic and I have a new computer setup, but I still need to add one more"
"88740","89460"," computer to it."
"89800","91140"," I've got one, two, three, four. "
"91860","101560"," Good morning, Omar, T-Chrone, Alex, Kristoff, Kristoffer, Inlight, Jafar, Ryan, Mateus, John, S, G"
"101560","101900"," Chen."
"102220","103080"," Good morning to all of you."
"104280","105680"," Is this too loud for you guys?"
"105840","106600"," Is the game too much?"
"107940","108980"," Let's see if this is too much. "
"110580","111380"," Check one, two."
"113400","115700"," Good morning, Jasmine, G Chen, CJ."
"116260","117000"," Morning, everybody. "
"118780","120350"," Sorry it's taken so long to get on the..."
"121300","122040"," Yeah, you know what?"
"123040","123980"," I've got two more..."
"123980","130160"," I've got some lights coming in and they were supposed to arrive yesterday and they have not"
"130160","130400"," arrived."
"131000","133160"," So I've got two more lights coming that I'll brighten the room up."
"133900","138320"," I tried to increase the ISO in the camera, but it was like a washout effect. "
"139960","140940"," Good morning, everybody."
"142660","147940"," Got a new camera trying to reconfigure the computers this morning so that I can..."
"147940","149860"," We won't have any lag in the live stream."
"150180","153060"," If you guys are seeing any lag today, let me know. "
"153380","155960"," Good morning, Chaz, Douglas, Lucas."
"156260","156860"," Good morning, GP."
"157580","157900"," Good morning. "
"158780","160120"," Mero, what up, bro?"
"161040","161440"," Chansu."
"161640","162380"," Good to see you too."
"163600","164300"," Yeah, Mero. "
"164420","165560"," They tried to dump that last night."
"165600","166500"," That wasn't happening, right?"
"166700","171180"," There's a little bit of playing around in futures, but not today."
"172240","172640"," Right?"
"172740","174840"," We're noticing that today that there's no..."
"174840","176860"," There's no messing around. "
"178680","179540"," Like I'm pretty proud."
"179760","180380"," Yeah, I got a new..."
"180380","183240"," I got a new lens coming too, so you're gonna get that..."
"183240","185400"," You're gonna get that meat kevin effect at some point."
"186080","188080"," It just won't be as goofy. "
"193300","193700"," Hutch."
"194040","196600"," Yeah, so last yesterday, we can get to that in just a second here."
"196640","198300"," We'll talk about that this morning. "
"199080","200060"," Good morning, you trope."
"202160","203100"," Yeah, you know what?"
"203200","204280"," I can probably get some..."
"204280","205760"," I like the idea of the natural sunshine."
"207020","211160"," I built this studio so that I could control it because they'll be live streaming at different times"
"211160","214080"," of the day, so I've got everything blacked out in this room. "
"215260","217420"," Good morning, BG Tati."
"218080","218880"," Big Tati."
"219220","219840"," Good morning, Josh. "
"220640","222060"," Yeah, I like the natural sunshine."
"222740","226720"," I just can't control it throughout the day, so I'm waiting on a couple sets of lights."
"227040","228120"," They were supposed to be delivered yesterday. "
"228740","233180"," They should arrive by today, and then I'll have the controlled lighting."
"234540","238260"," And then, of course, the camera at ISO 400 is kind of the right..."
"238260","240300"," If I had the right lights here right now, they'd be perfect."
"242320","243600"," I appreciate the concern. "
"243940","245160"," It's gonna be a little bit dark today."
"245560","245720"," It should."
"246500","247980"," The lights will get better tomorrow. "
"249400","252640"," You'll be able to see my face better and all that kind of stuff that you guys can see me"
"252640","253020"," right now."
"255829","257329"," So good morning to all of you out there."
"257390","258050"," Good afternoon, right?"
"258209","259190"," It's 11.16 here. "
"259250","259670"," I am."
"260110","261590"," I'm sure it's a little bit later wherever you are."
"261910","264070"," We have to talk about a few things this morning. "
"264850","268670"," I want to talk to you guys about the market real quick."
"271560","274980"," Let's first, let's talk about..."
"274980","277720"," Let me just check the flow right now."
"278100","280880"," Now I can start to watch the flow in real time. "
"281140","286040"," I don't have to worry about switching back and forth."
"286420","287820"," So things are gonna get better around here already."
"288520","297100"," I can call things out to you right as they happen, and we can start to talk about what's actually"
"297100","298000"," happening in the market. "
"298880","300200"," It's hard for me to afford."
"300240","303360"," It's like I've got different, different setup going right now."
"303380","304380"," Good morning, hot, hot, hot. "
"304940","306780"," Morning Charles, good morning YJP."
"309280","310300"," Hope you're all doing well."
