"id","start","end","text"
"jyd7KFtx9ic","0","8000"," Hey, this is Andrew left at Sintra on research, giving you five reasons why GameStop is going to $20."
"jyd7KFtx9ic","8000","14000"," I've never seen such an exchange of ideas and people so angry about someone showing you the other side of a trade."
"jyd7KFtx9ic","14000","23000"," And not just saying a company that, let's just say, is supposed to make the world a better place, maybe a Tesla or security problems or COVID."
"jyd7KFtx9ic","23000","25000"," This is a failing mall-based retailer."
"jyd7KFtx9ic","25000","33000"," So the amount of people who are so passionate about putting GameStop higher, not based on any fundamentals, it just shows the natural state of the market right now."
"jyd7KFtx9ic","33000","37000"," Or Seth Klarman said today, a bunch of frogs in a pot of boiling water."
"jyd7KFtx9ic","37000","42000"," So let's just get right to the five reasons why we believe it's going back to $20."
"jyd7KFtx9ic","42000","48000"," Number one is the elephant in the room most obvious how people believe we are in the middle of a short squeeze."
"jyd7KFtx9ic","49000","53000"," Note that there was a very high short interest in the stock and there still is."
"jyd7KFtx9ic","53000","56000"," Your first question you have to ask yourself is why is there a high short interest?"
"jyd7KFtx9ic","56000","61000"," But moving beyond that, a stock of $40 right now has an open borrow on it."
"jyd7KFtx9ic","61000","63000"," You could borrow for a fairly decent rate."
"jyd7KFtx9ic","63000","69000"," There's plenty of options on the stock and it's no longer now we're looking at a trading phenomenon."
"jyd7KFtx9ic","69000","72000"," There's people just keeping it up by a lot of call volume."
"jyd7KFtx9ic","72000","75000"," There's no short squeeze that is happening as we speak."
"jyd7KFtx9ic","75000","79000"," Me personally who is short the stock, I have no problem selling the stock higher."
"jyd7KFtx9ic","79000","81000"," You're not going to change the story."
"jyd7KFtx9ic","81000","84000"," You're not going to change the underlying fundamentals of this company."
"jyd7KFtx9ic","84000","90000"," Therefore, as long as the borrows are available and insiders are still selling and the company needs money,"
"jyd7KFtx9ic","90000","93000"," you won't see a squeeze from here on in."
"jyd7KFtx9ic","93000","97000"," Number two, numbers don't lie."
"jyd7KFtx9ic","97000","99000"," People lie."
"jyd7KFtx9ic","99000","102000"," I know everyone on Twitter never has a losing trade."
"jyd7KFtx9ic","102000","104000"," Everyone on Reddit is a market genius."
"jyd7KFtx9ic","104000","106000"," I hear it all the time."
"jyd7KFtx9ic","106000","107000"," That's fine."
"jyd7KFtx9ic","107000","108000"," Those are people."
"jyd7KFtx9ic","108000","109000"," Let's look at the numbers."
"jyd7KFtx9ic","109000","111000"," Let's look at the numbers for GameStop."
"jyd7KFtx9ic","111000","117000"," Now understand as a short seller, I was the first short to actually come out and go long Tesla."
"jyd7KFtx9ic","117000","120000"," Once I saw the story changed, the numbers changed."
"jyd7KFtx9ic","120000","123000"," They were eating from the top and they were eating from the bottom."
"jyd7KFtx9ic","123000","126000"," And I identified the fact you can't be short this name."
"jyd7KFtx9ic","126000","129000"," And it's up I think 90% since then."
"jyd7KFtx9ic","129000","132000"," It's the opposite when it comes to GameStop."
"jyd7KFtx9ic","132000","136000"," NPD is the gold standard when it comes to gaming reports."
"jyd7KFtx9ic","136000","141000"," On January 14th, they put out their analysis of what December looked like in the video game season."
"jyd7KFtx9ic","141000","148000"," Hardware sales had their best month ever of 23% year over year because of the two cycles."
"jyd7KFtx9ic","148000","151000"," Over that time, GameStop was down 9%."
"jyd7KFtx9ic","151000","153000"," Now understand this is with physical locations."
"jyd7KFtx9ic","153000","157000"," Forget about all the future where they're going to lose to downloading and streaming."
"jyd7KFtx9ic","157000","161000"," Their physical locations were actually down during the best month."
"jyd7KFtx9ic","161000","165000"," They were losing to Amazon, Best Buy, Target and Walmart."
"jyd7KFtx9ic","165000","166000"," And the reason why?"
"jyd7KFtx9ic","166000","171000"," Because people are not going in to exchange their old discs anymore or old games for new games."
"jyd7KFtx9ic","171000","176000"," That model has become dead and antiquated and that was a cornerstone of GME."
"jyd7KFtx9ic","176000","182000"," So with those numbers that we saw come out of NPD, it shows that before they might even try to turn the company around,"
"jyd7KFtx9ic","182000","185000"," their current business is just drowning."
"jyd7KFtx9ic","185000","187000"," You cannot argue against that."
"jyd7KFtx9ic","187000","190000"," Number three, valuations matter."
"jyd7KFtx9ic","190000","192000"," This is not Tesla."
"jyd7KFtx9ic","192000","194000"," This is not a company that with a blue sky."
"jyd7KFtx9ic","194000","196000"," This is a retailer."
"jyd7KFtx9ic","196000","198000"," You look at valuations."
"jyd7KFtx9ic","198000","201000"," This is what no one's looking at on your Reddit forms."
"jyd7KFtx9ic","201000","205000"," So forget about the fact that analysts have a consensus $12 target on the stock."
"jyd7KFtx9ic","205000","207000"," Let's just go look at Hedge Eye."
"jyd7KFtx9ic","207000","208000"," And I like Hedge Eye."
"jyd7KFtx9ic","208000","210000"," I think they do great work with fans of it."
"jyd7KFtx9ic","210000","211000"," We use them."
"jyd7KFtx9ic","211000","212000"," We speak them."
"jyd7KFtx9ic","212000","213000"," They're smart guys."
"jyd7KFtx9ic","213000","215000"," They recommended GME when it was 14."
"jyd7KFtx9ic","215000","217000"," And if you bought it then, you would be making money."
"jyd7KFtx9ic","217000","226000"," At the time, if before GME reported their numbers, they were expecting 2021 EBITDA to be around 333 million."
"jyd7KFtx9ic","226000","228000"," Now the street is at 71 million."
"jyd7KFtx9ic","228000","231000"," And we think they're going to have negative EBITDA."
"jyd7KFtx9ic","231000","236000"," If they did 330 million, which seems like a completely off-beat number now,"
"jyd7KFtx9ic","236000","240000"," then they had the price target, Hedge Eye, at $26."
"jyd7KFtx9ic","240000","243000"," The model just does not work."
"jyd7KFtx9ic","243000","246000"," And when you want to talk about valuations, think about it this way."
"jyd7KFtx9ic","246000","248000"," This is a retailer."
"jyd7KFtx9ic","248000","250000"," Even if they fix it, they're still a retailer."
"jyd7KFtx9ic","250000","255000"," Training it 40 times next 12 months, EV to EBITDA."
