"start","end","text"
"7830","13890"," This leader is provided to permit the projectionist to complete adjustment of focus and sound level"
"13890","14590"," before"
"22330","38690"," the"
"44740","44740"," film begins."
"45560","52580"," I like it in the background here trying to figure out what is going on with the new tier, all"
"52580","53180"," patch finishes."
"56780","57860"," Let's get one too. "
"59040","60200"," Let's get a roll in here."
"63280","66960"," Mary Anne Cantalouper, what's up brother?"
"68360","69480"," How's everybody doing this morning?"
"71780","76340"," I appreciate that, Perry."
"79520","83440"," Well, no customization. "
"85180","85420"," Members."
"86840","87320"," Save."
"91220","92880"," All right, why is like?"
"93600","94480"," I don't know why. "
"94640","95220"," Good morning."
"95340","96120"," How's everybody doing out there?"
"97500","99820"," We're not looking good this morning, are we?"
"100020","103200"," A little bit of blood this morning."
"103460","105920"," So yesterday's closed. "
"108020","109160"," Like I feel terrible."
"109420","111860"," I promise after the 15th, I'll be back."
"112060","112480"," I promise. "
"113680","116600"," As soon as my kids do, I got a driver for my kids."
"117420","118340"," I'll be here."
"118960","120280"," I got back yesterday. "
"123780","126780"," And so let me really go back to the one minute here."
"127539","130020"," So I got back yesterday from dropping my kids off."
"131880","134340"," And I think I left at two. "
"134760","136220"," Let's find out when I left here."
"137820","140260"," So I left, I think at two, ten."
"140580","143300"," It can be wrong somewhere in there, right?"
"144200","145100"," Well, that's what we got. "
"145340","146840"," Hold on a second here."
"149000","152120"," It was like two, ten in the afternoon, right there."
"152740","153740"," Oh, you guys can't see this. "
"154220","155200"," So this was yesterday."
"156780","158800"," And so I leave yesterday, right?"
"158920","159740"," I'm like, I'm out of here."
"161480","164800"," And I got back at four o'clock and we were right here. "
"167980","169500"," And yesterday's closed, right?"
"169500","172420"," So I made a statement yesterday."
"173400","175140"," Quite clear as day, I think."
"175260","176340"," I think it was clear as day. "
"177060","180300"," And I said, I said, bowls need to."
"180660","181480"," Like, you don't have a choice."
"183240","184420"," So this is yesterday, right?"
"185540","187620"," Bowls needed to yesterday. "
"189240","192600"," Close above the hourly trigger up here."
"192840","195420"," Like, I think I made that crystal clear."
"195980","203200"," Like, you have to close above the hourly trigger and then confirm for showing the buyers here and"
"203200","203940"," then we're going to move higher. "
"204680","209780"," So when I got back yesterday, we were down here and there were still some people in the stream."
"211220","213680"," And people were like, what do you mean you're bearish?"
"213760","215240"," I'm like, oh, I'm bearish in this close."
"215520","216960"," Like, so you've got no. "
"217720","220440"," Here's the idea between yesterday and today is that."
"223180","225280"," The market's being offered up to buyers, right?"
"225600","227100"," Hey, do you have the will to go higher?"
"228020","229140"," Do you have the will to go higher?"
"229300","229360"," Do you have the will to go higher?"
"229360","229960"," Do you have the will to go higher?"
"230160","230520"," Do you have the will to go higher?"
"230520","230820"," Do you have the will to go higher?"
"231280","231300"," Do you have the will to go higher?"
"231300","231420"," Do you have the will to go higher?"
"231420","232060"," Do you have the will to go higher?"
"232060","232260"," Do you have the will to go higher?"
"234640","235800"," Do you have the will to go higher?"
"237080","238960"," Do you have the will to go higher?"
"246440","248000"," Do you have the will to go higher?"
"250440","260399"," here to make is the path of least resistance is what like the"
"260399","263300"," reason they say that is because you can see right here."
