"id","start","end","text"
"kth2AISG-HM","0","2000"," Before the show begins"
"kth2AISG-HM","4200","7440"," Going on here, man finally got my computer back up and running"
"kth2AISG-HM","8880","15380"," Hells yes, this leader is provided to permit the projectionist to complete adjustment of focus and sound"
"kth2AISG-HM","16240","18240"," Before the film begins"
"kth2AISG-HM","25080","27080"," It's a perfect perfect"
"kth2AISG-HM","27080","30960"," Perfect channel art for today"
"kth2AISG-HM","45960","48600"," Baby check one two"
"kth2AISG-HM","58080","61280"," Mike check one two"
"kth2AISG-HM","66480","69760"," Where now where now we're wearing it here they go"
"kth2AISG-HM","78440","80440"," Set it here"
"kth2AISG-HM","82360","84360"," Everybody on fire"
"kth2AISG-HM","87080","89080"," You"
"kth2AISG-HM","117600","122240"," That's a lot of fuck"
"kth2AISG-HM","125200","132080"," Dude what is going on with Twitter, baby pop does now following"
"kth2AISG-HM","138640","140880"," Just send it bro send it"
"kth2AISG-HM","141000","148600"," What's crack it out there what's going on"
"kth2AISG-HM","151320","158960"," Got all kinds of weirdness going on this morning display issues windows 11 are y'all doing out there right now"
"kth2AISG-HM","161840","163840"," Let's get right into it. I'm gonna wait"
"kth2AISG-HM","165480","169720"," I got a couple things I'm gonna do here. I got some walking is with YouTube studio going on"
"kth2AISG-HM","171640","173640"," Slam it ad in there"
"kth2AISG-HM","174640","179000"," One ten one hundred percent edit got to keep the Russian bots out"
"kth2AISG-HM","180400","182400"," We know how that goes"
"kth2AISG-HM","183800","185800"," Gonna put the chat to"
"kth2AISG-HM","188680","190680"," Newest"
"kth2AISG-HM","192640","194640"," Subscribers only"
"kth2AISG-HM","195440","202440"," Any duration save, okay. Oh wow. We've got people already showing up this morning now it's standing"
"kth2AISG-HM","204040","208760"," Before you like we're hot on the trail this morning"
"kth2AISG-HM","210600","216360"," We catch the actual H line down here and not quite almost caught the H line down here"
"kth2AISG-HM","217920","220680"," We got some stuff that we got a gap above to fill"
"kth2AISG-HM","221680","224600"," That little gap up there a little H line right here"
"kth2AISG-HM","225840","229920"," And I'll pop that in there little gapage to fill above"
"kth2AISG-HM","232680","235760"," We do some work for you this morning we're gonna pivot right here"
"kth2AISG-HM","237080","240080"," Bunch of little gaps right here two little tiny gaps you can barely see him"
"kth2AISG-HM","243320","245320"," Let's see where"
"kth2AISG-HM","246320","250000"," Yes, this is our one right here opening up in the cash market below"
"kth2AISG-HM","250600","256960"," pivot level R1 S1 right here. There's not a there's not too large of an implied move"
"kth2AISG-HM","258360","262440"," To the downside this morning and we're gonna talk about why that is"
"kth2AISG-HM","263080","266120"," Right just briefly right now. You can see the implied move"
"kth2AISG-HM","266880","268880"," not too crazy 4105"
"kth2AISG-HM","269880","270880"," 408"
"kth2AISG-HM","270880","273980"," 71 406 64 403 18"
"kth2AISG-HM","275600","279920"," We're a 185 and 399 79 we'll talk about why that is"
"kth2AISG-HM","281880","283880"," Down here"
"kth2AISG-HM","284320","287720"," How much we move down there is what we don't want to break down here"
"kth2AISG-HM","287720","290120"," There's some support levels that bulls are looking to buy"
"kth2AISG-HM","291160","294880"," There's some support levels bears are looking to get through this morning. I"
"kth2AISG-HM","296400","298400"," Figured it put out some"
"kth2AISG-HM","298760","301360"," The past couple days. I'm like I'll put out some"
"kth2AISG-HM","302040","303840"," some"
"kth2AISG-HM","303840","310280"," Solomon says the chance of a soft landing is meaningfully higher. It is commentary from a Goldman CEO Solomon there"
"kth2AISG-HM","311520","315940"," To see what you guys are saying good morning to all of you out there good morning fisted loner Eu Steve"
"kth2AISG-HM","316240","321920"," This stream is sponsored by milled rights right so loud ticks right allows you to actually hear water flowing future"
"kth2AISG-HM","322400","324400"," Turn that down a little bit. It's crazy"
"kth2AISG-HM","325280","329400"," Crazy sauce. I might have some issues this morning with audio. I"
"kth2AISG-HM","330240","332640"," Got my stuff back up and rolling here this morning"
"kth2AISG-HM","333840","335840"," I"
"kth2AISG-HM","336360","343400"," Get some weirdness going on if you hear anything if you guys can let me know if the audio is at any point too loud this morning"
"kth2AISG-HM","343400","346000"," because we're gonna have the hearings on as well and"
"kth2AISG-HM","348080","350080"," For you the Senate hearings"
"kth2AISG-HM","350320","353040"," So make sure from your end if you could it's weird"
"kth2AISG-HM","353040","356520"," I've got a but I've got a mixing boards and then all kinds of other nonsense"
"kth2AISG-HM","356800","362840"," They usually test this stuff in a private stream and some of it some of it. I don't have not done at this point"
"kth2AISG-HM","364840","370240"," That's a good morning to all of you out there fisted loner Eu Johnny clop spyplex ycg"
"kth2AISG-HM","371520","373520"," Calabackery and"
"kth2AISG-HM","373760","377520"," I can't read that name. It's in a dark letters of black and I can't hold us to hear"
"kth2AISG-HM","378000","381640"," Dom Moffey is in the house this morning on twitch"
"kth2AISG-HM","382200","384880"," max power big a balls scott's"
"kth2AISG-HM","385440","388120"," Moto men Verra Joshua Titan captain"
"kth2AISG-HM","388680","393560"," Shonski Matt Elmerino derivative yield the stock market show"
"kth2AISG-HM","393840","396480"," I'm assuming that's the bot H bomb"
"kth2AISG-HM","397520","400240"," Kato Nate play a made a play a maid"
"kth2AISG-HM","400720","402720"," Sunday never ends 125 six trader"
"kth2AISG-HM","403120","412560"," Lisa Cohen six Patrick L fem toe griff STL BD Brad amortage big balls in the house this morning. I got options is here"
"kth2AISG-HM","416040","418040"," Okay"
"kth2AISG-HM","419040","426360"," It's like the Senate hearings man. It's they're like it's like nails on a chalkboard listening to these people speak. I"
"kth2AISG-HM","426840","430400"," Don't know how many I don't know if any of you so my my father"
"kth2AISG-HM","432080","434720"," Was a lobbyist for part of his life"
"kth2AISG-HM","436000","437840"," and so"
"kth2AISG-HM","437840","442040"," Politicians would come by our family home when I was a child and"
"kth2AISG-HM","442960","449000"," And visit on Sundays and Sunday specifically because we go to church in the morning and"
"kth2AISG-HM","451240","454240"," We'd go to church right and we always have like church stuff afterwards"
"kth2AISG-HM","454240","457120"," Like we go have like donuts and stuff who went where we were"
"kth2AISG-HM","457520","460640"," Nothing matters what I was but I was right a whole lot"
"kth2AISG-HM","460640","464080"," So my dog is like I gotta check on your bro. Make sure you're okay. Well, let's take it"
"kth2AISG-HM","465560","467560"," Come on in buddy"
"kth2AISG-HM","468560","475720"," So I was a kid I grew up kind of religious grew up in a city with large Irish Catholic population and"
"kth2AISG-HM","477320","483040"," They they took their religion seriously there even though even they didn't practice it. No offense if your Catholic out there"
"kth2AISG-HM","483400","485400"," They're like want to be Mormons"
"kth2AISG-HM","488760","490760"," But"
"kth2AISG-HM","490760","494720"," When I was a kid when you go to church on Sunday and then you'd have donuts after church"
"kth2AISG-HM","495720","501160"," Sometimes you go and eat a brunch with the priests at the rectory and then where you go back into your own thing"
"kth2AISG-HM","501160","505880"," You up a brunch you go home and family there my family of course my father and"
"kth2AISG-HM","506960","511360"," All of his friends would make the rounds to the house on a Sunday. So you'd get reporters there"
"kth2AISG-HM","512000","514000"," And they were really cool because they'd take your photo"
"kth2AISG-HM","515000","521880"," Nice photos as a kid who's like, oh, these are great and then politicians would show up and they would talk to your your your dad"
"kth2AISG-HM","521880","523880"," of course and"
"kth2AISG-HM","524400","526960"," My recollection from that young of an age was that"
"kth2AISG-HM","528800","530800"," Most politicians"
"kth2AISG-HM","531680","537000"," They're like the they're like the they're like bums with money and power"
"kth2AISG-HM","538280","540280"," It shouldn't say that but"
"kth2AISG-HM","542040","544040"," They're not the most coothe"
"kth2AISG-HM","544360","548360"," They're used sometimes very smart, but you know, they're just normal people"
"kth2AISG-HM","549360","551360"," Typically that was at least my experience"
"kth2AISG-HM","553880","557560"," You have to you'll have to listen to a lot of that shit in these Senate hearings in my view"
