"start","end","text"
"2380","3420"," Alright, let's see."
"3480","4160"," We'll wait room."
"4640","5960"," Start with the waiting room. "
"28610","30070"," Just one to test."
"47820","51420"," Dine, dine, dine, dine."
"52060","60160"," The end, dine, dine, dine, dine. "
"60940","70440"," Oh, yeah, good morning, everybody Let me just second here Got a couple quick things."
"70540","80280"," I got to do I gotta post this real quick So like so janky the YouTube"
"80280","96750"," interface All"
"96750","106410"," right Spy SPX yes, yes Some so on what they say"
"107670","115730"," Today's Thursday, I think so this was gonna live the main live stream So today's Thursday, I think"
"115730","129220"," so on Tuesday Tuesday I stayed up overnight for Tuesday I stayed up overnight for Tuesday"
"129220","135580"," I stayed up over hold on a second So Tuesday I stayed up overnight because we were supposed to have"
"135580","142620"," a market crash Due to the the Japanese yen But I was up till I think 3 in the morning"
"142620","143120"," or something."
"143420","144780"," No, no, I don't know if that was Tuesday. "
"145160","150220"," Yeah, but I think that was I Wasn't it days Thursday, right?"
"150600","151680"," I'm kind of kind of lost here."
"151800","151820"," Yes."
"151980","154320"," It was Wednesday So yeah Tuesday night. "
"154520","155820"," We're supposed to have a crash or something."
"156080","161440"," I can't remember So I said like three in the morning and then of course I woke up at four"
"161440","166900"," two in the morning one or two And then I woke back up for the open at 3 30 yesterday"
"166900","169920"," morning And I'm like man without that crash."
"170140","175180"," We're gonna go we're gonna blast off to the open tomorrow So I stayed of course. "
"175320","179960"," I'm like awake at 3 30 in the morning yesterday Stay awake for the open and then I do the"
"179960","185200"," live stream yesterday And my daughter yesterday had me go out to get Greek philosophy books go to"
"185200","189700"," the library and stuff She had stuff for PSATs and then I got back home and then I talked to"
"189700","194060"," Chaz till 11 30 at night 12 o'clock I slept like a baby in this morning."
"194320","201180"," I didn't even wake up Just slept all morning So I am refreshed and I worked out this morning, so"
"201180","207420"," I feel a ton better And it's funny too because I haven't had a bear well I had a bear"
"207420","213060"," yesterday But I haven't a bear or whiskey or anything in days because I would never wake up So good"
"213060","218420"," morning good to see you all here this morning We have we definitely had well so yesterday was a was"
"218420","223780"," a down day big down day yesterday And so we're gonna talk about that here."
"223960","225080"," Hold on one second here. "
