"start","end","text"
"10","7010"," Welcome to check on to check on to Mike check."
"8610","9890"," See everything on."
"10730","11490"," It's on. "
"15630","16430"," Where?"
"21970","23130"," Where the hell am I?"
"45230","46150"," Let's go."
"46150","56560"," Oh, check"
"59350","63569"," one, two, get a turn that shit down."
"70590","75250"," All right, let's see if we can get everybody's coming in here. "
"79560","80940"," What's up, multi-stream."
"83420","85080"," Good morning, we're all of course a good morning."
"85320","86340"," Arthur Solom. "
"87320","88160"," What's going on?"
"88500","89140"," Stacey, good morning."
"90040","90900"," It was a great day out there."
"91800","92960"," Let's go right into it. "
"93280","93920"," Good morning."
"94960","96100"," Happy back to work week."
"96500","100100"," I was supposed to be on yesterday and I was in some meetings. "
"100520","104760"," Or I was in video conferencing that I couldn't get out of those meetings."
"104760","106460"," I thought I would have a stream up yesterday."
"106740","109040"," So I'm assuming that people are going to be like, oh, I didn't. "
"109080","111320"," Come on Monday because he's upset for Friday."
"111320","114860"," So we'll talk about that as well this morning at some point."
"115440","120780"," And the pin from Friday as well, we're going to talk about into the end of month. "
"121360","122620"," Let's see, just a few seconds here."
"122720","124100"," I got a few things I got to do in the background."
"125060","126200"," Good morning to you. "
"126280","127560"," I hope you all had a great weekend."
"128500","130860"," And I was pretty pissed off on Friday, right?"
"131060","132800"," You guys saw me leave the stream on Friday."
"132800","135540"," I was like, I'm going to kick my desk over. "
"135960","138260"," It was pretty, pretty angry at myself."
"139200","141500"," So we'll talk about that as well at some point."
"141780","144100"," And give me just a second here. "
"144160","145460"," I got a few things I got to do in the background."
"147220","148760"," Hold on one second here."
"153800","154280"," Members. "
"156700","157180"," Save."
"159740","160840"," Good morning, Michael."
"164540","165140"," I got a few things I got to do here. "
"181070","182370"," Yes, yes."
"187190","188130"," Cues we'll look at."
"188330","189610"," We'll look at Tesla probably. "
"190690","191530"," And maybe some Apple."
"201000","202720"," So we're going to talk also about."
"204200","207220"," There's a, there should be a pin on the marketplace on Friday. "
"207240","208340"," I talked about this."
"208920","212780"," We're going to go back and hit it again this morning."
"212780","213560"," Give me one quick second. "
"213560","216980"," I just got a couple things I got to do here to get this show up and running."
"218820","220990"," There we go."
"223350","223950"," All right. "
"224690","225110"," Good morning."
"225230","225790"," How's everybody doing?"
"226930","228930"," So you got a bunch to talk about this morning."
