"id","start","end","text"
"lFSQOnbQwPM","0","4560"," She has to complete adjustment of focus and sound level before the film begins"
"lFSQOnbQwPM","6440","9200"," This time it worked. I'd like to shut everything down"
"lFSQOnbQwPM","10960","16880"," All right, we're back, baby. Okay, YouTube is not having it at all"
"lFSQOnbQwPM","18960","22460"," Do you can wait for him here make that really quick start the fire up. Let's go"
"lFSQOnbQwPM","23880","25880"," You got your warning screen"
"lFSQOnbQwPM","27280","29280"," It's kind of weird it looks like I"
"lFSQOnbQwPM","31000","34160"," It looks like they updated streamlabs, maybe I don't know"
"lFSQOnbQwPM","42600","44600"," Let me see if I can figure this out right here"
"lFSQOnbQwPM","45520","48160"," So bizarre. Oh, I can chat here"
"lFSQOnbQwPM","48840","53660"," Like I can't log in on streamlabs chat with you guys, but I can on okay"
"lFSQOnbQwPM","55320","57360"," Can you guys see something right now or no?"
"lFSQOnbQwPM","58200","60200"," You can't you still can't see anything"
"lFSQOnbQwPM","61520","63520"," Can you guys see me right now by chance"
"lFSQOnbQwPM","64280","66280"," hello"
"lFSQOnbQwPM","69240","71240"," Can you guys see me right now"
"lFSQOnbQwPM","73040","75040"," It says like I don't see shit"
"lFSQOnbQwPM","77120","79120"," You guys are hilarious"
"lFSQOnbQwPM","80280","83560"," All right, hold on a second. I got one quick thing I gotta do"
"lFSQOnbQwPM","83560","86920"," Got some music and some jams going on"
"lFSQOnbQwPM","90800","92800"," We'll go there switch over there"
"lFSQOnbQwPM","93200","98800"," We want a quick second. I got to do some quick. I got to do some house clean like technical producing stuff crap"
"lFSQOnbQwPM","99360","101360"," And I got to do here"
"lFSQOnbQwPM","104080","106800"," Okay automatically see"
"lFSQOnbQwPM","108680","110680"," Okay"
"lFSQOnbQwPM","110760","113320"," We got we got a lot to talk about weekends coming up"
"lFSQOnbQwPM","114160","118760"," So strap in it's not gonna be it's gonna be we have to do this really hard and fast"
"lFSQOnbQwPM","118760","124000"," It'll be here for like five hours, and I am way behind I am"
"lFSQOnbQwPM","125680","130400"," I'm burning the midnight oil right here now. I'll likely do that through the"
"lFSQOnbQwPM","132960","137720"," Through the weekend as well so we're ready for next week, so we're gonna chat about that at some point"
"lFSQOnbQwPM","138560","141520"," Let me just go through this and make sure you kick out all the"
"lFSQOnbQwPM","143360","145360"," Spam bots and all that kind of stuff"
"lFSQOnbQwPM","146160","148160"," Like all the right there"
"lFSQOnbQwPM","148800","150800"," Save okay"
"lFSQOnbQwPM","152760","155760"," Let me switch over here, so we're gonna look at spooze"
"lFSQOnbQwPM","158560","160560"," We're gonna look at a bunch of other stuff to"
"lFSQOnbQwPM","160800","162800"," We're gonna get spooze really quick"
"lFSQOnbQwPM","163800","167720"," Whoopsie, that's Bloomberg radio. We don't want that"
"lFSQOnbQwPM","170880","175640"," We got the weebull chart and we got the trigger screen, so we're gonna look at this one right here"
"lFSQOnbQwPM","177440","180480"," And talk about this one now there is"
"lFSQOnbQwPM","182520","187120"," There is some cause for concern here we're gonna we got a bunch of stuff to talk about today"
"lFSQOnbQwPM","187120","192080"," So you're right this stuff down. We'll start here soon. We'll say hi real quick and say hi to everybody"
"lFSQOnbQwPM","192080","198400"," We're gonna talk about the direction of the market. We're gonna talk about a direction of the market of the weekend"
"lFSQOnbQwPM","201960","203960"," Market into weekend"
"lFSQOnbQwPM","206880","211600"," And we're gonna talk about down the road what's what's showing itself and"
"lFSQOnbQwPM","212720","213880"," then"
"lFSQOnbQwPM","213880","218880"," We're also gonna talk about the websites and some changes that are coming with that and"
"lFSQOnbQwPM","218880","222240"," And I got one more thing. I want to talk about here"
"lFSQOnbQwPM","223200","225200"," Come on here"
"lFSQOnbQwPM","226760","231160"," One more thing dude, I wrote his name down"
"lFSQOnbQwPM","232880","234880"," Oh"
"lFSQOnbQwPM","235600","241480"," Ambassador if you're here, or if you guys know ambassador. I think I unbanned him check"
"lFSQOnbQwPM","241480","244640"," I don't know why he was banned. I could have been a mistake"
"lFSQOnbQwPM","245120","250120"," I did check on embasra and he was unbanned. I believe yesterday the day before from discord"
"lFSQOnbQwPM","250400","253720"," so if you know him and then dude, I wrote down the name of"
"lFSQOnbQwPM","255040","261400"," Who had put see yesterday and I had calls yesterday. I don't see it here"
"lFSQOnbQwPM","262160","267280"," But I want his name because I was gonna make a t-shirt that says he was right and I was wrong"
"lFSQOnbQwPM","268800","270800"," But I don't see his name here"
"lFSQOnbQwPM","271600","274160"," So I'll have to find it. I wrote his name down yesterday"
"lFSQOnbQwPM","274640","277040"," So"
"lFSQOnbQwPM","277040","279760"," Let's go to let's go to a talking directly to viewers"
"lFSQOnbQwPM","279840","284920"," So I don't know who that guy was yesterday on the clothes that had puts he probably got paid, right?"
"lFSQOnbQwPM","285560","287560"," find out what his name is because"
"lFSQOnbQwPM","288360","293760"," I'm gonna make a t-shirt and wear it on stream and be like captain was way wrong and he was way right I"
