"start","end","text"
"170620","175540"," I've got to go back to the beginning then don't I have saying good morning everybody."
"176140","177040"," Good morning, John."
"177260","177820"," Good morning, Neil. "
"178060","178840"," Good morning, our ass."
"178940","179640"," Good morning, Dylan."
"180020","180540"," Matthias. "
"181660","189740"," Dragon Wolf, Christina, Ben, King 14, fisted, Guacata, Neil, Tegan, Jasmine, Ryan, Jafar, P.D."
"190100","190740"," Carpenter, Mahash."
"191120","195000"," Good morning, Dougie, Jeremy, Adam, Belgian 24."
"195000","197440"," Spencer, Paul, King 14. "
"197480","198440"," I think I said you already."
"198800","204860"," Good morning, B.D., Johnny, five, G Chen, Amerson, Stonks, Anonymous, Lucas, Mija, Josh, Omar."
"205060","207200"," Good morning, Melty, Jen, Melo, Yellow 88. "
"207840","208740"," Good morning, Angie."
"208760","209680"," Good morning, Guacata."
"209840","210560"," Good morning, Mahash. "
"210560","211020"," Good morning."
"211260","212900"," I fisted a bunch of you guys already said hi."
"213820","214700"," Good morning, Bob, Cat. "
"215340","217900"," Good morning, Thomas, Melty, Jen, Johnny, Liquid."
"218460","219000"," Who else?"
"219240","219580"," Hot, hot, hot."
"219680","220220"," Good morning, Mark. "
"220420","220700"," Good morning."
"221360","222480"," Starlight, Charles, three."
"222940","224380"," Morning to all of you out there this morning. "
"224540","224980"," How are you all doing today?"
"225000","226060"," Good morning, Dan, Travis."
"226760","227820"," Everybody's doing well today."
"230820","236820"," So yesterday, into the bell, some of you were here yesterday, we talked about maybe trading"
"236820","237240"," sideways. "
"238040","241320"," We talked about even possibility of trading sideways and slightly down."
"242660","246440"," But that traditional charts yesterday pointed towards a higher open today."
"247100","249700"," We knew that we had a lower or a higher low. "
"250140","251180"," We had a higher high."
"251580","259320"," The end of the day, we had a higher low from the previous day."
"260279","264200"," So we talked about how everything pointed towards everything being up today. "
"266700","270360"," We know if you follow Elliot wave that we're supposed to be down this morning, right?"
"270560","271820"," Three bar rule, three bars up."
"273020","275220"," We know that didn't work out this morning."
"276100","281140"," So again, we're back to, you know, you use those tools, but you don't rely upon some of them,"
"281240","281360"," right?"
