"id","start","end","text"
"liXizlLECHc","0","2000"," You"
"liXizlLECHc","30000","32000"," You"
"liXizlLECHc","60000","62000"," You"
"liXizlLECHc","90000","112000"," You"
"liXizlLECHc","112000","114000"," Get"
"liXizlLECHc","144000","146000"," You"
"liXizlLECHc","174000","176000"," You"
"liXizlLECHc","204000","209000"," So I'm gonna give you a quick, quick rundown before I start saying good more and all that kind of stuff for you."
"liXizlLECHc","209000","218000"," So the first thing I want you to be looking at this morning is where do we expect to see the rejection this morning."
"liXizlLECHc","218000","222000"," Now, I don't know why that's not showing up."
"liXizlLECHc","222000","229000"," Okay, so this morning, okay, what you're looking for is the five minutes to be coming down right here."
"liXizlLECHc","229000","230000"," Okay."
"liXizlLECHc","230000","235000"," It's just before you continue on, people want to know where we're headed."
"liXizlLECHc","235000","238000"," Now, this five minutes kind of curling up right now."
"liXizlLECHc","238000","246000"," I'd really like to see it can continue down and some kind of a squeeze higher briefly."
"liXizlLECHc","246000","250000"," We can see the squeeze higher, maybe in price come up a little bit here."
"liXizlLECHc","250000","252000"," And then get more rejection."
"liXizlLECHc","252000","256000"," We could get to start, start continuing on the downward path right now."
"liXizlLECHc","256000","260000"," But I'd really like to see it at least come up, maybe come up like 410 or so."
"liXizlLECHc","260000","266000"," And then reject lower again, but it could just keep start or continue to trade down."
"liXizlLECHc","266000","269000"," Regardless of it does or doesn't."
"liXizlLECHc","269000","274000"," The first place you want to be looking for a target down below is 404 7578."
"liXizlLECHc","274000","282000"," And as you know, there's there are usually natural support levels at fives and zeros."
"liXizlLECHc","283000","285000"," So 405 somewhere in there we'll be looking for."
"liXizlLECHc","285000","288000"," We'll see if there's a quick squeeze here."
"liXizlLECHc","288000","293000"," This is a nice cluster, though, right above here."
"liXizlLECHc","293000","299000"," Here's a three trigger cluster. This is usually very bearish for down velocity."
"liXizlLECHc","299000","301000"," So we'll be looking for a rejection here."
"liXizlLECHc","301000","305000"," Sometimes we just start rejecting the right off the one minute."
"liXizlLECHc","305000","311000"," So if you were to look at this in reverse right now, pretend you're a bull right now, right?"
"liXizlLECHc","311000","313000"," See some consolidation here in the one minute."
"liXizlLECHc","313000","316000"," Wait for the five and the hourly to catch up."
"liXizlLECHc","316000","323000"," And you can usually take another another stab at it for another low."
"liXizlLECHc","323000","327000"," The prices you're looking for here currently have got 40923."
"liXizlLECHc","327000","330000"," 41065."
"liXizlLECHc","330000","333000"," And then 411 9890."
"liXizlLECHc","333000","337000"," Now there's something to be said about this right this morning."
"liXizlLECHc","337000","340000"," And that is how support of the market has been."
"liXizlLECHc","340000","343000"," We're going to look lower so I can explain this better to you."
"liXizlLECHc","343000","344000"," All right."
"liXizlLECHc","344000","349000"," To get some velocity to the downside is going to be a challenge."
"liXizlLECHc","349000","353000"," If you look at if you look at the momentum that's coming up from underneath,"
"liXizlLECHc","353000","358000"," we've got 39565 39723."
"liXizlLECHc","358000","361000"," And then 404 96."
"liXizlLECHc","361000","365000"," And also the options market is not priced for us to go."
