"id","start","end","text"
"lnmFX4MuFes","0","10000"," This leader is provided to permit the projectionist to complete adjustment of focus and sound level before the film begins."
"lnmFX4MuFes","14000","16000"," Alright, here we go."
"lnmFX4MuFes","20000","22000"," Check 1-2."
"lnmFX4MuFes","31000","34000"," Burn baby, burn."
"lnmFX4MuFes","42000","44000"," Give me a burn in the comments."
"lnmFX4MuFes","48000","52000"," They're going to leave comments open today for everybody."
"lnmFX4MuFes","52000","60000"," Give me a burn in the comments."
"lnmFX4MuFes","68000","72000"," Leave this shit open for everybody to comment today."
"lnmFX4MuFes","73000","82000"," Oh, yeah, baby."
"lnmFX4MuFes","82000","85000"," Almost time for almost vacation."
"lnmFX4MuFes","85000","87000"," You guys going to vacation this week?"
"lnmFX4MuFes","87000","89000"," Or what?"
"lnmFX4MuFes","93000","95000"," Oh, baby."
"lnmFX4MuFes","95000","97000"," What's that red box up there?"
"lnmFX4MuFes","97000","99000"," What's that?"
"lnmFX4MuFes","100000","103000"," 444014313."
"lnmFX4MuFes","103000","109000"," We're leaving comments open to everybody today."
"lnmFX4MuFes","109000","115000"," I don't know if I don't know how to do that on Twitch, but I got to figure it out here in just a minute."
"lnmFX4MuFes","115000","118000"," Well, everybody join the chat today."
"lnmFX4MuFes","118000","120000"," Feeling kind of spicy."
"lnmFX4MuFes","122000","124000"," Give me a burn."
"lnmFX4MuFes","125000","129000"," If you're watching on YouTube, give me a burn in the chat, please."
"lnmFX4MuFes","129000","130000"," So we can leave this."
"lnmFX4MuFes","130000","134000"," We can leave the chat open for everybody today."
"lnmFX4MuFes","134000","139000"," Oh, yeah, baby."
"lnmFX4MuFes","139000","143000"," Oh, yeah."
"lnmFX4MuFes","143000","146000"," You remember me from yesterday, right?"
"lnmFX4MuFes","146000","150000"," When I didn't care about that bounce off that HT, right?"
"lnmFX4MuFes","150000","153000"," Remember me from yesterday, right?"
"lnmFX4MuFes","153000","155000"," When I asked if you took."
"lnmFX4MuFes","155000","157000"," I'm going to make it subscribers."
"lnmFX4MuFes","157000","159000"," So at least the Russian bots don't come in."
"lnmFX4MuFes","159000","161000"," But you can it's free, though."
"lnmFX4MuFes","161000","163000"," You can chat all day long."
"lnmFX4MuFes","163000","171000"," But you remember yesterday when you were short, and I said right on the tick bounce."
"lnmFX4MuFes","171000","174000"," Did you take the money and run?"
"lnmFX4MuFes","174000","177000"," If you did that, congratulations."
"lnmFX4MuFes","178000","187000"," When I said to yesterday at two twenty one in the afternoon, are you just starting a short here?"
"lnmFX4MuFes","187000","195000"," So hopefully you didn't start a short yesterday afternoon at two twenty one in the afternoon."
"lnmFX4MuFes","195000","198000"," Hopefully."
"lnmFX4MuFes","198000","201000"," You diamond handed."
"lnmFX4MuFes","201000","211000"," Until this open this morning so that you could get motherfucking paid."
