"start","end","text"
"29640","30860"," Check one to check."
"34220","42520"," Oh, yeah, baby a little late this morning."
"42600","44880"," I had a big 10 second here. "
"53320","56740"," Just a second here."
"68420","69480"," Oh, edit it."
"70920","71960"," Oh, let me turn this on. "
"75960","76520"," Subscribers."
"77300","78000"," Any duration."
"78460","79080"," Save. "
"81180","82160"," Good morning."
"87260","89200"," I'm a little tired right now."
"92900","93820"," Oh, yeah. "
"100650","101610"," Oh, shit."
"107210","108370"," See if that works."
"109730","114130"," I had the just a second here. "
"114230","115930"," We'll go straight to the mainstream here."
"117130","118090"," Oh, yeah."
"120470","122090"," Oh, it was up late last night. "
"122450","123510"," My God."
"124830","126110"," They wound up."
"129490","130430"," I'm going to second here. "
"141080","141500"," Yeah."
"148000","149180"," Oh, a second here."
"167250","168250"," So we're up this morning. "
"168590","176640"," We did get a bounce off of like 630 this morning."
"176920","177840"," I ended up taking last."
"178040","179080"," I was up late last night with. "
"181440","185400"," I was up late last night with a Joe Harper with a Joe Donut."
"187380","189560"," I'm like, shit, I need a short fucking market."
"190240","193420"," Well, that's short, but long puts on micros. "
"193660","198460"," All features turned positive in volatile trade after falling by over $1 a barrel earlier in the"
"198460","198720"," session."
"202040","209660"," And then close this morning."
"212430","214390"," Let me get this posted real quick for you. "
"215450","218410"," Of course, I'm dragging ass now."
"219950","222730"," We're going to go over FMC for tomorrow."
"222730","223670"," I'll bring up. "
"225470","230110"," At 10 a.m. Eastern time, we get USC be consumer confidence for January."
"230910","234430"," Four cars, one hundred nine on the prior one hundred eight spot three."
"234590","235130"," They're saying. "
"235410","238910"," So right now, we're going to take a look at what's happening in the market."
"240670","244890"," Talked about, I think it was four or two fifty four or two fifty two."
"244890","246410"," I'll make sure right now we'll take a look. "
"246410","251530"," So just so you guys can, I just want to go over what the rant that I was on yesterday."
"252270","254850"," I'm going to try to simplify this for you today."
"255510","258810"," Late last night, I was, well, that late. "
"259029","261850"," It was early last night, maybe 11, 12 o'clock."
"263270","265330"," And I had been going through."
"266410","270750"," I've been going through the spy options chain the past couple days. "
"272170","276170"," Last night, I went through it some more and then I wound up speaking with."
"276670","279570"," I went through SPX their options chain."
"280310","283190"," I went over the JPM caller yesterday. "
"284250","288050"," So I'm sitting there doing all this work after I had meetings yesterday, too."
"288250","290970"," Some of you guys here in stream are in meetings with me yesterday."
"292110","293830"," Now, we'll take a quick look right now. "
"293930","294590"," We're going to look at."
"296370","297410"," Hang tight here."
"298150","301650"," I put some new colors on this morning. "
"303050","308230"," So we're going to take a look at something you need to know this morning."
"308970","316490"," So we're going to look really closely here and you're just going to see the rejection here above in"
"316490","317010"," pre-market."
"317690","321230"," This is on spy and then we just got another rejection right there. "
"321670","324470"," It's roughly right around 40 right now."
"324510","326150"," It's at 4024 this morning."
"326270","327870"," It was at 40255. "
"328950","330390"," It's coming down a little bit here."
"330470","332950"," We want to see if we can have some continuation here."
"333010","333750"," It changes the colors. "
"334710","338650"," So we want to be above the white and above the red here."
"339390","341850"," We want to break above this yellow line right here."
"341950","344770"," We can get any kind of squeeze higher. "
"344770","352410"," And this is the trade that you're looking for for a fucking huge squeeze higher."
"353150","355670"," Just huge, ridiculous squeeze higher."
"357370","366610"," This would be something similar to what happened back here on the 25th of January. "
"367270","373910"," This is when we just straight melted straight up and we have daily, weekly and monthly velocity."
"374670","376150"," Screaming higher in the background."
"376850","379530"," So the closer we get to it, we're going to get a reaction. "
"379830","388330"," And the key here too is we want the one minute in the five minute to carry over above the"
"388330","391550"," hourly here to get that continuation."
"392090","395570"," Now we'll know here shortly if we're going to get the continuation or trade lower."
"395570","399110"," So far rejecting off here, but you know where you are. "
"399170","401110"," It's 40246 right now."
"401670","403290"," Pretty much that's what you're looking for."
"404110","406870"," You're looking for 40246 is. "
"410010","411290"," You know, right up here."
"411610","412410"," This is 40234."
"413330","415430"," This is kind of like the place right here. "
"415510","418650"," If we can get a move higher than just right here."
"418690","420630"," I don't care what book map says."
"420970","422590"," I get care less the book map says. "
"423670","428270"," If we squeeze higher than this yellow box right here, we're going to go on a run."
"429770","434290"," It'll be like by the hour, you like have a run for an hour, have a run for an hour."
"434290","436290"," We'll keep trying to make new highs on the half hour. "
"437450","439790"," And we'll see if we have continuation higher."
"439930","442970"," Now if we do get above this little yellow box right here."
"444090","447670"," I made a post this morning saying we could have new monthly highs on. "
"448390","450130"," On on on spy."
"450570","453070"," I think that's easy to be honest with you."
"453330","454530"," We might not get there. "
"454530","457130"," We'll know every half hour or every half hour of the hour."
"457130","461670"," We'll know if we're going to get all time, or all monthly time, new highs."
"462390","465870"," But it would not shock me to see us blast above here this morning. "
"466330","469710"," Or I should say if we get above here this morning."
"470530","471210"," It's on."
"471770","474210"," It's definitely on to end of day. "
"474310","475290"," Now this is in a month."
"475290","478330"," We don't normally see moves like this in a month."
"478810","481830"," I was thinking that we would pin to. "
"483450","488290"," 404 somewhere in here to get that 4060 and SPX."
"490490","493670"," So I don't know if we get this above, but I'm going to be watching it right now."
"494310","498470"," You know yesterday we took yesterday at the bell we took. "
"499770","501930"," I'm in the five minute right now on the wrong."
"503350","507230"," Yesterday at the bell we took calls right here for the open this morning."
"507430","508890"," You know what my take is on calls. "
"509670","513169"," If I'm down on them, I sell or I'm down on them."
"514230","516390"," I'll hold them if I if I'm up on them."
"516429","517429"," I sell them right on the bell. "
"517650","518549"," That's a rule that I have."
"519010","520289"," It's a directional move."
"520490","525110"," I want to make sure that I'm not missing out on the IV on a directional trade. "
"526270","527830"," So we'll pay attention to this here."
"527850","529250"," We're going to watch this closely."
"530170","533350"," Or you want to watch this closely for some continuation here. "
"533810","536750"," Still trading above the one minute figure here."
"537530","538710"," Bull still in charge."
"539470","543110"," If we begin to lose the blue line right here and come down below the green. "
"543610","545550"," Now we'll take a short into the end of the day."
"546270","549450"," But right now I want to see I want to pick this up here."
"549970","552030"," If we can get above this with price. "
"553670","556050"," This is a big move that's coming ahead here."
"556630","558630"," And explosive to be honest with you."
"558890","560530"," So we're going to see how this plays out briefly. "
"561470","569050"," We're going to tie this into FOMC because there's a there's a lot of stuff going on."
"569170","569290"," So."
"571070","573130"," First thing I want to talk about this morning is. "
"578690","582510"," First thing I want to talk with you when I get to bring up my thing here."
"583290","584330"," Good morning, by the way."
"584930","586250"," Hope you're all doing well out there. "
"598140","599760"," Show you what's going to happen this morning."
"600400","600840"," Now."
"603440","604540"," God damn it. "
"608380","609260"," Yesterday I tried."
"609520","614580"," I called my bank yesterday to wire a bunch of money over to be able to buy a fucking huge"
"614580","615480"," dip in the market."
"616880","619760"," And I thought it would have went through overnight, but it didn't. "
"623500","626880"," But we're going to talk about some important stuff."
"627560","629080"," This morning, first is."
"630040","631080"," I'm fascinated. "
"631620","632640"," Not quite like."
"633060","635440"," Don't really care how people think about."
"636080","638480"," The logic behind this, but I am fascinated. "
"639720","640420"," Cause I went down."
"640600","641980"," I went down a rabbit hole yesterday."
"643000","646140"," Finally, I've been doing it for a couple days and then I went down the deep rock. "
"646280","647100"," I'm like, you know what?"
"647100","648480"," I'm going to check every fucking option."
"651260","655100"," Chain out there from now into June on SPX and spy."
"657380","659060"," And I was, I was struck. "
"659580","660600"," I was shot."
"661340","663020"," I can't tell as of yet."
"665560","668880"," Well, the volume of puts on the market. "
"669660","670940"," Is outrageous."
"672080","676080"," Now I know that some of that is selling puts."
"677600","680140"," From large institutions and. "
"681920","684320"," Dealers take that trade for banks."
"684700","687280"," Okay, so if I'm a bank and I sell."
"687940","688820"," I don't know. "
"691780","693540"," A hundred million dollars."
"693620","694940"," If I saw a hundred million dollars and puts."
"695820","698260"," There's no one out there is going to pick up that trade in retail. "
"698680","701300"," So the dealers will actually pick that trade up for."
"702020","702980"," A bank."
"702980","707880"," So some of that stuff inside of the options complex on on SPX. "
"708000","709360"," I know that they buy and sell."
"710540","713220"," E S for the underlying shares of spy and stuff."
"715620","718800"," But I'm looking through that stuff past couple days and went down a rabbit hole on it. "
"720320","721320"," And like meanwhile."
"722720","724520"," Trying to get a handle on."
"726600","728340"," People's viewpoint on FOMC. "
"728840","730320"," And the impact of it."
"731120","732160"," It's kind of wild."
"732440","733540"," We might have to take a short here. "
"733860","737700"," So kind of wild because I want to hear so many different."
"738680","742220"," Opinions that it's fascinating because I've never heard this many opinions."
"743220","743520"," I've heard. "
"745120","746160"," I've heard people say."
"746860","750280"," If we get rate cuts will crash right."
"751280","752880"," I've heard if we get rate cuts. "
"754160","755000"," It's a new bull market."
"755020","755720"," We're just going up."
"756020","756640"," I've heard that too. "
"756640","759220"," And this is consistently across."
"760960","761920"," The market."
"763700","765820"," I've heard bears say both of these things. "
"765960","767300"," I've heard bulls say both of these things."
"767480","768480"," I've heard bulls bears say."
"769200","770760"," If we maintain course. "
"772180","773300"," Market will go down."
"773640","774000"," I've heard."
"774400","776600"," I've heard bears famous bears say. "
"777500","779740"," If we continue to cut rates the market doesn't go up."
"780100","780560"," Excuse me."
"780620","781760"," If we maintain raising rates. "
"782880","783860"," The market doesn't go up."
"784080","785320"," That's a fucking lie."
"785320","787260"," It's like a fucking lie. "
"787640","788420"," This is what it is."
"790780","791300"," So."
"793580","794620"," Let me see here. "
"795320","797280"," If I can show something really quick."
"799940","801380"," So I don't know."
"802140","805280"," I guess I feel or feel or think in my brain. "
"805540","806940"," My brain hurts from all of this."
"807620","814720"," My brain starts to hurt because I'm just left scratching my head."
"814720","816480"," This is an example. "
"816600","819540"," I guess you probably want me to back this up some way somehow."
"820680","822300"," This is just this one statement."
"824640","826620"," I'll show you just this one statement. "
"827860","828300"," So."
"830340","832380"," It just makes my brain hurt sometimes."
"833680","835820"," I'm left just scratching my head here. "
"836380","837880"," It's not just this one statement."
"838200","841640"," So this has to do with like does the fed pause does the fed."
"843600","845060"," Continue on with rate hikes. "
"846520","848160"," This is the fed funds rate right here."
"848440","849320"," We know what this is."
"850880","852920"," You can see right here the lead up. "
"853620","855800"," This is the lead up of raising rates right here."
"856300","857720"," The market actually went up for most of it."
"859060","868380"," Then we front ran the actual pausing or pausing or near end of raising rates. "
"868960","874300"," And then they've front ran right here that the actual anticipation of ending rate increases."
"875400","877860"," And then actually as rates came down we went up again."
"878640","880740"," And as we came to the bottom of rates we crashed again. "
"880880","881340"," You see what I'm saying."
"882400","884560"," So we can look at this one right here as well."
"885420","888220"," We actually raised rates here in the market went up. "
"888520","889060"," You see what I'm saying."
"890420","894860"," And as we pause rates we actually we actually just melted straight to the moon."
"894860","898180"," And then we pause rates of course we came back down. "
"898860","901520"," And so I just I guess I'm always left."
"903400","905260"," This is not the 1990s."
"905260","906000"," They got spy up. "
"906060","906920"," We can look at SPX."
"907420","908680"," But there's no fucking point."
"908860","909620"," I'll be honest with you. "
"909900","910300"," Right."
"911000","914320"," So this is just trying to prove the point that when someone says."
"915060","916260"," You know when rates are going up. "
"917060","918680"," The market doesn't go up."
"918800","920660"," I'm like that's just bullshit."
"921380","922640"," It's not just rates. "
"922940","925780"," It has to do with other complex."
