"id","start","end","text"
"mYsnDJ4zyQg","0","7000"," Thanks for watching, and I'll see you in the next video."
"mYsnDJ4zyQg","30000","37000"," See you in the next video."
"mYsnDJ4zyQg","60000","67000"," Check 1, 2."
"mYsnDJ4zyQg","67000","71000"," Power hour, or what's the other thing that they say about it, you know, sour hour."
"mYsnDJ4zyQg","71000","73000"," We've got sour hour coming up."
"mYsnDJ4zyQg","73000","77000"," Now we're going to go to the full screen chart here and take a look."
"mYsnDJ4zyQg","77000","78000"," You can see the pen in the market."
"mYsnDJ4zyQg","78000","79000"," I've got some calls on here."
"mYsnDJ4zyQg","79000","81000"," I feel like 800 bucks on some calls."
"mYsnDJ4zyQg","81000","84000"," They're not a bunch of money, but they got these puts."
"mYsnDJ4zyQg","84000","85000"," They're still on right now."
"mYsnDJ4zyQg","85000","86000"," Now there's 314."
"mYsnDJ4zyQg","86000","88000"," I said 300, but I typed 330."
"mYsnDJ4zyQg","88000","90000"," Actually, it was 300."
"mYsnDJ4zyQg","90000","94000"," Now it's 314,000 puts."
"mYsnDJ4zyQg","94000","97000"," Unless they want to own the market here, which would be kind of nice to see."
"mYsnDJ4zyQg","97000","103000"," So if they didn't actually own the market, they owned 314,000 contracts and puts."
"mYsnDJ4zyQg","103000","104000"," That's pretty good."
"mYsnDJ4zyQg","104000","107000"," Someone's actually buying the market down here, which is good to see."
"mYsnDJ4zyQg","107000","108000"," Where's the hourly trigger right now?"
"mYsnDJ4zyQg","108000","110000"," That's coming screaming down."
"mYsnDJ4zyQg","110000","112000"," 43, 173."
"mYsnDJ4zyQg","112000","114000"," Hourly triggers now down here, 73."
"mYsnDJ4zyQg","114000","115000"," Keeps coming down."
"mYsnDJ4zyQg","115000","117000"," Keeps coming down."
"mYsnDJ4zyQg","117000","118000"," It's full of the pivot now."
"mYsnDJ4zyQg","118000","119000"," There's your pivot."
"mYsnDJ4zyQg","119000","125000"," We're going to look at the five minute chart, and then we're going to look at the five minute"
"mYsnDJ4zyQg","125000","126000"," chart and see."
"mYsnDJ4zyQg","126000","129000"," So I'm down here trying to buy calls into this close."
"mYsnDJ4zyQg","129000","130000"," Let's talk about that for a minute."
"mYsnDJ4zyQg","130000","132000"," So I'm down here trying to buy calls."
"mYsnDJ4zyQg","132000","135000"," This is the actual move right here, right?"
"mYsnDJ4zyQg","135000","138000"," We traded that up for a minute."
"mYsnDJ4zyQg","138000","139000"," What else?"
"mYsnDJ4zyQg","139000","141000"," I'm thinking about calls right here, something like that."
"mYsnDJ4zyQg","141000","146000"," I'm trying to take this trade up into this close right here."
"mYsnDJ4zyQg","147000","150000"," You've got the weekly trigger, which is going on down here."
"mYsnDJ4zyQg","150000","151000"," You've got to see all this."
"mYsnDJ4zyQg","151000","152000"," Okay."
"mYsnDJ4zyQg","152000","154000"," You have the weekly trigger down here."
"mYsnDJ4zyQg","154000","157000"," There's your price target down here, right?"
"mYsnDJ4zyQg","157000","158000"," You got Friday."
"mYsnDJ4zyQg","158000","160000"," We're going to talk about next week today."
"mYsnDJ4zyQg","160000","161000"," So you guys can make a plan."
"mYsnDJ4zyQg","161000","168000"," Friday set or Monday, Tuesday, Wednesday, Thursday, and Friday."
"mYsnDJ4zyQg","168000","169000"," Can you see all this?"
"mYsnDJ4zyQg","169000","174000"," I'll begin with that over a little bit right there."
"mYsnDJ4zyQg","174000","178000"," Just to get next week involved in this."
"mYsnDJ4zyQg","178000","180000"," You may have to go to a 50 minute chart."
"mYsnDJ4zyQg","180000","181000"," Go to a 50 minute."
"mYsnDJ4zyQg","181000","185000"," Oh, that's better."
"mYsnDJ4zyQg","185000","186000"," Yeah."
"mYsnDJ4zyQg","186000","188000"," There's the warning right here."
"mYsnDJ4zyQg","188000","192000"," So there's going to be Elliot waivers out there that are going to say,"
"mYsnDJ4zyQg","192000","195000"," we're trying to tag to think 44660 up here."
"mYsnDJ4zyQg","195000","197000"," They might say, oh, that's plenty."
"mYsnDJ4zyQg","197000","202000"," You didn't actually tag the 448 or the 450 above, right?"
"mYsnDJ4zyQg","202000","205000"," You can tag either of these right here."
"mYsnDJ4zyQg","205000","210000"," And that we're continuing the leg down, second leg down into,"
"mYsnDJ4zyQg","210000","213000"," give it some of this."
