"start","end","text"
"66960","68240"," That was a nightly switchover."
"68420","68920"," That was horrible."
"70780","71900"," Good morning, Arushi. "
"73500","73900"," BTCCKK."
"74980","75720"," Hot's good morning."
"75940","76360"," How are y'all doing?"
"78940","79940"," Let's go, Cap. "
"80140","80560"," How was the weather?"
"81320","81740"," Last night?"
"82040","82400"," Oh, it was terrible."
"84300","84740"," Wind's blowing."
"85900","86540"," Trees coming down. "
"86840","87860"," I didn't lose any power, thankfully."
"89440","98420"," And, you know, what's crazy is, I have a refrigerator that once we, our house was struck by"
"98420","98960"," lightning once."
"99980","101800"," And I've got grounding rods and everything. "
"101940","103120"," I've got breakers."
"103280","105040"," I've got special breakers in my box."
"105520","105980"," It didn't matter. "
"106540","107280"," I blew up my refrigerator."
"107560","108580"," It cost me a couple thousand bucks."
"109160","111160"," So, I didn't plug my refrigerator last night. "
"115180","116380"," How's everybody doing out there?"
"117900","118560"," Yes, sir."
"118720","119100"," Start early."
"119300","120240"," We got a lot to go over this morning. "
"121540","122700"," Good morning, one day at a time."
"122920","123180"," Morning Mac."
"123360","124320"," Morning King Hotel. "
"124700","125340"," Good morning, 8K."
"125440","125960"," Good morning, Jesus."
"126320","127520"," Anybody that's showing up this morning. "
"129500","132080"," You did the right thing because we have some stuff to go over."
"132240","138580"," You know, I have an interesting cool thing to show you this morning because I'm kind of known for"
"138580","138780"," this."
"140160","144320"," And I've been struggling with putting this together. "
"144320","149160"," Not struggling, but I want to be able to, we've got two different kind of markets heading our way."
"150240","151460"," And we're going to talk about it."
"152140","153780"," Is it raining hard and indie last night too?"
"153920","153980"," Yeah. "
"154340","159440"," Do we got like, it's weird too because I'm working on my backyard right now trying to regrade it."
"159740","163020"," And it's times like this where I look watching closely."
"163580","165160"," And I just waterproofed my basement. "
"165400","165700"," It's working."
"166100","166400"," So, I'm stoked."
"167560","168400"," Good morning, everybody. "
"169180","169200"," Yes."
"169480","170560"," You know, tornado is a weird."
"172620","175640"," Thanks for buying the day, right, baby?"
"178320","182380"," Can I more cap thanks for the VOD and the day report today?"
"182600","186760"," Can you touch on how the correlation is resettling and is going to play into April. "
"186760","187860"," Thanks for a solid."
"188060","190260"," Hey, thank you too, Vicki."
"191620","192660"," Better rain than snow. "
"194580","195340"," Yeah, it's weird."
"195700","197020"," I don't, I'm not from Michigan."
"197660","200760"," So I, you know, I want, I want tons of snow when I lived out west. "
"201320","202840"," But at Michigan, I can do without it here."
"203600","205400"," So we're going to switch over to something else real quick."
"206340","207640"," I think I got this right here. "
"217430","220610"," So I'm going to bring this over one step at a time here for you this morning."
"220710","220870"," Okay."
"221090","225110"," So this morning, no one really cares about the economic calendar. "
"225690","226430"," It looks like this morning."
"226590","228990"," I could be wrong in this, but it looks like nobody gives a fine fuck."
"229690","233150"," Now, this is the, um, the U.S. Turbo Goods order. "
"233150","236710"," You can see if our bulletin, U.S. Turbo Goods orders dropped more than forecast in February."
"237190","239110"," And also claims of the lowest they've ever been."
"239430","240470"," We already know why, right?"
"240590","242990"," We already know that everyone's been on employment for a couple of years. "
"243470","245310"," We know that people, there's two things going on."
"245630","249590"," Number one, people need to get back to work or want to get back to work or they hate their"
"249590","252950"," fucking wives or husbands, their boyfriends and girlfriends or whatever, right?"
"253570","254750"," Uh, well, they've been stuck in the house."
"255209","258649"," It could just be money and also, uh, people aren't eligible. "
"258649","261690"," This is the second part is that people aren't eligible for unemployment anymore."
"262230","269310"," And a lot of these initial claims, uh, rely upon not only, uh, uh, people, uh, being unemployed,"
"269310","271090"," but they're claiming unemployment, right?"
"271250","274670"," So it's probably a stack of people out there that aren't working right now that aren't claiming"
"274670","275450"," anything."
"275530","278130"," So of course you're going to expect these numbers to come in. "
"278270","281170"," None of this is not, uh, not expected, right?"
"282250","284150"," We've got, uh, continuing claims as well."
"284150","290830"," Good orders, core capital goods, current account deficit as well at eight thirty."
"290970","294130"," And then we've got lots of fed, uh, little Fed presidents talking, right?"
"294250","296390"," We've got a nail cash carry at eight thirty. "
"296570","298290"," We've got Waller at nine ten."
"298710","303450"," And then we've got the S&P market manufacturing PMI flash at nine forty five."
"303650","307550"," And then we've got the, uh, the PMI flash, excuse me, the global, I think that I don't know why"
"307550","308410"," that's in there twice, but. "
"309830","311150"," Oh, no, sorry, I missed that one."
"311490","313370"," The Atlanta Fed on my microphone is covering everything."
"313730","317570"," Atlanta Fed President Ralph Bostick speaks again at eleven a.m. this morning. "
"317610","321450"," So we've got a full docket of volatility on par for today."
"321910","324990"," So just looking at the day, you already know that we're probably going to have some kind of"
"324990","329890"," volatility between now and eleven a.m. And it kind of stacks up to where we are, where the charts"
"329890","330690"," are right now."
"331210","333030"," And, uh, we'll talk about, we're going to talk about a few things. "
"333210","334630"," We're going to get through a lot of stuff this morning."
"334950","338010"," We're also going to look at some indicators for you."
"338010","341350"," If you're a bull or a bear, I've got the indicators for you. "
"341710","343210"," I hope that you've signed up this morning."
"343390","349810"," If you are already, or if you haven't already for, um, trading view, a couple other notes."
"349810","354710"," If you're not a part of the discord, we, we stream live time. "
"355630","357870"," As well as my voice, I think, is streaming in there."
"358170","363730"," Uh, we, we stream options flow, uh, directed options flow, some of the best options flow flow."
"363910","367390"," You can get out there and discord in one of the voice channels. "
"367390","372510"," So if you were to bring up two screeners for yourself to order to to to, um, I don't know,"
"372530","377650"," displays on one monitor or something, you can, uh, watch this broadcast on YouTube."
"377850","385210"," You either mute YouTube or mute, uh, discord and follow along with both book map, uh, candlestick"
"385210","389910"," charts, the options flow and then also be listening in, uh, to the news."
"390350","395370"," You guys know that the news that we have that we run here is faster than anywhere else on the"
"395370","396090"," internet period. "
"396270","401550"," Nowhere else you're getting, uh, faster impact than the news that's impactful when it's meaningful"
"401550","402410"," to the market."
"402810","404250"," Uh, so stay tuned every day with us."
"404790","408670"," Uh, we're going to go over some cool, some cool indicators for you to be looking at. "
"408930","414310"," Now tomorrow we're going to, I think tomorrow we're going to focus on macro under the hood, but as"
"414310","420710"," you as an equity trader, as a futures trader, as an equity trader, uh, we're going to, we're going"
"420710","425750"," to look at some indicators that you can be checking on day in, day out before you start your day,"
"425870","429590"," when you end your day, uh, to know when to be buying and when to be selling."
"429590","430030"," Okay."
"430510","434630"," And we're going to talk about that because I'm kind of known for the last couple of years saying,"
"434630","437330"," hey, that we're going to buy this bottom, we're going to buy this bottom, we're going to buy this"
"437330","437530"," bottom. "
"437710","443250"," If you only bought these bottoms, you would be rich and you would have made zero bad trades in two"
"443250","447930"," straight years, right, just zero, not a single bad trade in two straight years."
"447930","453250"," So we're going to look at an indicator this morning that actually, uh, it still does the same"
