"start","end","text"
"17550","23270"," Here we go."
"32100","33100"," Check one, two, my check."
"61540","62800"," Check one, two, my check. "
"63200","69280"," Check one, two, my check."
"70020","71020"," We live right now."
"85230","86490"," You guys can see it, right?"
"90110","90730"," All right. "
"95130","96330"," Oh, yeah, baby."
"96350","96950"," Good morning."
"98790","102940"," I'm calling you saying no. "
"104760","106100"," You can't see the street."
"106300","107000"," You can't see the street."
"117080","120240"," TQQ, it's Tesla. "
"120760","121460"," We'll talk to Tesla today."
"131630","136220"," TQQ, Tesla, because people are sassy about it."
"137060","138000"," They're all speaking smart. "
"138700","140200"," I don't even know what that one is."
"142300","142860"," Let's get ready."
"143060","144060"," Oh, you know, we'll get into this morning. "
"144320","144960"," Good morning."
"145120","146040"," How are you all doing out there?"
"146680","147740"," Let's get right into the market briefly."
"147920","149940"," I'm going to make it really fast here because I am late this morning. "
"156100","161600"," So we're going to start this morning with, by the way, good morning."
"161600","165860"," So I'm having some issues this morning, but it's not just myself."
"166760","169580"," I'm actually on a friend's website right now. "
"169580","170800"," It is down."
"171040","172280"," I haven't checked in the past few minutes."
"172700","178280"," And even our website is experiencing some server side issues this morning. "
"178720","182360"," So I want you to know that I'm having troubles logging into the stream lab server."
"182940","185820"," And then I'm also having some issues on our website."
"186480","187820"," And there are some other web. "
"187920","188960"," I don't know if you have any other websites."
"188960","191780"," You've tried to check this morning, but there are some other issues out there."
"191960","198000"," I don't know if it's nationwide or just regional or whatever, but I apologize to you for not being"
"198000","198740"," here this morning. "
"200300","202200"," I'm like, yeah, I'm just going to hang out over here."
"202320","202920"," Wait a minute."
"203220","204820"," I got to give me one quick second here. "
"213480","214020"," I'll be right."
"214220","215580"," I'm going to put it on the main screen, guys."
"215780","216260"," Hold on one second. "
"216320","217480"," I'm talking to a dev right now."
"218580","745180"," In Jewish"
"745180","751320"," official in government said moments ago on the Senate floor that he believes Prime Minister"
"751320","755960"," Benjamin Netanyahu has lost his way in the Israeli bombardment of Gaza."
"756640","762800"," The most significant criticism made by a U.S. leader since Israel's war with Hamas began last"
"762800","763300"," October. "
"763940","771420"," A suspected tornado touched down in Kansas last night as severe storms and large hail pelted the"
"771420","771660"," region."
"771660","776000"," The National Weather Service is sending out teams this morning to assess the damage."
"776420","781060"," But meteorologists say the suspected twisters, thankfully, mispopulated areas. "
